Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,46.60,47.26,46.48,46.92,785500,46.92
2014-03-27,47.08,47.23,46.26,46.45,1716000,46.45
2014-03-26,47.84,48.10,47.07,47.15,1344800,47.15
2014-03-25,47.68,48.00,47.44,47.66,1222600,47.66
2014-03-24,47.65,47.69,47.05,47.54,1232600,47.54
2014-03-21,48.47,48.47,47.42,47.45,2083500,47.45
2014-03-20,47.17,48.11,47.02,48.09,1211500,48.09
2014-03-19,47.25,47.68,47.01,47.27,1173300,47.27
2014-03-18,46.79,47.40,46.60,47.39,1041400,47.39
2014-03-17,46.17,46.84,46.17,46.69,1074700,46.69
2014-03-14,46.17,46.34,45.93,46.07,1879700,46.07
2014-03-13,46.66,46.84,46.02,46.16,3160300,46.16
2014-03-12,46.05,46.61,45.80,46.42,1067000,46.42
2014-03-11,46.60,46.72,46.04,46.20,661800,46.20
2014-03-10,46.56,46.72,46.20,46.51,844200,46.51
2014-03-07,46.84,46.87,46.46,46.58,1500800,46.58
2014-03-06,46.53,46.97,46.42,46.65,1228300,46.65
2014-03-05,46.15,46.62,46.08,46.55,2174300,46.55
2014-03-04,44.95,46.35,44.79,46.31,3103900,46.31
2014-03-03,45.16,45.30,44.52,44.95,1142600,44.95
2014-02-28,45.69,45.85,45.21,45.55,1062100,45.55
2014-02-27,45.46,45.72,44.01,45.61,1878800,45.61
2014-02-26,45.38,46.04,45.12,45.53,2307000,45.53
2014-02-25,45.41,45.53,44.82,45.34,3280300,45.34
2014-02-24,45.41,45.67,45.25,45.27,2224400,45.27
2014-02-21,45.25,45.48,45.03,45.26,1404400,45.26
2014-02-20,44.93,45.25,44.60,45.20,2356500,45.20
2014-02-19,44.74,45.36,44.65,44.90,1728700,44.90
2014-02-18,45.35,45.59,45.20,45.50,1663400,45.15
2014-02-14,45.76,45.93,45.54,45.76,1370300,45.40
2014-02-13,45.33,45.85,45.21,45.81,1434100,45.45
2014-02-12,46.99,46.99,44.86,45.55,1850500,45.19
2014-02-11,44.46,44.93,44.17,44.85,1878800,44.50
2014-02-10,44.61,44.88,44.44,44.76,1269300,44.41
2014-02-07,44.04,44.47,43.81,44.44,7034300,44.09
2014-02-06,43.76,44.07,43.55,43.71,6459900,43.37
2014-02-05,43.48,43.87,43.14,43.70,1405700,43.36
2014-02-04,43.72,43.79,43.18,43.61,6545100,43.27
2014-02-03,44.95,44.99,43.42,43.62,6134500,43.28
2014-01-31,44.87,45.27,44.08,44.86,2880000,44.51
2014-01-30,45.03,45.64,44.76,45.36,2927000,45.01
2014-01-29,44.67,45.37,44.51,44.61,2010100,44.26
2014-01-28,44.16,45.06,44.02,45.05,2297600,44.70
2014-01-27,44.18,44.47,43.87,44.06,1340200,43.72
2014-01-24,44.77,44.90,44.04,44.08,2037800,43.74
2014-01-23,45.98,46.11,44.91,44.99,3572300,44.64
2014-01-22,46.30,46.50,46.02,46.06,2314400,45.70
2014-01-21,46.60,46.63,46.00,46.25,1415200,45.89
2014-01-17,46.00,46.73,45.95,46.20,2411300,45.84
2014-01-16,46.31,46.36,46.00,46.27,5882300,45.91
2014-01-15,46.10,46.40,45.97,46.34,1222800,45.98
2014-01-14,45.41,46.13,45.26,46.11,1888900,45.75
2014-01-13,44.97,45.84,44.95,45.15,2230500,44.80
2014-01-09,45.28,45.50,44.87,45.22,1431700,44.87
2014-01-08,44.75,45.37,44.54,45.29,1950900,44.94
2014-01-07,44.70,45.06,44.46,44.70,1518100,44.35
2014-01-06,44.51,44.69,44.33,44.45,1362700,44.10
