Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,173.49,175.72,173.26,175.42,1124900,175.42
2014-03-27,173.29,174.69,171.59,173.10,1391500,173.10
2014-03-26,177.51,178.25,173.84,173.84,1448900,173.84
2014-03-25,177.72,178.93,174.51,176.47,1631800,176.47
2014-03-24,181.14,181.51,176.56,177.54,1448100,177.54
2014-03-21,186.93,188.02,180.75,180.85,1784500,180.85
2014-03-20,181.90,185.68,181.84,185.35,1327400,185.35
2014-03-19,182.87,183.63,180.95,181.91,954300,181.91
2014-03-18,181.89,183.44,181.19,183.17,828300,183.17
2014-03-17,181.22,183.12,180.80,181.92,771000,181.92
2014-03-14,183.06,183.88,180.44,180.81,1359900,180.81
2014-03-13,184.09,185.93,183.28,183.65,1170800,183.65
2014-03-12,182.27,183.72,180.49,183.65,987600,183.65
2014-03-11,180.99,183.50,180.60,182.37,1092800,182.37
2014-03-10,182.35,182.57,179.15,180.50,1492300,180.50
2014-03-07,182.98,183.51,181.43,182.40,1191600,182.40
2014-03-06,182.29,184.05,181.61,182.58,1479500,182.58
2014-03-05,181.72,182.54,179.60,181.96,1342300,181.96
2014-03-04,178.02,181.37,177.73,180.80,1688100,180.80
2014-03-03,175.34,176.98,174.92,176.05,1097300,176.05
2014-02-28,174.75,178.36,174.17,177.05,1683400,177.05
2014-02-27,174.78,175.11,173.47,174.43,1587500,174.43
2014-02-26,176.68,177.28,174.30,174.78,1013800,174.54
2014-02-25,176.46,177.97,176.31,176.73,1234400,176.49
2014-02-24,176.45,178.11,176.29,176.32,2109300,176.08
2014-02-21,177.63,178.33,176.17,176.35,2244200,176.11
2014-02-20,177.44,178.61,176.00,177.58,1225900,177.34
2014-02-19,178.00,179.40,176.35,177.66,1671600,177.42
2014-02-18,176.71,179.00,175.73,177.48,1649700,177.24
2014-02-14,175.66,176.33,175.01,175.60,1013900,175.36
2014-02-13,174.50,175.85,174.07,175.67,1094300,175.43
2014-02-12,174.61,176.37,173.74,174.95,1073200,174.71
2014-02-11,172.49,175.26,171.56,175.05,1617900,174.81
2014-02-10,174.52,174.99,171.88,172.77,1775900,172.53
2014-02-07,172.25,175.00,171.86,174.99,1435800,174.75
2014-02-06,169.05,173.08,168.02,172.40,2078200,172.16
2014-02-05,168.59,169.20,167.02,168.62,1320200,168.39
2014-02-04,171.00,171.25,168.81,169.44,1633100,169.21
2014-02-03,174.69,174.88,169.91,171.00,2129000,170.77
2014-01-31,176.00,177.00,173.65,174.41,2700000,174.17
2014-01-30,175.63,177.48,175.06,177.23,2401300,176.99
2014-01-29,173.62,175.00,172.69,173.28,1672400,173.04
2014-01-28,172.53,175.65,172.50,175.26,1689400,175.02
2014-01-27,173.38,175.24,171.77,172.98,2539500,172.74
2014-01-24,176.17,177.50,172.53,173.72,4559200,173.48
2014-01-23,174.14,174.30,170.90,172.37,3465300,172.13
2014-01-22,168.60,170.39,167.29,169.68,1263000,169.45
2014-01-21,168.71,170.00,167.60,168.55,1488900,168.32
2014-01-17,168.87,169.08,167.25,168.12,1683900,167.89
2014-01-16,167.45,169.08,167.25,168.56,1392200,168.33
2014-01-15,167.61,168.13,165.81,167.32,3290400,167.09
2014-01-14,167.50,169.00,164.36,167.47,4454600,167.24
2014-01-13,175.03,175.37,160.21,167.14,6215100,166.91
2014-01-09,175.44,177.00,174.20,175.33,3846400,175.09
2014-01-08,166.00,173.08,165.60,169.81,5450100,169.58
2014-01-07,160.74,163.34,160.07,161.83,2215400,161.61
2014-01-06,166.11,166.54,159.91,160.26,2017900,160.04
2014-01-03,160.25,162.10,160.11,160.71,2156200,160.49
2014-01-02,160.85,160.99,159.45,160.16,847000,159.94
2013-12-31,161.34,162.03,160.59,161.40,685800,161.18
2013-12-30,160.95,161.28,159.98,160.69,536700,160.47
2013-12-27,161.71,161.99,160.15,160.98,440600,160.76
2013-12-26,160.51,161.62,160.13,161.37,549900,161.15
2013-12-24,160.84,160.84,159.26,160.27,355100,160.05
2013-12-23,161.52,161.94,158.31,160.40,937800,160.18
2013-12-20,160.82,162.65,160.64,161.50,1489200,161.28
2013-12-19,160.08,160.68,158.50,160.59,1302700,160.37
2013-12-18,159.58,161.06,156.81,161.03,1107600,160.81
2013-12-17,157.63,158.76,156.82,158.42,1507200,158.20
2013-12-16,157.93,158.46,157.11,157.46,725300,157.24
2013-12-13,157.56,157.96,156.03,157.39,1210600,157.17
2013-12-12,157.64,158.46,156.00,156.75,1539200,156.53
2013-12-11,157.32,160.69,157.32,158.34,2154200,158.12
2013-12-10,159.86,161.67,157.00,159.94,4266900,159.72
2013-12-09,163.43,164.63,162.85,163.03,1175000,162.81
2013-12-06,161.64,163.08,160.72,162.81,1599400,162.59
2013-12-05,162.56,163.20,159.78,159.98,1866200,159.76
2013-12-04,163.52,165.18,161.97,162.74,1200300,162.52
2013-12-03,163.10,164.78,162.57,163.87,1361100,163.64
2013-12-02,165.89,166.25,164.18,164.67,978100,164.44
2013-11-29,165.73,166.57,165.25,165.89,703200,165.66
2013-11-27,165.10,165.59,163.77,165.50,908900,165.27
2013-11-26,164.97,165.39,163.58,164.35,1581500,163.88
2013-11-25,163.95,166.05,163.61,165.14,1916700,164.67
2013-11-22,160.90,164.00,160.43,163.61,1703300,163.15
2013-11-21,159.21,161.17,158.39,160.90,1007700,160.44
2013-11-20,159.67,159.93,157.83,158.39,978400,157.94
2013-11-19,159.00,159.68,157.38,159.21,916900,158.76
2013-11-18,161.34,161.60,158.58,158.78,1192900,158.33
2013-11-15,159.65,160.61,159.03,160.15,1105500,159.70
2013-11-14,157.87,159.77,155.92,159.46,2013400,159.01
2013-11-13,157.31,157.90,156.46,157.89,1331700,157.44
2013-11-12,158.45,159.67,156.85,157.89,1469100,157.44
2013-11-11,158.80,159.50,157.78,158.90,983300,158.45
2013-11-08,156.05,158.63,155.91,158.56,1331900,158.11
2013-11-07,157.48,158.00,155.80,156.29,1374200,155.85
2013-11-06,158.97,158.99,154.02,156.46,2556300,156.02
2013-11-05,159.61,159.71,158.42,158.92,1223900,158.47
2013-11-04,159.42,159.79,158.50,159.72,1239400,159.27
2013-11-01,156.29,159.57,156.00,159.44,2274100,158.99
2013-10-31,156.16,158.38,155.31,156.34,2297700,155.90
2013-10-30,156.26,157.35,155.33,156.04,2142900,155.60
2013-10-29,153.45,155.95,153.29,155.87,1941900,155.43
2013-10-28,152.88,153.90,152.06,153.28,3006300,152.85
2013-10-25,151.81,156.27,151.05,154.99,4271000,154.55
2013-10-24,154.60,155.00,147.61,150.00,6964700,149.58
2013-10-23,142.51,145.04,141.21,143.05,2640500,142.64
2013-10-22,136.35,143.23,135.68,142.13,1984000,141.73
2013-10-21,141.50,142.09,140.43,141.02,1146300,140.62
2013-10-18,143.47,143.86,140.76,141.45,1521600,141.05
2013-10-17,140.33,142.91,140.14,142.82,1501000,142.42
2013-10-16,139.07,141.19,139.00,140.79,1157400,140.39
2013-10-15,138.25,139.36,137.39,137.95,1284900,137.56
2013-10-14,137.92,138.78,136.69,138.69,904000,138.30
2013-10-11,137.88,139.00,137.23,138.31,1421500,137.92
2013-10-10,134.56,138.03,134.56,137.88,2285600,137.49
2013-10-09,134.05,134.67,132.83,133.48,2841400,133.10
2013-10-08,137.50,138.43,133.38,133.72,6324400,133.34
2013-10-07,131.24,131.30,129.57,129.63,1307900,129.26
2013-10-04,130.00,132.02,129.46,131.87,1236400,131.50
2013-10-03,129.87,130.04,128.84,129.57,1071700,129.20
2013-10-02,131.12,131.18,129.54,130.55,1028200,130.18
2013-10-01,128.97,131.82,128.97,131.52,1264800,131.15
2013-09-30,128.40,128.69,127.95,128.30,782300,127.94
2013-09-27,128.19,129.77,128.04,129.29,969600,128.92
2013-09-26,128.58,129.05,127.90,128.44,920000,128.08
2013-09-25,128.83,129.98,128.40,128.48,1454500,128.12
2013-09-24,129.11,129.72,127.45,127.91,1758100,127.55
2013-09-23,131.07,131.34,129.20,129.50,1494200,129.13
2013-09-20,131.90,132.62,130.78,131.27,2225000,130.90
2013-09-19,132.20,133.33,131.61,132.01,1637200,131.64
2013-09-18,131.21,131.89,129.58,131.61,838500,131.24
2013-09-17,129.83,131.41,129.78,131.08,923800,130.71
2013-09-16,130.03,130.45,129.43,129.78,595000,129.41
2013-09-13,128.54,128.92,128.00,128.70,720800,128.34
2013-09-12,127.80,129.62,127.80,128.60,900300,128.24
2013-09-11,125.97,127.70,125.59,127.70,1284700,127.34
2013-09-10,125.00,125.94,124.54,125.92,738100,125.56
2013-09-09,123.74,124.55,123.32,124.25,701700,123.90
2013-09-06,122.98,124.46,121.38,123.57,753300,123.22
2013-09-05,122.79,123.45,122.53,122.94,621100,122.59
2013-09-04,122.69,123.41,122.08,123.00,1137300,122.65
2013-09-03,122.77,124.11,121.79,122.52,831500,122.17
2013-08-30,121.74,122.21,120.78,121.41,898800,121.07
2013-08-29,120.65,122.35,120.17,121.56,566600,121.22
2013-08-28,120.61,121.84,120.26,121.20,699700,120.62
2013-08-27,122.04,122.04,120.51,120.85,729300,120.27
2013-08-26,123.28,123.28,122.28,122.38,626200,121.79
2013-08-23,122.94,123.16,122.00,122.95,507200,122.36
2013-08-22,122.13,123.12,122.00,122.92,385200,122.33
2013-08-21,122.41,123.08,121.98,122.08,753000,121.49
2013-08-20,121.64,122.98,121.55,122.52,814300,121.93
2013-08-19,121.55,122.40,121.52,121.63,887000,121.05
2013-08-16,121.92,122.79,121.60,121.82,2384100,121.23
2013-08-15,122.82,123.10,121.60,122.21,925500,121.62
2013-08-14,123.61,123.98,123.20,123.39,683300,122.80
2013-08-13,123.00,123.86,122.59,123.54,682900,122.95
