Date,Open,High,Low,Close,Volume,Adj Close
2014-02-13,25.06,25.13,25.06,25.13,28400,25.13
2014-02-12,25.11,25.16,25.06,25.07,22800,25.07
2014-02-11,25.05,25.12,25.04,25.09,36600,25.09
2014-02-10,25.16,25.16,25.05,25.05,44300,25.05
2014-02-07,25.17,25.19,25.09,25.12,34300,25.12
2014-02-06,25.09,25.23,25.07,25.16,137900,25.16
2014-02-05,24.99,25.05,24.94,25.05,62600,25.05
2014-02-04,24.99,25.02,24.95,25.02,40200,25.02
2014-02-03,24.94,25.03,24.94,24.99,21600,24.99
2014-01-31,24.93,24.98,24.93,24.95,26100,24.95
2014-01-30,24.95,25.01,24.94,24.99,14200,24.99
2014-01-29,24.93,24.99,24.91,24.94,111200,24.94
2014-01-28,24.98,25.02,24.90,24.92,100800,24.92
2014-01-27,24.97,25.01,24.90,25.00,53400,25.00
2014-01-24,24.94,24.97,24.90,24.92,86900,24.92
2014-01-23,24.95,25.00,24.93,24.94,54100,24.94
2014-01-22,24.87,24.94,24.87,24.91,66100,24.91
2014-01-21,24.86,24.93,24.82,24.87,68700,24.87
2014-01-17,24.88,24.89,24.80,24.80,94100,24.80
2014-01-16,24.86,24.88,24.84,24.87,35600,24.87
2014-01-15,24.81,24.86,24.76,24.85,56900,24.85
2014-01-14,24.82,24.83,24.75,24.77,84800,24.77
2014-01-13,24.82,24.84,24.72,24.73,45700,24.73
2014-01-10,24.76,24.86,24.76,24.82,39600,24.82
2014-01-09,24.76,24.80,24.73,24.77,31300,24.77
2014-01-08,24.75,24.78,24.71,24.73,39600,24.73
2014-01-07,24.82,24.86,24.75,24.75,35200,24.75
2014-01-06,24.75,24.89,24.75,24.80,66900,24.80
2014-01-03,24.74,24.75,24.71,24.73,41900,24.73
2014-01-02,24.67,24.73,24.64,24.71,31900,24.71
2013-12-31,24.64,24.72,24.64,24.71,31700,24.71
2013-12-30,24.77,24.77,24.64,24.64,56300,24.64
2013-12-27,24.75,24.80,24.72,24.75,31500,24.75
2013-12-26,24.78,24.79,24.75,24.75,14600,24.75
2013-12-24,24.81,24.81,24.75,24.75,29900,24.75
2013-12-23,24.89,24.90,24.81,24.81,30200,24.81
2013-12-20,24.91,24.95,24.81,24.83,56600,24.83
2013-12-19,24.81,24.95,24.81,24.88,66600,24.88
2013-12-18,24.90,24.91,24.81,24.81,82000,24.81
2013-12-17,24.96,24.96,24.85,24.89,66800,24.89
2013-12-16,24.93,24.97,24.86,24.90,220000,24.90
2013-12-13,24.67,25.14,24.60,25.14,147100,25.14
2013-12-12,24.83,24.83,24.70,24.70,103900,24.70
2013-12-11,24.85,24.90,24.77,24.86,100900,24.86
2013-12-10,25.13,25.20,25.12,25.20,44400,24.80
2013-12-09,25.11,25.11,25.10,25.10,62300,24.70
2013-12-06,25.13,25.15,25.10,25.11,36600,24.71
2013-12-05,25.10,25.10,25.05,25.09,38000,24.69
2013-12-04,25.10,25.10,25.05,25.05,47200,24.65
2013-12-03,25.11,25.16,25.08,25.11,39900,24.71
2013-12-02,25.09,25.12,25.05,25.10,33800,24.70
2013-11-29,25.09,25.09,25.03,25.06,14600,24.66
2013-11-27,25.09,25.14,25.02,25.07,62400,24.67
2013-11-26,24.93,25.01,24.93,24.96,82600,24.56
2013-11-25,24.91,24.96,24.90,24.94,44900,24.54
2013-11-22,24.84,24.97,24.80,24.86,95800,24.46
2013-11-21,24.83,24.89,24.78,24.86,50300,24.46
2013-11-20,24.83,24.87,24.78,24.83,52100,24.43
2013-11-19,24.77,24.84,24.75,24.79,38000,24.39
2013-11-18,24.77,24.80,24.75,24.76,41100,24.36
2013-11-15,24.71,24.78,24.71,24.75,34000,24.35
2013-11-14,24.71,24.79,24.69,24.74,30500,24.34
2013-11-13,24.81,24.82,24.68,24.69,61200,24.30
2013-11-12,24.82,24.84,24.81,24.81,30200,24.41
2013-11-11,24.82,24.86,24.81,24.84,32700,24.44
2013-11-08,24.87,24.88,24.79,24.81,39100,24.41
2013-11-07,24.85,24.90,24.83,24.90,55500,24.50
2013-11-06,24.78,24.85,24.75,24.82,44300,24.42
2013-11-05,24.78,24.86,24.75,24.80,27100,24.40
2013-11-04,24.88,24.88,24.78,24.80,43500,24.40
