Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,7.97,8.05,7.91,7.96,157800,7.96
2014-03-27,7.86,7.95,7.80,7.93,273900,7.93
2014-03-26,8.09,8.10,7.87,7.88,304500,7.88
2014-03-25,8.01,8.04,7.91,7.99,156700,7.99
2014-03-24,8.20,8.25,7.86,7.90,269600,7.90
2014-03-21,8.05,8.19,8.03,8.17,399800,8.17
2014-03-20,7.92,7.98,7.85,7.98,224800,7.98
2014-03-19,8.00,8.07,7.85,7.92,489800,7.92
2014-03-18,7.74,7.96,7.74,7.87,230000,7.87
2014-03-17,7.71,7.78,7.60,7.65,208700,7.65
2014-03-14,7.62,7.79,7.58,7.60,157600,7.60
2014-03-13,7.61,7.73,7.57,7.62,229700,7.62
2014-03-12,7.70,7.73,7.53,7.61,360500,7.61
2014-03-11,7.86,7.87,7.65,7.70,463600,7.70
2014-03-10,7.99,8.01,7.80,7.86,1303300,7.86
2014-03-07,7.19,7.27,7.16,7.24,332300,7.24
2014-03-06,7.22,7.26,7.15,7.21,228900,7.21
2014-03-05,7.13,7.27,7.09,7.22,139800,7.22
2014-03-04,7.04,7.05,6.97,7.04,263500,7.04
2014-03-03,7.15,7.16,6.97,7.02,267100,7.02
2014-02-28,7.20,7.23,7.10,7.13,285900,7.13
2014-02-27,7.19,7.30,7.18,7.22,112000,7.22
2014-02-26,7.20,7.28,7.16,7.16,47700,7.16
2014-02-25,7.26,7.26,7.16,7.18,76400,7.18
2014-02-24,7.32,7.38,7.16,7.23,211200,7.23
2014-02-21,7.25,7.32,7.20,7.32,164400,7.32
2014-02-20,7.31,7.36,7.15,7.24,290900,7.24
2014-02-19,7.55,7.61,7.25,7.26,442000,7.26
2014-02-18,7.40,7.55,7.40,7.55,202500,7.55
2014-02-14,7.27,7.48,7.26,7.37,305700,7.37
2014-02-13,7.39,7.39,7.26,7.29,372300,7.29
2014-02-12,7.95,7.96,7.36,7.38,1020600,7.38
2014-02-11,7.92,8.01,7.90,7.97,66100,7.97
2014-02-10,7.97,8.02,7.88,7.97,80900,7.97
2014-02-07,8.03,8.10,7.92,7.97,59400,7.97
2014-02-06,7.89,8.16,7.89,8.01,160300,8.01
2014-02-05,7.69,7.89,7.62,7.86,122500,7.86
