Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,71.02,71.54,70.97,71.32,591200,71.32
2014-03-27,70.83,71.22,70.54,70.77,675300,70.77
2014-03-26,71.41,71.48,70.15,71.10,1042700,71.10
2014-03-25,70.26,71.99,70.02,71.20,1636600,71.20
2014-03-24,67.87,68.50,67.44,67.51,1061600,67.51
2014-03-21,67.82,68.36,67.40,67.54,1352300,67.54
2014-03-20,67.56,67.82,67.32,67.54,644500,67.54
2014-03-19,68.20,68.44,67.25,67.64,318200,67.64
2014-03-18,68.00,68.46,67.98,68.16,397600,68.16
2014-03-17,67.84,68.15,67.56,67.98,542900,67.98
2014-03-14,67.25,67.98,67.25,67.65,511100,67.65
2014-03-13,68.00,68.22,67.39,67.52,681200,67.52
2014-03-12,66.89,67.93,66.89,67.92,519200,67.92
2014-03-11,67.13,67.37,66.98,67.20,458800,67.20
2014-03-10,66.91,67.35,66.69,66.95,566900,66.95
2014-03-07,66.97,67.09,66.69,66.99,412000,66.99
2014-03-06,66.87,67.05,66.72,66.80,467900,66.80
2014-03-05,66.92,67.02,66.51,66.83,668800,66.83
2014-03-04,66.51,67.17,66.51,67.02,619000,67.02
2014-03-03,65.79,66.48,65.54,66.12,761300,66.12
2014-02-28,65.92,66.53,65.85,66.40,614300,66.40
2014-02-27,65.58,65.95,65.13,65.94,663100,65.94
2014-02-26,66.34,66.60,65.60,65.62,593300,65.62
2014-02-25,66.35,66.49,65.85,66.20,644000,66.20
2014-02-24,66.15,66.66,66.08,66.25,533500,66.25
2014-02-21,66.09,66.40,65.87,65.97,445200,65.97
2014-02-20,65.29,66.20,65.29,66.13,537200,66.13
2014-02-19,65.87,66.12,65.38,65.45,737100,65.45
2014-02-18,65.50,66.32,65.46,66.14,893300,66.14
2014-02-14,64.76,65.72,64.60,65.50,1004800,65.50
2014-02-13,64.10,65.01,64.08,64.98,730200,64.98
2014-02-12,64.54,64.97,64.20,64.29,658500,64.29
2014-02-11,63.85,64.67,63.58,64.59,911400,64.59
2014-02-10,63.05,63.96,62.89,63.92,980400,63.92
2014-02-07,63.31,63.85,62.75,63.04,1208400,63.04
2014-02-06,63.62,63.75,62.83,63.07,1617000,63.07
2014-02-05,63.19,63.70,63.08,63.44,1346500,63.44
2014-02-04,63.16,63.71,63.04,63.52,1071200,63.52
2014-02-03,64.05,64.33,62.88,63.03,1369200,63.03
2014-01-31,64.01,64.46,63.45,64.18,1281400,64.18
2014-01-30,65.04,65.05,63.80,64.73,2092300,64.73
2014-01-29,66.69,67.10,64.46,65.30,3413700,65.30
2014-01-28,69.06,69.77,69.06,69.62,1078100,69.62
2014-01-27,69.03,69.71,68.94,69.13,986200,69.13
2014-01-24,69.14,70.09,68.93,68.99,859000,68.99
2014-01-23,69.60,69.84,69.08,69.43,722500,69.43
2014-01-22,70.14,70.42,69.84,70.02,574100,70.02
2014-01-21,69.30,70.06,69.05,69.94,1190200,69.94
2014-01-17,69.54,69.54,68.64,68.95,938900,68.95
2014-01-16,67.95,69.65,67.95,69.58,904600,69.58
2014-01-15,69.83,70.01,69.41,69.75,1094900,69.75
2014-01-14,69.23,69.99,69.07,69.95,688900,69.95
2014-01-13,69.09,69.80,69.01,69.23,611400,69.23
2014-01-09,68.17,68.97,67.99,68.88,624500,68.88
2014-01-08,68.77,68.92,67.67,68.14,1036800,68.14
2014-01-07,68.33,69.10,68.33,68.88,605500,68.88
2014-01-06,68.77,68.94,68.04,68.27,412200,68.27
2014-01-03,68.50,68.82,68.33,68.55,348100,68.55
2014-01-02,68.87,68.96,68.09,68.34,470700,68.34
2013-12-31,69.30,69.34,68.68,68.92,322000,68.92
2013-12-30,68.83,69.35,68.81,69.14,347600,69.14
2013-12-27,68.63,68.90,68.49,68.76,524600,68.76
2013-12-26,68.64,69.12,68.50,68.95,386400,68.58
2013-12-24,68.46,68.89,68.30,68.68,145100,68.31
2013-12-23,68.96,69.00,68.17,68.38,401800,68.01
2013-12-20,68.45,68.99,68.14,68.61,683100,68.24
2013-12-19,68.04,68.53,67.62,68.40,439500,68.03
2013-12-18,67.49,68.26,66.60,68.05,1090300,67.68
2013-12-17,67.64,67.78,67.02,67.48,470400,67.12
2013-12-16,67.69,68.16,67.47,67.70,565500,67.34
2013-12-13,68.04,68.34,67.53,67.66,388700,67.30
2013-12-12,68.71,69.08,67.94,68.01,643700,67.65
2013-12-11,68.95,69.62,68.62,68.94,865900,68.57
2013-12-10,69.67,69.87,68.50,68.51,572900,68.14
2013-12-09,69.66,70.52,69.58,69.88,549600,69.51
2013-12-06,68.50,69.48,68.45,69.37,705800,69.00
2013-12-05,68.50,68.72,67.85,68.02,638500,67.65
2013-12-04,68.36,68.90,67.80,68.59,753400,68.22
2013-12-03,68.83,69.23,68.37,68.84,485500,68.47
2013-12-02,69.06,69.40,68.68,68.91,409000,68.54
2013-11-29,69.41,69.91,68.93,69.00,225600,68.63
2013-11-27,69.44,69.86,69.14,69.39,358600,69.02
2013-11-26,68.96,69.69,68.71,69.14,633400,68.77
2013-11-25,69.56,69.84,68.68,68.79,351700,68.42
2013-11-22,68.94,69.46,68.67,69.36,503900,68.99
2013-11-21,68.77,69.10,68.60,68.93,360700,68.56
2013-11-20,69.39,69.60,68.49,68.61,779600,68.24
2013-11-19,69.55,69.59,68.83,69.31,371500,68.94
2013-11-18,70.04,70.24,69.63,69.78,356200,69.41
2013-11-15,70.15,70.25,69.55,70.09,355800,69.71
2013-11-14,69.80,70.34,69.73,70.20,329200,69.82
2013-11-13,68.85,69.81,68.67,69.80,322000,69.43
2013-11-12,68.87,69.23,68.50,69.19,385500,68.82
2013-11-11,69.13,69.45,68.85,69.12,215400,68.75
2013-11-08,68.81,69.11,68.30,69.10,326600,68.73
2013-11-07,70.19,70.19,68.74,68.91,531600,68.54
2013-11-06,69.39,70.40,69.29,70.15,452700,69.77
2013-11-05,68.78,69.39,68.65,69.11,368700,68.74
2013-11-04,69.09,69.30,68.56,68.97,425400,68.60
2013-11-01,69.15,69.70,68.56,68.71,770700,68.34
2013-10-31,69.27,69.53,68.87,69.15,457700,68.78
2013-10-30,69.89,69.94,69.21,69.30,284200,68.93
2013-10-29,69.61,69.98,69.33,69.97,397900,69.59
2013-10-28,69.15,69.92,68.89,69.61,440800,69.24
2013-10-25,68.66,69.24,68.25,69.15,395000,68.78
2013-10-24,68.72,68.73,68.00,68.62,389300,68.25
