Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,48.26,49.16,48.19,48.59,1386100,48.59
2014-03-27,48.97,49.11,48.54,48.62,2381600,48.62
2014-03-26,49.55,49.61,48.95,48.95,1623700,48.95
2014-03-25,49.51,49.54,49.11,49.28,1499000,49.28
2014-03-24,50.12,50.29,49.10,49.22,2755200,49.22
2014-03-21,50.12,50.48,49.94,49.96,2793600,49.96
2014-03-20,49.46,49.83,49.29,49.73,2051500,49.73
2014-03-19,50.04,50.14,49.34,49.58,2482700,49.58
2014-03-18,50.14,50.33,49.99,50.14,2100600,50.14
2014-03-17,49.47,50.16,49.39,49.98,2056700,49.98
2014-03-14,49.30,49.67,49.06,49.11,3345800,49.11
2014-03-13,49.39,49.47,49.01,49.32,3877100,49.32
2014-03-12,49.32,49.51,49.08,49.27,2770500,49.27
2014-03-11,49.83,50.12,49.48,49.60,2127800,49.60
2014-03-10,49.54,49.89,49.45,49.80,2468300,49.80
2014-03-07,49.52,49.70,49.32,49.56,2028100,49.56
2014-03-06,49.00,49.35,48.86,49.28,2260500,49.28
2014-03-05,48.70,49.00,48.69,48.92,2696400,48.92
2014-03-04,48.09,48.97,48.07,48.89,2346200,48.89
2014-03-03,47.30,47.95,47.02,47.67,2138000,47.67
2014-02-28,47.86,48.48,47.81,48.16,2612700,48.16
2014-02-27,47.51,48.11,47.50,48.01,2530200,48.01
2014-02-26,47.85,48.00,47.56,47.59,2028600,47.59
2014-02-25,48.02,48.15,47.74,47.82,1504500,47.82
2014-02-24,47.99,48.48,47.84,48.07,2176700,48.07
2014-02-21,48.13,48.19,47.81,47.96,1976600,47.96
2014-02-20,47.61,48.15,47.58,48.10,2041200,48.10
2014-02-19,47.68,48.11,47.54,47.57,1917200,47.57
2014-02-18,47.41,47.98,47.30,47.80,2027700,47.80
2014-02-14,47.30,47.69,47.27,47.67,1731200,47.67
2014-02-13,46.41,47.33,46.41,47.29,1364900,47.29
2014-02-12,46.70,47.06,46.56,46.86,2226800,46.86
2014-02-11,45.81,46.88,45.42,46.72,2016600,46.72
2014-02-10,45.81,45.91,45.39,45.88,2181300,45.88
2014-02-07,44.71,45.90,44.63,45.88,3970900,45.88
2014-02-06,44.72,44.86,44.25,44.40,4096000,44.40
2014-02-05,44.54,44.70,44.29,44.56,3327100,44.56
2014-02-04,44.88,44.88,44.36,44.57,2741200,44.57
2014-02-03,45.72,45.75,44.47,44.53,2320600,44.53
2014-01-31,45.64,46.13,45.45,45.71,3318400,45.71
2014-01-30,46.11,46.41,45.79,46.31,2717400,46.31
2014-01-29,45.62,46.09,45.46,45.71,1923500,45.71
2014-01-28,45.89,46.18,45.69,45.92,2588000,45.92
2014-01-27,46.04,46.23,45.67,45.67,3316300,45.67
2014-01-24,47.33,47.55,46.37,46.37,2707500,46.12
2014-01-23,48.19,48.46,47.58,47.71,1867100,47.45
2014-01-22,48.71,48.75,48.33,48.64,2277000,48.38
2014-01-21,48.63,48.83,48.10,48.52,2495100,48.26
2014-01-17,48.58,48.73,48.41,48.50,1624500,48.24
2014-01-16,48.30,48.57,48.22,48.54,1517600,48.28
2014-01-15,48.26,48.34,48.06,48.33,2050400,48.07
2014-01-09,48.22,48.58,48.20,48.55,1479400,48.29
2014-01-08,47.83,48.18,47.67,48.15,1938300,47.89
2014-01-07,47.62,48.07,47.62,47.94,1547200,47.68
2014-01-06,48.06,48.13,47.52,47.60,1254800,47.34
2014-01-03,47.70,48.06,47.61,47.85,1598400,47.59
2014-01-02,48.01,48.15,47.61,47.72,1383400,47.46
2013-12-31,48.20,48.56,48.18,48.36,972400,48.10
2013-12-30,48.35,48.47,48.06,48.21,1408600,47.95
2013-12-27,48.43,48.51,48.22,48.29,1055500,48.03
2013-12-26,48.38,48.51,48.15,48.33,1322300,48.07
2013-12-24,48.06,48.48,47.86,48.29,739100,48.03
2013-12-23,48.39,48.40,47.93,48.09,1971100,47.83
2013-12-20,48.07,48.41,48.06,48.13,2653900,47.87
2013-12-19,47.97,48.20,47.71,48.07,1372300,47.81
2013-12-18,47.21,48.15,46.85,48.07,2806500,47.81
2013-12-17,47.29,47.50,47.04,47.21,1549300,46.96
2013-12-16,47.45,47.70,47.21,47.38,1194800,47.12
2013-12-13,47.44,47.56,47.17,47.25,1896600,47.00
2013-12-12,47.39,47.54,47.24,47.32,1708100,47.06
2013-12-11,47.86,48.13,47.28,47.37,1782000,47.11
2013-12-10,48.09,48.34,47.72,47.82,2044700,47.56
2013-12-09,48.08,48.36,48.02,48.31,1412000,48.05
2013-12-06,47.58,48.04,47.52,48.03,2188500,47.77
2013-12-05,47.09,47.50,47.03,47.20,2084000,46.95
2013-12-04,47.18,47.62,46.69,47.22,1832500,46.97
2013-12-03,47.26,47.72,47.21,47.40,1788600,47.14
2013-12-02,47.46,47.76,47.29,47.52,1477700,47.26
2013-11-29,47.83,47.83,47.41,47.45,938800,47.19
2013-11-27,47.48,47.70,47.35,47.58,930400,47.32
2013-11-26,47.67,47.89,47.44,47.50,2465900,47.24
2013-11-25,47.92,47.97,47.58,47.68,1549800,47.42
2013-11-22,47.79,47.95,47.51,47.94,1279100,47.68
2013-11-21,47.26,47.81,47.17,47.79,2043600,47.53
2013-11-20,47.23,47.38,46.99,47.10,1663600,46.85
2013-11-19,47.18,47.31,47.07,47.15,1922200,46.90
2013-11-18,47.25,47.52,47.07,47.26,1874700,47.01
2013-11-15,46.98,47.31,46.96,47.27,2107900,47.02
2013-11-14,46.55,47.00,46.51,46.96,1491200,46.71
2013-11-13,46.13,46.42,46.01,46.40,1813400,46.15
2013-11-12,46.56,46.70,46.03,46.25,1707500,46.00
2013-11-11,46.21,46.91,46.17,46.80,2079400,46.55
2013-11-08,45.67,46.22,45.54,46.14,3046900,45.89
2013-11-07,46.19,46.44,45.64,45.66,1910900,45.41
2013-11-06,45.72,46.60,45.54,46.16,2231800,45.91
2013-11-05,45.75,45.85,45.48,45.65,2437200,45.40
2013-11-04,46.05,46.12,45.76,45.81,1309500,45.56
2013-11-01,45.94,46.04,45.65,45.93,1855500,45.68
2013-10-31,46.25,46.28,45.80,45.80,2131800,45.55
2013-10-30,46.33,46.42,46.06,46.21,1875700,45.96
2013-10-29,46.40,46.46,46.11,46.36,2064200,46.11
2013-10-28,46.57,46.75,46.22,46.33,2170400,46.08
2013-10-25,45.29,46.78,45.29,46.56,2506300,46.31
2013-10-24,46.00,46.31,45.86,46.03,2491800,45.78
2013-10-23,45.92,46.00,45.62,45.81,1550000,45.56
2013-10-22,45.69,46.20,45.69,46.04,2681000,45.79
2013-10-21,45.50,45.66,45.40,45.53,2298000,45.28
2013-10-18,45.60,45.60,45.22,45.53,2054300,45.28
2013-10-17,44.65,45.37,44.63,45.30,3013900,45.06
2013-10-16,44.64,44.93,44.23,44.92,3013000,44.68
2013-10-15,43.65,44.08,43.60,43.85,3734800,43.61
2013-10-14,43.10,43.74,42.99,43.68,1586500,43.44
2013-10-11,43.13,43.30,43.04,43.26,1709200,43.03
2013-10-10,42.72,43.21,42.72,43.13,2981300,42.90
2013-10-09,42.49,42.54,41.98,42.37,2291500,42.14
2013-10-08,42.90,42.96,42.53,42.63,2772100,42.15
2013-10-07,43.01,43.26,42.77,42.97,2525100,42.49
2013-10-04,42.84,43.60,42.78,43.54,1996500,43.05
2013-10-03,43.57,43.61,42.89,43.23,2358100,42.74
2013-10-02,43.33,43.74,43.12,43.71,2008500,43.22
2013-10-01,43.64,43.86,43.42,43.60,2826500,43.11
2013-09-30,43.46,43.75,43.13,43.55,2278300,43.06
2013-09-27,43.76,43.91,43.55,43.76,2264500,43.27
2013-09-26,44.00,44.34,43.79,43.97,2166400,43.48
2013-09-25,44.34,44.42,43.88,44.04,4278000,43.55
2013-09-24,44.33,44.53,44.08,44.24,3761300,43.74
2013-09-23,44.16,44.63,44.10,44.39,3452700,43.89
2013-09-20,44.15,44.46,44.03,44.23,3076000,43.73
2013-09-19,43.89,44.32,43.76,44.13,2978700,43.63
2013-09-18,42.84,43.86,42.83,43.80,3933200,43.31
2013-09-17,42.82,43.06,42.63,42.74,2420600,42.26
2013-09-16,42.69,42.95,42.62,42.71,1652900,42.23
2013-09-13,42.49,42.58,42.33,42.41,1655000,41.93
2013-09-12,42.30,42.54,42.16,42.45,2617600,41.97
2013-09-11,42.15,42.32,41.98,42.31,2287100,41.84
2013-09-10,42.18,42.31,41.97,42.18,1947600,41.71
2013-09-09,41.36,41.93,41.35,41.93,1410800,41.46
2013-09-06,41.39,41.59,40.95,41.31,1802600,40.85
2013-09-05,41.49,41.64,41.26,41.36,1920800,40.90
2013-09-04,41.53,41.64,41.28,41.54,1640800,41.07
2013-09-03,41.76,41.93,41.20,41.54,1894600,41.07
2013-08-30,41.51,41.56,41.01,41.23,2094700,40.77
2013-08-29,41.09,41.81,41.05,41.52,2016000,41.05
2013-08-28,41.06,41.40,40.94,41.15,2422400,40.69
2013-08-27,41.69,41.80,41.11,41.12,2171600,40.66
2013-08-26,42.51,42.63,42.09,42.09,1482800,41.62
2013-08-23,42.72,42.72,42.24,42.51,2186500,42.03
2013-08-22,42.00,42.82,41.93,42.72,2272200,42.24
2013-08-21,42.12,42.31,41.69,41.95,2468100,41.48
2013-08-20,41.68,42.56,41.57,42.24,4973300,41.77
2013-08-19,41.70,41.81,41.52,41.65,1680000,41.18
2013-08-16,41.48,41.83,41.48,41.72,1614700,41.25
2013-08-15,41.80,42.00,41.46,41.57,2005900,41.10
2013-08-14,42.03,42.30,41.92,42.11,1387800,41.64
2013-08-13,41.81,42.09,41.67,41.97,1173600,41.50
2013-08-12,41.75,42.19,41.58,41.80,1495100,41.33
2013-08-09,41.91,42.05,41.68,41.90,1151600,41.43
2013-08-08,41.75,41.97,41.48,41.94,1763100,41.47
2013-08-07,41.99,42.00,41.28,41.67,1565800,41.20
2013-08-06,42.14,42.24,41.93,42.01,1249100,41.54
2013-08-05,42.38,42.46,42.07,42.21,1402500,41.74
2013-08-02,42.38,42.52,42.12,42.49,1376000,42.01
2013-08-01,42.15,42.64,42.14,42.51,1434500,42.03
2013-07-31,41.92,42.23,41.80,41.87,2003200,41.40
2013-07-30,41.93,42.16,41.63,41.75,1699400,41.28
2013-07-29,41.91,41.91,41.59,41.70,1131700,41.23
2013-07-26,41.60,42.00,41.39,41.99,1524400,41.52
2013-07-25,41.49,41.90,41.43,41.84,1971000,41.37
2013-07-24,41.77,41.89,41.45,41.53,1944600,41.06
2013-07-23,41.86,41.92,41.68,41.73,1353500,41.26
2013-07-22,41.76,41.89,41.70,41.89,1049400,41.42
2013-07-19,41.83,41.89,41.62,41.80,1177300,41.33
2013-07-18,41.51,41.98,41.47,41.83,1474100,41.36
2013-07-17,41.72,41.85,41.44,41.45,1343300,40.98
2013-07-16,41.68,41.82,41.39,41.63,2064800,41.16
2013-07-15,41.70,41.84,41.41,41.57,1540600,41.10
2013-07-12,41.78,41.83,41.38,41.65,1257900,41.18
2013-07-11,41.26,41.88,41.24,41.82,2668200,41.35
2013-07-10,40.73,40.93,40.60,40.86,1634700,40.40
2013-07-09,40.32,41.04,40.32,40.84,2743600,40.38
2013-07-08,41.06,41.23,40.71,40.79,2060100,40.08
2013-07-05,40.46,40.97,40.37,40.95,1414100,40.24
2013-07-03,40.03,40.49,39.96,40.28,922600,39.58
2013-07-02,40.39,40.64,40.10,40.30,2572900,39.60
2013-07-01,40.07,40.56,40.03,40.43,2443000,39.73
2013-06-28,40.20,40.28,39.65,39.92,3156300,39.23
2013-06-27,40.09,40.33,39.87,40.29,2262600,39.59
2013-06-26,39.63,39.99,39.47,39.90,2646800,39.21
2013-06-25,39.21,39.47,39.02,39.29,2050500,38.61
2013-06-24,38.99,39.10,38.50,38.90,2499000,38.23
2013-06-21,39.24,39.63,39.08,39.34,3929100,38.66
2013-06-20,39.19,39.40,38.83,38.90,3128000,38.23
2013-06-19,40.31,40.47,39.42,39.48,4383800,38.80
2013-06-18,40.36,40.47,40.01,40.46,3298700,39.76
2013-06-17,40.14,40.46,40.08,40.31,3136100,39.61
2013-06-14,40.24,40.40,39.88,39.95,1413700,39.26
2013-06-13,39.81,40.38,39.59,40.31,1992600,39.61
2013-06-12,40.44,40.46,39.71,39.82,1853700,39.13
2013-06-11,40.11,40.49,40.09,40.22,2245700,39.52
2013-06-10,40.52,40.66,40.21,40.36,2728600,39.66
2013-06-07,40.28,40.57,40.15,40.45,3426800,39.75
2013-06-06,37.47,39.98,37.47,39.96,2306700,39.27
2013-06-05,39.90,39.93,39.39,39.41,2058200,38.73
2013-06-04,40.37,40.50,39.90,39.93,2296100,39.24
2013-06-03,40.06,40.38,39.70,40.38,2507300,39.68
2013-05-31,40.40,40.73,40.01,40.02,2785100,39.33
2013-05-30,40.18,40.74,40.17,40.52,1626400,39.82
2013-05-29,40.26,40.48,40.07,40.18,2543600,39.49
2013-05-28,40.77,41.13,40.43,40.50,2666900,39.80
2013-05-24,40.20,40.43,40.03,40.43,1691400,39.73
2013-05-23,40.55,40.91,40.38,40.47,2536800,39.77
2013-05-22,41.38,41.68,40.73,40.80,2606000,40.09
2013-05-21,41.20,41.49,41.20,41.40,3219500,40.68
2013-05-20,41.00,41.33,40.95,41.09,2278000,40.38
2013-05-17,40.77,41.09,40.68,41.09,2953200,40.38
2013-05-16,40.61,40.95,40.58,40.79,2724700,40.08
2013-05-15,40.47,40.93,40.39,40.74,2399200,40.04
2013-05-14,39.85,40.54,39.70,40.53,2579500,39.83
2013-05-13,39.47,39.94,39.34,39.90,2607200,39.21
2013-05-10,39.45,39.59,39.22,39.47,2301900,38.79
2013-05-09,39.58,39.85,39.31,39.40,2303000,38.72
2013-05-08,39.02,39.59,38.87,39.57,2926000,38.89
2013-05-07,38.75,39.07,38.69,39.06,1937200,38.38
2013-05-06,38.80,38.88,38.66,38.73,1556100,38.06
2013-05-03,38.74,38.93,38.51,38.77,1884300,38.10
2013-05-02,37.82,38.85,37.46,38.57,2947800,37.90
2013-05-01,38.00,38.13,37.81,37.83,2649500,37.18
2013-04-30,37.55,38.03,37.45,38.01,2492000,37.35
2013-04-29,37.39,37.61,37.31,37.55,1611400,36.90
2013-04-26,37.53,37.61,37.25,37.33,1801000,36.68
2013-04-25,37.51,37.62,37.32,37.58,2418600,36.93
2013-04-24,37.50,37.60,37.25,37.34,1988500,36.69
2013-04-23,37.57,37.74,37.15,37.41,2237300,36.76
2013-04-22,37.32,37.42,37.09,37.31,1535800,36.67
2013-04-19,37.19,37.40,37.11,37.27,2201800,36.63
2013-04-18,37.68,37.79,37.00,37.00,3333100,36.36
2013-04-17,37.92,37.95,37.65,37.74,3041400,37.09
2013-04-16,37.85,38.15,37.68,38.11,2519500,37.45
2013-04-15,38.30,38.30,37.59,37.61,2160900,36.96
2013-04-12,38.45,38.63,38.14,38.34,2337600,37.68
2013-04-11,37.62,38.63,37.61,38.46,4990300,37.80
2013-04-10,37.40,37.58,37.37,37.55,2890300,36.90
2013-04-09,37.36,37.46,37.25,37.34,1635200,36.69
2013-04-08,37.11,37.50,37.01,37.30,2377800,36.66
