Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,37.31,37.36,36.97,37.12,5252100,37.12
2014-03-27,37.17,37.44,37.07,37.23,8328400,37.23
2014-03-26,36.95,37.35,36.91,37.25,10929200,37.25
2014-03-25,36.83,37.00,36.70,36.91,6760900,36.91
2014-03-24,36.55,36.73,36.44,36.69,7088700,36.69
2014-03-21,36.54,36.91,36.40,36.45,11001500,36.45
2014-03-20,35.94,36.38,35.84,36.35,6574800,36.35
2014-03-19,36.59,36.71,35.86,36.02,7321800,36.02
2014-03-18,36.37,36.67,36.25,36.59,4939900,36.59
2014-03-17,36.45,36.60,36.25,36.38,5416000,36.38
2014-03-14,35.86,36.56,35.86,36.34,7843300,36.34
2014-03-13,36.28,36.38,35.91,35.97,7924200,35.97
2014-03-12,36.23,36.25,35.98,36.14,7222100,36.14
2014-03-11,37.00,37.15,36.66,36.76,7791500,36.28
2014-03-10,36.81,36.93,36.67,36.86,5162900,36.38
2014-03-07,37.00,37.03,36.58,36.81,6629300,36.33
2014-03-06,37.03,37.03,36.63,36.89,10801200,36.41
2014-03-05,37.05,37.30,36.85,36.95,7815700,36.47
2014-03-04,36.87,37.33,36.82,37.07,11932400,36.59
2014-03-03,36.07,36.90,36.00,36.45,12823800,35.97
2014-02-28,35.97,36.41,35.97,36.26,8773100,35.79
2014-02-27,35.49,35.94,35.48,35.87,5595500,35.40
2014-02-26,35.63,35.80,35.40,35.44,5787400,34.98
2014-02-25,35.39,35.87,35.38,35.57,7845200,35.11
2014-02-24,35.34,35.70,35.28,35.38,6287400,34.92
2014-02-21,35.55,35.58,35.27,35.37,7104400,34.91
2014-02-20,35.18,35.62,35.11,35.53,5979400,35.07
2014-02-19,35.40,35.50,35.10,35.16,6337400,34.70
2014-02-18,35.55,35.70,35.37,35.46,5701100,35.00
2014-02-14,35.18,35.62,35.05,35.57,6584300,35.11
2014-02-13,34.75,35.28,34.74,35.28,8231700,34.82
2014-02-12,35.25,35.26,34.81,34.93,10043700,34.47
2014-02-11,35.10,35.25,34.78,35.14,9588800,34.68
2014-02-10,35.41,35.50,35.05,35.19,7507800,34.73
2014-02-07,34.92,35.34,34.78,35.30,11611300,34.84
2014-02-06,34.10,34.74,34.05,34.71,18468900,34.26
2014-02-05,34.15,34.33,33.80,34.00,15802600,33.56
2014-02-04,34.30,34.58,34.15,34.43,9864000,33.98
2014-02-03,35.17,35.18,34.08,34.11,16108500,33.66
2014-01-31,35.00,35.53,34.33,35.22,15457100,34.76
2014-01-30,36.24,36.24,35.16,35.35,18659600,34.89
2014-01-29,36.68,36.69,36.16,36.43,14367300,35.95
2014-01-28,36.88,36.88,36.57,36.85,8115400,36.37
2014-01-27,37.32,37.32,36.70,36.83,10823100,36.35
2014-01-24,37.15,37.48,37.03,37.30,13593800,36.81
2014-01-23,37.36,37.41,36.95,37.37,8265500,36.88
2014-01-22,37.40,37.63,37.28,37.50,5495000,37.01
2014-01-21,37.19,37.37,37.00,37.37,10031900,36.88
2014-01-17,37.29,37.33,36.91,37.03,8391300,36.55
2014-01-09,37.14,37.38,37.06,37.25,5976000,36.76
2014-01-08,37.27,37.42,36.96,37.13,13396900,36.65
2014-01-07,37.46,37.70,37.26,37.28,7042700,36.79
2014-01-06,37.77,37.82,37.19,37.28,10717600,36.79
2014-01-03,37.97,38.11,37.65,37.72,5361400,37.23
2014-01-02,38.27,38.38,37.78,37.90,6324600,37.41
2013-12-31,38.32,38.54,38.20,38.39,10342600,37.89
2013-12-30,38.36,38.44,38.14,38.36,7086900,37.86
2013-12-27,38.36,38.46,38.21,38.31,4269500,37.81
2013-12-26,38.09,38.30,38.08,38.25,5246000,37.75
2013-12-24,38.21,38.44,38.05,38.08,10126100,37.58
2013-12-23,38.21,38.30,37.85,38.14,13530200,37.64
2013-12-20,38.33,38.58,38.16,38.57,16852000,37.59
2013-12-19,38.05,38.25,37.90,38.22,8964200,37.25
2013-12-18,37.56,38.17,37.19,38.16,12910600,37.19
2013-12-17,37.24,37.63,37.15,37.45,9325400,36.50
2013-12-16,37.14,37.34,37.07,37.24,7481400,36.30
2013-12-13,37.22,37.29,36.84,37.10,12439700,36.16
2013-12-12,37.58,37.74,37.10,37.20,9241400,36.26
2013-12-11,37.36,37.75,37.30,37.67,9825300,36.72
2013-12-10,37.58,37.63,37.10,37.32,7750300,36.37
2013-12-09,37.50,37.74,37.31,37.69,6813600,36.73
2013-12-06,37.22,37.46,37.18,37.46,6717600,36.51
2013-12-05,37.12,37.22,36.90,36.96,7198300,36.02
2013-12-04,37.00,37.33,36.92,37.23,7975500,36.29
2013-12-03,36.86,37.31,36.86,37.17,7807400,36.23
2013-12-02,37.01,37.20,36.88,36.95,7143500,36.01
2013-11-29,37.12,37.16,36.92,36.98,4002100,36.04
2013-11-27,37.08,37.24,36.91,37.15,4064400,36.21
2013-11-26,37.24,37.25,36.95,37.00,7358600,36.06
2013-11-25,37.39,37.43,37.05,37.12,4369500,36.18
2013-11-22,37.13,37.28,36.81,37.27,6371500,36.33
2013-11-21,37.64,37.64,36.68,37.14,12595000,36.20
2013-11-20,37.85,38.00,37.45,37.61,6026500,36.66
2013-11-19,37.90,37.92,37.68,37.83,5761400,36.87
2013-11-18,38.07,38.10,37.81,38.03,5357200,37.07
2013-11-15,37.64,38.00,37.64,38.00,5334200,37.04
2013-11-14,37.55,37.93,37.55,37.70,6891500,36.74
2013-11-13,37.14,37.59,37.11,37.58,5805000,36.63
2013-11-12,37.44,37.48,37.06,37.31,7475700,36.36
2013-11-11,37.50,37.60,37.33,37.45,4232400,36.50
2013-11-08,37.40,37.55,37.02,37.55,13586400,36.60
2013-11-07,37.83,37.87,37.25,37.50,6410000,36.55
2013-11-06,37.68,37.89,37.55,37.82,4742800,36.86
2013-11-05,37.42,37.62,37.26,37.54,4860800,36.59
2013-11-04,37.53,37.69,37.27,37.43,5141800,36.48
2013-11-01,37.25,37.69,37.15,37.33,6620300,36.38
2013-10-31,37.04,37.55,36.90,37.23,10181100,36.29
2013-10-30,37.50,37.50,37.04,37.06,5630400,36.12
2013-10-29,36.89,37.46,36.85,37.43,9258100,36.48
2013-10-28,36.27,36.94,36.27,36.81,8074300,35.88
2013-10-25,36.10,36.35,35.90,36.25,12824300,35.33
2013-10-24,36.67,36.75,35.89,35.96,12125700,35.05
2013-10-23,36.29,36.54,36.09,36.38,6803100,35.46
2013-10-22,36.10,36.48,35.97,36.41,7994600,35.49
2013-10-21,35.95,36.02,35.77,36.02,5390300,35.11
2013-10-18,35.89,35.99,35.62,35.86,7009900,34.95
2013-10-17,35.73,35.95,35.58,35.62,8068000,34.72
2013-10-16,35.40,35.70,35.34,35.69,6209600,34.79
2013-10-15,35.63,35.66,35.26,35.33,6978200,34.43
2013-10-14,35.41,35.81,35.33,35.74,4291900,34.83
2013-10-11,35.53,35.65,35.35,35.54,6202400,34.64
2013-10-10,35.06,35.48,34.94,35.48,8819200,34.58
2013-10-09,34.77,34.90,34.41,34.45,7195800,33.58
2013-10-08,34.79,34.92,34.62,34.68,7015900,33.80
2013-10-07,34.47,34.99,34.43,34.75,6399200,33.87
2013-10-04,34.70,34.86,34.52,34.65,4019300,33.77
2013-10-03,34.64,34.88,34.50,34.70,5798500,33.82
2013-10-02,34.59,34.76,34.40,34.75,5794600,33.87
2013-10-01,34.27,34.76,34.23,34.71,6986900,33.83
2013-09-30,34.50,34.54,34.27,34.35,7525300,33.48
2013-09-27,34.82,34.90,34.53,34.71,7879800,33.83
2013-09-26,34.80,35.00,34.76,35.00,5099100,34.11
2013-09-25,35.10,35.17,34.71,34.79,10012400,33.91
2013-09-24,35.23,35.25,34.98,35.08,6366700,34.19
2013-09-23,35.39,35.44,35.20,35.25,6586400,34.36
2013-09-20,35.85,35.91,35.50,35.55,7789400,34.65
2013-09-19,35.82,36.00,35.71,35.80,5296700,34.89
2013-09-18,35.37,35.86,35.18,35.79,6623300,34.88
2013-09-17,35.19,35.51,35.11,35.36,9775000,34.46
2013-09-16,35.19,35.40,35.03,35.13,5652800,34.24
2013-09-13,34.65,34.95,34.62,34.84,5669100,33.96
2013-09-12,34.98,35.02,34.47,34.54,10309700,33.66
2013-09-11,35.01,35.42,34.93,35.41,12966100,34.04
2013-09-10,34.67,35.00,34.59,34.98,26034300,33.63
2013-09-09,34.45,34.59,34.35,34.59,22729400,33.26
2013-09-06,34.36,34.56,34.13,34.40,23039300,33.07
2013-09-05,34.23,34.31,34.13,34.25,7054100,32.93
