Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,34.66,35.26,34.59,35.22,6208900,35.22
2014-03-27,34.50,34.83,34.36,34.49,5558800,34.49
2014-03-26,34.69,34.90,34.41,34.50,5780400,34.50
2014-03-25,34.32,34.62,34.16,34.57,4765800,34.57
2014-03-24,34.34,34.76,34.10,34.23,8145000,34.23
2014-03-21,34.07,34.57,33.90,34.39,9344400,34.39
2014-03-20,33.34,33.85,33.12,33.82,4839800,33.82
2014-03-19,33.67,33.81,33.19,33.29,5181400,33.29
2014-03-18,33.24,33.74,33.13,33.65,5949900,33.65
2014-03-17,33.08,33.38,32.97,33.18,3528400,33.18
2014-03-14,32.71,33.10,32.62,33.08,7438900,33.08
2014-03-13,33.55,33.61,32.76,32.87,6292300,32.87
2014-03-12,33.66,33.72,33.29,33.46,4875600,33.46
2014-03-11,34.34,34.40,33.63,33.93,4647800,33.93
2014-03-10,34.15,34.32,34.00,34.30,4341800,34.30
2014-03-07,34.04,34.32,33.90,34.24,5256700,34.24
2014-03-06,33.71,34.19,33.57,33.82,7479100,33.82
2014-03-05,33.89,34.00,33.54,33.61,4804300,33.61
2014-03-04,33.76,34.10,33.52,33.87,5218700,33.87
2014-03-03,33.38,33.97,33.25,33.54,5809600,33.54
2014-02-28,33.40,33.80,33.23,33.50,8611300,33.50
2014-02-27,33.23,33.80,33.05,33.32,6219500,33.32
2014-02-26,33.95,34.04,33.66,33.77,4772900,33.77
2014-02-25,33.93,34.17,33.75,34.03,5386100,34.03
2014-02-24,33.49,34.33,33.48,33.89,6829800,33.89
2014-02-21,33.58,33.58,33.24,33.26,7255100,33.26
2014-02-20,33.34,33.70,33.27,33.48,4224700,33.48
2014-02-19,33.38,34.05,33.30,33.34,6136800,33.34
2014-02-18,33.28,33.60,33.11,33.54,7382400,33.54
2014-02-14,33.03,33.43,32.87,33.22,6096300,33.22
2014-02-13,33.02,33.42,32.72,33.27,6755900,33.08
2014-02-12,32.95,33.35,32.85,33.29,5202500,33.10
2014-02-11,32.35,32.90,32.30,32.70,6140400,32.51
2014-02-10,32.49,32.49,32.05,32.27,5862600,32.09
2014-02-07,31.90,32.83,31.68,32.60,8184400,32.41
2014-02-06,31.68,32.95,31.57,31.81,9408400,31.63
2014-02-05,32.35,32.42,31.59,32.10,6534500,31.92
2014-02-04,32.23,32.41,31.88,32.34,10932900,32.16
2014-02-03,32.78,32.85,31.97,32.06,8983000,31.88
2014-01-31,32.68,32.88,32.40,32.79,6707400,32.60
2014-01-30,33.18,33.36,32.92,33.04,2969400,32.85
2014-01-29,33.16,33.39,32.93,33.04,4636100,32.85
2014-01-28,32.97,33.44,32.94,33.36,3856900,33.17
2014-01-27,33.00,33.16,32.65,32.92,3429200,32.73
2014-01-24,33.51,33.53,32.97,33.00,4768300,32.81
2014-01-23,34.06,34.36,33.65,33.71,4603600,33.52
2014-01-22,34.36,34.49,34.14,34.40,4198800,34.20
2014-01-21,34.33,34.40,33.92,34.28,3846600,34.08
2014-01-17,34.34,34.40,33.95,33.96,3687400,33.77
2014-01-16,34.01,34.30,33.98,34.17,3725200,33.97
2014-01-15,34.56,34.70,34.00,34.01,6921000,33.82
2014-01-09,34.39,34.93,34.18,34.50,4373200,34.30
2014-01-08,34.72,34.75,34.08,34.40,5510000,34.20
2014-01-07,34.45,34.89,34.27,34.88,3868600,34.68
2014-01-06,34.62,34.78,34.40,34.43,4318400,34.23
2014-01-03,34.85,35.04,34.43,34.52,3491800,34.32
2014-01-02,35.25,35.33,34.72,34.91,3675600,34.71
2013-12-31,35.28,35.47,35.04,35.30,3072000,35.10
2013-12-30,35.70,35.77,34.98,35.20,3403700,35.00
2013-12-27,35.36,35.66,35.17,35.63,2558700,35.43
2013-12-26,35.34,35.36,35.17,35.28,1974000,35.08
2013-12-24,35.15,35.29,35.10,35.25,1806400,35.05
2013-12-23,35.36,35.59,35.15,35.18,3503100,34.98
2013-12-20,35.02,35.48,34.90,35.16,9070400,34.96
2013-12-19,34.47,35.00,34.42,34.91,8160900,34.71
2013-12-18,35.01,35.01,34.17,34.72,10090300,34.52
2013-12-17,35.52,35.57,34.83,34.85,6098200,34.65
2013-12-16,35.84,36.07,35.46,35.59,5292100,35.39
2013-12-13,36.15,36.24,35.74,35.80,5182500,35.60
2013-12-12,35.65,36.37,35.61,36.18,6731300,35.97
2013-12-11,36.47,36.47,35.48,35.69,9421400,35.49
2013-12-10,36.40,36.48,35.86,36.10,5759400,35.89
2013-12-09,36.55,36.77,35.99,36.41,5827100,36.20
2013-12-06,36.65,36.82,36.30,36.56,6198500,36.35
2013-12-05,36.68,36.73,36.01,36.31,6858800,36.10
2013-12-04,36.24,36.95,36.08,36.74,5978900,36.53
2013-12-03,36.41,36.53,36.10,36.22,5150500,36.01
2013-12-02,36.02,37.00,35.87,36.46,4867700,36.25
2013-11-29,36.25,36.69,36.02,36.04,2570000,35.83
2013-11-27,36.69,36.92,36.12,36.23,5136100,36.02
2013-11-26,37.02,37.23,36.78,36.78,4725300,36.57
2013-11-25,37.55,37.55,36.56,36.95,4905800,36.74
2013-11-22,38.05,38.09,37.42,37.61,4534900,37.40
2013-11-21,37.21,38.18,37.20,37.93,5761600,37.71
2013-11-20,37.19,37.54,37.08,37.26,5608500,37.05
2013-11-19,36.53,37.14,36.27,36.93,6106500,36.72
2013-11-18,36.16,37.15,36.16,36.51,6730800,36.30
2013-11-15,36.52,36.75,36.30,36.73,3929600,36.33
2013-11-14,36.19,36.53,36.05,36.43,4325200,36.03
2013-11-13,35.58,36.16,35.53,36.15,4378100,35.76
2013-11-12,36.06,36.32,35.70,35.82,5102200,35.43
2013-11-11,36.45,36.57,36.16,36.29,3278400,35.90
2013-11-08,35.75,36.42,35.75,36.39,5570400,36.00
2013-11-07,36.52,36.66,35.52,35.73,8826400,35.34
2013-11-06,35.95,36.54,35.95,36.45,7714000,36.05
2013-11-05,35.56,36.34,35.39,35.67,7771900,35.28
2013-11-04,35.36,35.56,34.96,35.50,6889600,35.11
2013-11-01,35.34,35.45,34.90,35.27,6002000,34.89
