Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,120.00,120.97,119.52,120.44,672700,120.44
2014-03-27,120.77,121.30,119.44,119.56,1052700,119.56
2014-03-26,121.60,122.13,120.92,120.98,679500,120.98
2014-03-25,121.47,121.76,120.42,121.17,628200,121.17
2014-03-24,121.39,122.55,120.43,121.05,825300,121.05
2014-03-21,121.84,123.04,120.86,121.13,1404100,121.13
2014-03-20,117.89,121.07,117.47,120.96,1175100,120.96
2014-03-19,118.04,119.35,117.41,118.27,761500,118.27
2014-03-18,118.21,118.38,117.42,118.02,485400,118.02
2014-03-17,117.85,118.29,117.12,117.71,576300,117.71
2014-03-14,117.01,118.18,116.92,117.43,658400,117.43
2014-03-13,118.86,119.00,116.88,117.30,700600,117.30
2014-03-12,117.71,118.44,117.21,118.36,566300,118.36
2014-03-11,119.38,119.50,117.33,118.19,901100,118.19
2014-03-10,119.06,119.93,119.00,119.35,590900,119.35
2014-03-07,119.94,120.66,118.71,119.38,968700,119.38
2014-03-06,117.73,119.30,117.73,118.91,730700,118.91
2014-03-05,117.65,117.74,116.92,117.36,687000,117.36
2014-03-04,116.39,117.98,116.39,117.84,702400,117.84
2014-03-03,115.45,115.96,114.77,115.68,532400,115.68
2014-02-28,115.74,117.72,115.62,116.59,813700,116.59
2014-02-27,115.01,115.68,113.99,115.68,791600,115.68
2014-02-26,114.69,116.27,113.81,115.72,658800,115.02
2014-02-25,114.69,115.04,113.99,114.49,750800,113.80
2014-02-24,113.39,115.55,113.05,114.90,724000,114.20
2014-02-21,112.39,113.75,112.23,113.51,770200,112.82
2014-02-20,112.45,113.10,111.30,112.43,710100,111.75
2014-02-19,113.92,114.24,112.13,112.24,942100,111.56
2014-02-18,114.31,114.70,113.52,113.73,384300,113.04
2014-02-14,113.44,114.13,113.44,114.06,343600,113.37
2014-02-13,112.59,113.54,111.70,113.36,822800,112.67
2014-02-12,113.88,114.79,112.87,113.19,942200,112.51
2014-02-11,112.91,114.26,112.40,113.99,565500,113.30
2014-02-10,112.86,113.35,112.19,112.94,537100,112.26
