Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,30.46,31.30,30.39,30.91,1113300,30.91
2014-03-27,30.64,30.89,30.14,30.28,1933600,30.28
2014-03-26,31.34,31.77,30.60,30.72,1488300,30.72
2014-03-25,31.08,31.47,30.91,31.17,1644200,31.17
2014-03-24,32.08,32.49,30.42,30.86,4270500,30.86
2014-03-21,32.20,32.80,32.15,32.57,2552200,32.57
2014-03-20,31.92,32.33,31.72,31.95,1223900,31.95
2014-03-19,32.54,32.74,31.79,32.05,1482100,32.05
2014-03-18,32.12,32.60,32.05,32.57,1704300,32.57
2014-03-17,31.40,32.22,31.40,31.98,2793700,31.98
2014-03-14,31.29,31.75,31.08,31.13,1842000,31.13
2014-03-13,31.50,31.83,30.63,31.43,3944200,31.43
2014-03-12,30.73,31.47,30.27,31.45,3012900,31.45
2014-03-11,30.65,32.06,30.65,31.05,4427600,31.05
2014-03-10,30.64,30.77,29.52,30.33,2199200,30.33
2014-03-07,30.83,31.11,30.43,30.73,2144000,30.73
2014-03-06,30.47,31.04,30.31,30.69,1683700,30.69
2014-03-05,31.37,31.64,30.36,30.44,3096900,30.44
2014-03-04,30.90,31.45,30.70,31.32,2336600,31.32
2014-03-03,30.49,30.69,30.01,30.47,1757000,30.47
2014-02-28,30.95,31.28,30.71,30.94,1716600,30.94
2014-02-27,30.79,31.15,30.25,30.98,1792000,30.98
2014-02-26,30.28,31.25,30.21,30.84,1940800,30.84
2014-02-25,30.46,30.48,29.94,30.15,2004400,30.15
2014-02-24,30.34,30.90,30.34,30.42,2817200,30.42
2014-02-21,30.61,30.66,30.06,30.43,3133300,30.43
2014-02-20,28.85,30.70,28.80,30.54,5091400,30.54
2014-02-19,29.33,29.53,28.90,29.07,2600300,29.07
2014-02-18,29.16,29.61,28.96,29.53,2786800,29.53
2014-02-14,28.84,29.25,28.58,29.07,2649100,29.07
2014-02-13,28.15,28.96,27.87,28.77,2550000,28.77
2014-02-12,27.94,29.11,27.82,28.36,3631300,28.36
2014-02-11,27.64,27.98,27.30,27.81,2522700,27.81
2014-02-10,27.80,27.95,27.29,27.62,2337300,27.62
2014-02-07,27.60,28.13,27.37,27.84,2390500,27.84
