Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,36.63,37.45,36.55,37.24,1666600,37.24
2014-03-27,36.31,36.58,35.92,36.53,1666500,36.53
2014-03-26,37.25,37.42,36.33,36.36,2406800,36.36
2014-03-25,36.75,37.10,36.56,36.90,1622200,36.90
2014-03-24,36.70,36.95,36.20,36.61,1723400,36.61
2014-03-21,36.67,36.82,36.45,36.65,3349500,36.65
2014-03-20,36.48,36.60,36.24,36.45,4203900,36.45
2014-03-19,36.68,37.11,36.22,36.55,1669900,36.55
2014-03-18,36.67,36.81,36.55,36.68,982700,36.68
2014-03-17,36.56,36.84,36.47,36.65,831800,36.65
2014-03-14,36.45,36.71,36.33,36.40,1913500,36.40
2014-03-13,37.56,37.69,36.46,36.50,1842900,36.50
2014-03-12,37.11,37.59,37.03,37.46,1023200,37.46
2014-03-11,37.62,37.70,37.17,37.29,1342500,37.29
2014-03-10,37.66,37.80,37.46,37.56,1260500,37.56
2014-03-07,37.71,37.96,37.51,37.76,875300,37.76
2014-03-06,37.69,37.86,37.52,37.63,803900,37.63
2014-03-05,37.60,37.66,37.37,37.60,684100,37.60
2014-03-04,37.76,37.94,37.39,37.66,1714500,37.66
2014-03-03,37.03,37.75,36.92,37.37,2143100,37.37
2014-02-28,36.51,37.56,36.37,37.43,2292400,37.43
2014-02-27,36.13,36.55,36.05,36.52,1359600,36.52
2014-02-26,35.65,36.30,35.65,36.21,1232200,36.21
2014-02-25,35.84,36.02,35.48,35.63,1116800,35.63
2014-02-24,35.70,36.16,35.62,35.89,1060300,35.89
2014-02-21,35.91,36.05,35.68,35.70,860900,35.70
2014-02-20,35.90,36.09,35.57,35.86,1181700,35.86
2014-02-19,36.03,36.56,35.77,35.81,897300,35.81
2014-02-18,36.27,36.37,36.16,36.20,855200,36.20
2014-02-14,36.22,36.37,36.07,36.23,872300,36.23
2014-02-13,35.81,36.36,35.81,36.23,794500,36.23
2014-02-12,35.92,36.30,35.81,36.11,852500,36.11
2014-02-11,35.65,35.98,35.60,35.84,1557100,35.84
2014-02-10,34.69,35.58,34.69,35.57,2573600,35.57
2014-02-07,34.93,35.14,34.57,34.84,1499900,34.84
2014-02-06,34.19,34.76,34.14,34.48,1059200,34.48
2014-02-05,34.00,34.27,33.59,34.15,1123000,34.15
2014-02-04,34.41,34.41,33.75,34.19,2194400,34.19
2014-02-03,36.07,36.22,34.97,35.11,1868300,33.86
2014-01-31,35.75,36.27,35.60,36.07,4386800,34.79
2014-01-30,36.00,36.35,35.75,36.18,2509300,34.89
2014-01-29,35.62,36.26,35.12,35.64,2464000,34.37
2014-01-28,36.44,37.10,35.73,35.85,2953500,34.57
2014-01-27,35.73,36.31,35.67,36.20,1433900,34.91
2014-01-24,36.73,36.81,35.72,35.77,1543800,34.50
2014-01-23,37.10,37.23,36.90,36.98,1102300,35.66
2014-01-22,37.62,37.68,37.29,37.42,698200,36.09
