Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,48.75,50.36,48.41,48.83,3944700,48.83
2014-03-27,47.72,49.35,47.72,48.58,4503100,48.58
2014-03-26,50.70,51.56,49.12,49.16,3789900,49.16
2014-03-25,50.57,51.50,49.76,50.71,5157400,50.71
2014-03-24,52.20,52.41,49.26,49.97,7758700,49.97
2014-03-21,53.49,53.49,52.03,52.14,10806400,52.14
2014-03-20,52.33,53.08,52.02,52.61,4510400,52.61
2014-03-19,54.03,54.16,52.94,53.30,2756100,53.30
2014-03-18,53.44,54.38,53.31,53.90,2687900,53.90
2014-03-17,52.97,54.22,52.86,53.52,4231700,53.52
2014-03-14,52.30,53.46,51.86,52.63,7393600,52.63
2014-03-13,53.10,53.61,51.87,52.02,4864100,52.02
2014-03-12,53.49,53.89,52.47,53.06,5248700,53.06
2014-03-11,53.47,54.18,53.22,53.99,4920100,53.99
2014-03-10,54.79,54.84,53.31,53.41,5608200,53.41
2014-03-07,54.78,55.16,53.70,54.86,5203900,54.86
2014-03-06,56.35,56.35,53.65,54.54,6510600,54.54
2014-03-05,57.06,57.41,55.50,55.84,4971700,55.84
2014-03-04,56.15,57.52,56.11,57.20,4825800,57.20
2014-03-03,54.77,55.80,54.52,55.52,3234200,55.52
2014-02-28,56.02,56.92,54.88,55.57,6043400,55.57
2014-02-27,54.14,57.07,53.64,56.27,12890100,56.27
2014-02-26,51.17,52.23,51.02,51.42,6904700,51.42
2014-02-25,51.00,51.93,50.30,51.33,4037200,51.33
2014-02-24,52.00,52.10,50.65,51.05,6253300,51.05
2014-02-21,52.40,52.40,51.26,51.92,4695800,51.92
2014-02-20,50.98,52.44,50.55,52.26,8810100,52.26
2014-02-19,48.31,51.20,48.27,51.15,12673800,51.15
2014-02-18,48.01,50.46,47.22,48.30,7479400,48.30
2014-02-14,45.98,46.48,45.78,46.10,2314000,46.10
2014-02-13,45.26,46.32,45.00,46.19,3027500,46.19
2014-02-12,45.43,45.74,45.21,45.65,2142400,45.65
2014-02-11,44.92,45.81,44.54,45.49,3574600,45.49
2014-02-10,44.97,45.44,44.37,44.84,3463100,44.84
2014-02-07,43.65,45.15,43.50,45.08,3008000,45.08
2014-02-06,43.44,43.93,43.04,43.49,2405700,43.49
2014-02-05,43.55,43.68,42.43,43.44,5018000,43.44
