Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,69.37,71.32,69.20,71.14,2952900,71.14
2014-03-27,67.80,69.49,67.36,69.03,2148200,69.03
2014-03-26,67.96,68.68,67.45,67.68,1357700,67.68
2014-03-25,67.25,67.89,67.02,67.62,1335700,67.62
2014-03-24,67.38,67.69,66.25,66.78,1068900,66.78
2014-03-21,67.34,67.71,66.55,67.12,2075400,67.12
2014-03-20,65.78,66.91,65.37,66.83,1227400,66.83
2014-03-19,67.34,67.38,65.70,65.96,2064300,65.96
2014-03-18,66.74,67.60,66.46,67.40,1294600,67.40
2014-03-17,66.80,67.19,66.38,66.65,1116900,66.65
2014-03-14,66.75,67.09,66.25,66.64,2384500,66.64
2014-03-13,68.38,68.38,66.68,66.94,1502800,66.94
2014-03-12,67.84,68.26,67.00,68.20,1292800,68.20
2014-03-11,68.97,69.87,68.18,68.35,2543300,68.35
2014-03-10,69.20,69.20,68.63,69.07,1439100,69.07
2014-03-07,69.04,69.25,68.50,69.23,1321800,69.23
2014-03-06,68.02,68.99,67.75,68.78,1426100,68.78
2014-03-05,69.16,69.19,67.88,68.14,1560300,68.14
2014-03-04,68.82,69.22,68.14,69.02,1598000,69.02
2014-03-03,68.48,69.70,67.86,67.97,1878700,67.97
2014-02-28,68.07,69.10,67.93,68.76,2200300,68.76
2014-02-27,68.31,68.58,67.61,67.94,2285700,67.94
2014-02-26,68.72,69.58,68.22,68.49,2398600,68.49
2014-02-25,69.15,69.38,68.25,68.78,2326800,68.78
2014-02-24,67.18,70.50,67.18,69.33,3729500,69.33
2014-02-21,67.53,67.57,66.79,66.86,2117900,66.86
2014-02-20,66.20,67.42,66.09,67.12,2835600,67.12
2014-02-19,66.08,67.42,66.08,66.60,3994200,66.60
2014-02-18,66.34,66.91,66.15,66.55,2646500,66.55
2014-02-14,66.41,66.75,65.76,66.36,2069500,66.36
2014-02-13,65.77,66.97,65.60,66.45,2303100,66.45
2014-02-12,66.68,66.90,66.07,66.54,2005600,66.54
2014-02-11,66.75,66.78,66.12,66.33,3814300,66.33
2014-02-10,66.08,66.76,65.02,66.65,4255900,66.65
2014-02-07,63.42,66.44,63.42,66.20,5992300,66.20
2014-02-06,60.75,62.81,60.14,62.61,7679400,62.61
2014-02-05,62.38,62.50,61.10,61.19,2700700,61.05
2014-02-04,62.17,63.05,61.85,62.34,2753900,62.20
2014-02-03,62.42,63.34,61.70,61.79,2684300,61.65
2014-01-31,61.97,63.01,61.79,62.33,2496100,62.19
2014-01-30,63.54,63.70,62.86,62.98,1645200,62.84
2014-01-29,62.62,63.92,62.19,63.25,2592100,63.11
2014-01-28,62.85,63.66,62.38,63.31,2001800,63.17
2014-01-27,62.88,63.06,61.75,62.14,2238200,62.00
2014-01-24,64.67,64.70,62.80,62.97,3256500,62.83
2014-01-23,65.20,65.44,64.80,65.11,3224000,64.96
2014-01-22,64.74,65.89,64.43,65.68,2383900,65.53
2014-01-21,64.18,64.50,63.12,64.07,2342400,63.92
2014-01-17,64.66,64.98,63.86,63.90,1874300,63.75
2014-01-16,64.25,64.99,64.05,64.66,1506400,64.51
2014-01-15,64.26,64.80,64.18,64.45,1556400,64.30
2014-01-14,63.39,64.79,63.32,64.36,2240500,64.21
2014-01-09,66.39,66.86,64.43,65.35,2735700,65.20
2014-01-08,66.04,66.56,65.28,65.71,1957100,65.56
