Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,24.54,24.99,24.36,24.78,5410400,24.78
2014-03-27,24.10,24.68,23.96,24.43,5962400,24.43
2014-03-26,25.00,25.06,23.99,24.03,7706900,24.03
2014-03-25,24.13,24.97,24.00,24.86,8053000,24.86
2014-03-24,23.38,24.21,23.38,24.04,7078600,24.04
2014-03-21,23.75,24.03,23.51,23.57,8270100,23.57
2014-03-20,23.41,23.83,23.31,23.51,4158000,23.51
2014-03-19,23.23,23.71,23.12,23.50,4917800,23.50
2014-03-18,22.93,23.20,22.65,23.17,4057100,23.17
2014-03-17,22.26,22.65,22.26,22.56,4375600,22.56
2014-03-14,21.76,22.06,21.69,22.00,3469100,22.00
2014-03-13,22.39,22.47,21.67,21.81,5791500,21.81
2014-03-12,22.22,22.46,21.88,22.31,4055500,22.31
2014-03-11,22.83,23.07,22.25,22.38,4775900,22.38
2014-03-10,23.11,23.18,22.51,22.72,3716600,22.72
2014-03-07,23.11,23.19,22.63,23.09,3187900,23.09
2014-03-06,23.00,23.16,22.74,23.09,2546800,23.09
2014-03-05,23.13,23.26,22.78,22.95,3224200,22.91
2014-03-04,23.05,23.34,22.93,23.19,4251600,23.15
2014-03-03,22.86,23.40,22.62,22.89,4866600,22.85
2014-02-28,22.58,23.18,22.32,23.02,5461100,22.98
2014-02-27,22.33,22.54,21.96,22.53,3775600,22.49
2014-02-26,22.68,22.85,22.15,22.32,6248600,22.28
2014-02-25,22.18,22.70,21.83,22.66,6815100,22.62
2014-02-24,22.12,22.96,22.11,22.18,7889800,22.14
2014-02-21,22.01,22.15,21.63,22.00,6787300,21.96
2014-02-20,21.59,22.77,21.53,21.96,18203200,21.92
2014-02-19,19.23,21.27,19.11,21.15,17241300,21.11
2014-02-18,18.20,18.72,18.05,18.66,7487000,18.63
2014-02-14,18.28,18.36,17.98,18.09,4093400,18.06
2014-02-13,17.81,18.34,17.68,18.14,4054000,18.11
2014-02-12,18.36,18.36,17.93,17.98,4095300,17.95
2014-02-11,17.56,18.42,17.56,18.30,4838000,18.27
2014-02-10,17.43,17.75,17.21,17.56,4796700,17.53
2014-02-07,17.61,17.70,17.14,17.39,7072100,17.36
2014-02-06,16.62,17.55,16.59,17.49,7376200,17.46
2014-02-05,16.78,16.86,16.53,16.59,2696500,16.56
2014-02-04,16.64,16.88,16.54,16.84,2962900,16.81
2014-02-03,17.11,17.17,16.54,16.59,3269400,16.56
2014-01-31,16.92,17.31,16.82,17.08,3112800,17.05
2014-01-30,17.16,17.26,16.93,17.14,5441000,17.11
2014-01-29,16.90,17.27,16.68,16.99,4798300,16.96
2014-01-28,17.01,17.21,16.94,17.13,2561400,17.10
2014-01-27,17.10,17.15,16.60,17.03,3192200,17.00
2014-01-24,17.35,17.36,16.82,17.04,3939600,17.01
2014-01-23,17.33,17.45,17.14,17.44,4274700,17.41
2014-01-22,17.47,17.54,17.20,17.42,2024400,17.39
2014-01-21,17.46,17.69,17.24,17.39,3008500,17.36
2014-01-17,17.23,17.41,17.05,17.28,4195300,17.25
2014-01-16,17.04,17.21,16.86,17.19,2735800,17.16
2014-01-09,16.68,16.74,16.43,16.64,4388400,16.61
2014-01-08,16.74,16.88,16.63,16.69,3756400,16.66
2014-01-07,16.51,16.78,16.44,16.64,5663400,16.61
2014-01-06,16.88,16.99,16.69,16.95,3861200,16.92
2014-01-03,16.89,17.07,16.76,16.81,3076400,16.78
2014-01-02,16.92,17.13,16.80,16.91,4536900,16.88
2013-12-31,16.85,17.05,16.78,16.99,2647600,16.96
2013-12-30,16.83,16.96,16.78,16.87,3287100,16.84
2013-12-27,16.45,16.92,16.41,16.84,3459300,16.81
2013-12-26,16.38,16.47,16.30,16.39,1525300,16.36
2013-12-24,16.23,16.50,16.21,16.48,918000,16.45
2013-12-23,16.35,16.48,16.23,16.24,2390800,16.21
2013-12-20,16.21,16.41,16.15,16.26,4827700,16.23
2013-12-19,15.84,16.17,15.73,16.15,3697500,16.12
2013-12-18,15.81,15.98,15.66,15.92,3168400,15.89
2013-12-17,15.79,15.87,15.63,15.77,3196800,15.74
2013-12-16,15.71,15.95,15.68,15.80,4086800,15.77
2013-12-13,15.55,15.77,15.32,15.72,3786200,15.69
2013-12-12,15.44,15.73,15.43,15.53,3881100,15.50
2013-12-11,15.82,15.87,15.41,15.45,3307400,15.42
2013-12-10,15.96,16.20,15.83,15.83,4047700,15.80
2013-12-09,15.72,15.96,15.65,15.93,3488600,15.90
2013-12-06,16.33,16.40,15.63,15.75,5240500,15.72
2013-12-05,16.84,16.84,16.09,16.13,5836800,16.06
2013-12-04,16.72,16.87,16.48,16.82,4037300,16.75
2013-12-03,16.52,16.89,16.42,16.78,3333500,16.71
2013-12-02,16.63,16.84,16.36,16.60,2991600,16.53
2013-11-29,16.62,16.76,16.45,16.55,1342800,16.48
2013-11-27,16.75,16.78,16.53,16.65,2058400,16.58
2013-11-26,16.84,16.94,16.70,16.87,1736600,16.80
2013-11-25,17.16,17.20,16.79,16.81,1886100,16.74
2013-11-22,17.32,17.39,17.10,17.21,1368900,17.14
2013-11-21,17.33,17.39,17.23,17.34,1422000,17.27
2013-11-20,17.27,17.40,17.14,17.22,1786900,17.15
2013-11-19,17.23,17.39,17.09,17.24,2634500,17.17
