Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,32.18,32.47,32.01,32.47,2697600,32.47
2014-03-27,31.82,32.42,31.76,32.03,2910100,32.03
2014-03-26,31.86,32.42,31.74,31.75,4243400,31.75
2014-03-25,31.56,31.76,31.23,31.72,3954500,31.72
2014-03-24,31.70,31.89,31.22,31.34,4643900,31.34
2014-03-21,31.31,31.62,31.15,31.62,5864300,31.62
2014-03-20,29.89,31.08,29.84,31.07,5413300,31.07
2014-03-19,29.65,30.37,29.64,29.94,4374800,29.94
2014-03-18,29.37,29.92,29.31,29.63,4017200,29.63
2014-03-17,29.12,29.34,28.89,29.17,3398400,29.17
2014-03-14,28.99,29.27,28.67,29.08,5043700,29.08
2014-03-13,30.42,30.49,28.76,28.98,7846100,28.98
2014-03-12,30.72,30.83,30.02,30.36,3169000,30.36
2014-03-11,31.33,31.69,30.85,30.97,2484200,30.97
2014-03-10,31.55,31.56,31.10,31.28,2660400,31.28
2014-03-07,31.68,31.80,31.35,31.68,2404300,31.68
2014-03-06,31.47,31.70,31.29,31.64,2614400,31.64
2014-03-05,30.93,31.50,30.92,31.50,2603300,31.50
2014-03-04,31.39,31.39,30.87,31.03,2959400,31.03
2014-03-03,30.94,31.41,30.89,31.04,2719300,31.04
2014-02-28,31.31,31.38,30.82,31.05,3937900,31.05
2014-02-27,31.21,31.30,30.70,31.19,2976300,31.19
2014-02-26,31.25,31.33,30.96,31.08,2383600,31.08
2014-02-25,31.50,31.51,30.89,31.30,3923800,31.30
2014-02-24,31.33,31.92,31.32,31.65,2986100,31.65
2014-02-21,31.34,31.54,31.14,31.16,2770900,31.16
2014-02-20,31.19,31.44,31.06,31.28,2103200,31.28
2014-02-19,30.96,31.63,30.96,31.20,3035900,31.20
2014-02-18,31.21,31.38,30.17,31.05,3748700,31.05
2014-02-14,31.49,31.55,31.13,31.16,1914100,31.16
2014-02-13,31.15,31.44,30.93,31.40,2412200,31.40
2014-02-12,31.58,31.83,31.25,31.26,3827000,31.26
2014-02-11,30.59,31.60,30.56,31.44,3346900,31.44
2014-02-10,30.71,31.09,30.43,30.62,3864600,30.62
2014-02-07,30.69,30.77,30.23,30.70,3799600,30.70
2014-02-06,30.17,30.68,30.04,30.56,4855600,30.56
2014-02-05,30.96,31.05,30.44,30.49,4222500,30.11
2014-02-04,31.04,31.25,30.81,31.11,3455100,30.73
2014-02-03,30.88,31.08,30.31,30.92,5570200,30.54
2014-01-31,31.48,31.50,30.99,31.03,6636700,30.65
2014-01-30,32.05,32.16,31.37,31.64,6443200,31.25
2014-01-29,31.99,32.09,31.65,31.66,6017400,31.27
2014-01-28,32.47,32.68,32.03,32.25,5704800,31.85
2014-01-27,32.87,33.16,32.35,32.60,4504900,32.20
2014-01-24,32.75,33.11,32.44,32.94,6430400,32.53
2014-01-23,34.96,35.36,32.60,33.13,17228300,32.72
2014-01-09,36.27,36.57,36.02,36.51,3477100,36.06
2014-01-08,36.44,36.63,35.92,36.23,3408500,35.78
2014-01-07,36.91,37.06,36.46,36.93,2196600,36.48
2014-01-06,36.90,37.04,36.61,36.94,2932900,36.49
2014-01-03,36.78,37.02,36.57,36.72,1724600,36.27
2014-01-02,37.11,37.57,36.57,36.63,2649900,36.18
2013-12-31,36.67,37.49,36.57,37.47,2024400,37.01
2013-12-30,36.93,37.27,36.41,36.50,1974600,36.05
2013-12-27,36.60,37.05,36.51,36.97,1742800,36.52
2013-12-26,36.89,37.00,36.47,36.54,1465000,36.09
2013-12-24,36.21,36.93,36.11,36.70,1919400,36.25
2013-12-23,36.51,36.69,36.08,36.11,2448200,35.67
2013-12-20,36.20,36.81,36.15,36.32,5517700,35.87
2013-12-19,36.76,36.86,36.23,36.50,3353500,36.05
2013-12-18,36.77,36.89,35.87,36.69,6185600,36.24
2013-12-17,37.01,37.14,36.46,36.90,2801000,36.45
2013-12-16,36.70,37.16,36.57,37.08,3676700,36.62
2013-12-13,37.03,37.23,36.28,36.55,3399000,36.10
2013-12-12,36.77,37.17,36.52,37.04,3434200,36.58
2013-12-11,37.88,37.96,36.81,36.91,3910600,36.46
2013-12-10,38.13,38.27,37.85,37.95,1841700,37.48
2013-12-09,37.85,38.39,37.74,38.21,1869900,37.74
2013-12-06,38.01,38.11,37.59,37.85,2263400,37.38
2013-12-05,38.16,38.22,37.65,37.69,2917900,37.23
2013-12-04,38.42,38.67,37.95,38.36,2307000,37.89
2013-12-03,37.94,38.56,37.92,38.48,2241200,38.01
2013-12-02,38.16,38.71,38.09,38.21,2567300,37.74
2013-11-29,38.21,38.51,38.05,38.12,735100,37.65
2013-11-27,38.39,38.49,37.93,38.25,2217600,37.78
2013-11-26,37.83,38.55,37.64,38.53,4368400,38.06
2013-11-25,39.39,39.51,37.85,37.94,4620200,37.47
2013-11-22,39.40,39.67,38.87,39.56,3216800,39.07
2013-11-21,39.28,39.43,39.01,39.40,3631200,38.92
