Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,35.35,35.46,35.17,35.35,1783900,35.35
2014-03-27,35.00,35.41,34.91,35.36,1307500,35.36
2014-03-26,35.03,35.33,34.99,35.00,1669300,35.00
2014-03-25,35.11,35.21,34.88,34.99,1122400,34.99
2014-03-24,35.14,35.36,34.85,35.05,1137100,35.05
2014-03-21,35.26,35.53,35.03,35.07,3209800,35.07
2014-03-20,34.89,34.97,34.60,34.90,2089900,34.90
2014-03-19,35.70,35.80,34.92,35.11,1905300,35.11
2014-03-18,35.42,35.83,35.36,35.65,1610100,35.65
2014-03-17,35.36,35.58,35.20,35.49,1344700,35.49
2014-03-14,35.11,35.43,34.98,35.31,2356800,35.31
2014-03-13,34.74,35.13,34.65,35.12,2382500,35.12
2014-03-12,34.23,34.73,34.19,34.70,1366800,34.70
2014-03-11,34.49,34.51,33.95,34.19,2149800,34.19
2014-03-10,34.63,34.79,34.38,34.47,1390400,34.47
2014-03-07,34.41,34.76,34.14,34.72,1870700,34.72
2014-03-06,34.75,34.85,34.42,34.45,2320800,34.45
2014-03-05,35.04,35.04,34.63,34.68,1706200,34.68
2014-03-04,34.85,35.11,34.83,35.03,2275600,35.03
2014-03-03,34.62,34.72,34.45,34.55,1597900,34.55
2014-02-28,34.89,35.15,34.72,34.82,2161300,34.82
2014-02-27,34.80,35.27,34.76,34.80,2951200,34.80
2014-02-26,35.47,35.57,34.88,34.93,1752900,34.93
2014-02-25,35.49,35.71,35.31,35.39,1320900,35.39
2014-02-24,35.48,35.67,35.36,35.44,1918400,35.44
2014-02-21,35.39,35.53,35.24,35.40,2377800,35.40
2014-02-20,35.40,35.61,35.23,35.31,2614100,35.31
2014-02-19,35.33,35.88,35.26,35.40,2258900,35.40
2014-02-18,35.96,36.82,35.29,35.30,3321600,35.30
2014-02-14,34.74,35.17,34.48,35.17,2738700,35.17
2014-02-13,34.47,34.93,34.40,34.77,2397300,34.77
2014-02-12,34.54,34.79,34.47,34.65,1682600,34.65
2014-02-11,34.49,34.81,34.35,34.67,1524100,34.67
2014-02-10,33.95,34.56,33.69,34.53,1864200,34.53
2014-02-07,33.84,34.15,33.83,34.01,1673400,34.01
2014-02-06,33.49,33.84,33.40,33.76,1657300,33.76
2014-02-05,33.61,33.83,33.25,33.75,1927800,33.50
2014-02-04,34.07,34.17,33.57,33.74,2241600,33.49
2014-02-03,34.35,34.74,33.77,33.95,2741000,33.70
2014-01-31,33.89,34.60,33.84,34.37,2814700,34.12
2014-01-30,34.02,34.44,34.02,34.26,1921700,34.01
2014-01-29,34.06,34.20,33.74,33.89,1868700,33.64
2014-01-28,33.70,34.19,33.62,34.18,1333000,33.93
2014-01-27,33.59,33.78,33.45,33.67,1812400,33.42
2014-01-24,34.06,34.10,33.58,33.59,2723000,33.34
2014-01-23,34.16,34.36,33.97,34.23,1703700,33.98
2014-01-22,34.35,34.68,34.29,34.32,2064700,34.07
2014-01-21,34.18,34.39,34.07,34.32,1490500,34.07
2014-01-17,33.83,34.11,33.67,33.89,2172700,33.64
2014-01-16,33.35,33.81,33.30,33.81,1911200,33.56
2014-01-15,33.44,33.56,33.09,33.35,1908800,33.10
2014-01-09,32.95,33.17,32.81,33.09,1874400,32.84
2014-01-08,32.97,33.11,32.75,32.90,2622500,32.66
2014-01-07,33.00,33.30,32.93,33.06,4301800,32.82
2014-01-06,32.49,33.31,32.39,32.95,3988200,32.71
2014-01-03,32.35,32.57,32.17,32.46,1745600,32.22
2014-01-02,32.84,32.91,32.11,32.29,2244800,32.05
2013-12-31,32.72,32.95,32.68,32.88,1363600,32.64
2013-12-30,32.68,32.94,32.53,32.64,1678900,32.40
2013-12-27,32.59,33.03,32.53,32.64,1853300,32.40
2013-12-26,32.77,32.83,32.43,32.47,1706100,32.23
2013-12-24,32.59,32.78,32.32,32.76,896500,32.52
2013-12-23,33.19,33.19,32.39,32.57,3037100,32.33
2013-12-20,32.02,33.48,31.84,32.86,10840900,32.62
2013-12-19,31.47,31.56,31.10,31.50,2123700,31.27
2013-12-18,31.19,31.69,30.71,31.61,2129700,31.38
2013-12-17,31.07,31.19,30.91,31.06,1972400,30.83
2013-12-16,31.02,31.27,30.96,31.08,1483600,30.85
2013-12-13,31.00,31.08,30.83,30.94,1444200,30.71
2013-12-12,30.79,31.23,30.70,30.98,1959200,30.75
2013-12-11,31.21,31.21,30.73,30.80,1525300,30.57
2013-12-10,31.44,31.47,31.02,31.09,1676600,30.86
2013-12-09,31.60,31.70,31.38,31.46,1868900,31.23
2013-12-06,31.45,31.69,31.34,31.56,1871300,31.33
2013-12-05,31.69,31.88,31.29,31.31,3226400,31.08
2013-12-04,31.56,31.80,31.31,31.77,3161400,31.53
2013-12-03,31.46,31.82,31.40,31.66,2319100,31.43
2013-12-02,31.60,31.73,31.32,31.58,1626700,31.35
2013-11-29,31.65,31.78,31.58,31.62,791400,31.39
2013-11-27,31.76,31.90,31.55,31.67,2782400,31.44
2013-11-26,31.86,31.97,31.59,31.76,2678900,31.52
2013-11-25,31.88,32.08,31.73,31.88,2262300,31.64
2013-11-22,31.48,32.07,31.40,31.86,2118100,31.62
2013-11-21,31.65,31.66,31.37,31.48,2164000,31.25
2013-11-20,32.02,32.18,31.53,31.58,1612600,31.35
2013-11-19,32.17,32.30,31.90,32.03,883200,31.79
2013-11-18,32.41,32.60,32.10,32.23,1356200,31.99
2013-11-15,32.26,32.47,32.10,32.45,2332900,32.21
2013-11-14,31.63,32.21,31.63,32.16,2445600,31.92
2013-11-13,30.82,31.53,30.65,31.50,4067100,31.27
2013-11-12,31.18,31.27,30.79,30.96,1628000,30.73
2013-11-11,31.39,31.43,31.09,31.31,1611300,31.08
2013-11-08,31.31,31.37,30.72,31.32,2097300,31.09
2013-11-07,31.87,32.06,31.33,31.42,1876800,31.19
2013-11-06,31.66,31.89,31.57,31.88,1778000,31.64
2013-11-05,31.60,31.91,31.46,31.58,2623600,31.35
2013-11-04,31.80,31.82,31.39,31.69,1334100,31.46
2013-11-01,31.54,31.86,31.48,31.72,1738800,31.49
2013-10-31,31.65,31.92,31.11,31.52,2527400,31.29
2013-10-30,31.95,32.21,31.67,31.70,2571500,31.47
2013-10-29,32.03,32.10,31.71,31.95,2622800,31.71
2013-10-28,32.35,32.47,31.95,32.03,2767600,31.54
2013-10-25,32.10,32.33,31.86,32.32,1750300,31.83
2013-10-24,32.20,32.26,31.91,32.13,1658300,31.64
2013-10-23,32.15,32.52,31.95,32.16,2412900,31.67
2013-10-22,31.67,32.39,31.61,32.22,2738200,31.73
2013-10-21,31.62,31.72,31.42,31.56,1771900,31.08
2013-10-18,31.42,31.84,31.34,31.68,1731200,31.20
2013-10-17,30.79,31.36,30.70,31.31,1610400,30.84
2013-10-16,30.51,30.90,30.49,30.88,2315200,30.41
2013-10-15,30.70,30.89,30.28,30.37,1294700,29.91
2013-10-14,30.70,30.82,30.19,30.82,1548600,30.35
2013-10-11,30.63,30.85,30.61,30.79,1549000,30.32
2013-10-10,30.36,30.72,30.17,30.71,1963400,30.24
2013-10-09,30.22,30.65,30.09,30.16,1887400,29.70
2013-10-08,30.24,30.60,30.14,30.21,1333800,29.75
2013-10-07,30.41,30.56,30.20,30.30,1778400,29.84
2013-10-04,30.49,30.67,30.47,30.59,1124700,30.13
2013-10-03,30.74,30.74,30.32,30.51,2048600,30.05
2013-10-02,30.88,30.96,30.58,30.91,1928500,30.44
2013-10-01,30.89,31.24,30.73,31.00,1772100,30.53
2013-09-30,30.47,30.89,30.46,30.89,2423500,30.42
2013-09-27,30.55,30.79,30.44,30.67,1731500,30.21
2013-09-26,30.67,30.80,30.53,30.66,1494600,30.20
2013-09-25,30.94,31.09,30.64,30.66,1571800,30.20
2013-09-24,30.86,30.98,30.74,30.84,1862700,30.37
2013-09-23,30.30,30.96,30.17,30.83,1709300,30.36
2013-09-20,30.55,30.59,30.16,30.38,3968200,29.92
2013-09-19,30.88,31.03,30.41,30.55,3322400,30.09
2013-09-18,30.29,30.79,30.15,30.79,3931900,30.32
2013-09-17,30.14,30.28,29.99,30.25,2824300,29.79
2013-09-16,30.32,30.51,30.08,30.15,2115800,29.69
2013-09-13,29.75,30.03,29.63,29.95,1535900,29.50
2013-09-12,29.67,30.07,29.60,29.61,2583800,29.16
2013-09-11,29.80,29.80,29.30,29.59,2893700,29.14
2013-09-10,29.40,29.79,29.30,29.79,1804400,29.34
2013-09-09,29.10,29.32,28.97,29.28,1578000,28.84
2013-09-06,29.11,29.31,29.00,29.11,2666800,28.67
2013-09-05,29.15,29.19,28.90,29.01,1978500,28.57
2013-09-04,29.14,29.20,28.85,29.17,3185000,28.73
2013-09-03,29.47,29.70,28.97,29.13,2919800,28.69
2013-08-30,29.22,29.31,29.01,29.26,1489800,28.82
2013-08-29,29.23,29.30,29.07,29.17,1396000,28.73
2013-08-28,29.50,29.60,29.18,29.31,2096800,28.87
2013-08-27,29.21,29.65,29.20,29.41,1968600,28.96
2013-08-26,29.61,29.69,29.36,29.38,1003700,28.93
2013-08-23,29.42,29.66,29.25,29.63,1056700,29.18
2013-08-22,29.32,29.47,29.20,29.38,1274900,28.93
2013-08-21,29.60,29.60,28.99,29.30,2050400,28.86
2013-08-20,29.55,29.99,29.46,29.63,1338900,29.18
2013-08-19,29.79,29.90,29.39,29.51,1961500,29.06
2013-08-16,30.05,30.08,29.65,29.81,2174600,29.36
2013-08-15,30.51,30.65,30.02,30.14,1571500,29.68
2013-08-14,30.71,30.80,30.68,30.79,1839500,30.32
2013-08-13,30.64,30.86,30.55,30.81,2091400,30.34
2013-08-12,30.50,30.66,30.37,30.66,972900,30.20
2013-08-09,30.76,30.82,30.48,30.67,1180000,30.21
2013-08-08,30.69,30.99,30.65,30.76,1299900,30.29
2013-08-07,30.31,30.79,30.27,30.59,1846600,30.13
2013-08-06,30.80,30.84,30.33,30.41,1537000,29.95
2013-08-05,31.06,31.16,30.83,30.86,1076900,30.39
2013-08-02,31.11,31.26,30.96,31.09,1485800,30.62
2013-08-01,30.99,31.13,30.80,31.11,1766400,30.64
2013-07-31,30.74,31.16,30.42,30.72,2205600,30.25
2013-07-30,30.95,31.06,30.68,30.85,1635000,30.38
2013-07-29,31.04,31.22,30.76,30.81,1731000,30.34
2013-07-26,31.33,31.48,31.02,31.43,2093100,30.71
2013-07-25,30.51,31.46,30.51,31.44,3276000,30.72
2013-07-24,31.17,31.22,30.57,30.59,2145700,29.89
2013-07-23,31.08,31.36,31.03,31.15,1331200,30.43
2013-07-22,30.99,31.22,30.94,31.03,703300,30.32
2013-07-19,31.03,31.20,30.93,30.99,1054800,30.28
2013-07-18,30.79,30.99,30.71,30.94,857100,30.23
2013-07-17,30.78,30.91,30.58,30.73,742900,30.02
2013-07-16,30.72,30.90,30.47,30.64,1186000,29.94
2013-07-15,30.22,30.75,30.04,30.73,1440800,30.02
2013-07-12,30.09,30.33,29.98,30.29,1022400,29.59
2013-07-11,30.13,30.29,29.90,30.14,1655100,29.45
2013-07-10,29.69,29.90,29.58,29.89,1908500,29.20
2013-07-09,29.41,29.74,29.39,29.71,1814200,29.03
2013-07-08,28.73,29.32,28.67,29.24,1423800,28.57
2013-07-05,28.64,28.70,28.27,28.62,1336200,27.96
2013-07-03,28.52,28.77,28.44,28.62,1017900,27.96
2013-07-02,28.47,28.84,28.44,28.70,2124500,28.04
2013-07-01,28.62,28.91,28.37,28.54,2070800,27.88
2013-06-28,28.44,28.81,28.15,28.64,1987600,27.98
2013-06-27,28.24,28.56,28.17,28.43,1627000,27.78
2013-06-26,28.05,28.18,27.83,28.10,1970400,27.45
2013-06-25,27.78,27.94,27.54,27.86,1910800,27.22
2013-06-24,27.81,27.96,27.40,27.69,2047700,27.05
2013-06-21,27.80,28.17,27.11,28.06,2850100,27.41
2013-06-20,28.48,28.48,27.56,27.62,2392200,26.99
2013-06-19,29.30,29.52,28.68,28.68,1354800,28.02
2013-06-18,29.19,29.46,29.06,29.38,1045700,28.70
2013-06-17,29.23,29.37,28.97,29.17,1734400,28.50
2013-06-14,28.79,29.35,28.70,29.11,2260900,28.44
2013-06-13,28.11,28.85,28.03,28.81,2127700,28.15
2013-06-12,28.60,28.60,28.03,28.14,2124700,27.49
2013-06-11,28.24,28.48,28.13,28.17,1388100,27.52
2013-06-10,28.57,28.61,28.12,28.43,1405500,27.78
2013-06-07,28.39,28.65,28.15,28.53,1639700,27.87
2013-06-06,28.00,28.38,27.82,28.38,1996300,27.73
2013-06-05,28.21,28.23,27.96,27.99,1406000,27.35
2013-06-04,28.65,28.69,28.13,28.27,2087200,27.62
2013-06-03,28.72,28.92,28.26,28.70,1786500,28.04
2013-05-31,28.65,29.15,28.63,28.73,2122700,28.07
2013-05-30,28.58,29.09,28.58,28.77,1641400,28.11
2013-05-29,28.69,28.71,28.33,28.50,2305700,27.84
2013-05-28,28.94,29.28,28.68,28.87,1982100,28.21
2013-05-24,28.69,28.78,28.41,28.77,1618900,28.11
2013-05-23,28.73,28.96,28.44,28.81,3409300,28.15
2013-05-22,29.56,29.72,28.88,29.02,2248200,28.35
2013-05-21,29.58,29.74,29.43,29.60,2882300,28.92
2013-05-20,29.77,29.88,29.57,29.63,2129700,28.95
2013-05-17,29.54,29.79,29.47,29.78,1875700,29.10
2013-05-16,29.66,29.73,29.43,29.51,2697100,28.83
2013-05-15,29.06,30.24,29.06,29.65,4339400,28.97
2013-05-14,28.73,29.20,28.68,29.09,4628200,28.42
2013-05-13,28.67,28.89,28.55,28.77,2900400,28.11
2013-05-10,28.90,28.95,28.53,28.74,3692800,28.08
2013-05-09,29.84,29.92,28.77,28.85,3933600,28.19
2013-05-08,30.20,30.25,29.77,29.84,1479100,29.15
2013-05-07,30.19,30.33,30.09,30.19,1885100,29.50
2013-05-06,30.54,30.55,30.08,30.18,1645500,29.49
2013-05-03,30.72,30.85,30.43,30.53,2418100,29.83
2013-05-02,30.65,30.77,30.44,30.57,1580800,29.87
