Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,120.49,122.59,120.42,121.81,946300,121.81
2014-03-27,121.14,121.27,119.68,119.94,1456100,119.94
2014-03-26,122.34,123.48,121.64,121.66,1089400,121.66
2014-03-25,121.81,122.41,121.31,122.13,1053200,122.13
2014-03-24,122.06,122.37,119.92,121.02,1173300,121.02
2014-03-21,123.40,123.55,121.45,121.88,3311500,121.88
2014-03-20,122.74,123.60,122.12,122.34,1162600,122.34
2014-03-19,124.34,125.36,122.12,122.88,1674500,122.88
2014-03-18,122.97,124.06,122.90,123.99,928000,123.99
2014-03-17,121.78,122.66,121.11,122.51,1359800,122.51
2014-03-14,120.90,122.57,120.70,121.44,1401600,121.44
2014-03-13,122.56,124.15,120.75,120.94,1462800,120.94
2014-03-12,121.29,122.63,120.44,122.42,1051200,122.42
2014-03-11,122.94,123.10,121.55,121.77,915100,121.77
2014-03-10,123.58,123.85,122.07,122.72,1230500,122.72
2014-03-07,124.22,125.37,123.85,124.30,1206700,124.30
2014-03-06,123.66,124.19,123.14,123.69,1187100,123.69
2014-03-05,124.55,124.71,123.07,123.65,1118100,123.65
2014-03-04,123.00,124.53,122.94,124.25,1766500,124.25
2014-03-03,119.74,121.79,119.69,121.02,1293800,121.02
2014-02-28,119.68,121.83,119.51,121.03,1394700,121.03
2014-02-27,118.51,120.07,118.10,120.02,1374400,120.02
2014-02-26,120.05,120.69,118.67,118.72,1574200,118.11
2014-02-25,122.00,122.68,119.45,119.68,1588800,119.07
2014-02-24,120.76,123.30,120.76,122.12,1343800,121.49
2014-02-21,121.45,121.45,119.14,120.47,1027200,119.85
2014-02-20,120.96,121.19,118.97,120.61,992800,119.99
2014-02-19,119.99,121.37,118.91,119.05,1100300,118.44
2014-02-18,120.54,120.86,119.62,120.06,1088100,119.44
2014-02-14,118.68,120.79,117.98,120.28,1233600,119.66
2014-02-13,117.04,119.30,117.00,118.86,979500,118.25
2014-02-12,117.06,118.32,116.82,118.07,1499500,117.46
2014-02-11,114.34,117.40,114.31,116.90,1682700,116.30
2014-02-10,114.72,114.97,113.12,114.32,1726200,113.73
2014-02-07,113.08,115.99,112.94,114.97,1674500,114.38
