Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,95.69,96.85,95.43,96.35,1168900,96.35
2014-03-27,95.91,96.35,95.18,95.26,1313700,95.26
2014-03-26,97.64,98.09,96.02,96.04,1441200,96.04
2014-03-25,97.34,98.03,97.14,97.38,1978400,97.38
2014-03-24,96.87,97.15,95.61,96.55,2004500,96.55
2014-03-21,97.82,97.91,96.35,96.47,2904500,96.47
2014-03-20,96.95,97.12,96.21,96.98,1499500,96.98
2014-03-19,96.97,97.89,96.83,97.30,2948200,97.30
2014-03-18,96.06,96.89,95.76,96.66,1531700,96.66
2014-03-17,94.97,96.51,94.92,95.83,1277300,95.83
2014-03-14,95.14,95.32,94.02,94.53,2058600,94.53
2014-03-13,96.50,96.90,94.90,95.24,2058200,95.24
2014-03-12,95.43,96.50,94.89,96.09,2037900,96.09
2014-03-11,94.43,95.99,93.76,95.75,2883600,95.75
2014-03-10,94.28,94.76,93.46,94.43,2100700,94.43
2014-03-07,95.06,95.07,93.95,94.29,2314500,94.29
2014-03-06,94.30,94.81,93.81,94.50,1647800,94.50
2014-03-05,94.46,95.25,93.75,93.99,2337400,93.99
2014-03-04,92.93,94.93,92.82,94.15,2544100,94.15
2014-03-03,90.96,92.12,90.90,91.76,2409100,91.76
2014-02-28,90.69,92.48,90.57,91.91,1923400,91.91
2014-02-27,90.41,90.71,89.76,90.61,1929200,90.61
2014-02-26,90.75,91.69,90.43,90.69,1680600,90.69
2014-02-25,91.11,91.21,89.92,90.64,2149800,90.64
2014-02-24,90.86,92.05,90.41,91.27,2309700,91.27
2014-02-21,91.26,91.64,90.30,90.47,2484200,90.47
2014-02-20,90.48,91.47,90.13,91.02,2112100,91.02
2014-02-19,91.15,91.56,90.28,90.32,3099700,90.32
2014-02-18,92.87,92.88,90.43,91.40,3351700,91.40
2014-02-14,92.43,93.15,92.22,92.84,1847000,92.84
2014-02-13,92.57,92.75,91.96,92.47,2076300,92.47
2014-02-12,93.46,93.68,92.67,93.60,2372000,93.60
2014-02-11,93.25,93.76,92.96,93.11,2345500,93.11
2014-02-10,94.52,94.65,92.73,92.92,2522800,92.92
2014-02-07,93.70,94.93,92.80,94.74,2643400,94.74
2014-02-06,91.90,93.75,91.68,93.57,2505500,93.57
2014-02-05,91.39,92.12,89.91,91.76,3272900,91.76
2014-02-04,91.33,92.50,89.58,91.79,8301200,91.25
2014-02-03,93.13,93.70,89.46,89.58,2960800,89.05
2014-01-31,91.52,93.28,91.31,92.59,2540900,92.05
2014-01-30,90.64,93.27,90.62,92.76,2081300,92.21
2014-01-29,90.53,90.77,89.33,89.80,2195200,89.27
2014-01-28,90.24,92.00,90.11,91.26,1660000,90.72
2014-01-27,89.80,91.17,89.40,90.32,2963400,89.79
2014-01-24,92.02,92.14,89.59,89.61,3062500,89.08
2014-01-23,93.81,95.10,93.24,93.66,3194600,93.11
2014-01-22,91.54,94.75,91.31,92.94,5877200,92.39
2014-01-21,89.26,89.74,88.25,88.71,2420300,88.19
2014-01-17,87.63,89.88,87.61,88.99,2862300,88.47
2014-01-16,88.49,88.98,87.14,87.76,3841300,87.24
