Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,31.54,32.34,30.87,31.06,501300,31.06
2014-03-27,31.28,31.50,30.48,31.27,684700,31.27
2014-03-26,30.62,31.36,30.40,31.16,750200,31.16
2014-03-25,30.87,31.09,30.06,30.54,752100,30.54
2014-03-24,31.21,31.59,29.87,30.55,934200,30.55
2014-03-21,32.46,32.59,30.76,31.15,1149000,31.15
2014-03-20,33.07,33.61,31.83,31.92,1120800,31.92
2014-03-19,33.63,34.26,32.97,33.29,681900,33.29
2014-03-18,32.27,34.41,32.23,33.75,1060300,33.75
2014-03-17,33.07,33.50,32.05,32.23,801300,32.23
2014-03-14,32.31,33.47,32.13,32.80,2675300,32.80
2014-03-13,31.67,31.67,30.41,31.27,1478200,31.27
2014-03-12,29.92,31.70,29.88,31.62,790000,31.62
2014-03-11,31.24,31.70,30.15,30.29,951100,30.29
2014-03-10,31.50,31.76,30.35,31.35,1071900,31.35
2014-03-07,32.73,32.99,31.23,31.55,863500,31.55
2014-03-06,30.50,33.68,30.40,32.68,2159900,32.68
2014-03-05,31.00,32.29,29.30,30.30,3001100,30.30
2014-03-04,29.68,31.72,29.29,31.08,1754200,31.08
2014-03-03,28.38,29.34,28.18,29.30,1563400,29.30
2014-02-28,29.80,30.40,28.32,28.83,2021300,28.83
2014-02-27,28.80,30.49,26.50,29.54,2138900,29.54
2014-02-26,30.00,30.60,28.55,28.84,1645000,28.84
2014-02-25,29.98,30.13,29.43,29.68,1359700,29.68
2014-02-24,28.90,30.26,28.52,29.80,1243100,29.80
2014-02-21,28.19,30.32,27.86,28.92,2045800,28.92
2014-02-20,28.69,28.72,26.32,28.23,2362500,28.23
2014-02-19,28.93,29.46,28.49,28.54,839700,28.54
2014-02-18,29.75,29.91,28.67,29.21,895100,29.21
2014-02-14,29.82,29.95,28.18,29.74,1163900,29.74
2014-02-13,29.68,30.39,28.53,29.68,1684400,29.68
2014-02-12,30.06,31.16,28.66,30.11,2395100,30.11
2014-02-11,28.18,29.18,27.15,28.70,2835300,28.70
2014-02-10,28.26,29.11,27.94,28.14,1176200,28.14
2014-02-07,26.39,29.98,26.39,28.41,2242900,28.41
2014-02-06,26.78,27.12,24.50,26.26,3232500,26.26
2014-02-05,26.75,27.49,26.74,26.85,1233100,26.85
2014-02-04,27.00,27.25,26.69,26.83,810600,26.83
2014-02-03,27.75,28.03,26.75,26.87,817300,26.87
2014-01-31,28.48,28.85,27.97,27.98,1433800,27.98
2014-01-30,29.00,29.28,28.40,29.02,1591700,29.02
2014-01-29,29.00,29.87,28.93,28.95,1167300,28.95
2014-01-28,29.69,30.22,29.21,29.22,880100,29.22
2014-01-27,29.81,30.33,29.66,29.78,811800,29.78
2014-01-24,30.01,30.24,29.69,29.97,1098400,29.97
2014-01-23,30.85,31.57,30.75,30.82,571200,30.82
2014-01-22,31.24,31.51,30.71,31.16,828500,31.16
2014-01-21,31.77,32.34,30.91,31.20,1086300,31.20
2014-01-17,33.04,33.54,32.12,32.19,767800,32.19
2014-01-16,32.81,34.67,32.81,33.25,4029400,33.25
2014-01-15,33.45,33.67,32.87,33.15,695900,33.15
2014-01-14,33.16,33.96,32.05,33.63,1308700,33.63
2014-01-13,33.30,34.17,32.28,32.49,1293800,32.49
2014-01-09,33.77,34.44,33.09,34.25,2013600,34.25
2014-01-08,34.56,34.56,33.78,33.85,725400,33.85
2014-01-07,34.51,34.69,34.28,34.32,982600,34.32
2014-01-06,36.02,36.48,34.56,34.66,1412800,34.66
2014-01-03,36.52,36.65,35.90,36.06,565900,36.06
2014-01-02,36.96,37.15,36.36,36.43,418600,36.43
2013-12-31,36.21,37.10,36.10,36.96,694400,36.96
2013-12-30,37.11,37.24,35.91,36.16,814600,36.16
2013-12-27,36.73,37.66,36.34,36.99,652500,36.99
2013-12-26,36.09,37.23,35.84,36.45,529000,36.45
2013-12-24,36.38,36.40,35.92,36.06,474200,36.06
2013-12-23,37.00,37.57,36.32,36.41,1641800,36.41
2013-12-20,40.00,40.41,36.95,37.03,2399700,37.03
2013-12-19,39.54,40.83,39.50,39.70,1673500,39.70
2013-12-18,41.85,42.73,40.59,41.28,2067700,41.28
2013-12-17,40.90,40.93,40.11,40.83,867000,40.83
2013-12-16,39.67,40.89,39.40,40.56,846900,40.56
2013-12-13,40.13,40.71,39.51,39.58,664500,39.58
2013-12-12,41.33,41.47,40.04,40.20,1102900,40.20
2013-12-11,42.25,42.31,40.91,41.06,926700,41.06
2013-12-10,42.15,43.51,41.67,41.72,851100,41.72
2013-12-09,42.06,42.50,41.90,42.05,708800,42.05
2013-12-06,41.25,42.09,40.87,41.97,833900,41.97
2013-12-05,39.98,40.55,39.33,40.48,1061700,40.48
2013-12-04,39.72,39.92,39.17,39.40,1000100,39.40
2013-12-03,39.40,39.78,38.75,38.89,936000,38.89
2013-12-02,39.63,40.02,38.95,39.26,801900,39.26
2013-11-29,39.71,40.25,39.15,39.63,305900,39.63
2013-11-27,40.32,40.39,38.69,39.69,723800,39.69
2013-11-26,39.95,40.16,39.11,39.94,1204300,39.94
2013-11-25,40.46,40.63,39.20,39.97,1220200,39.97
2013-11-22,39.95,41.04,39.95,40.55,1222100,40.55
2013-11-21,38.75,40.00,38.75,39.95,1216800,39.95
2013-11-20,38.40,39.78,38.40,38.59,799100,38.59
2013-11-19,37.84,38.88,37.73,38.38,766400,38.38
2013-11-18,38.74,39.01,37.44,38.02,1118700,38.02
2013-11-15,39.49,39.63,37.60,38.85,1664600,38.85
2013-11-14,38.49,39.43,38.06,39.30,982400,39.30
2013-11-13,37.61,39.60,36.64,38.67,1857400,38.67
2013-11-12,38.07,38.91,36.92,37.76,2042900,37.76
2013-11-11,36.41,38.01,36.03,37.85,3217600,37.85
2013-11-08,39.65,40.55,35.91,36.48,6341100,36.48
2013-11-07,39.40,41.90,39.18,40.75,7887900,40.75
2013-11-06,50.00,50.48,48.92,49.22,2013800,49.22
2013-11-05,49.75,50.87,49.65,49.94,982600,49.94
2013-11-04,50.60,50.84,49.36,49.97,881400,49.97
2013-11-01,51.24,51.70,49.25,50.52,1436800,50.52
