Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,36.33,36.81,36.10,36.18,5170700,36.18
2014-03-27,36.73,36.99,36.26,36.26,10476700,36.26
2014-03-26,37.32,37.60,36.69,36.69,6270200,36.69
2014-03-25,36.70,37.17,36.63,37.09,4470100,37.09
2014-03-24,36.63,36.98,36.04,36.58,8000600,36.58
2014-03-21,37.47,37.99,37.14,37.80,7786300,37.80
2014-03-20,37.06,37.54,36.98,37.10,9153000,37.10
2014-03-19,37.48,37.63,37.01,37.09,4464900,37.09
2014-03-18,37.36,37.63,37.19,37.46,4970600,37.46
2014-03-17,36.93,37.50,36.62,37.30,9347100,37.30
2014-03-14,37.16,37.81,36.53,36.57,8979800,36.57
2014-03-13,37.28,37.62,36.62,37.16,10204400,37.16
2014-03-12,37.35,37.89,36.99,37.85,6745000,37.85
2014-03-11,38.00,38.02,37.40,37.44,6815600,37.44
2014-03-10,37.94,38.03,37.60,37.81,6784200,37.81
2014-03-07,39.22,39.22,37.53,37.90,11456100,37.90
2014-03-06,39.99,40.08,38.55,39.03,7862900,39.03
2014-03-05,40.24,40.32,39.66,39.81,4946000,39.81
2014-03-04,40.88,41.03,40.00,40.18,4335900,40.18
2014-03-03,40.10,40.65,39.85,40.50,3690300,40.50
2014-02-28,40.65,40.89,40.17,40.41,2850800,40.41
2014-02-27,40.17,40.70,40.06,40.62,3018600,40.62
2014-02-26,40.35,40.43,39.73,40.28,3863500,40.28
2014-02-25,40.16,40.31,39.65,39.85,3228300,39.85
2014-02-24,39.89,40.27,39.73,40.09,3237000,40.09
2014-02-21,40.03,40.17,39.65,39.89,4414800,39.89
2014-02-20,40.52,40.67,39.80,40.18,5200300,40.18
2014-02-19,40.47,40.90,40.46,40.53,3191900,40.53
2014-02-18,40.68,40.90,40.58,40.62,3773300,40.62
2014-02-14,41.05,41.34,40.68,40.72,5220100,40.72
2014-02-13,40.39,41.25,39.85,41.10,11233900,41.10
2014-02-12,43.66,44.28,42.46,42.59,9308900,42.59
2014-02-11,43.50,43.93,43.11,43.69,6736400,43.69
2014-02-10,42.72,43.56,42.59,43.27,4455900,43.27
2014-02-07,41.94,42.99,41.55,42.82,3793800,42.82
2014-02-06,41.57,42.09,41.45,41.71,4737000,41.71
2014-02-05,41.65,41.95,40.69,41.57,4507800,41.57
2014-02-04,42.23,42.48,41.41,42.10,2692800,42.10
2014-02-03,43.32,43.64,41.70,41.94,5791300,41.94
2014-01-31,42.61,42.84,41.92,42.34,3323500,42.34
2014-01-30,43.24,43.28,42.63,43.14,2223300,43.14
2014-01-29,43.38,43.61,42.70,42.76,3969000,42.76
2014-01-28,43.88,43.99,43.39,43.74,4573100,43.74
2014-01-27,44.09,44.44,43.67,43.71,2941100,43.71
2014-01-24,45.72,45.72,43.92,43.96,5372400,43.96
2014-01-23,44.92,45.96,44.92,45.85,4338100,45.85
2014-01-22,44.96,45.70,44.80,45.45,6430500,45.45
2014-01-21,44.68,45.52,44.51,44.89,5726300,44.89
2014-01-17,43.04,44.72,42.79,44.49,6670700,44.49
2014-01-16,43.23,43.84,43.18,43.28,5181800,43.28
2014-01-15,40.63,43.51,40.33,43.51,11070400,43.51
2014-01-14,39.68,40.38,39.60,40.19,4945500,40.19
2014-01-13,40.27,40.49,39.61,39.70,3915600,39.70
2014-01-09,40.98,41.14,40.51,40.65,3477300,40.65
2014-01-08,40.88,41.06,40.69,41.05,2940000,41.05
2014-01-07,40.20,40.83,40.09,40.82,2745300,40.82
2014-01-06,40.52,40.61,40.06,40.15,2703200,40.00
2014-01-03,40.38,40.62,40.22,40.33,1475600,40.18
2014-01-02,41.01,41.01,40.42,40.42,2427100,40.27
2013-12-31,41.16,41.44,41.00,41.14,1548000,40.99
2013-12-30,40.73,41.09,40.71,40.98,1918500,40.83
2013-12-27,40.33,40.81,40.32,40.70,1943600,40.55
2013-12-26,40.22,40.66,40.22,40.31,1862500,40.16
2013-12-24,40.32,40.54,40.28,40.38,1799900,40.23
2013-12-23,40.61,40.68,40.23,40.38,3208900,40.23
2013-12-20,40.71,40.93,40.41,40.49,4969700,40.34
2013-12-19,40.00,40.65,39.95,40.64,2866600,40.49
2013-12-18,40.02,40.06,39.00,40.04,3567100,39.89
2013-12-17,39.84,40.12,39.58,39.95,3202200,39.80
2013-12-16,40.00,40.19,39.79,40.03,2930400,39.88
2013-12-13,39.81,39.92,39.30,39.77,3780500,39.62
2013-12-12,39.99,40.11,39.34,39.60,5612400,39.45
2013-12-11,41.39,41.46,39.99,40.06,3861600,39.91
2013-12-10,41.30,41.80,41.14,41.46,3455400,41.31
2013-12-09,41.39,41.84,41.24,41.26,3260200,41.11
2013-12-06,41.95,41.95,41.43,41.57,2883200,41.41
2013-12-05,40.57,41.46,40.57,41.45,5517700,41.30
2013-12-04,39.73,40.89,39.73,40.67,4046900,40.52
2013-12-03,40.77,41.16,40.60,40.74,2346100,40.59
2013-12-02,40.50,41.24,40.50,41.00,3235300,40.85
2013-11-29,41.12,41.34,40.90,41.25,1731100,41.10
2013-11-27,40.90,41.27,40.79,41.24,1931500,41.09
2013-11-26,40.90,41.03,40.78,40.89,2867400,40.74
2013-11-25,40.78,40.92,40.55,40.77,1791600,40.62
2013-11-22,40.40,40.68,40.08,40.64,3599900,40.49
2013-11-21,39.95,40.67,39.95,40.39,2970900,40.24
2013-11-20,40.61,40.79,40.32,40.36,2162100,40.21
2013-11-19,40.50,40.91,40.30,40.59,2851600,40.44
2013-11-18,40.77,41.58,40.50,40.57,4254900,40.42
2013-11-15,41.12,41.50,40.65,41.42,5476400,41.27
2013-11-14,41.13,42.69,40.72,41.07,10528500,40.92
2013-11-13,40.21,41.30,39.75,41.29,7005700,41.14
2013-11-12,39.94,40.44,39.70,40.20,5935500,40.05
2013-11-11,39.75,39.97,39.53,39.87,2856900,39.72
2013-11-08,39.63,39.93,39.32,39.91,4985200,39.76
2013-11-07,38.46,39.62,38.45,39.45,7631900,39.30
2013-11-06,38.55,38.89,38.34,38.77,4010900,38.63
