Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,64.61,65.40,64.32,64.91,760900,64.91
2014-03-27,64.66,64.93,63.68,64.32,1297000,64.32
2014-03-26,65.75,65.79,64.65,64.67,852200,64.67
2014-03-25,66.09,66.36,64.84,65.31,1020100,65.31
2014-03-24,65.97,66.41,65.03,65.65,1438700,65.65
2014-03-21,66.47,67.17,65.67,65.77,2363000,65.77
2014-03-20,63.67,66.10,63.43,65.58,2496800,65.58
2014-03-19,63.12,64.01,62.69,63.92,1403300,63.92
2014-03-18,62.70,63.16,62.45,63.08,984500,63.08
2014-03-17,62.50,62.99,62.32,62.75,646400,62.75
2014-03-14,61.91,62.28,61.65,62.04,906200,62.04
2014-03-13,63.00,63.00,61.71,61.80,1013500,61.80
2014-03-12,62.67,63.02,62.34,62.70,728900,62.70
2014-03-11,63.01,63.88,62.91,63.14,726400,63.14
2014-03-10,63.85,64.40,63.55,64.12,781300,64.12
2014-03-07,62.96,64.26,62.90,64.02,1548600,64.02
2014-03-06,62.37,63.00,62.07,62.82,812800,62.82
2014-03-05,61.67,62.15,61.59,62.13,710800,62.13
2014-03-04,62.01,62.38,61.81,62.29,990800,61.98
2014-03-03,61.43,62.00,60.78,61.33,1185400,61.02
2014-02-28,62.05,62.49,61.55,61.85,1547700,61.54
2014-02-27,61.48,62.19,61.47,62.18,839800,61.87
2014-02-26,62.01,62.16,61.27,61.72,869800,61.41
2014-02-25,62.53,62.53,61.76,61.86,676100,61.55
2014-02-24,61.83,62.84,61.83,62.45,947800,62.14
2014-02-21,61.67,62.29,61.12,61.90,860200,61.59
2014-02-20,61.54,61.97,60.98,61.54,926900,61.23
2014-02-19,61.86,62.34,61.40,61.43,1066200,61.12
2014-02-18,62.00,62.46,61.58,62.22,787800,61.91
2014-02-14,61.89,62.39,61.75,62.25,769300,61.94
2014-02-13,61.53,62.11,61.36,62.04,895600,61.73
2014-02-12,61.81,62.39,61.61,61.87,1155500,61.56
2014-02-11,60.80,61.99,60.42,61.77,838900,61.46
2014-02-10,60.72,60.89,60.38,60.85,555800,60.55
2014-02-07,60.00,60.93,59.80,60.73,960200,60.43
2014-02-06,59.22,59.95,58.98,59.75,794800,59.45
2014-02-05,59.65,59.98,59.13,59.16,937600,58.87
2014-02-04,58.60,59.93,58.31,59.78,1509900,59.48
2014-02-03,60.30,60.40,58.31,58.40,1452200,58.11
2014-01-31,60.28,60.78,59.83,60.22,1259900,59.92
2014-01-30,61.09,61.34,60.42,61.12,955200,60.82
2014-01-29,60.32,61.17,60.24,60.70,1561500,60.40
2014-01-28,60.39,61.08,60.32,60.76,1447800,60.46
2014-01-27,61.24,61.49,60.51,60.55,1435600,60.25
2014-01-24,61.16,62.18,61.09,61.13,1936000,60.83
2014-01-23,62.76,62.95,61.75,62.60,1983600,62.29
2014-01-22,61.78,63.00,60.76,62.61,4200500,62.30
2014-01-21,61.16,61.59,60.40,60.61,1524900,60.31
2014-01-17,61.19,61.33,60.33,60.71,1569000,60.41
2014-01-16,61.04,61.35,60.73,61.05,1080100,60.75
2014-01-15,60.94,61.39,60.81,61.20,1330400,60.90
2014-01-14,60.65,60.97,60.42,60.60,1118500,60.30
2014-01-13,61.04,61.23,60.26,60.43,1025700,60.13
2014-01-09,62.16,62.38,61.29,61.49,909400,61.18
2014-01-08,61.57,62.14,61.25,62.02,2320900,61.71
2014-01-07,61.11,61.91,60.77,61.70,1155700,61.39
2014-01-06,61.47,61.79,60.58,60.92,1518500,60.62
2014-01-03,61.20,61.60,60.99,61.30,873100,60.99
2014-01-02,61.76,61.95,60.67,60.89,1011100,60.59
2013-12-31,61.70,62.00,61.66,61.89,709000,61.58
2013-12-30,61.57,61.81,61.55,61.72,854700,61.41
2013-12-27,61.60,61.67,61.18,61.45,755700,61.14
2013-12-26,61.58,61.82,61.27,61.71,688200,61.40
2013-12-24,61.11,61.40,60.86,61.30,454400,60.99
2013-12-23,60.59,61.37,60.57,61.29,1446400,60.98
2013-12-20,59.64,60.94,59.45,60.81,3895700,60.51
2013-12-19,59.09,59.43,58.71,59.28,1209400,58.98
2013-12-18,57.47,59.40,57.30,59.37,1691100,59.07
2013-12-17,57.71,57.98,57.19,57.50,1024600,57.21
2013-12-16,57.96,58.39,57.68,57.82,1535600,57.53
2013-12-13,58.28,58.28,57.14,57.58,1616800,57.29
2013-12-12,57.29,57.55,56.66,57.14,1279300,56.86
2013-12-11,58.12,58.26,57.15,57.17,1702200,56.89
2013-12-10,58.59,59.10,58.23,58.27,1102200,57.98
2013-12-09,59.00,59.22,58.74,58.95,887800,58.66
2013-12-06,58.40,58.92,58.32,58.75,970000,58.46
2013-12-05,57.74,58.14,57.69,57.75,997000,57.46
2013-12-04,57.79,58.50,57.44,57.87,918700,57.58
2013-12-03,58.34,58.83,57.98,58.35,1252800,57.75
2013-12-02,58.91,59.53,58.48,58.70,944700,58.10
2013-11-29,58.99,59.40,58.69,58.99,646200,58.38
2013-11-27,58.71,59.00,58.44,58.94,701900,58.34
2013-11-26,58.56,58.99,58.46,58.66,1094100,58.06
2013-11-25,58.09,58.74,57.79,58.59,964400,57.99
2013-11-22,58.09,58.10,57.57,58.10,930100,57.50
2013-11-21,57.60,58.04,57.40,57.94,722500,57.35
2013-11-20,57.19,57.84,57.13,57.40,1088600,56.81
2013-11-19,56.79,57.43,56.42,57.24,1596200,56.65
2013-11-18,57.17,57.50,56.89,56.99,856800,56.41
2013-11-15,57.23,57.70,56.83,57.15,1235200,56.56
2013-11-14,57.53,57.94,57.14,57.20,1377900,56.61
2013-11-13,56.43,57.77,56.43,57.64,1003800,57.05
2013-11-12,57.91,58.10,57.43,57.70,704900,57.11
2013-11-11,58.56,58.56,57.91,58.10,675500,57.50
2013-11-08,56.12,58.42,56.04,58.40,1195500,57.80
2013-11-07,57.44,57.65,56.20,56.23,932900,55.65
2013-11-06,57.54,57.54,56.88,57.18,747900,56.59
2013-11-05,56.64,57.19,56.20,57.14,1039700,56.55
2013-11-04,56.35,56.75,56.25,56.65,1009700,56.07
2013-11-01,56.38,56.71,56.21,56.58,1096000,56.00
2013-10-31,57.19,57.24,56.39,56.42,1151400,55.84
2013-10-30,57.18,57.69,56.94,57.10,921000,56.51
2013-10-29,57.01,57.27,56.63,57.18,947500,56.59
2013-10-28,56.54,57.15,56.36,56.85,1350000,56.27
2013-10-25,55.96,56.60,55.81,56.40,961600,55.82
2013-10-24,55.72,56.10,55.40,56.01,930100,55.44
2013-10-23,55.57,56.02,55.15,55.53,1342100,54.96
2013-10-22,56.45,56.45,55.61,55.96,1487800,55.39
2013-10-21,53.86,56.64,53.86,56.36,849900,55.78
2013-10-18,56.91,56.98,56.07,56.52,1239600,55.94
