Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,50.42,50.51,49.83,50.06,1432300,50.06
2014-03-27,50.33,50.52,49.96,50.19,1409500,50.19
2014-03-26,51.72,51.98,50.71,50.71,1976200,50.34
2014-03-25,51.24,51.71,51.12,51.32,1835900,50.95
2014-03-24,51.29,51.42,50.41,50.91,2028900,50.54
2014-03-21,50.13,51.72,49.94,51.23,5484500,50.86
2014-03-20,49.28,49.80,49.09,49.78,1380600,49.42
2014-03-19,49.86,49.86,49.29,49.57,1882000,49.21
2014-03-18,49.31,50.00,49.04,49.89,2469300,49.53
2014-03-17,48.79,49.89,48.79,49.47,2087000,49.11
2014-03-14,48.12,48.52,47.88,48.50,3050900,48.15
2014-03-13,49.08,49.43,48.24,48.65,2471700,48.30
2014-03-12,49.24,49.66,48.92,48.95,1938500,48.59
2014-03-11,49.89,49.91,49.31,49.37,1648800,49.01
2014-03-10,49.87,50.06,49.37,49.58,1833300,49.22
2014-03-07,50.72,50.77,49.93,50.15,2197000,49.78
2014-03-06,50.97,51.44,50.49,50.59,2488000,50.22
2014-03-05,50.49,50.88,50.27,50.78,1187400,50.41
2014-03-04,50.05,50.69,50.00,50.59,1552400,50.22
2014-03-03,49.89,50.22,49.29,49.56,1813900,49.20
2014-02-28,50.31,50.60,49.85,50.24,1181000,49.87
2014-02-27,49.64,50.44,49.64,50.36,1184300,49.99
2014-02-26,49.36,49.85,49.21,49.56,1250400,49.20
2014-02-25,49.54,49.67,48.66,49.24,2132900,48.88
2014-02-24,50.52,50.52,49.69,49.70,1852800,49.34
2014-02-21,51.18,51.23,50.38,50.42,1933200,50.05
2014-02-20,50.64,51.15,50.46,51.09,1425800,50.72
2014-02-19,51.05,51.49,50.63,50.67,2038100,50.30
2014-02-18,51.30,51.55,51.04,51.33,1828300,50.96
2014-02-14,50.54,51.40,50.45,51.33,1592600,50.96
2014-02-13,49.76,50.58,49.73,50.55,1619400,50.18
2014-02-12,49.12,50.50,49.12,50.23,3051600,49.86
2014-02-11,48.29,49.07,48.18,48.90,4272200,48.54
2014-02-10,48.46,48.50,48.03,48.21,1848100,47.86
2014-02-07,48.59,48.77,47.83,48.45,2212200,48.10
2014-02-06,47.21,48.42,47.16,48.32,3527700,47.97
2014-02-05,46.83,47.32,46.65,47.19,2135100,46.85
2014-02-04,46.95,47.07,46.39,46.78,2315100,46.44
2014-02-03,48.25,48.46,46.55,46.62,2358200,46.28
2014-01-31,48.18,48.84,47.77,48.35,1873300,48.00
2014-01-30,48.67,48.80,47.84,48.59,1976600,48.24
2014-01-29,48.36,48.86,47.82,48.43,3126400,48.08
2014-01-28,49.00,50.96,48.25,48.99,3535900,48.63
2014-01-27,48.78,49.08,48.03,48.42,2667100,48.07
2014-01-24,49.79,49.81,48.62,48.76,3209600,48.40
2014-01-23,50.54,50.61,49.93,50.16,1848000,49.79
