Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,16.53,16.90,16.53,16.70,868900,16.70
2014-03-27,16.41,16.87,16.30,16.53,1245100,16.53
2014-03-26,16.39,16.69,16.18,16.19,852800,16.19
2014-03-25,16.30,16.51,16.14,16.29,913500,16.29
2014-03-24,16.45,16.50,15.93,16.12,839600,16.12
2014-03-21,16.49,16.76,16.38,16.40,2363100,16.40
2014-03-20,16.43,16.57,16.29,16.39,560900,16.39
2014-03-19,16.42,16.59,16.38,16.52,812100,16.52
2014-03-18,16.16,16.48,16.09,16.45,928200,16.45
2014-03-17,16.62,16.79,16.11,16.21,774900,16.21
2014-03-14,16.12,16.74,16.12,16.53,1308600,16.53
2014-03-13,16.35,16.41,16.04,16.18,1560400,16.18
2014-03-12,16.51,16.59,16.27,16.35,1375500,16.35
2014-03-11,16.91,16.93,16.54,16.64,1308500,16.64
2014-03-10,16.41,16.81,16.28,16.81,1072600,16.81
2014-03-07,16.63,16.68,16.37,16.41,877600,16.41
2014-03-06,16.47,16.55,16.31,16.53,764700,16.53
2014-03-05,16.36,16.55,16.19,16.46,992800,16.46
2014-03-04,16.50,16.74,16.29,16.44,1667700,16.44
2014-03-03,16.23,16.41,16.07,16.22,841900,16.22
2014-02-28,15.90,16.47,15.86,16.42,1340700,16.42
2014-02-27,15.68,15.88,15.31,15.83,866000,15.83
2014-02-26,15.93,16.00,15.66,15.73,652500,15.73
2014-02-25,15.81,15.95,15.73,15.86,644500,15.86
2014-02-24,15.20,15.82,15.20,15.77,1232200,15.77
2014-02-21,14.75,15.21,14.74,15.15,1177200,15.15
2014-02-20,14.70,14.79,14.60,14.74,907800,14.74
2014-02-19,14.73,14.83,14.58,14.62,1524100,14.62
2014-02-18,14.51,14.87,14.51,14.79,1376000,14.79
2014-02-14,14.39,14.56,14.31,14.50,652800,14.50
2014-02-13,14.22,14.52,14.21,14.40,1215600,14.40
2014-02-12,14.26,14.47,14.15,14.30,754900,14.30
2014-02-11,14.28,14.39,14.23,14.26,645400,14.26
2014-02-10,14.37,14.42,14.22,14.29,750900,14.29
2014-02-07,14.51,14.57,14.22,14.42,1273500,14.42
2014-02-06,14.20,14.62,14.20,14.30,1598800,14.30
2014-02-05,13.70,13.95,13.55,13.84,826200,13.84
2014-02-04,13.93,13.94,13.67,13.75,1150300,13.75
2014-02-03,14.08,14.11,13.46,13.83,2284600,13.83
2014-01-31,14.22,14.45,14.13,14.14,1148300,14.14
2014-01-30,14.53,14.63,14.27,14.53,591800,14.53
2014-01-29,14.43,14.66,14.32,14.35,487700,14.35
2014-01-28,14.58,14.65,14.48,14.61,719200,14.61
2014-01-27,14.50,14.84,14.40,14.53,692100,14.53
2014-01-24,15.17,15.20,14.41,14.47,1237800,14.47
2014-01-23,15.30,15.33,15.06,15.31,749000,15.31
2014-01-22,15.37,15.42,15.18,15.42,335700,15.42
2014-01-21,15.38,15.46,15.16,15.33,488600,15.33
2014-01-17,15.24,15.31,15.20,15.22,285300,15.22
2014-01-16,15.44,15.52,15.23,15.30,712000,15.30
2014-01-15,15.03,15.55,14.97,15.51,1230600,15.51
2014-01-14,14.82,15.06,14.82,14.99,536100,14.99
2014-01-09,15.28,15.30,14.97,15.12,674000,15.08
2014-01-08,15.42,15.48,15.08,15.20,761000,15.16
2014-01-07,15.44,15.63,15.35,15.52,735400,15.48
2014-01-06,15.63,15.69,15.28,15.35,870100,15.31
2014-01-03,15.61,15.72,15.53,15.60,1232500,15.56
2014-01-02,15.83,15.98,15.56,15.62,1780000,15.58
2013-12-31,16.14,16.14,15.79,15.87,1504300,15.83
2013-12-30,15.45,16.11,15.38,16.09,1509600,16.05
2013-12-27,15.56,15.69,15.36,15.41,388500,15.37
2013-12-26,15.20,15.53,14.82,15.47,737600,15.43
2013-12-24,15.01,15.18,14.95,15.16,273100,15.12
2013-12-23,14.73,15.10,14.67,15.02,867600,14.98
2013-12-20,14.17,14.72,14.16,14.62,1380700,14.58
2013-12-19,14.43,14.49,14.17,14.20,487200,14.17
2013-12-18,14.37,14.53,14.04,14.49,694300,14.46
2013-12-17,14.04,14.42,13.88,14.38,953900,14.35
2013-12-16,13.76,14.06,13.73,14.01,515500,13.98
2013-12-13,13.61,13.76,13.54,13.66,397200,13.63
2013-12-12,13.46,13.71,13.36,13.55,518300,13.52
2013-12-11,13.54,13.59,13.38,13.41,581800,13.38
2013-12-10,13.56,13.65,13.44,13.52,545200,13.49
2013-12-09,13.69,13.80,13.57,13.58,578600,13.55
