Date,Open,High,Low,Close,Volume,Adj Close
2013-11-12,45.82,45.83,45.00,45.29,10798100,45.29
2013-11-11,45.97,46.28,45.64,45.79,740200,45.79
2013-11-08,45.23,46.16,45.23,46.03,699900,46.03
2013-11-07,45.25,45.68,45.11,45.33,927400,45.33
2013-11-06,45.01,45.26,44.77,45.26,626800,45.26
2013-11-05,44.89,45.39,44.51,44.91,2161100,44.91
2013-11-04,44.48,44.61,43.96,44.18,935900,44.18
2013-11-01,44.00,44.65,44.00,44.46,1185800,44.46
2013-10-31,43.83,44.26,43.65,44.02,10544100,44.02
2013-10-30,43.98,44.13,43.64,43.69,1315700,43.69
2013-10-29,44.08,44.44,43.85,44.07,1890500,44.07
2013-10-28,44.58,44.58,44.04,44.22,1460100,44.22
2013-10-25,44.57,44.74,44.46,44.59,1294900,44.59
2013-10-24,44.74,44.74,44.33,44.57,1908100,44.57
2013-10-23,44.51,44.71,44.38,44.63,2335600,44.63
2013-10-22,44.79,44.97,44.52,44.82,1312700,44.82
2013-10-21,44.89,45.00,44.67,44.80,450600,44.80
2013-10-18,44.96,45.00,44.52,45.00,1416600,45.00
2013-10-17,44.32,44.86,44.27,44.75,2622200,44.75
2013-10-16,44.59,44.80,44.26,44.53,1338000,44.53
2013-10-15,44.14,44.56,44.01,44.22,1842400,44.22
2013-10-14,44.25,44.60,44.04,44.49,1065800,44.49
2013-10-11,44.06,44.44,43.93,44.38,851000,44.38
2013-10-10,43.65,44.36,43.55,44.14,2251700,44.14
2013-10-09,43.56,43.69,43.06,43.37,1228800,43.37
2013-10-08,44.02,44.11,43.11,43.39,1379100,43.39
2013-10-07,43.66,44.23,43.66,43.96,1112500,43.96
2013-10-04,43.15,44.16,43.11,44.16,2628600,44.16
2013-10-03,42.50,43.20,42.39,43.09,3020500,43.09
2013-10-02,42.14,42.50,41.62,42.50,2625500,42.50
2013-10-01,41.78,42.48,41.78,42.45,1846100,42.45
2013-09-30,41.59,42.07,41.50,41.98,1341200,41.98
2013-09-27,41.49,42.10,41.43,41.95,1036200,41.95
2013-09-26,41.56,41.87,41.50,41.79,978300,41.79
2013-09-25,41.90,41.93,41.50,41.56,689900,41.56
2013-09-24,41.95,42.10,41.68,41.84,1074300,41.84
2013-09-23,42.00,42.07,41.68,41.94,1329200,41.94
2013-09-20,42.26,42.58,42.01,42.03,2239800,42.03
