Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,72.54,73.04,71.98,72.31,1170100,72.31
2014-03-27,72.78,73.04,72.12,72.17,1278900,72.17
2014-03-26,72.73,73.50,72.41,72.60,1801400,72.60
2014-03-25,72.06,72.34,71.54,72.00,758500,72.00
2014-03-24,72.10,72.24,71.29,71.99,1257100,71.99
2014-03-21,72.63,73.83,71.79,72.06,1528700,72.06
2014-03-20,70.88,72.48,70.72,72.44,1538800,72.44
2014-03-19,72.90,72.90,71.45,71.73,2134600,71.73
2014-03-18,72.79,73.61,72.64,73.00,1230800,73.00
2014-03-17,72.47,73.31,72.07,72.80,1263900,72.80
2014-03-14,71.82,72.36,71.53,72.25,1009800,72.25
2014-03-13,73.37,73.41,72.30,72.30,926400,72.30
2014-03-12,72.20,73.23,71.95,73.19,2040700,73.19
2014-03-11,73.46,73.63,72.74,73.24,2068300,73.24
2014-03-10,75.38,75.38,73.52,73.57,1328800,73.57
2014-03-07,75.77,76.18,75.43,75.50,1533700,75.50
2014-03-06,75.37,75.81,75.23,75.56,910500,75.56
2014-03-05,75.02,75.22,74.26,74.76,951600,74.76
2014-03-04,75.04,75.41,74.74,75.23,976900,75.23
2014-03-03,74.85,75.06,73.86,74.47,904500,74.47
2014-02-28,75.87,76.69,75.54,75.68,1786800,75.68
2014-02-27,74.86,75.55,74.77,75.28,1123500,74.88
2014-02-26,76.23,76.26,75.27,75.32,992400,74.92
2014-02-25,76.53,76.87,76.25,76.40,1244800,75.99
2014-02-24,75.33,76.79,75.29,75.85,1219800,75.45
2014-02-21,75.00,75.52,74.54,74.56,1319500,74.16
2014-02-20,75.50,75.61,74.89,74.92,1401900,74.52
2014-02-19,75.99,76.69,75.40,75.45,812900,75.05
2014-02-18,76.10,76.36,75.69,76.16,967500,75.76
2014-02-14,74.66,76.30,74.21,75.94,1561600,75.54
2014-02-13,73.39,74.44,73.08,74.39,1830000,73.99
2014-02-12,72.81,72.99,71.81,72.87,3509500,72.48
2014-02-11,76.06,76.06,72.93,73.00,5707100,72.61
2014-02-10,73.99,74.40,73.69,74.17,1579000,73.78
2014-02-07,74.00,74.47,73.69,74.20,2077400,73.81
2014-02-06,73.27,73.88,73.18,73.37,1621700,72.98
2014-02-05,71.71,73.15,71.71,72.09,1833700,71.71
2014-02-04,70.94,72.44,70.80,72.16,1262200,71.78
2014-02-03,72.71,72.78,70.59,70.74,1847300,70.36
2014-01-31,72.41,73.33,71.84,72.58,2284700,72.19
2014-01-30,72.79,74.17,72.79,73.98,925500,73.59
2014-01-29,72.90,73.26,71.99,72.46,1274900,72.07
2014-01-28,73.32,73.75,72.67,73.18,1367600,72.79
2014-01-27,72.26,72.55,71.61,71.96,1568400,71.58
2014-01-24,72.69,73.13,72.22,72.51,1588800,72.12
2014-01-23,73.13,73.82,72.92,73.31,1583000,72.92
2014-01-22,74.04,74.14,73.47,73.63,910400,73.24
2014-01-21,74.77,75.17,73.73,74.06,1096700,73.67
2014-01-17,74.53,74.84,74.17,74.20,1132200,73.81
2014-01-16,74.58,74.73,74.05,74.35,1036500,73.95
2014-01-15,74.97,75.36,74.30,74.50,2001100,74.10
2014-01-14,72.71,74.09,72.55,73.91,1561900,73.52
2014-01-09,72.64,73.28,72.20,72.24,1635700,71.86
2014-01-08,72.04,72.20,71.47,71.51,1212200,71.13
2014-01-07,72.49,72.97,72.21,72.75,1705800,72.36
2014-01-06,72.60,72.90,71.76,72.00,1646300,71.62
2014-01-03,73.78,74.20,73.28,73.78,1079400,73.39
2014-01-02,74.52,74.78,73.83,74.00,1079000,73.61
2013-12-31,74.00,74.50,73.96,74.37,890700,73.97
2013-12-30,73.19,74.04,72.82,73.99,880700,73.60
2013-12-27,73.41,73.79,73.10,73.42,757900,73.03
2013-12-26,71.83,72.76,71.65,72.74,481400,72.35
2013-12-24,71.35,72.11,71.35,71.83,373600,71.45
2013-12-23,72.00,72.04,71.09,71.21,1437800,70.83
2013-12-20,72.37,72.50,71.38,71.48,2411000,71.10
2013-12-19,71.80,73.19,71.80,72.60,2242200,72.21
2013-12-18,69.84,70.55,68.79,70.55,1182400,70.18
2013-12-17,69.50,70.44,69.50,69.84,1654500,69.07
2013-12-16,69.00,69.82,69.00,69.63,1053900,68.86
2013-12-13,68.95,69.67,68.79,68.82,875200,68.06
2013-12-12,69.46,69.80,68.80,68.90,1384300,68.14
2013-12-11,71.27,71.55,69.53,69.81,1504000,69.04
2013-12-10,70.79,71.36,70.63,70.65,751600,69.87
2013-12-09,71.30,71.78,70.95,71.11,824800,70.33
2013-12-06,70.79,71.56,70.71,71.30,1149700,70.51
2013-12-05,70.93,71.16,70.05,70.42,1777700,69.64
2013-12-04,70.28,70.70,69.32,69.43,1937700,68.67
2013-12-03,70.70,71.11,70.35,70.68,2126200,69.90
2013-12-02,71.37,72.29,71.16,71.98,1297000,71.19
2013-11-29,72.21,72.49,71.08,71.45,706000,70.66
2013-11-27,71.81,71.98,71.28,71.52,551600,70.73
2013-11-26,71.50,72.39,71.08,71.76,1081300,70.97
2013-11-25,71.41,71.51,70.80,70.91,726800,70.13
2013-11-22,71.62,72.16,71.53,71.74,992200,70.95
2013-11-21,70.93,71.16,70.70,70.74,1674800,69.96
2013-11-20,70.16,70.59,69.95,70.35,949700,69.58
2013-11-19,69.68,70.31,69.50,70.16,815100,69.39
2013-11-18,70.20,70.74,69.60,69.93,1321500,69.16
2013-11-15,70.29,70.73,69.81,69.95,2230200,69.18
2013-11-14,69.57,69.70,69.07,69.08,1071200,68.32
2013-11-13,68.99,70.05,68.61,69.77,1449000,69.00
2013-11-12,70.11,70.69,69.77,69.99,664400,69.22
2013-11-11,70.55,70.95,70.42,70.56,692400,69.78
2013-11-08,70.14,70.62,69.85,70.40,1000600,69.62
2013-11-07,70.84,71.00,70.22,70.38,1066000,69.61
2013-11-06,71.42,71.83,70.25,70.51,1784700,69.73
2013-11-05,69.88,70.53,69.65,70.28,1053700,69.51
2013-11-04,69.28,70.11,68.75,69.91,1126000,69.14
2013-11-01,68.19,69.11,68.14,68.98,1546000,68.22
2013-10-31,68.00,68.78,67.72,68.11,1410000,67.36
2013-10-30,68.96,68.96,67.88,67.99,1233500,67.24
2013-10-29,68.01,68.88,68.01,68.88,1346500,68.12
2013-10-28,67.44,68.79,67.41,68.37,1590700,67.62
2013-10-25,67.15,67.91,67.15,67.46,1535500,66.72
2013-10-24,66.80,67.14,66.48,66.49,2180900,65.76
2013-10-23,67.35,67.82,65.87,66.00,1695700,65.27
2013-10-22,66.60,68.06,66.58,67.84,1641200,67.09
2013-10-21,66.01,66.22,65.56,66.16,810900,65.43
2013-10-18,65.53,66.30,65.53,65.66,1912900,64.94
2013-10-17,64.57,65.25,64.45,65.16,1388100,64.44
2013-10-16,63.50,65.01,63.41,64.61,2165000,63.90
2013-10-15,64.76,65.69,64.36,64.96,1586200,64.24
2013-10-14,63.33,64.21,63.15,63.95,1270600,63.25
2013-10-11,63.71,63.84,63.33,63.70,1269400,63.00
2013-10-10,62.17,63.41,62.04,63.40,1301500,62.70
2013-10-09,61.91,62.09,61.35,61.76,1078800,61.08
2013-10-08,62.76,63.05,61.96,61.99,1019900,61.31
2013-10-07,62.84,63.27,62.53,62.70,767600,62.01
2013-10-04,63.18,63.26,63.00,63.13,1660000,62.43
2013-10-03,63.35,63.44,62.98,63.10,1537200,62.41
2013-10-02,63.27,63.62,62.94,63.17,1374100,62.47
2013-10-01,64.17,64.18,63.32,63.56,1851100,62.86
2013-09-30,63.79,63.95,63.33,63.44,1539500,62.74
2013-09-27,64.85,64.88,64.09,64.32,1166300,63.61
2013-09-26,64.54,64.80,64.21,64.40,746100,63.69
2013-09-25,65.15,65.19,64.36,64.58,1314200,63.87
2013-09-24,65.00,65.29,64.62,64.69,1268000,63.98
2013-09-23,65.38,65.44,64.54,64.65,1045900,63.94
2013-09-20,65.85,65.99,65.14,65.19,1629600,64.47
2013-09-19,66.05,66.30,65.47,65.60,1486500,64.48
2013-09-18,66.15,66.35,64.90,66.04,1357400,64.91
2013-09-17,65.60,66.36,65.52,66.34,730800,65.21
2013-09-16,65.82,65.95,65.25,65.66,1449700,64.54
2013-09-13,65.05,65.33,64.84,65.01,1617200,63.90
2013-09-12,64.15,64.79,64.07,64.59,1098100,63.49
2013-09-11,64.61,64.74,64.34,64.59,1150300,63.49
2013-09-10,63.85,64.07,63.64,63.88,681700,62.79
2013-09-09,62.75,63.50,62.63,63.49,773600,62.41
2013-09-06,62.81,63.14,62.31,62.60,751800,61.53
2013-09-05,62.39,62.75,62.16,62.52,1485400,61.45
2013-09-04,61.48,61.73,61.33,61.70,1890300,60.65
2013-09-03,61.61,61.69,60.14,60.66,1772200,59.63
2013-08-30,60.89,61.00,60.34,60.65,1103100,59.62
2013-08-29,60.59,61.14,60.49,60.90,947600,59.86
2013-08-28,59.94,60.43,59.70,60.22,1427200,59.19
2013-08-27,60.77,60.95,60.31,60.42,986000,59.39
2013-08-26,61.93,62.00,61.31,61.38,695600,60.33
2013-08-23,61.90,62.10,61.57,61.76,882300,60.71
2013-08-22,61.74,62.10,61.43,62.00,1011400,60.94
2013-08-21,62.39,62.65,61.40,61.46,1687700,60.41
2013-08-20,61.80,62.50,61.47,62.37,1743200,61.31
2013-08-19,62.01,62.20,61.77,62.06,1642100,61.00
2013-08-16,60.70,61.68,60.70,61.48,2415000,60.43
2013-08-15,61.79,61.88,60.23,60.69,3215300,59.66
2013-08-14,62.76,62.94,62.16,62.18,1915200,61.12
2013-08-13,62.63,62.69,62.20,62.26,1387400,61.20
2013-08-12,62.38,63.00,62.23,62.68,1450500,61.61
2013-08-09,63.36,63.74,62.63,62.68,1748200,61.61
2013-08-08,63.80,63.80,63.39,63.48,929400,62.40
2013-08-07,63.35,63.66,63.25,63.40,2372300,62.32
2013-08-06,63.96,64.28,63.46,63.48,3094300,62.40
2013-08-05,63.17,63.56,62.97,63.50,3161700,62.42
2013-08-02,63.33,64.15,63.33,63.49,2757800,62.41
2013-08-01,64.88,65.30,64.51,64.80,3762700,63.70
2013-07-31,64.93,65.83,64.14,64.27,5641500,63.17
