Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,95.05,95.59,94.30,95.55,4256600,95.55
2014-03-27,93.54,94.83,93.05,94.64,4372000,94.64
2014-03-26,94.82,94.95,93.38,93.54,5268300,93.54
2014-03-25,94.55,95.13,94.15,94.65,4342000,94.65
2014-03-24,94.39,94.61,93.27,93.87,4386000,93.87
2014-03-21,93.37,95.04,92.71,94.07,10986600,94.07
2014-03-20,94.74,94.75,91.20,92.93,10873900,92.93
2014-03-19,97.25,97.38,94.53,95.14,4596500,95.14
2014-03-18,97.11,97.84,96.57,97.26,2893100,97.26
2014-03-17,96.64,97.00,96.38,96.85,2446500,96.85
2014-03-14,95.40,96.57,95.29,96.52,2951400,96.52
2014-03-13,96.71,96.92,95.53,95.81,2621900,95.81
2014-03-12,95.86,96.48,95.55,96.39,3053500,96.39
2014-03-11,97.40,97.47,96.08,96.41,2491200,96.41
2014-03-10,97.14,97.37,96.62,97.22,2397800,97.22
2014-03-07,97.28,97.41,96.34,97.13,2967500,97.13
2014-03-06,96.05,96.55,95.81,96.27,2985900,96.27
2014-03-05,97.46,97.75,96.77,96.85,3063200,96.13
2014-03-04,96.55,97.67,96.41,97.22,3307400,96.50
2014-03-03,95.79,96.87,95.48,96.05,3401200,95.34
2014-02-28,95.75,97.17,95.75,96.52,3998300,95.80
2014-02-27,95.09,95.55,94.68,95.53,2841900,94.82
2014-02-26,96.00,96.00,94.63,95.20,3750400,94.49
2014-02-25,95.87,96.05,95.11,95.82,2894900,95.11
2014-02-24,96.17,96.58,95.71,96.07,4626500,95.36
2014-02-21,95.32,95.97,94.91,95.39,3696100,94.68
2014-02-20,95.00,95.59,94.75,95.40,3827600,94.69
2014-02-19,96.05,96.50,94.87,94.94,5371100,94.23
2014-02-18,96.10,96.53,95.31,96.28,5798700,95.56
2014-02-14,94.66,96.06,94.27,95.76,8779500,95.05
2014-02-13,91.41,92.51,91.15,92.27,3708100,91.58
2014-02-12,92.08,92.70,91.85,92.19,3349700,91.50
2014-02-11,90.80,92.10,90.73,91.60,3772000,90.92
2014-02-10,90.45,91.12,90.16,90.69,4345500,90.02
2014-02-07,88.80,90.91,88.35,90.59,4941900,89.92
2014-02-06,87.61,88.96,87.61,88.48,5376000,87.82
2014-02-05,87.41,87.78,85.90,87.29,5590600,86.64
2014-02-04,87.42,88.04,86.58,87.14,6187600,86.49
2014-02-03,87.80,88.35,87.17,87.24,6228300,86.59
2014-01-31,87.78,88.73,86.81,87.57,5798500,86.92
2014-01-30,88.74,89.23,86.50,88.30,5523000,87.64
2014-01-29,87.29,88.39,87.00,87.82,4094700,87.17
2014-01-28,87.28,88.55,87.18,88.31,2963800,87.65
2014-01-27,87.95,88.14,86.80,87.09,3585600,86.44
2014-01-24,88.76,88.83,87.59,88.00,4734100,87.35
2014-01-23,90.66,90.66,89.17,89.42,4373900,88.76
2014-01-22,90.52,91.28,89.65,90.96,3924700,90.28
2014-01-21,91.22,91.52,89.38,89.97,4978900,89.30
2014-01-09,94.84,95.12,94.07,94.84,3129900,94.13
2014-01-08,94.99,95.40,94.20,94.79,3520400,94.09
2014-01-07,94.57,95.69,94.09,95.55,3691000,94.84
2014-01-06,93.86,94.11,93.20,93.80,3176800,93.10
2014-01-03,93.91,94.25,92.88,93.52,2848000,92.82
2014-01-02,94.51,94.84,93.41,93.85,2752600,93.15
2013-12-31,94.95,95.32,94.23,95.10,2689600,94.39
2013-12-30,94.64,95.32,94.35,94.55,2230200,93.85
2013-12-27,94.16,94.95,93.88,94.85,2001700,94.14
2013-12-26,93.47,94.11,93.13,94.03,2047900,93.33
2013-12-24,93.24,93.54,92.66,93.48,954700,92.79
2013-12-23,93.41,93.88,93.17,93.23,2237400,92.54
2013-12-20,92.80,93.52,92.54,92.80,4970000,92.11
2013-12-19,91.87,93.13,91.50,92.93,4232800,92.24
2013-12-18,90.75,92.34,90.39,92.26,4846100,91.57
2013-12-17,90.95,90.96,90.13,90.21,4578300,89.54
2013-12-16,91.32,91.83,90.73,90.95,3641700,90.27
2013-12-13,91.24,91.49,90.63,91.11,3310500,90.43
2013-12-12,91.44,92.12,90.98,91.24,4265700,90.56
2013-12-11,92.36,92.79,91.33,91.54,4622800,90.86
2013-12-10,93.15,93.20,92.45,92.49,4071200,91.80
2013-12-09,92.57,93.78,92.37,93.14,5059300,92.45
2013-12-06,93.94,94.54,92.54,92.65,4220900,91.96
2013-12-05,94.40,94.44,93.36,93.43,4570100,92.10
2013-12-04,94.30,95.06,93.75,94.59,3998500,93.24
2013-12-03,94.73,95.60,94.06,94.30,4863600,92.96
2013-12-02,95.13,95.39,94.08,94.76,3079200,93.41
2013-11-29,95.21,95.95,94.52,94.96,2252400,93.61
2013-11-27,97.49,97.60,94.79,95.20,4513700,93.84
2013-11-26,97.49,98.09,97.05,97.63,2511000,96.24
2013-11-25,99.31,99.31,97.30,97.47,3815100,96.08
2013-11-22,98.77,99.42,97.96,99.37,3016300,97.96
2013-11-21,97.50,98.72,97.13,98.65,2637200,97.25
2013-11-20,97.13,97.80,96.79,97.18,2817300,95.80
2013-11-19,96.90,97.33,96.01,96.90,2810800,95.52
2013-11-18,97.60,97.76,96.66,97.08,2712000,95.70
2013-11-15,97.57,97.76,96.80,97.54,3344000,96.15
2013-11-14,97.02,97.65,96.48,97.48,3309300,96.09
2013-11-13,95.29,97.04,95.10,97.00,3249900,95.62
2013-11-12,96.67,96.83,95.34,95.64,3048600,94.28
