Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,25.20,25.90,25.20,25.47,1814000,25.47
2014-03-27,25.23,25.35,24.81,25.03,1746300,25.03
2014-03-26,25.84,25.91,25.08,25.25,2100000,25.25
2014-03-25,25.62,25.94,25.55,25.72,2687200,25.72
2014-03-24,25.31,25.55,25.01,25.49,2622100,25.49
2014-03-21,25.75,26.06,25.18,25.24,5574200,25.24
2014-03-20,25.41,25.72,25.30,25.53,1438700,25.53
2014-03-19,25.68,25.77,25.21,25.46,2898600,25.46
2014-03-18,25.34,25.81,25.34,25.75,1816100,25.75
2014-03-17,25.46,25.54,25.18,25.32,1390200,25.32
2014-03-14,25.24,25.38,25.08,25.25,2461900,25.25
2014-03-13,25.76,25.97,25.29,25.38,2418400,25.38
2014-03-12,25.63,25.76,25.15,25.69,3611000,25.69
2014-03-11,26.14,26.29,25.73,25.81,2379800,25.81
2014-03-10,26.34,26.34,25.87,26.08,2968900,26.08
2014-03-07,26.46,26.63,26.07,26.51,2434000,26.51
2014-03-06,26.38,26.47,26.14,26.29,2311500,26.29
2014-03-05,26.00,26.33,25.95,26.32,2644800,26.32
2014-03-04,25.87,26.21,25.61,25.99,3751000,25.99
2014-03-03,25.26,25.69,25.09,25.67,2850500,25.67
2014-02-28,25.04,25.53,24.87,25.45,3438800,25.45
2014-02-27,24.89,25.16,24.86,25.00,2474200,25.00
2014-02-26,25.11,25.44,24.87,25.03,2763100,25.03
2014-02-25,24.67,25.18,24.40,25.00,3655600,25.00
2014-02-24,25.16,25.31,24.67,24.68,3567300,24.68
2014-02-21,25.45,25.53,25.00,25.11,3568200,25.11
2014-02-20,25.25,25.44,24.95,25.34,2380900,25.34
2014-02-19,25.45,25.59,25.20,25.24,2878900,25.24
2014-02-18,25.64,25.70,25.22,25.62,3476500,25.62
2014-02-14,25.35,25.74,25.11,25.64,2598800,25.64
2014-02-13,24.99,25.50,24.81,25.40,2796100,25.40
2014-02-12,25.14,25.14,24.72,25.05,2877000,25.05
2014-02-11,25.05,25.28,24.81,25.18,3573800,24.99
2014-02-10,25.41,25.49,24.91,25.07,3322500,24.88
2014-02-07,25.15,25.58,25.06,25.47,3169200,25.28
2014-02-06,24.78,25.30,24.70,25.10,2277200,24.91
2014-02-05,24.83,25.11,24.41,24.69,3748200,24.51
2014-02-04,24.74,25.22,24.26,25.04,5000700,24.85
2014-02-03,25.16,25.58,24.11,24.45,6790000,24.27
2014-01-31,25.57,26.00,25.15,25.18,7666100,24.99
2014-01-30,23.00,25.89,22.78,25.85,11430300,25.66
2014-01-29,21.54,21.84,21.52,21.73,3618800,21.57
2014-01-28,21.14,21.86,21.13,21.80,3537500,21.64
2014-01-27,21.62,21.93,21.01,21.13,4468900,20.97
2014-01-24,22.12,22.23,21.62,21.64,3188300,21.48
2014-01-23,23.00,23.07,22.20,22.38,3187400,22.21
2014-01-22,23.17,23.44,23.06,23.23,1735700,23.06
2014-01-21,23.15,23.32,22.88,23.20,1484300,23.03
2014-01-17,23.43,23.54,23.07,23.10,1479500,22.93
2014-01-16,23.59,23.78,23.32,23.46,1323300,23.28
2014-01-15,23.37,23.77,23.36,23.67,1650600,23.49
2014-01-14,22.98,23.45,22.95,23.33,2302100,23.16
2014-01-09,23.70,23.83,23.19,23.36,2281000,23.19
2014-01-08,23.64,23.81,23.41,23.69,3126700,23.51
2014-01-07,23.79,23.93,23.60,23.67,1697200,23.49
2014-01-06,23.92,24.18,23.57,23.63,3863900,23.45
2014-01-03,23.45,23.95,23.44,23.85,2709000,23.67
2014-01-02,23.30,23.48,23.17,23.43,3752600,23.26
2013-12-31,23.35,23.50,23.23,23.30,2162100,23.13
2013-12-30,23.50,23.59,23.31,23.38,1502400,23.21
2013-12-27,23.70,23.80,23.53,23.56,2287500,23.38
2013-12-26,23.00,23.84,22.97,23.77,3799300,23.59
2013-12-24,22.93,23.10,22.73,23.05,749400,22.88
2013-12-23,22.55,23.05,22.46,22.96,3318700,22.79
2013-12-20,22.05,22.73,21.91,22.40,11535200,22.23
2013-12-19,22.12,22.30,22.01,22.06,3070800,21.90
2013-12-18,22.04,22.23,21.36,22.13,3731200,21.96
2013-12-17,22.15,22.18,21.72,22.06,3146100,21.90
2013-12-16,22.24,22.38,22.05,22.20,3806900,22.03
2013-12-13,21.91,22.30,21.91,22.24,2648500,22.07
2013-12-12,22.06,22.11,21.71,21.97,3303000,21.81
2013-12-11,22.51,22.66,21.96,22.04,3905400,21.88
2013-12-10,22.11,22.57,22.10,22.51,2687000,22.34
2013-12-09,22.21,22.35,22.06,22.23,2495900,22.06
2013-12-06,21.77,22.31,21.53,22.24,4929000,22.07
2013-12-05,22.49,22.49,21.42,21.55,5839900,21.39
2013-12-04,22.32,22.84,22.08,22.52,4965400,22.35
2013-12-03,23.17,23.32,22.29,22.37,5772600,22.20
2013-12-02,23.25,23.74,23.15,23.38,2859200,23.21
2013-11-29,23.38,23.49,23.06,23.17,1593600,23.00
2013-11-27,23.33,23.56,23.20,23.39,2816300,23.22
2013-11-26,23.63,23.75,23.23,23.33,3624600,23.16
2013-11-25,24.03,24.17,23.52,23.63,3263700,23.45
2013-11-22,23.71,24.15,23.65,24.09,3368600,23.91
2013-11-21,23.25,23.80,23.22,23.67,3291300,23.49
2013-11-20,23.40,23.64,23.17,23.21,3298200,23.04
2013-11-19,23.46,23.72,23.35,23.40,3829100,23.23
2013-11-18,23.63,23.80,23.18,23.34,6006600,23.17
2013-11-15,22.82,24.18,22.80,23.82,10742100,23.64
2013-11-14,22.10,23.04,22.10,22.85,5613800,22.68
2013-11-13,21.74,22.49,21.69,22.27,3636100,21.92
2013-11-12,21.75,22.00,21.63,21.89,4477600,21.54
2013-11-11,21.36,21.75,21.32,21.75,9703600,21.41
2013-11-08,21.31,21.61,21.26,21.41,3392800,21.07
2013-11-07,21.77,22.00,21.27,21.32,3665900,20.98
2013-11-06,21.86,22.02,21.65,21.81,4750900,21.46
2013-11-05,21.74,21.93,21.53,21.80,3208900,21.45
2013-11-04,21.52,22.11,21.50,21.88,4140900,21.53
2013-11-01,21.35,21.50,21.16,21.48,3727600,21.14
2013-10-31,20.84,21.45,20.73,21.34,5315600,21.00
2013-10-30,20.82,21.34,20.57,20.84,6537500,20.51
2013-10-29,19.58,22.00,19.41,20.77,16124600,20.44
2013-10-28,19.50,19.54,19.07,19.24,5553900,18.94
2013-10-25,19.73,19.80,19.31,19.45,4184500,19.14
