Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,41.90,42.57,41.57,41.89,12653900,41.89
2014-03-27,43.69,43.72,43.33,43.64,4104000,43.64
2014-03-26,44.72,44.92,44.20,44.28,2575800,43.82
2014-03-25,44.81,44.95,44.52,44.71,2110300,44.25
2014-03-24,44.53,44.85,44.29,44.73,1727400,44.27
2014-03-21,44.60,44.97,44.32,44.37,5620800,43.91
2014-03-20,44.11,44.33,43.93,44.31,1935700,43.85
2014-03-19,44.48,44.72,44.03,44.30,3938400,43.84
2014-03-18,44.50,44.75,44.42,44.51,1430600,44.05
2014-03-17,44.42,44.62,44.18,44.62,1898000,44.16
2014-03-14,44.01,44.55,43.90,44.35,3059400,43.89
2014-03-13,43.64,44.10,43.48,44.04,2409200,43.59
2014-03-12,42.96,43.58,42.88,43.58,2458400,43.13
2014-03-11,42.79,43.01,42.59,43.01,3727400,42.57
2014-03-10,42.75,42.89,42.54,42.70,2600600,42.26
2014-03-07,42.73,42.89,42.13,42.75,3151400,42.31
2014-03-06,43.22,43.37,42.60,42.75,3312400,42.31
2014-03-05,43.84,43.88,43.13,43.22,3015000,42.78
2014-03-04,44.01,44.03,43.76,43.91,1800900,43.46
2014-03-03,43.87,44.13,43.59,43.63,3060400,43.18
2014-02-28,43.46,44.32,43.39,44.06,3938800,43.61
2014-02-27,43.44,43.78,43.21,43.39,1823600,42.94
2014-02-26,43.84,44.02,43.39,43.49,2699900,43.04
2014-02-25,44.13,44.19,43.73,43.79,3041900,43.34
2014-02-24,44.00,44.45,43.96,44.02,3065600,43.57
2014-02-21,43.67,44.25,43.59,43.94,2587800,43.49
2014-02-20,43.29,43.82,43.20,43.66,1327400,43.21
2014-02-19,43.40,43.79,43.16,43.23,2077700,42.79
2014-02-18,43.96,43.97,43.40,43.50,3217700,43.05
2014-02-14,43.74,44.04,43.62,43.94,2659300,43.49
2014-02-13,43.06,43.94,43.00,43.91,3812100,43.46
2014-02-12,42.45,43.16,42.37,43.15,4067500,42.71
2014-02-11,41.60,42.57,41.41,42.44,2810800,42.00
2014-02-10,41.73,42.22,41.50,42.20,2827300,41.77
2014-02-07,41.44,41.88,41.40,41.83,1742500,41.40
2014-02-06,41.11,41.52,40.92,41.35,1776700,40.93
2014-02-05,41.14,41.34,41.01,41.11,1855700,40.69
2014-02-04,41.68,41.76,41.10,41.28,2512300,40.86
2014-02-03,42.25,42.64,41.41,41.52,3635600,41.09
2014-01-31,41.51,42.39,41.49,42.15,4450200,41.72
2014-01-30,41.20,41.99,41.11,41.96,3937900,41.53
2014-01-29,40.97,41.11,40.77,40.93,3211800,40.51
2014-01-28,40.99,41.09,40.81,41.01,2078100,40.59
2014-01-27,40.82,41.03,40.77,40.92,3025300,40.50
2014-01-24,41.11,41.36,40.81,40.82,3593400,40.40
2014-01-23,40.98,41.37,40.92,41.29,2981900,40.87
2014-01-22,41.25,41.38,40.94,41.14,2611700,40.72
2014-01-21,40.72,41.27,40.72,41.27,2970400,40.85
2014-01-17,40.67,40.79,40.40,40.67,2467800,40.25
2014-01-16,40.48,40.69,40.32,40.65,2340200,40.23
2014-01-15,40.85,41.13,40.27,40.51,3696000,40.09
2014-01-14,40.28,40.55,40.13,40.30,1867300,39.89
2014-01-09,40.07,40.16,39.78,40.07,1884200,39.66
2014-01-08,39.89,39.97,39.59,39.80,2204400,39.39
2014-01-07,39.70,40.08,39.67,40.01,2567800,39.60
2014-01-06,39.71,39.87,39.54,39.69,2588600,39.28
2014-01-03,39.72,39.85,39.42,39.60,2824400,39.19
2014-01-02,40.36,40.37,39.66,39.66,2366400,39.25
2013-12-31,40.33,40.47,40.13,40.28,1925500,39.87
2013-12-30,40.22,40.42,40.07,40.27,2151200,39.86
2013-12-27,40.28,40.56,40.15,40.28,1334800,39.87
2013-12-26,41.12,41.18,40.48,40.56,1925200,39.69
2013-12-24,40.98,41.23,40.91,41.03,1053800,40.15
2013-12-23,40.80,41.19,40.73,40.98,2317700,40.10
2013-12-20,40.17,40.94,40.14,40.56,5428300,39.69
2013-12-19,40.57,40.57,40.04,40.22,3901200,39.36
2013-12-18,40.70,41.01,40.11,40.95,3941000,40.07
2013-12-17,40.95,41.09,40.56,40.64,4126700,39.77
2013-12-16,40.66,41.16,40.64,40.98,4383400,40.10
2013-12-13,40.34,40.49,40.22,40.42,2025800,39.56
2013-12-12,40.17,40.49,40.16,40.20,3367600,39.34
2013-12-11,40.25,40.57,40.17,40.26,2640800,39.40
2013-12-10,41.09,41.20,40.18,40.32,3349800,39.46
2013-12-09,41.06,41.46,41.00,41.16,2569700,40.28
2013-12-06,40.53,41.23,40.43,41.11,2854100,40.23
2013-12-05,40.66,40.66,40.05,40.36,3130000,39.50
2013-12-04,40.57,40.91,40.33,40.71,2394800,39.84
2013-12-03,40.34,40.83,40.17,40.80,2891400,39.93
2013-12-02,40.44,40.72,40.22,40.46,3254600,39.60
2013-11-29,40.00,40.61,40.00,40.37,1377800,39.51
2013-11-27,40.28,40.34,40.07,40.26,2515200,39.40
2013-11-26,40.57,40.60,39.91,40.25,4406500,39.39
2013-11-25,40.74,40.96,40.57,40.57,2399500,39.70
2013-11-22,40.49,40.81,40.47,40.63,2883100,39.76
2013-11-21,40.70,40.81,40.13,40.52,2299800,39.65
2013-11-20,40.88,41.11,40.55,40.55,2082900,39.68
2013-11-19,41.09,41.21,40.82,40.93,2065900,40.05
2013-11-18,41.20,41.25,40.75,41.02,3635900,40.14
2013-11-15,40.87,41.20,40.85,41.16,2298100,40.28
2013-11-14,41.09,41.34,40.94,41.01,2200900,40.13
2013-11-13,40.32,41.09,40.20,40.97,4012500,40.09
2013-11-12,40.67,40.99,40.02,40.49,8906200,39.62
2013-11-11,41.75,41.87,41.34,41.42,1806600,40.53
2013-11-08,41.92,41.92,41.37,41.77,3834300,40.88
