Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,41.15,41.94,40.97,41.64,1416100,41.64
2014-03-27,41.32,41.52,40.73,40.93,1873700,40.93
2014-03-26,41.56,41.84,41.33,41.33,1219400,41.33
2014-03-25,41.82,42.10,41.36,41.38,1419500,41.38
2014-03-24,41.89,41.99,41.38,41.66,861700,41.66
2014-03-21,41.89,42.34,41.54,41.70,1528300,41.70
2014-03-20,41.65,41.81,41.21,41.75,833800,41.75
2014-03-19,42.36,42.50,41.63,41.77,770100,41.77
2014-03-18,41.92,42.40,41.86,42.36,1145600,42.36
2014-03-17,42.03,42.16,41.62,41.94,662100,41.94
2014-03-14,41.99,42.30,41.75,41.86,811100,41.86
2014-03-13,42.00,42.23,41.88,42.07,1085600,42.07
2014-03-12,42.53,42.69,41.72,41.96,1416600,41.96
2014-03-11,42.59,43.00,42.51,42.63,1129900,42.63
2014-03-10,43.08,43.24,42.31,42.59,1076800,42.59
2014-03-07,43.71,43.84,43.00,43.09,1095400,43.09
2014-03-06,42.94,44.06,42.57,43.68,1577800,43.68
2014-03-05,42.91,43.05,42.56,42.80,880300,42.80
2014-03-04,43.33,43.36,42.81,42.96,1159400,42.96
2014-03-03,42.99,43.11,42.61,43.01,1040200,43.01
2014-02-28,43.41,43.48,42.89,43.29,1233700,43.29
2014-02-27,43.34,43.49,42.98,43.31,1182200,43.31
2014-02-26,42.59,43.58,42.59,43.34,1523900,43.34
2014-02-25,42.57,42.66,42.09,42.59,841500,42.59
2014-02-24,42.56,42.95,42.47,42.49,720400,42.49
2014-02-21,42.80,42.87,42.23,42.39,1106100,42.39
2014-02-20,42.77,43.14,42.56,42.84,604000,42.84
2014-02-19,42.80,43.21,42.54,42.67,930500,42.67
2014-02-18,42.98,43.14,42.61,42.85,892100,42.85
2014-02-14,42.51,42.98,42.41,42.96,559900,42.96
2014-02-13,42.25,42.67,42.06,42.51,662800,42.51
2014-02-12,42.68,42.84,42.32,42.45,684200,42.45
2014-02-11,42.71,43.30,42.51,43.15,700900,42.71
2014-02-10,42.55,42.85,42.33,42.78,768200,42.34
2014-02-07,42.87,43.13,42.28,42.65,905800,42.22
2014-02-06,41.86,42.90,41.85,42.87,1469400,42.43
2014-02-05,42.14,42.21,41.63,41.85,1163900,41.42
2014-02-04,42.17,42.47,41.90,42.15,791500,41.72
2014-02-03,43.09,43.09,41.82,42.03,1046300,41.60
2014-01-31,42.58,43.30,42.32,43.07,1092700,42.63
2014-01-30,43.34,43.50,42.92,43.02,957700,42.58
2014-01-29,44.29,44.38,43.00,43.16,1429900,42.72
2014-01-28,43.95,44.88,43.81,44.57,2447600,44.12
2014-01-27,42.91,43.67,42.71,43.61,1631400,43.17
2014-01-24,43.41,43.55,42.82,42.88,972400,42.44
2014-01-23,43.84,43.99,43.50,43.62,1046800,43.18
2014-01-22,44.06,44.50,44.00,44.05,890700,43.60
2014-01-21,44.30,44.78,44.01,44.05,1370800,43.60
2014-01-17,44.24,44.33,43.98,44.25,1324600,43.80
2014-01-16,44.28,44.43,44.14,44.23,813500,43.78
2014-01-15,44.10,44.50,44.10,44.29,1035900,43.84
2014-01-14,44.00,44.51,43.91,44.29,914400,43.84
2014-01-13,44.00,44.23,43.77,43.92,984600,43.47
2014-01-09,44.23,44.37,43.51,44.13,1582600,43.68
2014-01-08,44.42,44.45,43.69,44.05,2196800,43.60
2014-01-07,44.39,45.10,44.14,44.45,1849100,44.00
2014-01-06,44.29,45.37,43.98,44.75,3260200,44.29
2014-01-03,46.29,46.60,46.05,46.34,701500,45.87
2014-01-02,46.36,46.74,46.05,46.29,682400,45.82
2013-12-31,46.50,46.69,46.30,46.51,551000,46.04
2013-12-30,46.31,46.65,46.31,46.49,456300,46.02
2013-12-27,46.29,46.45,45.97,46.40,508400,45.93
2013-12-26,46.58,46.81,46.01,46.24,818400,45.77
2013-12-24,46.54,46.73,46.34,46.53,372600,46.06
2013-12-23,46.48,46.99,46.34,46.53,1007100,46.06
2013-12-20,46.17,46.49,46.06,46.37,1892100,45.90
2013-12-19,46.19,46.29,45.90,46.06,1176200,45.59
2013-12-18,45.40,46.25,45.04,46.17,1999200,45.70
2013-12-17,45.12,45.40,44.88,45.32,1056400,44.86
2013-12-16,44.69,45.29,44.50,45.21,1053700,44.75
