Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,245.44,247.68,243.18,247.58,785000,247.58
2014-03-27,246.89,247.06,243.86,244.61,746900,244.61
2014-03-26,251.23,251.67,246.90,246.90,721900,246.90
2014-03-25,251.25,252.41,249.03,250.19,760300,250.19
2014-03-24,253.73,253.73,247.73,250.05,619100,250.05
2014-03-21,258.29,261.49,252.45,252.80,900500,252.80
2014-03-20,256.55,256.78,251.57,256.17,758300,256.17
2014-03-19,255.13,255.94,248.97,250.32,705800,250.32
2014-03-18,255.52,256.03,253.99,255.13,487100,255.13
2014-03-17,253.16,257.50,252.64,255.04,848500,255.04
2014-03-14,253.81,256.61,251.67,252.07,562800,252.07
2014-03-13,260.03,261.57,253.37,253.92,555200,253.92
2014-03-12,257.19,259.65,255.48,259.41,461000,259.41
2014-03-11,261.00,261.85,257.80,258.13,372900,258.13
2014-03-10,262.00,262.23,259.00,260.81,564900,260.81
2014-03-07,262.41,265.30,262.24,262.96,475600,262.96
2014-03-06,260.31,261.68,258.28,261.49,569800,261.49
2014-03-05,261.01,261.90,259.27,260.21,575100,260.21
2014-03-04,259.34,261.54,258.72,260.49,711500,260.46
2014-03-03,255.29,257.37,253.91,256.04,589700,256.01
2014-02-28,258.68,261.17,256.77,257.88,639600,257.85
2014-02-27,252.16,258.53,251.71,258.38,684000,258.35
2014-02-26,255.10,255.60,252.51,253.20,1031700,253.17
2014-02-25,256.66,257.89,254.03,254.74,606800,254.71
2014-02-24,256.54,261.06,256.41,257.08,524100,257.05
2014-02-21,257.85,259.81,255.66,256.40,680800,256.37
2014-02-20,255.96,259.36,253.82,258.47,630900,258.44
2014-02-19,257.43,260.79,254.48,255.14,660600,255.11
2014-02-18,261.13,261.40,257.78,258.71,875000,258.68
2014-02-14,262.93,262.99,259.25,260.44,1125700,260.41
2014-02-13,259.61,264.28,259.32,263.87,498500,263.84
2014-02-12,262.99,263.63,260.24,262.38,480700,262.35
2014-02-11,258.73,262.62,257.87,262.07,702800,262.04
2014-02-10,259.76,259.76,255.60,257.77,855900,257.74
2014-02-07,255.70,261.00,255.03,260.20,948500,260.17
2014-02-06,250.83,254.98,250.41,253.89,754800,253.86
2014-02-05,245.77,250.23,245.05,249.62,641600,249.59
2014-02-04,248.40,248.55,244.05,246.89,1115800,246.86
2014-02-03,254.53,255.79,247.53,247.82,911000,247.79
2014-01-31,250.08,257.20,248.03,254.75,976200,254.72
2014-01-30,255.48,257.84,253.42,253.66,961100,253.63
2014-01-29,253.53,254.78,251.36,252.96,973300,252.93
2014-01-28,256.61,257.09,252.74,255.69,877700,255.66
2014-01-27,255.88,257.97,254.38,256.31,937300,256.28
2014-01-24,258.66,261.10,255.25,255.46,1353600,255.43
2014-01-23,263.20,268.35,256.87,261.10,2952800,261.07
2014-01-22,271.82,272.21,267.36,270.69,743600,270.66
2014-01-21,272.68,274.96,270.04,270.31,765000,270.28
2014-01-17,270.62,271.80,269.63,270.62,538400,270.59
2014-01-16,271.88,273.17,270.99,272.07,326500,272.04
2014-01-15,270.87,272.77,270.68,272.24,382600,272.21
2014-01-14,269.27,270.81,266.68,270.81,435400,270.78
2014-01-13,271.01,274.09,268.59,269.00,475600,268.97
2014-01-09,271.30,272.70,270.00,272.08,670000,272.05
2014-01-08,268.50,270.00,266.19,269.83,425100,269.80
2014-01-07,265.62,269.24,265.62,268.10,310600,268.07
2014-01-06,267.58,269.01,264.64,265.33,405100,265.30
2014-01-03,267.14,269.46,266.20,267.79,374100,267.76
2014-01-02,268.65,268.72,264.51,265.38,465900,265.35
2013-12-31,268.68,269.96,268.15,269.30,376700,269.27
2013-12-30,269.69,269.87,267.29,268.43,243600,268.40
2013-12-27,270.92,271.75,268.47,268.72,299700,268.69
2013-12-26,271.16,271.99,269.38,270.77,329300,270.74
2013-12-24,268.06,271.15,268.00,270.98,175300,270.95
2013-12-23,268.23,269.80,266.74,268.71,592000,268.68
2013-12-20,264.67,268.75,264.13,267.85,942700,267.82
2013-12-19,264.50,265.99,263.21,263.89,533500,263.86
2013-12-18,261.92,264.92,256.19,264.78,657900,264.75
2013-12-17,259.08,261.76,257.62,261.57,792800,261.54
2013-12-16,254.16,258.50,253.96,257.40,389800,257.37
2013-12-13,254.60,255.40,252.05,253.11,334000,253.08
2013-12-12,251.82,254.77,250.91,253.62,544000,253.59
2013-12-11,254.19,254.19,251.65,251.84,872400,251.81
2013-12-10,252.82,254.81,252.31,253.27,329800,253.24
2013-12-09,255.40,255.90,252.95,253.64,468200,253.61
2013-12-06,253.83,256.16,253.10,254.33,526500,254.30
2013-12-05,252.82,253.84,251.89,252.42,538900,252.39
2013-12-04,253.84,257.60,252.19,253.83,512100,253.80
2013-12-03,256.95,258.54,255.87,256.36,454400,256.30
2013-12-02,258.45,260.45,257.25,257.78,393200,257.72
2013-11-29,260.09,261.50,257.81,258.45,212400,258.39
2013-11-27,258.93,260.58,258.92,259.96,351900,259.90
2013-11-26,258.00,259.38,255.62,258.95,499500,258.89
2013-11-25,258.35,259.92,255.49,257.74,475600,257.68
2013-11-22,252.62,259.69,252.29,258.26,481900,258.20
2013-11-21,251.76,254.49,250.99,253.54,377800,253.48
2013-11-20,254.07,254.92,249.92,250.49,394700,250.43
2013-11-19,256.10,258.78,253.03,254.12,468600,254.06
2013-11-18,251.88,259.88,251.33,255.87,925600,255.81
2013-11-15,248.82,251.99,248.34,250.20,502600,250.14
2013-11-14,248.27,249.50,247.70,248.87,356600,248.81
2013-11-13,249.00,249.60,247.49,248.20,444300,248.14
2013-11-12,247.98,250.80,246.34,249.71,428700,249.65
2013-11-11,249.70,250.07,246.61,248.15,477300,248.09
2013-11-08,247.75,251.55,247.33,251.11,425800,251.05
2013-11-07,253.11,253.94,247.10,247.32,466600,247.26
2013-11-06,253.89,254.66,251.59,252.66,424300,252.60
2013-11-05,251.62,254.52,249.91,252.27,464000,252.21
2013-11-04,254.31,254.61,251.82,252.72,577700,252.66
2013-11-01,253.55,255.00,251.31,253.08,451100,253.02
2013-10-31,251.65,254.95,250.94,253.45,751100,253.39
2013-10-30,255.02,256.32,249.93,252.06,915200,252.00
2013-10-29,254.10,255.13,251.50,254.97,557200,254.91
2013-10-28,254.27,255.87,251.68,253.69,549100,253.63
2013-10-25,256.45,257.80,253.65,254.81,918900,254.75
2013-10-24,249.99,263.52,248.56,256.43,1474000,256.37
2013-10-23,242.39,246.45,241.38,246.16,785300,246.10
2013-10-22,242.89,243.96,240.35,242.41,382200,242.35
2013-10-21,243.87,243.87,241.24,241.90,548700,241.84
2013-10-18,241.87,243.49,240.58,243.34,738400,243.28
2013-10-17,239.04,241.87,238.66,241.58,688900,241.52
2013-10-16,239.76,241.63,238.55,239.80,591600,239.74
2013-10-15,240.44,241.70,237.67,238.05,1048900,237.99
2013-10-14,238.50,241.87,236.78,241.51,432100,241.45
2013-10-11,237.77,240.05,236.37,239.99,494300,239.93
2013-10-10,234.00,238.69,233.95,238.62,496900,238.56
2013-10-09,233.13,234.07,228.48,229.91,647100,229.86
2013-10-08,233.92,235.45,232.52,232.81,743000,232.76
2013-10-07,232.10,236.28,231.62,234.29,627000,234.24
2013-10-04,231.40,234.38,230.41,233.89,470900,233.84
2013-10-03,230.30,232.69,227.67,231.32,819900,231.27
2013-10-02,231.12,231.63,227.41,230.15,656400,230.10
2013-10-01,227.44,233.42,227.44,232.21,632100,232.16
2013-09-30,226.39,228.95,225.00,227.24,690200,227.19
2013-09-27,227.67,228.92,226.90,228.09,605300,228.04
2013-09-26,228.48,231.03,228.14,229.98,789600,229.93
2013-09-25,229.50,230.15,227.64,228.01,343200,227.96
2013-09-24,229.30,232.29,227.89,229.99,801300,229.94
2013-09-23,232.22,233.15,228.50,228.61,842000,228.56
2013-09-20,235.41,235.41,231.99,232.19,789900,232.14
2013-09-19,238.33,238.33,234.79,235.41,702900,235.36
2013-09-18,236.87,237.74,233.32,237.14,620200,237.08
2013-09-17,234.35,237.17,233.59,237.09,547000,237.03
2013-09-16,234.40,234.54,232.77,234.35,656200,234.30
2013-09-13,230.00,232.35,227.88,232.23,839100,232.18
2013-09-12,228.30,230.86,228.21,230.06,963200,230.01
2013-09-11,226.10,228.63,224.12,228.63,814600,228.58
2013-09-10,224.32,225.75,223.00,224.25,476500,224.20
2013-09-09,221.08,222.98,220.54,222.59,692800,222.54
2013-09-06,217.43,220.52,214.87,219.80,1114400,219.75
2013-09-05,217.43,217.79,215.61,216.99,358600,216.94
2013-09-04,213.76,218.81,213.16,217.78,622800,217.73
2013-09-03,212.80,215.73,212.56,213.86,660200,213.78
2013-08-30,213.62,213.67,210.79,211.24,415300,211.16
2013-08-29,212.00,216.78,211.20,213.57,577200,213.49
2013-08-28,211.90,214.18,211.61,212.39,563400,212.31
2013-08-27,214.34,214.93,211.83,212.11,764700,212.03
2013-08-26,217.95,219.25,216.09,216.25,390100,216.17
2013-08-23,219.38,219.58,217.26,218.16,617300,218.08
2013-08-22,216.99,220.10,216.15,219.38,696700,219.30
2013-08-21,215.29,217.41,214.83,215.08,598500,215.00
2013-08-20,217.38,217.80,215.70,215.93,491100,215.85
2013-08-19,216.35,219.38,215.51,217.39,423300,217.31
2013-08-16,217.03,218.96,216.58,216.94,480000,216.86
2013-08-15,218.01,220.62,217.49,217.58,534200,217.50
2013-08-14,219.88,219.96,218.29,219.51,418300,219.43
2013-08-13,216.53,220.25,215.45,220.04,613700,219.96
2013-08-12,218.15,218.15,215.27,216.18,946100,216.10
2013-08-09,220.80,221.34,218.34,218.54,939200,218.46
2013-08-08,221.40,223.03,220.68,220.82,605900,220.74
2013-08-07,221.00,223.07,219.20,220.96,509700,220.88
2013-08-06,219.69,224.49,219.69,221.93,431700,221.85
2013-08-05,223.84,225.67,222.99,224.79,331400,224.71
2013-08-02,224.34,225.29,222.20,224.00,1023700,223.92
2013-08-01,223.54,224.90,221.76,224.56,802300,224.48
2013-07-31,222.75,224.05,220.78,221.72,1146300,221.64
2013-07-30,225.35,226.35,221.67,221.69,541400,221.61
2013-07-29,224.98,225.82,223.13,224.45,834700,224.37
2013-07-26,229.54,230.99,222.90,225.00,1427200,224.92
2013-07-25,230.82,238.99,221.10,230.70,1658200,230.61
2013-07-24,236.47,236.47,232.94,233.26,670700,233.17
2013-07-23,235.95,238.08,235.02,235.74,713300,235.65
2013-07-22,234.75,236.16,233.52,235.01,383300,234.92
2013-07-19,233.26,234.60,231.60,234.47,668100,234.38
2013-07-18,233.29,234.61,232.20,233.11,480600,233.02
