Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,40.90,41.30,40.82,41.03,419500,41.03
2014-03-27,41.18,41.26,40.69,40.79,330800,40.79
2014-03-26,41.05,41.46,40.95,41.05,418400,41.05
2014-03-25,41.17,41.32,40.70,40.99,533700,40.99
2014-03-24,41.20,41.37,40.54,41.00,703100,41.00
2014-03-21,41.93,41.95,41.10,41.14,679600,41.14
2014-03-20,41.61,42.01,41.33,41.61,403900,41.61
2014-03-19,41.88,42.63,41.42,41.64,1047800,41.64
2014-03-18,41.61,41.89,41.55,41.79,402400,41.79
2014-03-17,41.35,41.95,41.28,41.55,489200,41.55
2014-03-14,41.74,41.86,41.11,41.15,904800,41.15
2014-03-13,42.46,42.58,41.78,41.81,1013000,41.81
2014-03-12,41.93,42.63,41.92,42.41,1121700,42.41
2014-03-11,41.95,42.69,41.55,42.21,1443200,42.21
2014-03-10,41.97,42.00,41.69,41.86,352600,41.86
2014-03-07,42.01,42.17,41.78,42.00,622900,42.00
2014-03-06,41.80,42.04,41.66,42.00,517900,42.00
2014-03-05,41.72,41.72,41.39,41.61,399100,41.61
2014-03-04,41.15,42.15,41.15,41.68,1409500,41.68
2014-03-03,40.88,40.95,40.10,40.83,1523000,40.83
2014-02-28,40.95,41.27,40.80,41.16,829500,41.16
2014-02-27,40.52,40.85,40.38,40.85,452700,40.85
2014-02-26,40.61,40.91,40.42,40.56,323900,40.56
2014-02-25,40.86,41.08,40.64,40.68,487000,40.68
2014-02-24,40.73,41.08,40.65,40.82,664800,40.82
2014-02-21,40.52,40.99,40.22,40.72,921600,40.72
2014-02-20,39.63,40.74,39.32,40.55,957600,40.55
2014-02-19,39.91,40.35,39.67,39.74,1235600,39.74
2014-02-18,40.27,40.70,39.98,39.98,903000,39.98
2014-02-14,40.40,40.72,40.26,40.30,682300,40.30
2014-02-13,39.95,40.52,39.53,40.39,874700,40.39
2014-02-12,40.61,40.95,40.05,40.08,1290700,40.08
2014-02-11,40.30,41.01,40.18,40.61,772800,40.61
2014-02-10,39.69,40.33,39.41,40.30,781300,40.30
2014-02-07,39.66,39.94,39.28,39.69,815500,39.69
2014-02-06,39.40,39.58,39.06,39.52,554100,39.52
2014-02-05,39.10,39.60,38.78,39.38,790300,39.38
2014-02-04,39.12,39.42,38.84,39.25,1012700,39.25
2014-02-03,40.06,40.17,38.91,39.05,1509200,39.05
2014-01-31,39.79,40.09,39.54,39.96,747000,39.96
2014-01-30,40.27,40.59,40.20,40.27,488700,40.27
2014-01-29,39.91,40.25,39.69,39.98,865200,39.98
2014-01-28,39.79,40.40,39.79,40.11,1448800,40.11
2014-01-27,39.88,40.00,39.69,39.85,1009000,39.85
2014-01-24,40.46,40.74,39.79,39.99,1077200,39.99
2014-01-23,41.38,41.56,40.61,40.68,692200,40.68
2014-01-22,41.52,41.69,41.40,41.50,520200,41.50
2014-01-21,41.14,41.37,41.01,41.33,490400,41.33
2014-01-17,41.24,41.30,40.93,40.98,653500,40.98
2014-01-16,40.89,41.26,40.89,41.20,526500,41.20
