Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,79.94,80.32,79.52,79.76,6375000,79.76
2014-03-27,79.55,80.43,79.38,79.65,8134100,79.65
2014-03-26,80.03,80.18,79.33,79.50,8269800,79.50
2014-03-25,79.52,79.99,79.44,79.81,8892500,79.81
2014-03-24,78.50,79.83,78.47,79.30,11221600,79.30
2014-03-21,79.04,79.75,77.88,77.88,21244400,77.88
2014-03-20,78.70,78.93,78.15,78.32,8659500,78.32
2014-03-19,79.68,79.91,78.51,78.78,8607200,78.78
2014-03-18,79.84,80.08,79.51,79.77,7703200,79.77
2014-03-17,79.02,79.95,79.02,79.84,8452100,79.84
2014-03-14,79.10,79.23,78.67,78.98,14850700,78.98
2014-03-13,79.32,79.76,79.19,79.19,9676600,79.19
2014-03-12,78.66,79.45,78.62,79.24,7470100,79.24
2014-03-11,78.59,79.39,78.57,78.95,6595800,78.95
2014-03-10,78.29,78.57,78.20,78.53,5229900,78.53
2014-03-07,78.41,78.60,78.11,78.38,5865400,78.38
2014-03-06,78.04,78.44,77.84,78.06,6475600,78.06
2014-03-05,78.32,78.41,77.55,77.82,8542300,77.82
2014-03-04,78.09,78.72,77.90,78.45,8306900,78.45
2014-03-03,78.26,78.41,77.35,77.48,8598600,77.48
2014-02-28,78.24,78.91,78.01,78.66,8489600,78.66
2014-02-27,77.77,78.23,77.56,78.19,6549800,78.19
2014-02-26,78.23,78.77,77.82,77.86,7764700,77.86
2014-02-25,77.73,78.31,77.40,78.12,8177500,78.12
2014-02-24,78.03,78.77,77.61,77.86,7838700,77.86
2014-02-21,78.05,78.89,77.91,77.97,8089200,77.97
2014-02-20,77.96,78.44,77.50,77.92,8275200,77.92
2014-02-19,77.64,78.96,77.55,78.14,8740000,78.14
2014-02-18,79.48,79.63,77.56,77.97,15750700,77.97
2014-02-14,77.69,79.75,77.25,79.40,10791900,79.40
2014-02-13,77.09,77.92,77.00,77.80,7420600,77.80
2014-02-12,78.13,78.53,77.06,77.49,11019700,77.49
2014-02-11,78.10,79.11,77.64,78.84,10500800,78.84
2014-02-10,77.43,78.09,77.19,78.03,8959700,78.03
2014-02-07,76.99,77.39,76.75,77.31,7259200,77.31
2014-02-06,76.53,76.99,76.48,76.90,7819700,76.90
2014-02-05,75.94,76.80,75.67,76.45,9734100,76.45
2014-02-04,76.00,76.39,75.40,76.09,12055400,76.09
2014-02-03,76.69,76.76,75.60,75.70,14292700,75.70
2014-01-31,76.03,77.19,75.26,76.62,12988800,76.62
2014-01-30,78.05,78.05,76.77,76.87,9450500,76.87
2014-01-29,78.80,78.80,77.38,77.64,13443100,77.64
2014-01-28,78.67,79.52,78.43,79.11,10060800,79.11
2014-01-27,79.24,79.30,78.42,78.47,10395400,78.47
2014-01-24,79.33,81.70,78.78,79.18,20163200,79.18
2014-01-09,80.54,80.80,80.03,80.42,10833900,79.81
2014-01-08,80.97,81.15,80.05,80.24,13458800,79.63
2014-01-07,80.71,81.58,80.62,81.42,7158200,80.81
2014-01-06,80.61,80.98,80.30,80.64,7208200,80.03
2014-01-03,80.76,80.85,80.19,80.45,6925600,79.84
