Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,23.86,24.15,23.80,23.98,3898800,23.98
2014-03-27,23.84,23.92,23.70,23.77,2986100,23.77
2014-03-26,24.30,24.33,23.88,23.90,4382400,23.90
2014-03-25,24.16,24.30,24.06,24.16,1846300,24.16
2014-03-24,24.30,24.36,24.03,24.11,3333100,24.11
2014-03-21,24.69,24.89,24.16,24.22,5270100,24.22
2014-03-20,23.38,23.89,23.35,23.82,2945600,23.82
2014-03-19,23.66,23.68,23.34,23.44,2479800,23.44
2014-03-18,23.69,23.83,23.64,23.65,1778700,23.65
2014-03-17,23.80,23.85,23.56,23.73,2553800,23.73
2014-03-14,23.38,23.86,23.34,23.70,5464200,23.70
2014-03-13,23.60,23.66,23.16,23.40,6912200,23.40
2014-03-12,23.97,24.05,23.57,23.58,5647400,23.58
2014-03-11,24.54,24.60,24.34,24.52,2396200,24.52
2014-03-10,24.38,24.57,24.38,24.50,3189400,24.50
2014-03-07,24.56,24.57,24.23,24.45,2309400,24.45
2014-03-06,24.31,24.56,24.28,24.45,1880900,24.45
2014-03-05,24.19,24.34,24.11,24.30,3537300,24.30
2014-03-04,24.38,24.44,24.09,24.22,3471100,24.22
2014-03-03,24.32,24.33,24.04,24.12,3392300,24.12
2014-02-28,24.21,24.59,24.13,24.49,5522700,24.49
2014-02-27,23.86,24.19,23.80,24.18,2842800,24.18
2014-02-26,23.77,24.09,23.76,23.90,3668100,23.90
2014-02-25,23.78,23.84,23.62,23.70,4409400,23.70
2014-02-24,23.89,23.94,23.76,23.76,4399000,23.76
2014-02-21,23.99,24.12,23.80,23.92,4811300,23.92
2014-02-20,23.78,24.05,23.59,23.97,5032700,23.97
2014-02-19,23.73,23.95,23.71,23.75,2948000,23.75
2014-02-18,23.93,24.06,23.78,23.87,2536500,23.87
2014-02-14,23.80,24.00,23.80,23.98,2279700,23.98
2014-02-13,23.42,23.94,23.42,23.85,3855600,23.85
2014-02-12,23.37,23.58,23.31,23.56,3679500,23.56
2014-02-11,23.17,23.62,23.16,23.49,2687300,23.49
2014-02-10,23.08,23.23,23.01,23.18,2761100,23.18
2014-02-07,23.08,23.20,22.94,23.13,3135400,23.13
2014-02-06,22.65,22.92,22.56,22.90,2992900,22.90
2014-02-05,22.57,22.84,22.57,22.60,3481200,22.60
2014-02-04,22.69,22.80,22.53,22.62,2723900,22.62
2014-02-03,23.10,23.24,22.57,22.59,5577700,22.59
2014-01-31,23.35,23.57,23.21,23.24,4163900,23.24
2014-01-30,23.54,23.61,23.44,23.56,2493400,23.56
2014-01-29,23.26,23.65,23.23,23.45,5571200,23.45
2014-01-28,23.15,23.53,23.11,23.46,5473800,23.46
2014-01-27,23.41,23.52,23.08,23.18,8702800,23.18
2014-01-24,25.01,25.07,24.79,24.80,5184400,23.31
2014-01-23,25.26,25.37,25.02,25.19,8742200,23.67
2014-01-22,25.86,25.90,25.16,25.41,9021100,23.88
2014-01-21,25.87,25.93,25.64,25.93,4855000,24.37
2014-01-17,25.90,25.98,25.71,25.73,2592200,24.18
2014-01-16,26.00,26.00,25.81,25.85,2160100,24.29
2014-01-09,25.83,25.97,25.51,25.90,6197000,24.34
2014-01-08,25.54,25.96,25.53,25.72,11659600,24.17
2014-01-07,26.15,26.27,25.92,26.03,3554500,24.46
2014-01-06,26.42,26.43,25.98,26.17,3473000,24.59
2014-01-03,26.70,26.77,26.23,26.34,3155800,24.75
2014-01-02,27.29,27.30,26.67,26.72,2569500,25.11
2013-12-31,27.23,27.31,27.15,27.27,1654000,25.63
2013-12-30,27.11,27.29,27.05,27.16,2201700,25.52
2013-12-27,27.16,27.20,26.98,27.07,1799100,25.44
2013-12-26,27.03,27.19,26.88,27.07,3750900,25.44
2013-12-24,26.83,26.94,26.83,26.93,823700,25.31
2013-12-23,26.89,26.97,26.74,26.83,2275700,25.21
2013-12-20,26.70,26.87,26.65,26.82,3485200,25.21
2013-12-19,26.36,26.82,26.31,26.70,2910700,25.09
2013-12-18,26.25,26.55,25.92,26.51,4657300,24.91
2013-12-17,26.28,26.35,26.04,26.16,1447700,24.59
2013-12-16,26.36,26.37,26.07,26.32,2519400,24.74
2013-12-13,26.52,26.64,26.20,26.24,3414300,24.66
2013-12-12,26.91,27.00,26.51,26.52,4083100,24.92
2013-12-11,27.85,27.95,26.95,27.00,5688800,25.37
2013-12-10,27.39,27.55,27.34,27.34,1583200,25.69
2013-12-09,27.65,27.73,27.48,27.51,1825000,25.85
2013-12-06,27.44,27.61,27.16,27.53,3031300,25.87
2013-12-05,27.41,27.48,27.06,27.14,3434700,25.51
2013-12-04,27.76,27.88,27.32,27.45,3503200,25.80
2013-12-03,27.98,28.11,27.77,27.90,3301700,26.22
2013-12-02,28.49,28.54,28.05,28.14,3106900,26.45
2013-11-29,28.05,28.15,27.88,27.93,1146500,26.25
2013-11-27,28.07,28.14,27.75,27.97,1700400,26.29
2013-11-26,27.78,28.17,27.77,28.02,2019900,26.33
2013-11-25,27.69,27.92,27.67,27.75,1749100,26.08
2013-11-22,27.62,27.78,27.58,27.67,2441100,26.00
2013-11-21,27.40,27.77,27.36,27.63,3939500,25.97
2013-11-20,27.38,27.57,27.22,27.30,1757700,25.66
2013-11-19,27.20,27.40,27.17,27.31,1993800,25.67
2013-11-18,27.39,27.49,27.21,27.26,2155900,25.62
2013-11-15,27.32,27.42,27.12,27.40,2658300,25.75
2013-11-14,27.15,27.45,27.02,27.39,3047400,25.74
2013-11-13,26.50,27.13,26.50,27.07,5491100,25.44
2013-11-12,26.55,26.60,26.36,26.52,4223900,24.92
2013-11-11,26.47,26.60,26.45,26.52,1785600,24.92
2013-11-08,26.16,26.58,26.14,26.58,2054100,24.98
2013-11-07,26.36,26.58,26.15,26.16,2983700,24.59
2013-11-06,26.38,26.55,26.25,26.52,1893100,24.92
2013-11-05,26.15,26.42,26.10,26.24,3493100,24.66
2013-11-04,26.08,26.27,26.02,26.19,3216800,24.61
2013-11-01,25.98,26.06,25.81,26.02,3484900,24.45
2013-10-31,26.26,26.27,25.97,25.97,3726800,24.41
2013-10-30,26.25,26.28,26.04,26.16,2503900,24.59
2013-10-29,26.30,26.37,26.17,26.25,3098200,24.67
2013-10-28,26.50,26.52,26.22,26.24,4274600,24.66
2013-10-25,27.09,27.09,26.44,26.45,3308200,24.86
2013-10-24,27.10,27.25,26.83,26.84,4137500,25.22
2013-10-23,26.65,26.97,26.44,26.96,4877900,25.34
2013-10-22,27.23,27.29,26.67,26.76,6847900,25.15
2013-10-21,27.17,27.28,27.02,27.16,2599100,25.52
2013-10-18,27.13,27.17,26.93,27.14,3716200,25.51
2013-10-17,26.91,27.22,26.87,27.13,2315600,25.50
2013-10-16,26.81,27.12,26.77,27.09,2445000,25.46
2013-10-15,26.65,26.75,26.44,26.62,2773200,25.02
2013-10-14,26.63,26.79,26.41,26.76,2427000,25.15
2013-10-11,26.84,26.85,26.62,26.74,5056100,25.13
2013-10-10,26.75,26.94,26.63,26.94,3577000,25.32
2013-10-09,26.55,26.77,26.23,26.53,4291100,24.93
2013-10-08,27.04,27.07,26.60,26.60,3675200,25.00
2013-10-07,26.99,27.23,26.96,27.04,2531800,25.41
2013-10-04,27.15,27.36,27.07,27.35,5949400,25.70
2013-10-03,27.18,27.25,26.98,27.18,11752000,25.54
2013-10-02,26.94,27.28,26.90,27.28,3311800,25.64
2013-10-01,27.28,27.44,27.16,27.35,3269200,25.70
2013-09-30,27.09,27.29,26.93,27.23,4527100,25.59
2013-09-27,27.21,27.38,27.14,27.32,4596700,25.68
2013-09-26,27.27,27.55,27.22,27.35,3254300,25.70
2013-09-25,27.04,27.43,26.97,27.27,4593300,25.63
2013-09-24,26.92,27.20,26.88,27.06,3441800,25.43
2013-09-23,26.84,27.02,26.77,26.98,3686700,25.36
2013-09-20,27.08,27.17,26.94,26.98,3279100,25.36
2013-09-19,26.78,27.07,26.75,27.00,2702100,25.37
2013-09-18,26.32,26.79,26.20,26.72,3741400,25.11
2013-09-17,26.25,26.38,25.98,26.32,2178800,24.74
2013-09-16,26.19,26.25,26.10,26.23,1505700,24.65
2013-09-13,26.05,26.13,25.84,25.93,2203700,24.37
2013-09-12,26.44,26.44,25.91,25.95,3513700,24.39
2013-09-11,25.99,26.52,25.95,26.51,4491000,24.91
2013-09-10,26.02,26.10,25.80,25.98,2062900,24.42
2013-09-09,25.51,25.98,25.51,25.91,2418500,24.35
2013-09-06,25.43,25.65,25.22,25.49,2312400,23.96
2013-09-05,25.29,25.53,25.29,25.38,1152100,23.85
2013-09-04,25.27,25.45,25.16,25.32,1359100,23.80
2013-09-03,25.31,25.54,25.09,25.25,1485300,23.73
2013-08-30,25.15,25.20,24.99,25.07,1809800,23.56
2013-08-29,24.92,25.27,24.86,25.19,1743600,23.67
2013-08-28,24.95,25.12,24.88,25.00,2395500,23.49
2013-08-27,25.32,25.35,24.99,24.99,3207200,23.49
2013-08-26,25.53,25.66,25.38,25.51,2460100,23.97
2013-08-23,25.45,25.54,25.36,25.49,1749100,23.96
2013-08-22,25.22,25.50,25.17,25.46,1264400,23.93
2013-08-21,25.21,25.44,25.05,25.21,2876300,23.69
2013-08-20,25.04,25.33,24.95,25.25,2787300,23.73
2013-08-19,25.07,25.21,25.00,25.02,2825400,23.51
2013-08-16,25.27,25.44,25.10,25.14,7185100,23.63
2013-08-15,25.58,25.65,25.29,25.35,2434300,23.82
2013-08-14,26.18,26.18,25.56,25.74,2502100,24.19
2013-08-13,25.53,25.78,25.41,25.74,2745700,24.19
2013-08-12,25.55,25.66,25.36,25.53,2607600,23.99
2013-08-09,25.65,25.81,25.56,25.72,2267800,24.17
2013-08-08,25.69,25.85,25.61,25.66,3284600,24.12
2013-08-07,25.83,25.83,25.57,25.64,3670400,24.10
2013-08-06,25.97,26.11,25.90,25.96,4106100,24.40
2013-08-05,26.09,26.21,25.94,26.01,6405400,24.44
2013-08-02,26.32,26.38,26.15,26.20,2875100,24.62
2013-08-01,26.05,26.47,26.05,26.43,2412600,24.84
2013-07-31,26.00,26.16,25.96,26.01,3363600,24.44
2013-07-30,26.03,26.17,25.83,25.91,2210000,24.35
2013-07-29,25.92,26.04,25.82,25.96,1438700,24.40
2013-07-26,25.78,26.03,25.67,26.00,1430500,24.43
2013-07-25,25.77,25.96,25.72,25.91,1999700,24.35
2013-07-24,26.12,26.15,25.76,25.85,2800400,24.29
2013-07-23,26.42,26.42,26.03,26.09,5498300,24.52
2013-07-22,26.28,26.39,26.17,26.38,1488200,24.79
2013-07-19,26.06,26.35,25.87,26.30,2751500,24.72
2013-07-18,25.77,26.02,25.76,25.97,3375400,24.41
2013-07-17,25.74,25.84,25.69,25.73,2210100,24.18
2013-07-16,25.81,25.99,25.67,25.69,2930400,24.14
2013-07-15,26.02,26.07,25.64,25.78,3089300,24.23
2013-07-12,25.81,25.99,25.70,25.97,2807700,24.41
2013-07-11,25.98,25.98,25.31,25.74,5185800,24.19
2013-07-10,26.11,26.21,25.93,26.02,3087100,24.45
2013-07-09,26.35,26.54,25.90,26.11,5271600,24.54
2013-07-08,26.07,26.26,25.98,26.16,1810000,24.59
2013-07-05,25.65,25.96,25.55,25.94,1239200,24.38
2013-07-03,25.33,25.52,25.26,25.45,939200,23.92
2013-07-02,25.58,25.74,25.34,25.46,1764700,23.93
2013-07-01,25.48,25.70,25.46,25.59,2513800,24.05
2013-06-28,25.23,25.46,25.03,25.42,8520800,23.89
2013-06-27,25.06,25.36,25.03,25.25,2289900,23.73
2013-06-26,24.52,24.98,24.49,24.92,2728500,23.42
2013-06-25,24.28,24.48,24.20,24.34,3052500,22.87
2013-06-24,24.32,24.35,23.99,24.10,4335300,22.65
2013-06-21,24.67,24.75,24.31,24.55,4166400,23.07
2013-06-20,24.87,24.99,24.52,24.61,3221900,23.13
2013-06-19,25.24,25.50,25.01,25.01,2659000,23.50
2013-06-18,25.02,25.34,24.98,25.30,1811900,23.78
2013-06-17,24.89,25.08,24.82,25.02,3098100,23.51
2013-06-14,24.75,24.84,24.65,24.70,2137900,23.21
2013-06-13,24.60,24.87,24.50,24.83,3665700,23.34
2013-06-12,24.83,25.31,24.61,24.65,3343200,23.17
2013-06-11,24.57,24.92,24.49,24.65,3478200,23.17
2013-06-10,24.83,24.88,24.65,24.78,2938100,23.29
2013-06-07,24.56,24.83,24.49,24.79,4041200,23.30
2013-06-06,25.72,25.72,24.19,24.48,3413500,23.01
2013-06-05,24.90,24.90,24.42,24.53,4884100,23.05
2013-06-04,25.13,25.25,24.97,25.02,2401500,23.51
2013-06-03,25.52,25.55,24.99,25.14,4973900,23.63
2013-05-31,25.78,25.86,25.49,25.49,4082300,23.96
2013-05-30,25.86,25.93,25.71,25.78,4930700,24.23
2013-05-29,25.85,26.00,25.66,25.87,2638400,24.31
2013-05-28,26.01,26.16,25.79,25.96,3123500,24.40
2013-05-24,25.70,25.84,25.61,25.81,1950600,24.26
2013-05-23,25.71,25.98,25.68,25.83,2961200,24.27
2013-05-22,26.10,26.26,25.65,25.88,3436900,24.32
2013-05-21,26.16,26.23,25.95,26.13,2870800,24.56
2013-05-20,26.18,26.38,26.17,26.20,2245700,24.62
2013-05-17,26.21,26.35,26.12,26.19,2938700,24.61
2013-05-16,26.24,26.39,26.11,26.16,2005000,24.59
2013-05-15,26.04,26.33,26.04,26.32,2730300,24.74
2013-05-14,25.70,26.15,25.68,26.09,3808100,24.52
2013-05-13,25.67,25.77,25.53,25.70,1965000,24.15
2013-05-10,25.61,25.78,25.56,25.72,2484400,24.17
2013-05-09,25.64,25.71,25.51,25.58,1911700,24.04
2013-05-08,25.37,25.63,25.30,25.60,1881600,24.06
2013-05-07,25.35,25.50,25.35,25.42,1933200,23.89
2013-05-06,25.05,25.32,24.98,25.28,2079600,23.76
2013-05-03,25.31,25.38,25.02,25.05,3005100,23.54
2013-05-02,25.00,25.45,24.92,25.12,2042900,23.61
2013-05-01,25.26,25.39,24.95,25.09,3123700,23.58
2013-04-30,25.19,25.31,25.12,25.29,2911700,23.77
2013-04-29,25.22,25.35,25.12,25.24,2291600,23.72
2013-04-26,25.41,25.54,25.16,25.19,2644400,23.67
2013-04-25,25.44,25.57,25.33,25.40,2772400,23.87
2013-04-24,25.36,25.47,25.31,25.33,2059600,23.81
2013-04-23,25.10,25.31,24.97,25.31,2402300,23.79
2013-04-22,24.75,25.00,24.67,24.95,2741800,23.45
2013-04-19,24.59,24.76,24.54,24.74,3072200,23.25
2013-04-18,24.71,24.79,24.43,24.47,4100700,23.00
2013-04-17,24.87,25.03,24.66,24.68,4961000,23.19
2013-04-16,25.04,25.14,24.88,24.99,2770800,23.49
2013-04-15,25.55,25.57,24.93,24.94,2951700,23.44
2013-04-12,25.65,25.73,25.51,25.59,2040900,24.05
2013-04-11,25.44,25.84,25.42,25.72,3600200,24.17
2013-04-10,25.60,25.66,24.87,25.42,5673600,23.89
2013-04-09,25.67,25.93,25.50,25.76,4170800,24.21
2013-04-08,25.34,25.67,25.31,25.63,5618000,24.09
2013-04-05,25.09,25.38,24.98,25.37,2632400,23.84
2013-04-04,25.33,25.43,25.13,25.32,4170000,23.80
2013-04-03,25.50,25.55,25.26,25.33,3059000,23.81
2013-04-02,25.43,25.68,25.31,25.47,3315500,23.94
2013-04-01,25.33,25.38,25.19,25.31,2181600,23.79
2013-03-28,25.04,25.30,24.96,25.27,2099100,23.75
2013-03-27,24.90,25.03,24.75,25.00,2303600,23.49
2013-03-26,24.92,25.06,24.82,24.98,2845100,23.48
2013-03-25,25.01,25.02,24.71,24.85,3261100,23.35
2013-03-22,24.87,24.93,24.81,24.87,2981400,23.37
2013-03-21,24.90,25.03,24.79,24.84,2745800,23.34
2013-03-20,24.98,25.13,24.90,24.93,2443800,23.43
2013-03-19,25.02,25.09,24.74,24.94,2902400,23.44
2013-03-18,24.81,25.13,24.81,24.93,2777400,23.43
2013-03-15,25.08,25.25,24.85,25.13,4610600,23.62
2013-03-14,25.02,25.38,25.01,25.38,6251900,23.85
2013-03-13,24.96,25.38,24.60,25.31,4338200,23.79
2013-03-12,24.90,24.98,24.79,24.90,3371900,23.40
2013-03-11,24.80,24.97,24.72,24.92,2088100,23.42
2013-03-08,24.85,24.89,24.72,24.84,1549800,23.34
2013-03-07,24.82,24.91,24.69,24.80,2411800,23.31
2013-03-06,24.76,24.86,24.68,24.74,1978600,23.25
2013-03-05,24.62,24.82,24.50,24.65,2528000,23.17
2013-03-04,24.41,24.52,24.21,24.52,3412500,23.04
2013-03-01,24.29,24.43,24.10,24.42,2918100,22.95
2013-02-28,24.59,24.65,24.36,24.36,3517300,22.89
2013-02-27,24.34,24.59,24.25,24.54,3032700,23.06
2013-02-26,24.16,24.40,24.10,24.30,2696300,22.84
2013-02-25,24.72,24.90,24.04,24.06,4891000,22.61
2013-02-22,24.59,24.73,24.52,24.72,2724600,23.23
2013-02-21,24.24,24.66,24.15,24.48,4118000,23.01
2013-02-20,24.42,24.62,24.20,24.30,3909400,22.84
2013-02-19,24.20,24.52,24.17,24.49,3340200,23.02
2013-02-15,24.03,24.33,23.98,24.19,5907200,22.73
2013-02-14,24.38,24.49,23.86,24.00,9200800,22.56
2013-02-13,23.76,24.49,23.61,24.49,7818200,23.02
2013-02-12,23.52,23.76,23.45,23.75,3048100,22.32
2013-02-11,23.52,23.59,23.36,23.56,3518600,22.14
2013-02-08,23.21,23.44,23.01,23.44,4226900,22.03
2013-02-07,23.25,23.29,23.00,23.20,4607500,21.80
2013-02-06,22.83,23.26,22.68,23.16,11523800,21.77
2013-02-05,22.75,22.98,22.64,22.95,3954200,21.57
2013-02-04,22.55,22.73,22.53,22.68,5381400,21.31
2013-02-01,22.62,22.76,22.55,22.68,4859100,21.31
2013-01-31,22.49,22.58,22.40,22.49,3800200,21.14
2013-01-30,22.56,22.63,22.43,22.46,3983700,21.11
2013-01-29,22.46,22.60,22.33,22.53,4119000,21.17
2013-01-28,22.60,22.65,22.44,22.48,2479400,21.13
2013-01-25,22.67,22.70,22.47,22.63,3031400,21.27
2013-01-24,22.67,22.85,22.59,22.66,3540700,21.30
2013-01-23,22.73,22.74,22.34,22.62,4413800,21.26
2013-01-22,22.67,22.95,22.63,22.95,5266300,21.30
2013-01-18,22.56,22.73,21.92,22.72,5789400,21.09
2013-01-17,22.51,22.73,22.34,22.60,4064900,20.98
2013-01-16,22.52,22.72,22.44,22.59,3264100,20.97
2013-01-15,22.44,22.67,22.41,22.65,2927200,21.02
2013-01-14,22.33,22.62,22.25,22.55,11352900,20.93
2013-01-11,22.46,22.49,22.30,22.34,10371400,20.74
2013-01-10,22.11,22.38,22.06,22.38,10668700,20.77
2013-01-09,21.98,22.19,21.93,22.00,1827800,20.42
2013-01-08,21.98,22.08,21.90,21.98,2396900,20.40
2013-01-07,22.16,22.24,21.87,22.02,3145700,20.44
2013-01-04,22.03,22.30,22.01,22.27,3785900,20.67
2013-01-03,21.71,22.11,21.59,22.03,5517100,20.45
2013-01-02,21.45,21.69,21.36,21.69,16179600,20.13
2012-12-31,20.80,21.11,20.69,21.10,4025100,19.58
2012-12-28,20.87,21.00,20.80,20.85,2220500,19.35
2012-12-27,21.21,21.21,20.81,20.97,3529100,19.46
2012-12-26,21.25,21.30,21.15,21.22,2548600,19.70
2012-12-24,21.11,21.29,21.05,21.23,1148600,19.71
2012-12-21,21.34,21.59,21.06,21.20,6695500,19.68
2012-12-20,21.37,21.55,21.27,21.52,5092100,19.97
2012-12-19,21.46,21.62,21.35,21.39,6036400,19.85
2012-12-18,21.27,21.49,21.20,21.45,16281600,19.91
2012-12-17,21.07,21.28,21.03,21.27,5608600,19.74
2012-12-14,21.18,21.21,20.96,20.99,4204400,19.48
2012-12-13,21.38,21.43,21.13,21.16,4111100,19.64
2012-12-12,21.56,21.77,21.38,21.42,5450500,19.88
2012-12-11,21.75,21.76,21.46,21.48,5489400,19.94
2012-12-10,21.42,21.77,21.39,21.66,3634000,20.10
2012-12-07,21.49,21.58,21.40,21.48,4277900,19.94
2012-12-06,21.54,21.59,21.38,21.43,4329300,19.89
2012-12-05,21.18,21.63,21.14,21.53,4709400,19.98
2012-12-04,21.20,21.38,21.13,21.13,5352900,19.61
2012-12-03,21.40,21.45,21.11,21.16,3956100,19.64
