Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,18.77,19.15,18.69,19.01,5514100,19.01
2014-03-27,18.59,18.91,18.39,18.68,6906300,18.68
2014-03-26,18.88,19.01,18.57,18.57,5565800,18.57
2014-03-25,18.62,18.98,18.52,18.80,7436800,18.80
2014-03-24,19.18,19.23,18.63,18.84,7593300,18.84
2014-03-21,19.53,19.54,19.06,19.11,8981600,19.11
2014-03-20,19.68,19.76,19.19,19.40,8640300,19.40
2014-03-19,20.22,20.32,19.41,19.61,8565400,19.61
2014-03-18,19.35,19.63,19.19,19.48,4588000,19.48
2014-03-17,19.19,19.47,19.03,19.22,4670700,19.22
2014-03-14,19.11,19.33,19.00,19.15,6785300,19.15
2014-03-13,19.72,19.77,18.95,19.18,11300700,19.18
2014-03-12,19.64,19.70,19.29,19.67,7927300,19.67
2014-03-11,20.07,20.30,19.74,19.93,6075700,19.93
2014-03-10,20.19,20.35,19.95,20.00,6054400,20.00
2014-03-07,20.61,20.62,20.05,20.31,7003600,20.31
2014-03-06,20.66,20.80,20.42,20.58,5180900,20.53
2014-03-05,20.91,21.05,20.57,20.64,7291200,20.59
2014-03-04,21.39,21.41,20.78,20.91,12214700,20.86
2014-03-03,20.77,20.90,20.51,20.81,6453100,20.76
2014-02-28,21.28,21.29,20.76,20.99,10117000,20.94
2014-02-27,21.24,21.31,20.90,21.29,10833100,21.24
2014-02-26,20.70,21.65,20.50,21.25,12628700,21.20
2014-02-25,20.38,20.88,20.18,20.68,7304700,20.63
2014-02-24,20.42,20.50,20.13,20.42,8780800,20.37
2014-02-21,20.05,20.48,19.88,20.37,9679300,20.32
2014-02-20,19.71,20.04,19.45,20.02,10637100,19.97
2014-02-19,19.75,19.98,19.55,19.66,6009800,19.61
2014-02-18,20.10,20.23,19.52,19.79,6470400,19.74
2014-02-14,19.80,20.03,19.57,20.02,5436100,19.97
2014-02-13,19.54,19.85,19.36,19.82,5186000,19.77
2014-02-12,19.74,19.84,19.52,19.60,5005500,19.55
2014-02-11,19.30,19.73,19.20,19.67,8756900,19.62
