Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,44.41,44.91,44.40,44.53,572400,44.53
2014-03-27,44.63,44.87,44.11,44.33,698600,44.33
2014-03-26,44.92,45.32,44.65,44.65,830800,44.65
2014-03-25,45.07,45.28,44.38,44.75,1252700,44.75
2014-03-24,45.73,45.85,44.50,45.07,1127700,45.07
2014-03-21,46.43,46.54,45.56,45.67,1156400,45.67
2014-03-20,45.75,46.40,45.29,46.21,779200,46.21
2014-03-19,45.92,46.06,45.55,45.90,605800,45.90
2014-03-18,45.50,45.96,45.42,45.91,743100,45.91
2014-03-17,44.96,45.45,44.86,45.40,592200,45.40
2014-03-14,44.53,44.89,44.38,44.75,681000,44.75
2014-03-13,45.47,45.68,44.42,44.61,441100,44.61
2014-03-12,44.81,45.45,44.63,45.37,555200,45.37
2014-03-11,45.51,45.66,44.81,44.99,667500,44.99
2014-03-10,45.85,45.88,45.20,45.50,447500,45.50
2014-03-07,46.37,46.37,45.55,45.84,716600,45.84
2014-03-06,45.99,46.23,45.70,46.09,1166800,46.09
2014-03-05,45.42,46.72,45.15,45.82,1925100,45.82
2014-03-04,45.25,45.48,45.15,45.40,1086700,45.40
2014-03-03,44.83,45.16,44.45,44.78,774100,44.78
2014-02-28,45.46,45.51,45.07,45.32,851900,45.32
2014-02-27,44.61,45.44,44.48,45.30,1296100,45.30
2014-02-26,44.30,44.88,44.20,44.63,1005200,44.63
2014-02-25,44.20,44.28,43.89,44.27,1309600,44.27
2014-02-24,43.86,44.32,43.81,44.15,1624800,44.15
2014-02-21,44.13,44.16,43.67,43.72,1917600,43.72
2014-02-20,43.17,44.06,42.99,44.05,1831000,44.05
2014-02-19,43.57,43.57,42.68,42.99,1443100,42.99
2014-02-18,44.07,44.15,43.58,43.67,734100,43.67
2014-02-14,44.14,44.20,43.78,43.98,829400,43.98
2014-02-13,43.90,44.38,43.83,44.27,652000,44.27
2014-02-12,44.19,44.42,43.95,44.17,1021300,44.17
2014-02-11,43.60,44.04,43.55,43.99,882000,43.99
2014-02-10,43.80,43.95,43.36,43.54,704000,43.54
2014-02-07,43.00,43.92,42.85,43.78,1694200,43.78
2014-02-06,42.73,43.05,42.67,42.86,923500,42.86
2014-02-05,42.78,42.85,41.89,42.67,1541600,42.67
2014-02-04,43.15,43.35,42.67,42.84,1226800,42.84
2014-02-03,43.85,44.03,42.73,43.03,2238500,43.03
2014-01-31,45.84,45.86,43.14,43.60,2378200,43.60
2014-01-30,43.09,44.23,42.94,44.04,2500500,44.04
2014-01-29,42.30,42.70,42.18,42.60,1348900,42.60
2014-01-28,41.48,42.76,41.35,42.71,1298800,42.71
2014-01-27,41.53,41.63,40.63,41.06,1363000,41.06
2014-01-24,42.25,42.32,41.15,41.18,739100,41.18
2014-01-23,42.91,42.91,42.14,42.49,648100,42.49
2014-01-22,43.15,43.39,42.76,43.04,387900,43.04
2014-01-21,43.36,43.40,42.64,43.12,551900,43.12
2014-01-17,43.33,43.54,42.98,43.01,516900,43.01
2014-01-16,42.94,43.52,42.78,43.23,696600,43.23
2014-01-15,42.91,43.21,42.67,42.98,554700,42.98
2014-01-14,42.54,42.89,42.25,42.75,787300,42.68
