Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,40.28,40.73,40.22,40.54,1250800,40.54
2014-03-27,39.74,40.14,39.59,40.12,1650900,40.12
2014-03-26,40.56,40.58,39.90,39.91,1519300,39.91
2014-03-25,40.38,40.67,40.11,40.47,2084600,40.47
2014-03-24,40.57,40.72,39.99,40.11,1588900,40.11
2014-03-21,40.61,40.78,40.33,40.59,2887100,40.59
2014-03-20,39.87,40.27,39.60,40.25,3269100,40.25
2014-03-19,40.74,41.11,39.83,40.02,2035700,40.02
2014-03-18,40.42,40.95,40.40,40.84,1218000,40.84
2014-03-17,40.50,40.83,40.37,40.50,1131700,40.50
2014-03-14,40.36,40.60,40.16,40.19,1542300,40.19
2014-03-13,40.61,40.80,40.31,40.36,1669500,40.36
2014-03-12,40.31,40.69,40.27,40.63,1875300,40.63
2014-03-11,40.28,40.70,40.28,40.45,1385000,40.45
2014-03-10,40.51,40.60,40.09,40.32,2178900,40.32
2014-03-07,41.15,41.25,40.58,40.87,2214400,40.54
2014-03-06,41.79,41.89,41.15,41.32,2472700,40.99
2014-03-05,41.95,42.01,41.46,41.76,2682300,41.42
2014-03-04,41.24,42.10,41.24,41.97,3041200,41.63
2014-03-03,40.92,41.20,40.48,40.93,2779900,40.60
2014-02-28,40.90,41.39,40.82,41.19,3511300,40.86
2014-02-27,41.08,41.30,40.58,40.90,1900700,40.57
2014-02-26,41.01,41.23,40.78,41.02,2009300,40.69
2014-02-25,40.69,41.09,40.65,40.91,1804800,40.58
2014-02-24,40.61,41.26,40.56,40.69,3029000,40.36
2014-02-21,40.36,40.72,40.21,40.61,2416500,40.28
2014-02-20,40.75,40.90,40.19,40.39,2063400,40.06
2014-02-19,40.68,41.35,40.57,40.72,2051700,40.39
2014-02-18,40.70,40.81,40.29,40.80,2594100,40.47
2014-02-14,40.72,40.98,40.62,40.67,2022800,40.34
2014-02-13,40.51,41.05,40.45,40.83,1759300,40.50
2014-02-12,40.62,40.84,40.47,40.71,1673000,40.38
2014-02-11,40.25,40.90,40.09,40.62,2496600,40.29
2014-02-10,39.93,40.43,39.75,40.34,1942400,40.01
2014-02-07,39.72,40.13,39.46,39.93,2452200,39.61
2014-02-06,39.17,39.68,38.99,39.58,3014100,39.26
2014-02-05,38.63,39.18,38.41,39.12,3138900,38.80
2014-02-04,38.16,38.93,38.06,38.75,3044000,38.44
2014-02-03,38.82,38.89,38.01,38.17,2916100,37.86
2014-01-31,38.19,39.16,38.06,38.76,4104500,38.45
2014-01-30,36.50,39.14,36.50,38.81,4294300,38.50
2014-01-29,36.85,37.21,36.53,37.01,3230200,36.71
2014-01-28,36.57,37.33,36.49,37.23,2752900,36.93
2014-01-27,36.65,36.90,36.33,36.51,3319400,36.22
2014-01-24,37.13,37.21,36.51,36.74,2849400,36.44
