Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,85.63,86.17,85.10,85.73,1894700,85.73
2014-03-27,85.33,86.10,84.45,85.14,2376400,85.14
2014-03-26,86.99,86.99,85.31,85.32,2211300,85.32
2014-03-25,87.15,87.16,86.15,86.42,2331200,86.42
2014-03-24,87.23,87.64,86.55,86.95,1798800,86.95
2014-03-21,87.59,87.80,86.67,86.87,4325200,86.87
2014-03-20,84.81,86.88,84.67,86.63,3300900,86.63
2014-03-19,84.73,85.80,83.85,85.06,3084300,85.06
2014-03-18,84.20,84.70,83.78,84.62,2130200,84.62
2014-03-17,83.26,84.28,83.26,84.17,1593800,84.17
2014-03-14,82.75,83.55,82.56,82.86,1587500,82.86
2014-03-13,83.84,84.05,82.63,82.79,1703300,82.79
2014-03-12,82.80,83.53,82.50,83.46,1533600,83.46
2014-03-11,84.06,84.06,82.93,83.22,1236400,83.22
2014-03-10,83.82,84.11,83.35,84.09,1698100,84.09
2014-03-07,83.40,84.65,83.29,83.98,2368600,83.98
2014-03-06,83.04,83.59,82.71,82.82,1950100,82.82
2014-03-05,82.12,82.98,82.12,82.94,2427200,82.94
2014-03-04,80.25,82.22,80.25,82.03,1991900,82.03
2014-03-03,80.82,81.21,80.35,80.98,1748000,80.98
2014-02-28,81.48,82.65,81.41,81.78,2453000,81.78
2014-02-27,80.99,81.35,80.40,81.34,1643300,81.34
2014-02-26,81.07,81.34,80.16,81.13,1185600,81.13
2014-02-25,81.26,81.34,80.28,80.71,2008700,80.71
2014-02-24,80.28,81.82,80.22,81.34,2518900,81.34
2014-02-21,80.00,80.77,79.81,80.23,1858900,80.23
2014-02-20,79.97,80.30,79.06,79.98,2147700,79.98
2014-02-19,81.16,81.46,79.47,79.67,2625900,79.67
2014-02-18,83.53,83.53,81.41,81.55,1551800,81.55
2014-02-14,81.01,81.80,80.95,81.62,1833400,81.62
2014-02-13,80.45,81.24,80.11,81.14,1589700,81.14
2014-02-12,81.14,81.77,80.62,81.02,1395700,81.02
2014-02-11,79.82,81.27,79.65,81.00,2198000,81.00
2014-02-10,80.09,80.37,79.24,79.84,1702100,79.84
2014-02-07,80.02,80.80,79.57,79.89,1981000,79.89
2014-02-06,78.91,79.87,78.58,79.83,2213500,79.83
2014-02-05,78.87,79.13,78.03,78.81,2453100,78.81
2014-02-04,78.87,79.45,78.16,78.88,2493600,78.88
2014-02-03,79.88,80.38,78.32,78.43,3092900,78.43
2014-01-31,80.33,80.80,79.78,79.88,2234900,79.88
2014-01-30,80.90,81.72,80.43,81.62,2028900,81.62
2014-01-29,80.60,81.30,79.85,79.87,3148000,79.87
2014-01-28,81.39,81.54,80.74,81.24,2296300,81.24
2014-01-27,81.15,81.66,80.22,80.80,3382800,80.80
2014-01-24,82.13,82.29,81.03,81.03,2325000,81.03
2014-01-23,83.66,83.78,82.23,82.66,2985900,82.66
2014-01-22,84.22,84.43,83.45,84.21,2679700,84.21
2014-01-21,82.75,84.28,82.62,84.11,4349600,84.11
2014-01-17,82.15,84.41,81.76,82.26,4840100,82.26
2014-01-16,80.69,81.28,78.84,80.93,4537600,80.93
2014-01-15,78.14,79.12,78.14,78.84,2355800,78.84
2014-01-14,77.62,78.19,77.08,78.00,1673600,78.00
2014-01-09,78.95,79.29,78.65,79.19,3017800,78.78
2014-01-08,77.50,78.83,77.50,78.72,2929400,78.32
2014-01-07,76.69,77.75,76.69,77.43,1997700,77.03
2014-01-06,77.29,77.94,76.85,76.86,2966300,76.47
2014-01-03,76.81,77.23,76.67,76.96,1362200,76.57
2014-01-02,76.06,77.22,76.06,76.60,1742100,76.21
2013-12-31,77.54,77.78,77.35,77.58,1292300,77.18
2013-12-30,78.20,78.29,77.36,77.51,1251200,77.11
2013-12-27,77.51,78.36,77.19,78.20,2022000,77.80
2013-12-26,77.32,77.47,77.13,77.26,663400,76.86
2013-12-24,77.09,77.32,76.86,77.13,415400,76.73
2013-12-23,76.73,77.39,76.38,77.02,1553700,76.62
2013-12-20,76.28,76.74,76.21,76.37,2630100,75.98
2013-12-19,75.38,76.31,74.91,76.00,2535900,75.61
2013-12-18,74.76,75.65,73.92,75.64,3258300,75.25
2013-12-17,75.47,75.50,74.41,74.65,2492000,74.27
2013-12-16,75.10,75.67,75.09,75.48,2370500,75.09
2013-12-13,75.77,76.27,75.14,75.38,1690100,74.99
2013-12-12,75.49,76.11,75.26,75.82,1884300,75.43
2013-12-11,76.46,76.56,75.23,75.48,2430000,75.09
2013-12-10,75.91,76.89,75.81,76.56,2867400,76.17
2013-12-09,76.77,76.79,76.07,76.28,1402500,75.89
2013-12-06,75.96,76.33,75.44,76.17,1717300,75.78
2013-12-05,75.36,75.52,74.80,75.02,2031100,74.63
2013-12-04,75.59,76.44,75.18,75.72,2309200,75.33
2013-12-03,77.22,77.35,75.41,75.62,3207500,75.23
2013-12-02,76.85,77.90,76.85,77.50,2303400,77.10
2013-11-29,77.65,77.85,76.92,76.95,1015800,76.56
2013-11-27,76.55,77.49,76.39,77.41,1834100,77.01
2013-11-26,76.47,76.85,76.17,76.61,2615100,76.22
2013-11-25,76.95,77.33,76.25,76.32,1821700,75.93
2013-11-22,76.34,76.98,76.13,76.82,2259700,76.43
2013-11-21,75.42,76.58,75.25,76.33,1996100,75.94
2013-11-20,75.70,75.85,74.83,75.20,1813700,74.81
2013-11-19,75.44,75.90,75.18,75.50,1699800,75.11
2013-11-18,75.20,76.00,75.02,75.31,1559100,74.92
2013-11-15,74.94,75.60,74.72,75.14,2082800,74.75
2013-11-14,73.91,74.73,73.55,74.68,2485900,74.30
2013-11-13,73.95,74.27,73.33,74.27,2426400,73.89
2013-11-12,75.16,75.21,73.87,74.18,2225400,73.80
2013-11-11,75.52,75.81,75.03,75.42,1563400,75.03
2013-11-08,73.28,75.67,72.92,75.52,3490200,75.13
2013-11-07,74.09,74.24,72.85,72.90,1917300,72.53
2013-11-06,73.97,74.00,73.43,73.88,1483100,73.50
2013-11-05,72.95,74.02,72.92,73.29,1939000,72.91
2013-11-04,73.45,73.58,73.00,73.17,1228700,72.79
2013-11-01,73.62,73.98,72.99,73.37,1796800,72.99
2013-10-31,74.61,74.89,73.53,73.53,2181200,73.15
2013-10-30,75.31,75.45,74.56,74.81,1615500,74.43
2013-10-29,75.59,75.67,74.82,75.20,1607600,74.81
2013-10-28,75.27,75.86,74.99,75.50,1629300,75.11
2013-10-25,74.82,75.37,74.68,75.36,1816700,74.97
2013-10-24,75.27,75.34,74.68,74.82,2247600,74.44
2013-10-23,75.25,75.54,75.07,75.24,1818400,74.85
2013-10-22,75.09,75.79,74.79,75.56,1989500,75.17
2013-10-21,75.02,75.21,74.60,75.12,1854200,74.73
2013-10-18,74.55,75.15,73.86,75.04,3070400,74.65
2013-10-17,73.58,74.77,73.43,74.68,2655700,74.30
2013-10-16,73.76,74.38,72.43,73.87,3450800,73.49
2013-10-15,72.41,73.23,72.18,72.51,2007000,72.14
2013-10-14,72.56,73.08,72.15,72.98,2159500,72.61
