Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,54.34,54.35,53.82,54.03,1274800,54.03
2014-03-27,54.23,54.54,54.05,54.50,522200,54.50
2014-03-26,54.54,54.74,54.15,54.19,677300,54.19
2014-03-25,54.88,55.08,54.10,54.49,889700,54.49
2014-03-24,54.03,54.83,53.87,54.77,1093900,54.77
2014-03-21,53.98,54.40,53.59,53.94,1032300,53.94
2014-03-20,53.95,54.00,53.29,53.55,735700,53.55
2014-03-19,55.50,55.51,54.06,54.21,675000,54.21
2014-03-18,55.48,55.78,55.38,55.59,842800,55.59
2014-03-17,55.25,55.43,54.92,55.42,515400,55.42
2014-03-14,54.93,55.52,54.76,55.04,1029500,55.04
2014-03-13,54.29,55.28,54.20,54.93,1291000,54.93
2014-03-12,53.58,54.26,53.51,54.24,892500,54.24
2014-03-11,54.36,54.47,53.63,53.64,1288000,53.64
2014-03-10,53.80,54.30,53.80,54.25,1168300,54.25
2014-03-07,54.06,54.21,53.69,54.04,795600,54.04
2014-03-06,54.48,54.51,53.88,54.05,1382800,54.05
2014-03-05,55.16,55.29,54.48,54.51,1189200,54.51
2014-03-04,55.33,55.54,55.16,55.25,1257500,55.25
2014-03-03,55.42,55.55,55.03,55.07,961400,55.07
2014-02-28,55.29,55.99,55.21,55.65,975500,55.65
2014-02-27,55.04,55.29,54.80,55.27,1344200,55.27
2014-02-26,55.39,55.47,55.01,55.24,1082600,55.24
2014-02-25,54.38,55.38,54.34,55.14,1682800,55.14
2014-02-24,54.69,55.45,54.42,54.44,954600,54.44
2014-02-21,54.40,55.43,54.40,54.73,1326300,54.73
2014-02-20,54.37,55.22,54.37,55.10,796000,55.10
2014-02-19,54.62,54.95,54.32,54.36,989500,54.36
2014-02-18,54.60,54.85,54.35,54.84,1020800,54.84
2014-02-14,53.91,54.41,53.78,54.39,1399700,54.39
2014-02-13,53.52,54.11,53.51,54.02,1585300,54.02
2014-02-12,53.78,54.03,53.64,53.78,861100,53.78
2014-02-11,53.02,53.96,52.92,53.78,929000,53.78
2014-02-10,52.59,53.19,52.36,53.07,741200,53.07
2014-02-07,52.24,52.86,52.19,52.76,1061300,52.76
2014-02-06,51.39,52.17,51.30,52.11,873100,52.11
2014-02-05,51.64,51.66,51.17,51.41,819900,51.41
2014-02-04,51.89,52.02,51.20,51.63,1522800,51.63
2014-02-03,52.63,53.21,51.15,51.28,1851700,51.28
2014-01-31,51.76,52.73,51.71,52.63,1092000,52.63
2014-01-30,51.45,52.26,51.37,52.20,850500,52.20
2014-01-29,51.95,52.16,51.57,51.72,934500,51.15
2014-01-28,52.03,52.12,51.75,51.99,818500,51.42
2014-01-27,52.04,52.26,51.90,51.90,649900,51.33
2014-01-24,52.44,52.82,52.01,52.01,734900,51.44
2014-01-23,53.00,53.02,52.36,52.65,1160400,52.07
2014-01-22,53.11,53.30,52.96,53.17,455600,52.59
2014-01-21,52.50,53.13,52.40,52.96,584000,52.38
2014-01-17,52.68,52.86,52.30,52.39,866800,51.81
2014-01-16,52.60,52.84,52.50,52.80,608400,52.22
2014-01-15,52.98,53.06,52.53,52.56,659100,51.98
2014-01-14,53.00,53.26,52.63,52.76,740800,52.18
2014-01-13,53.41,53.78,52.88,52.97,808800,52.39
2014-01-09,52.34,52.64,52.05,52.52,908600,51.94
2014-01-08,52.42,52.42,51.94,52.10,925300,51.53
2014-01-07,52.03,52.51,52.01,52.43,851100,51.85
2014-01-06,52.15,52.18,51.89,52.03,993300,51.46
2014-01-03,52.19,52.37,51.84,52.07,861300,51.50
2014-01-02,53.00,53.00,52.04,52.05,1210500,51.48
2013-12-31,53.10,53.17,52.71,52.92,818800,52.34
2013-12-30,53.11,53.37,52.82,53.01,625100,52.43
2013-12-27,53.30,53.39,52.97,53.25,538900,52.67
2013-12-26,53.18,53.29,52.90,53.00,564400,52.42
2013-12-24,52.97,53.45,52.83,53.20,236200,52.62
2013-12-23,53.41,53.48,52.99,53.08,964300,52.50
2013-12-20,53.23,53.53,52.85,53.08,2371900,52.50
2013-12-19,53.52,53.69,52.64,53.10,879500,52.52
2013-12-18,52.87,53.79,52.32,53.78,1450400,53.19
2013-12-17,53.18,53.28,52.78,52.88,1028600,52.30
2013-12-16,53.13,53.59,52.84,53.22,730600,52.64
2013-12-13,52.86,53.35,52.67,52.80,660200,52.22
2013-12-12,52.66,53.39,52.60,52.79,1395800,52.21
2013-12-11,52.77,52.99,52.41,52.55,894900,51.97
2013-12-10,53.34,53.70,52.73,52.87,1600100,52.29
2013-12-09,53.81,53.86,53.25,53.35,996100,52.76
2013-12-06,53.31,53.97,53.16,53.86,595700,53.27
2013-12-05,53.17,53.17,52.68,53.08,940700,52.50
2013-12-04,52.71,53.35,52.55,53.24,1348200,52.66
2013-12-03,52.97,53.08,52.44,53.04,1489200,52.46
2013-12-02,53.33,53.55,52.76,53.01,842300,52.43
2013-11-29,53.22,53.73,53.00,53.36,473500,52.77
2013-11-27,53.08,53.31,52.81,53.14,614500,52.56
2013-11-26,54.04,54.07,53.11,53.11,1188300,52.53
2013-11-25,54.35,54.61,53.90,53.95,710200,53.36
2013-11-22,54.45,54.67,54.19,54.32,774700,53.72
2013-11-21,54.20,54.76,53.98,54.54,755300,53.94
2013-11-20,54.68,54.69,53.99,54.02,850100,53.43
2013-11-19,55.19,55.36,54.49,54.70,873900,54.10
2013-11-18,55.54,55.54,55.00,55.40,937000,54.79
2013-11-15,55.33,55.63,54.29,55.60,2499800,54.99
2013-11-14,54.66,55.90,54.61,55.72,1407900,55.11
2013-11-13,54.30,54.52,53.94,54.33,1416200,53.73
2013-11-12,55.24,55.24,54.58,54.67,843500,54.07
2013-11-11,55.73,56.11,55.08,55.29,826700,54.68
2013-11-08,55.47,55.83,54.80,55.73,1080700,55.12
2013-11-07,56.22,56.47,55.46,55.66,1053100,55.05
2013-11-06,55.73,56.31,55.73,56.12,1304300,55.50
2013-11-05,56.13,56.46,55.62,55.63,1041700,55.02
2013-11-04,56.54,56.57,55.85,56.32,1030300,55.70
2013-11-01,56.08,56.72,56.01,56.24,1241400,55.62
2013-10-31,57.20,57.20,54.20,56.03,1944300,55.41
2013-10-30,58.37,58.66,57.54,57.64,1085500,56.45
2013-10-29,58.45,58.59,58.02,58.24,664300,57.03
2013-10-28,58.52,58.70,58.11,58.32,3424400,57.11
2013-10-25,57.72,58.43,57.45,58.43,1879600,57.22
2013-10-24,57.79,58.03,57.45,57.79,2404800,56.59
2013-10-23,57.48,58.11,57.46,57.58,648300,56.39
2013-10-22,57.00,57.79,56.90,57.55,598300,56.36
2013-10-21,56.91,57.08,56.32,56.81,696200,55.63
2013-10-18,56.84,57.18,56.57,56.93,801400,55.75
2013-10-17,55.57,56.77,55.11,56.67,464700,55.50
2013-10-16,55.04,55.65,54.38,55.63,613200,54.48
2013-10-15,55.41,55.97,54.62,54.78,469900,53.64
