Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,20.18,20.29,20.11,20.24,1151100,20.24
2014-03-27,19.99,20.19,19.92,20.17,1548600,20.17
2014-03-26,20.25,20.30,20.00,20.00,1436100,20.00
2014-03-25,20.17,20.27,19.99,20.23,1562100,20.23
2014-03-24,19.99,20.16,19.88,20.09,1431100,20.09
2014-03-21,20.15,20.57,19.97,19.97,3715100,19.97
2014-03-20,19.74,19.86,19.57,19.81,2040300,19.81
2014-03-19,20.33,20.37,19.70,19.82,2757200,19.82
2014-03-18,20.40,20.47,20.32,20.32,1651800,20.32
2014-03-17,20.30,20.52,20.15,20.46,1728000,20.46
2014-03-14,20.08,20.31,20.02,20.24,3923400,20.24
2014-03-13,20.03,20.25,20.00,20.09,4367600,20.09
2014-03-12,19.59,20.01,19.56,20.00,4276000,20.00
2014-03-11,19.73,19.79,19.55,19.64,1511300,19.64
2014-03-10,19.79,19.83,19.57,19.71,2307200,19.71
2014-03-07,19.83,19.86,19.54,19.83,3078500,19.83
2014-03-06,19.92,19.94,19.76,19.85,3364300,19.85
2014-03-05,20.22,20.37,20.14,20.17,3413300,19.90
2014-03-04,20.44,20.44,20.13,20.21,3157000,19.94
2014-03-03,20.30,20.39,20.14,20.20,1849100,19.93
2014-02-28,20.60,20.62,20.15,20.39,4119900,20.12
2014-02-27,20.60,20.65,20.36,20.43,2802100,20.16
2014-02-26,20.80,20.82,20.60,20.62,1363300,20.34
2014-02-25,20.64,20.90,20.58,20.73,2587600,20.45
2014-02-24,20.70,20.93,20.62,20.62,1483400,20.34
2014-02-21,20.62,20.78,20.52,20.67,2105300,20.39
2014-02-20,20.46,20.63,20.33,20.56,2527500,20.28
2014-02-19,20.62,20.74,20.45,20.49,1599700,20.22
2014-02-18,20.56,20.74,20.54,20.68,1494100,20.40
2014-02-14,20.31,20.60,20.28,20.58,2284500,20.30
2014-02-13,20.00,20.35,19.97,20.34,1488100,20.07
2014-02-12,20.04,20.08,19.95,20.07,1584900,19.80
2014-02-11,19.70,20.10,19.65,20.09,2997500,19.82
2014-02-10,19.40,19.76,19.26,19.75,2455300,19.49
2014-02-07,19.31,19.46,19.24,19.44,1453200,19.18
2014-02-06,18.99,19.23,18.99,19.22,1480100,18.96
2014-02-05,19.09,19.14,18.96,18.99,1265400,18.74
2014-02-04,19.35,19.36,19.01,19.12,1473300,18.86
2014-02-03,19.46,19.76,19.19,19.23,2492600,18.97
2014-01-31,19.13,19.51,19.12,19.43,2185400,19.17
2014-01-30,19.09,19.36,19.09,19.31,1423700,19.05
2014-01-29,19.00,19.24,18.93,19.05,2060500,18.79
2014-01-28,18.93,19.11,18.93,19.09,2086000,18.83
2014-01-27,18.71,19.01,18.70,18.91,3090300,18.66
2014-01-24,18.90,19.01,18.68,18.68,1849400,18.43
2014-01-23,19.02,19.10,18.83,18.95,1499800,18.70
