Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,83.83,84.62,82.70,83.59,2714300,83.59
2014-03-27,84.92,85.14,82.51,83.31,3613300,83.31
2014-03-26,87.63,88.00,85.16,85.18,2756600,85.18
2014-03-25,87.39,87.87,86.84,87.20,2189100,87.20
2014-03-24,87.34,88.25,86.42,86.91,1997000,86.91
2014-03-21,88.49,89.31,86.84,86.84,4106600,86.84
2014-03-20,85.47,87.75,85.41,87.69,3206500,87.69
2014-03-19,84.96,86.41,84.71,85.61,2701000,85.61
2014-03-18,83.96,84.99,83.96,84.88,2468100,84.88
2014-03-17,84.22,84.96,83.73,83.92,2178200,83.92
2014-03-14,84.17,85.04,83.66,83.73,2099100,83.73
2014-03-13,86.85,87.02,84.12,84.37,2632100,84.37
2014-03-12,86.71,86.83,85.71,86.40,2517200,86.40
2014-03-11,88.54,88.65,87.08,87.45,2014900,87.45
2014-03-10,88.09,89.08,87.74,88.35,2147500,88.35
2014-03-07,87.95,89.77,87.93,88.58,4372000,88.58
2014-03-06,86.39,87.33,86.39,86.77,2276000,86.77
2014-03-05,85.34,86.43,85.00,86.00,2781000,86.00
2014-03-04,84.19,85.62,84.19,85.33,2806300,85.33
2014-03-03,83.52,83.80,82.59,82.99,2393300,82.99
2014-02-28,84.39,85.49,83.98,84.58,2297300,84.58
2014-02-27,83.98,84.48,83.17,84.16,1994100,84.16
2014-02-26,84.26,84.61,83.50,84.16,1443300,84.16
2014-02-25,84.58,84.91,83.89,84.12,1982100,84.12
2014-02-24,83.87,85.37,83.72,84.96,1950300,84.96
2014-02-21,83.96,84.40,83.70,83.93,1677000,83.93
2014-02-20,84.31,84.91,83.11,84.49,2942100,83.96
2014-02-19,85.16,87.03,84.17,84.28,2672900,83.75
2014-02-18,84.87,85.67,84.79,85.41,2169800,84.87
2014-02-14,84.38,85.23,84.22,84.99,1964500,84.46
2014-02-13,83.56,84.66,83.11,84.62,2172700,84.09
2014-02-12,84.53,85.34,83.91,84.34,1793400,83.81
2014-02-11,82.95,84.87,82.51,84.53,2866700,84.00
2014-02-10,83.34,83.67,82.28,82.79,1975000,82.27
2014-02-07,82.54,83.61,81.74,83.41,4464100,82.89
2014-02-06,81.72,82.27,79.54,82.25,7595800,81.73
2014-02-05,82.20,82.97,81.07,82.72,3304900,82.20
2014-02-04,81.17,82.96,81.01,82.52,2494100,82.00
2014-02-03,84.42,84.79,80.35,80.45,3285100,79.95
2014-01-31,83.74,85.50,83.35,84.39,2228800,83.86
2014-01-30,84.78,85.52,84.30,85.21,1489200,84.68
2014-01-29,83.63,84.55,83.25,83.82,2438400,83.29
2014-01-28,83.83,85.00,83.80,84.46,1945100,83.93
2014-01-27,84.43,84.81,82.31,83.39,3138800,82.87
2014-01-24,86.82,87.33,84.35,84.36,3546000,83.83
2014-01-23,88.63,88.80,87.02,87.51,3179700,86.96
2014-01-22,90.05,90.53,89.06,89.51,1710300,88.95
2014-01-21,90.58,91.09,89.70,90.13,1676300,89.56
2014-01-17,90.28,90.79,89.90,90.23,2348000,89.66
2014-01-16,90.52,90.99,89.94,90.36,1715800,89.79
2014-01-15,90.03,91.05,89.71,91.03,1959600,90.46
2014-01-14,89.21,89.86,88.72,89.67,1574000,89.11
2014-01-09,91.19,91.91,90.80,91.23,1676000,90.66
2014-01-08,90.91,91.57,90.62,90.93,2005900,90.36
2014-01-07,91.14,91.93,90.57,90.84,1701900,90.27
2014-01-06,90.42,90.98,90.05,90.50,2166500,89.93
2014-01-03,90.06,91.05,90.00,90.21,1660200,89.64
2014-01-02,91.50,91.64,90.09,90.76,1694900,90.19
2013-12-31,91.62,92.31,91.59,92.22,993300,91.64
2013-12-30,91.65,91.99,91.18,91.50,980300,90.93
2013-12-27,92.50,92.68,91.74,91.83,913800,91.25
2013-12-26,91.96,92.60,91.72,92.43,867400,91.85
2013-12-24,91.50,91.99,91.23,91.91,477900,91.33
2013-12-23,91.69,92.18,91.08,91.50,1624300,90.93
2013-12-20,90.19,91.68,90.01,91.33,2995500,90.76
2013-12-19,90.01,90.72,89.78,90.17,2667100,89.60
2013-12-18,88.45,90.64,87.39,90.59,2735200,90.02
2013-12-17,88.68,88.78,87.64,87.95,1666000,87.40
2013-12-16,88.67,89.20,88.46,88.68,1516000,88.12
2013-12-13,88.46,88.96,87.87,88.19,1533300,87.64
2013-12-12,88.26,89.12,87.88,88.33,2507800,87.78
2013-12-11,88.94,89.31,87.88,88.06,2523900,87.51
2013-12-10,88.75,89.29,87.91,89.03,1513200,88.47
2013-12-09,88.94,89.82,88.65,88.98,2083900,88.42
2013-12-06,88.98,89.70,88.83,88.91,2202700,88.35
2013-12-05,87.56,88.39,87.03,87.70,2429000,87.15
2013-12-04,87.73,88.89,86.95,87.76,2052400,87.21
2013-12-03,89.22,89.67,87.51,87.76,3360300,87.21
2013-12-02,88.93,90.53,88.70,89.46,2238600,88.90
2013-11-29,89.43,89.87,88.73,88.76,1249400,88.20
2013-11-27,90.38,90.39,88.94,89.28,1529400,88.72
2013-11-26,89.31,90.24,89.19,89.74,1959800,89.18
2013-11-25,90.14,90.20,89.11,89.23,1697400,88.67
2013-11-22,89.50,90.12,89.40,90.07,1868600,89.50
2013-11-21,89.35,90.64,89.24,90.20,2740400,89.11
2013-11-20,89.23,89.53,88.53,88.89,1844200,87.81
2013-11-19,88.60,89.53,88.43,88.98,1883100,87.90
2013-11-18,88.69,89.96,88.43,88.65,3126800,87.58
2013-11-15,88.41,89.00,87.60,88.62,2501400,87.55
2013-11-14,88.33,89.31,88.02,89.05,2947300,87.97
2013-11-13,86.29,87.87,86.12,87.83,2439100,86.77
2013-11-12,86.13,87.42,86.00,86.64,2619400,85.59
2013-11-11,86.88,86.88,85.94,86.49,1984400,85.44
2013-11-08,84.03,87.85,83.95,86.90,4144200,85.85
2013-11-07,82.23,85.89,81.75,83.76,5859000,82.75
2013-11-06,81.66,82.64,81.21,81.79,2199300,80.80
2013-11-05,81.43,81.87,80.70,81.47,1561300,80.48
2013-11-04,81.27,81.65,80.70,81.57,1235400,80.58
2013-11-01,81.60,81.67,80.60,81.19,1557800,80.21
2013-10-31,81.97,82.35,81.25,81.39,2028300,80.40
2013-10-30,82.53,83.14,81.58,82.20,1667300,81.20
2013-10-29,81.31,82.72,81.22,82.66,1542000,81.66
2013-10-28,81.24,81.67,80.95,81.05,1537200,80.07
2013-10-25,81.50,82.03,81.23,81.41,1761200,80.42
2013-10-24,80.66,81.58,80.04,81.37,1738700,80.38
2013-10-23,81.23,81.46,79.76,80.52,1577200,79.54
2013-10-22,81.53,82.38,81.32,81.72,2011600,80.73
2013-10-21,82.38,82.45,81.34,81.42,2281700,80.43
2013-10-18,82.63,82.65,81.76,82.53,1704300,81.53
2013-10-17,80.75,82.63,80.74,82.26,1789600,81.26
2013-10-16,80.43,82.26,80.36,81.53,1973000,80.54
2013-10-15,79.91,80.90,79.66,79.74,1707900,78.77
2013-10-14,79.07,80.56,78.70,80.26,1679200,79.29
2013-10-11,79.00,79.88,78.81,79.87,1407000,78.90
2013-10-10,77.28,79.10,77.18,79.07,2146000,78.11
2013-10-09,76.20,76.50,75.21,75.99,1916200,75.07
2013-10-08,77.60,77.60,75.91,75.99,2110100,75.07
2013-10-07,77.56,77.99,77.03,77.41,1116700,76.47
2013-10-04,77.25,78.59,76.90,78.40,1626200,77.45
2013-10-03,78.03,78.41,75.73,77.25,2957400,76.31
2013-10-02,77.49,78.33,77.22,78.29,2493300,77.34
2013-10-01,77.95,78.75,77.79,78.09,1877600,77.14
2013-09-30,77.32,78.55,76.84,77.98,2991200,77.04
2013-09-27,78.27,78.64,77.75,78.41,1168600,77.46
2013-09-26,79.06,79.63,78.32,78.80,1077300,77.85
2013-09-25,78.07,79.39,77.67,78.81,2020500,77.86
2013-09-24,77.94,78.56,77.19,77.80,1805300,76.86
2013-09-23,78.12,78.50,77.72,77.98,2218200,77.04
2013-09-20,78.75,79.24,78.00,78.24,3360800,77.29
2013-09-19,80.70,80.70,78.03,78.69,4575900,77.74
2013-09-18,81.37,82.62,79.77,80.24,4075400,79.27
2013-09-17,80.97,81.85,80.64,81.63,1600000,80.64
2013-09-16,80.73,81.27,80.16,80.91,1969900,79.93
2013-09-13,80.30,80.30,79.36,79.69,1275700,78.72
2013-09-12,80.07,80.44,79.60,79.95,1376500,78.98
2013-09-11,80.22,80.98,80.00,80.23,1590600,79.26
2013-09-10,79.57,80.98,79.54,80.60,2441500,79.62
2013-09-09,77.71,78.78,77.67,78.72,1951800,77.77
2013-09-06,78.12,78.40,76.13,77.55,2097400,76.61
2013-09-05,78.24,79.10,77.92,78.05,1751100,77.10
2013-09-04,76.51,78.99,76.51,78.19,2935200,77.24
2013-09-03,76.02,76.90,75.32,75.92,1808100,75.00
2013-08-30,75.56,75.66,74.54,74.88,1474300,73.97
2013-08-29,74.95,76.39,74.79,75.41,1423000,74.50
2013-08-28,74.56,75.51,74.10,75.07,2383500,74.16
2013-08-27,76.83,76.83,74.33,74.57,3320500,73.67
2013-08-26,78.52,78.83,77.71,77.84,1266000,76.90
2013-08-23,79.08,79.48,78.23,78.70,1432000,77.75
2013-08-22,78.09,80.01,78.00,79.51,2465900,78.15
2013-08-21,77.82,78.73,77.27,77.69,2265300,76.36
2013-08-20,78.44,78.45,77.19,78.09,1609300,76.76
2013-08-19,79.41,79.41,77.87,77.90,2394100,76.57
2013-08-16,78.44,79.78,78.44,79.61,2780000,78.25
2013-08-15,79.68,79.77,78.65,78.74,2645800,77.39
2013-08-14,80.12,80.77,79.96,80.13,2272700,78.76
2013-08-13,79.72,80.78,79.60,80.42,2264200,79.05
2013-08-12,80.03,80.44,79.50,79.71,2518600,78.35
2013-08-09,80.33,81.26,80.03,80.58,2845900,79.20
2013-08-08,81.27,82.00,79.03,80.41,4448200,79.04
2013-08-07,80.50,80.56,78.67,79.37,4165700,78.01
2013-08-06,82.14,82.23,80.52,80.73,2334500,79.35
2013-08-05,82.09,82.87,81.02,82.42,1945300,81.01
2013-08-02,83.67,83.67,81.78,82.41,2032500,81.00
2013-08-01,79.67,83.21,79.67,82.62,3796600,81.21
2013-07-31,78.78,79.99,78.78,78.97,2542400,77.62
2013-07-30,79.12,79.49,78.34,78.68,1632800,77.34
2013-07-29,79.08,79.25,78.45,78.84,1208700,77.49
2013-07-26,77.95,79.26,77.80,79.16,1608800,77.81
2013-07-25,78.31,78.73,77.75,78.73,1686400,77.39
2013-07-24,79.39,79.75,78.14,78.40,1855900,77.06
2013-07-23,79.33,79.49,78.67,78.93,1607000,77.58
2013-07-22,78.47,79.19,78.29,79.15,1617100,77.80
2013-07-19,78.07,78.51,77.30,78.19,1482900,76.85
2013-07-18,77.50,78.64,77.48,78.52,1814800,77.18
2013-07-17,77.61,77.80,76.94,77.06,1691100,75.74
2013-07-16,77.70,78.08,76.69,77.33,1643800,76.01
