Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,10.82,11.07,10.77,10.95,13409400,10.95
2014-03-27,10.94,10.99,10.72,10.79,18555000,10.79
2014-03-26,11.17,11.24,10.97,11.00,13641300,11.00
2014-03-25,11.13,11.15,10.99,11.11,11775000,11.11
2014-03-24,11.15,11.32,11.03,11.07,19259400,11.07
2014-03-21,11.50,11.54,11.08,11.09,50564700,11.09
2014-03-20,11.04,11.37,11.03,11.30,21195200,11.30
2014-03-19,10.82,11.18,10.79,11.09,21808600,11.09
2014-03-18,10.82,10.89,10.74,10.81,9476400,10.81
2014-03-17,10.68,10.86,10.68,10.80,13999200,10.80
2014-03-14,10.65,10.79,10.60,10.63,10703700,10.63
2014-03-13,10.79,10.90,10.65,10.67,14290100,10.67
2014-03-12,10.74,10.77,10.58,10.75,10293300,10.75
2014-03-11,10.91,10.97,10.75,10.80,14468400,10.77
2014-03-10,11.00,11.06,10.83,10.90,14406100,10.87
2014-03-07,10.98,11.11,10.96,11.05,19680800,11.02
2014-03-06,10.78,10.91,10.75,10.83,15066100,10.80
2014-03-05,10.76,10.88,10.70,10.73,15980100,10.70
2014-03-04,10.67,10.82,10.63,10.78,12966000,10.75
2014-03-03,10.56,10.60,10.46,10.53,11663900,10.50
2014-02-28,10.58,10.77,10.54,10.64,13617200,10.61
2014-02-27,10.51,10.59,10.43,10.57,7872000,10.54
2014-02-26,10.48,10.53,10.39,10.52,10871600,10.49
2014-02-25,10.46,10.52,10.38,10.45,13184200,10.42
2014-02-24,10.29,10.49,10.27,10.44,12908500,10.41
2014-02-21,10.22,10.37,10.19,10.24,10904700,10.21
2014-02-20,10.10,10.26,10.03,10.22,13315400,10.19
2014-02-19,10.35,10.37,10.07,10.10,13759000,10.07
2014-02-18,10.35,10.42,10.33,10.37,6282000,10.34
2014-02-14,10.30,10.42,10.28,10.35,7538400,10.32
2014-02-13,10.15,10.31,10.13,10.30,8496400,10.27
2014-02-12,10.30,10.43,10.22,10.25,9325400,10.22
2014-02-11,10.19,10.33,10.11,10.30,12210800,10.27
2014-02-10,10.24,10.30,10.12,10.20,10865400,10.17
2014-02-07,10.31,10.38,10.11,10.23,17551700,10.20
2014-02-06,9.92,10.28,9.88,10.27,17491000,10.24
2014-02-05,9.93,9.98,9.83,9.90,14989100,9.87
2014-02-04,9.91,10.14,9.81,9.97,15435900,9.94
2014-02-03,10.19,10.19,9.79,9.82,18259200,9.79
2014-01-31,10.29,10.31,10.15,10.17,15592400,10.14
2014-01-30,10.43,10.45,10.30,10.43,8568200,10.40
2014-01-29,10.47,10.50,10.23,10.31,18508700,10.28
2014-01-28,10.55,10.59,10.37,10.53,13402700,10.50
2014-01-27,10.60,10.61,10.32,10.41,16709100,10.38
2014-01-24,10.84,10.88,10.52,10.55,22183200,10.52
2014-01-23,10.94,10.95,10.76,10.92,24655000,10.89
