Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,41.30,41.65,41.10,41.20,686700,41.20
2014-03-27,41.87,41.87,40.97,41.10,872900,41.10
2014-03-26,42.48,42.61,41.78,41.84,746200,41.84
2014-03-25,42.43,42.48,41.65,42.30,721600,42.30
2014-03-24,42.56,42.73,41.70,42.03,743500,42.03
2014-03-21,42.15,42.87,42.02,42.47,1254800,42.47
2014-03-20,41.53,41.81,41.22,41.78,576300,41.78
2014-03-19,42.16,42.38,41.30,41.69,599300,41.69
2014-03-18,41.60,42.21,41.50,42.19,612000,42.19
2014-03-17,41.39,41.84,41.08,41.58,672800,41.58
2014-03-14,40.91,41.39,40.86,41.24,697900,41.24
2014-03-13,42.16,42.25,40.94,41.07,645300,41.07
2014-03-12,41.65,42.01,41.24,42.00,755400,42.00
2014-03-11,42.46,42.67,41.82,41.95,803800,41.95
2014-03-10,42.73,42.93,42.11,42.39,831100,42.39
2014-03-07,42.62,42.95,42.47,42.80,1309000,42.80
2014-03-06,41.71,42.30,41.61,42.17,1462100,42.17
2014-03-05,41.38,41.71,41.03,41.65,1348900,41.65
2014-03-04,40.97,41.53,40.94,41.36,898000,41.36
2014-03-03,40.59,40.72,40.26,40.56,802500,40.56
2014-02-28,40.52,41.04,40.40,40.94,847100,40.94
2014-02-27,40.27,40.58,40.03,40.49,835200,40.49
2014-02-26,40.12,40.51,39.96,40.20,812200,40.20
2014-02-25,40.36,40.50,39.81,39.94,1039200,39.94
2014-02-24,40.27,40.68,40.23,40.24,684500,40.24
2014-02-21,40.26,40.35,39.73,40.24,1459700,40.24
2014-02-20,40.87,40.89,40.26,40.31,1247300,40.13
2014-02-19,41.27,41.39,40.64,40.74,1016600,40.56
2014-02-18,40.71,41.39,40.46,41.28,1514600,41.10
2014-02-14,40.38,40.59,40.18,40.48,550800,40.30
2014-02-13,39.77,40.54,39.70,40.45,693900,40.27
2014-02-12,39.76,40.06,39.41,40.02,1228000,39.84
2014-02-11,39.64,39.74,39.36,39.62,1385700,39.44
2014-02-10,40.15,40.17,39.49,39.73,1220900,39.55
2014-02-07,40.15,40.70,39.89,40.28,1274500,40.10
2014-02-06,39.67,40.17,39.51,40.01,1537300,39.83
2014-02-05,39.25,39.55,38.62,39.32,1401900,39.14
2014-02-04,39.30,39.95,39.15,39.63,2638900,39.45
2014-02-03,41.65,41.88,39.09,39.17,3130600,39.00
2014-01-31,40.00,42.32,39.84,41.78,4978000,41.59
2014-01-30,41.70,42.24,41.33,42.08,2640200,41.89
2014-01-29,41.21,41.82,40.88,41.51,3431300,41.32
2014-01-28,41.20,41.62,41.08,41.39,1427900,41.21
2014-01-27,40.27,41.48,40.24,41.24,2431100,41.06
2014-01-24,41.29,41.29,39.79,40.01,1269200,39.83
2014-01-23,41.47,41.60,40.97,41.32,782100,41.14
2014-01-22,41.92,41.95,41.65,41.77,779900,41.58
2014-01-21,42.47,42.70,41.58,41.82,1158800,41.63
2014-01-17,42.49,42.60,42.03,42.13,1026500,41.94
2014-01-16,42.57,42.94,42.08,42.52,886900,42.33
2014-01-15,41.41,43.06,41.41,42.68,1501700,42.49
2014-01-14,40.46,41.22,40.46,41.04,1042600,40.86
2014-01-13,41.26,41.55,40.28,40.37,1023000,40.19
2014-01-09,41.13,41.28,40.63,40.93,852400,40.75
2014-01-08,41.34,41.38,40.91,41.10,945500,40.92
2014-01-07,41.23,41.65,41.17,41.35,814900,41.17
2014-01-06,41.88,41.88,40.92,40.96,1069700,40.78
2014-01-03,41.56,41.99,41.38,41.55,903400,41.36
2014-01-02,41.72,41.90,41.36,41.37,749100,41.19
2013-12-31,42.05,42.33,41.85,41.99,453300,41.80
2013-12-30,41.93,42.17,41.82,42.00,643000,41.81
2013-12-27,42.26,42.26,41.79,41.92,635700,41.73
2013-12-26,42.02,42.25,41.73,42.10,435600,41.91
2013-12-24,41.76,42.25,41.69,41.98,396900,41.79
2013-12-23,41.34,41.76,41.10,41.69,892000,41.50
2013-12-20,39.95,41.24,39.82,41.16,1818500,40.98
2013-12-19,40.45,40.46,39.70,39.74,1244900,39.56
2013-12-18,40.52,40.64,39.63,40.45,1469200,40.27
2013-12-17,39.76,40.79,39.51,40.53,1256800,40.35
2013-12-16,39.20,40.04,39.20,39.82,642600,39.64
2013-12-13,39.38,39.73,39.26,39.32,629800,39.14
2013-12-12,39.34,39.53,39.22,39.32,944000,39.14
2013-12-11,39.91,39.91,39.26,39.38,776700,39.20
2013-12-10,40.00,40.22,39.85,39.92,1190500,39.74
2013-12-09,39.55,40.29,39.50,40.28,1311200,40.10
2013-12-06,38.73,39.52,38.72,39.32,795500,39.14
2013-12-05,38.73,38.79,38.26,38.29,969300,38.12
2013-12-04,38.16,38.73,38.06,38.67,931500,38.50
2013-12-03,38.50,38.62,38.27,38.41,783400,38.24
2013-12-02,38.62,39.13,38.33,38.67,842400,38.50
2013-11-29,38.53,38.91,38.41,38.63,444900,38.46
2013-11-27,38.15,38.48,37.94,38.40,594900,38.23
2013-11-26,38.19,38.29,37.95,38.03,585100,37.86
2013-11-25,38.13,38.31,38.05,38.12,466700,37.95
2013-11-22,37.88,38.31,37.76,37.98,497600,37.81
2013-11-21,37.67,37.97,37.54,37.90,671600,37.73
2013-11-20,38.00,38.15,37.48,37.60,593400,37.27
2013-11-19,38.43,38.55,37.90,37.94,554500,37.61
2013-11-18,38.91,39.06,38.43,38.51,685000,38.17
2013-11-15,38.76,38.85,38.19,38.84,843800,38.50
2013-11-14,39.27,39.41,38.66,38.73,869800,38.39
2013-11-13,38.65,39.40,38.58,39.31,768600,38.97
2013-11-12,38.50,38.98,38.34,38.94,822300,38.60
2013-11-11,38.16,38.67,38.05,38.64,549300,38.30
2013-11-08,37.22,38.22,37.20,38.20,647600,37.87
2013-11-07,38.35,38.35,37.16,37.20,905800,36.88
2013-11-06,38.80,38.98,38.10,38.15,1032100,37.82
2013-11-05,38.65,38.79,38.09,38.49,1173800,38.16
2013-11-04,39.12,39.24,38.72,38.83,655000,38.49
2013-11-01,38.55,38.95,38.43,38.89,952600,38.55
2013-10-31,38.71,38.85,38.33,38.53,1274300,38.19
2013-10-30,39.37,39.55,38.51,38.65,990700,38.31
2013-10-29,39.30,39.65,39.02,39.35,925100,39.01
2013-10-28,39.26,39.34,38.90,39.28,937900,38.94
2013-10-25,39.42,39.42,38.99,39.25,811800,38.91
2013-10-24,39.42,39.42,39.10,39.20,939800,38.86
2013-10-23,39.83,39.84,39.13,39.28,2088200,38.94
2013-10-22,40.78,41.06,40.29,40.72,1577300,40.37
2013-10-21,41.02,41.13,40.38,40.52,808000,40.17
2013-10-18,40.81,40.95,40.66,40.93,687200,40.57
2013-10-17,40.31,40.67,40.12,40.53,630800,40.18
2013-10-16,39.90,40.52,39.70,40.51,1136600,40.16
2013-10-15,39.57,40.99,39.27,39.56,1078500,39.22
2013-10-14,39.60,39.68,39.32,39.63,846100,39.29
2013-10-11,39.16,39.81,38.94,39.68,940800,39.33
2013-10-10,38.90,39.43,38.84,39.39,853300,39.05
2013-10-09,38.78,38.78,37.88,38.29,1007100,37.96
2013-10-08,39.32,39.65,38.69,38.77,869200,38.43
2013-10-07,39.33,39.54,39.10,39.41,745300,39.07
2013-10-04,38.86,39.76,38.75,39.70,739500,39.35
