Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,17.38,17.83,17.33,17.77,1935800,17.77
2014-03-27,17.63,17.79,17.29,17.31,1839300,17.31
2014-03-26,17.84,17.97,17.59,17.60,1699000,17.60
2014-03-25,18.34,18.54,17.67,17.68,5340100,17.68
2014-03-24,18.79,18.79,18.24,18.28,1417500,18.28
2014-03-21,18.91,19.00,18.67,18.71,2130700,18.71
2014-03-20,18.80,18.90,18.57,18.79,1199900,18.79
2014-03-19,18.91,19.07,18.68,18.87,1741400,18.87
2014-03-18,18.52,18.98,18.52,18.83,1582700,18.83
2014-03-17,18.39,18.63,18.26,18.47,1057100,18.47
2014-03-14,18.26,18.67,18.20,18.34,1163300,18.34
2014-03-13,18.46,18.46,17.98,18.34,2530600,18.34
2014-03-12,18.52,18.62,18.18,18.41,1429600,18.41
2014-03-11,18.67,18.81,18.38,18.59,2288600,18.59
2014-03-10,18.26,18.76,18.25,18.61,1765500,18.61
2014-03-07,18.99,19.16,18.14,18.25,2954100,18.25
2014-03-06,19.28,19.30,18.79,18.90,1224700,18.90
2014-03-05,19.05,19.30,19.05,19.13,1335600,19.13
2014-03-04,19.11,19.25,18.89,19.13,2466900,19.13
2014-03-03,18.92,18.97,18.45,18.78,3038800,18.78
2014-02-28,19.07,19.24,18.95,19.13,2944200,19.13
2014-02-27,19.61,19.96,18.96,19.04,3083800,19.04
2014-02-26,20.05,21.20,19.44,19.62,7514600,19.62
2014-02-25,18.98,19.02,18.74,18.78,2199100,18.78
2014-02-24,18.43,19.06,18.43,19.04,1980700,19.04
2014-02-21,18.14,18.50,18.09,18.36,1223900,18.36
2014-02-20,18.26,18.47,18.01,18.10,1396200,18.10
2014-02-19,18.16,18.55,18.12,18.23,1608800,18.23
2014-02-18,17.89,18.49,17.80,18.25,2172300,18.25
2014-02-14,17.53,17.94,17.33,17.89,1453900,17.89
2014-02-13,17.30,17.65,17.21,17.55,1839900,17.55
2014-02-12,17.47,17.57,17.05,17.42,7860000,17.42
2014-02-11,17.33,17.61,17.25,17.42,2698000,17.42
2014-02-10,17.44,17.58,17.17,17.35,1697200,17.35
2014-02-07,17.47,17.74,17.34,17.43,1450600,17.43
2014-02-06,17.20,17.60,17.15,17.40,1215200,17.40
2014-02-05,17.22,17.37,17.02,17.20,2293500,17.20
2014-02-04,17.19,17.58,16.62,17.23,5437300,17.23
2014-02-03,18.38,18.58,17.08,17.15,3868000,17.15
2014-01-31,18.47,18.87,18.25,18.47,2608600,18.47
2014-01-30,18.55,18.76,18.39,18.75,1252000,18.75
2014-01-29,18.48,18.74,18.32,18.32,1434500,18.32
