Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,97.89,98.79,97.60,98.65,1695100,98.65
2014-03-27,97.00,97.83,96.07,97.54,2096600,97.54
2014-03-26,98.53,98.72,97.09,97.09,1395900,97.09
2014-03-25,98.14,98.76,97.37,98.06,2115600,98.06
2014-03-24,97.88,97.99,96.04,97.33,2355000,97.33
2014-03-21,98.84,99.10,97.39,97.50,3773900,97.50
2014-03-20,99.59,100.41,98.21,98.57,2651400,98.57
2014-03-19,101.72,101.80,98.73,99.39,1818400,99.39
2014-03-18,101.34,101.71,100.67,101.31,1384700,101.31
2014-03-17,100.48,101.02,100.12,100.96,1272800,100.96
2014-03-14,98.59,100.94,98.58,100.09,2795700,100.09
2014-03-13,100.05,101.15,98.64,98.83,1777900,98.83
2014-03-12,98.81,100.07,98.06,99.74,1795100,99.74
2014-03-11,100.66,100.71,99.03,99.15,1580500,99.15
2014-03-10,100.84,101.08,100.10,100.73,1440100,100.73
2014-03-07,101.00,102.15,100.70,101.27,1765900,101.27
2014-03-06,100.03,101.07,100.03,100.49,1436000,100.49
2014-03-05,101.00,102.00,100.41,100.69,1836000,100.69
2014-03-04,100.93,101.03,100.08,100.39,2092400,100.39
2014-03-03,96.90,98.57,96.74,98.20,1639200,98.20
2014-02-28,96.86,98.95,96.86,97.91,1721600,97.91
2014-02-27,96.47,97.59,96.30,97.59,1699300,97.59
2014-02-26,96.95,97.34,96.25,96.58,2047300,96.58
2014-02-25,98.21,98.57,96.52,96.78,1763300,96.78
2014-02-24,97.08,99.48,97.06,98.22,3017400,98.22
2014-02-21,96.49,97.35,96.07,96.60,2258600,96.60
2014-02-20,95.25,96.91,95.05,96.35,2043800,96.35
2014-02-19,96.18,97.13,95.12,95.16,2065400,95.16
2014-02-18,95.21,96.35,94.86,95.87,1725900,95.87
2014-02-14,94.82,96.14,94.56,95.93,1655200,95.93
2014-02-13,95.20,96.29,94.91,95.29,2006900,95.29
2014-02-12,94.45,95.74,94.39,95.67,2159000,95.67
2014-02-11,92.81,94.76,92.72,94.29,2373200,94.29
2014-02-10,94.30,94.43,92.66,93.23,2458900,93.23
2014-02-07,94.03,95.73,93.87,94.27,2875300,94.27
2014-02-06,92.71,93.62,92.29,93.60,1890200,93.60
2014-02-05,90.90,93.13,90.49,92.75,2874100,92.75
2014-02-04,91.75,91.98,89.47,90.98,4183800,90.98
2014-02-03,95.19,95.83,92.39,92.45,3730300,92.45
2014-01-31,92.21,95.50,91.93,95.07,6101500,95.07
2014-01-30,88.61,92.30,87.86,91.89,4058700,91.89
2014-01-29,88.13,88.95,87.72,88.63,3034200,88.63
2014-01-28,88.47,89.50,88.41,89.21,1512000,89.21
2014-01-27,88.55,89.19,87.64,88.56,2149300,88.56
2014-01-24,90.10,90.36,88.13,88.13,1997900,88.13
2014-01-23,91.99,92.65,90.80,91.10,2212700,91.10
2014-01-22,91.35,92.69,91.16,92.45,2335600,92.45
2014-01-21,90.80,91.96,90.55,91.53,2797000,91.53
2014-01-17,90.52,91.00,89.65,90.07,2076000,90.07
2014-01-16,91.07,91.12,90.27,90.68,1135600,90.68
2014-01-15,91.40,91.85,90.92,91.16,1756900,91.16
2014-01-14,90.40,91.18,89.79,91.14,1378900,91.14
2014-01-09,89.54,90.28,89.24,90.00,1713800,90.00
2014-01-08,88.68,89.09,87.66,88.96,2334800,88.96
2014-01-07,89.74,89.91,88.35,88.69,2062400,88.69
2014-01-06,89.24,89.82,89.00,89.15,1574100,89.15
2014-01-03,88.94,89.54,88.57,88.82,1287900,88.82
2014-01-02,90.16,90.16,88.33,88.78,1501600,88.78
2013-12-31,90.43,90.89,90.13,90.70,928900,90.70
2013-12-30,90.41,90.65,89.39,90.43,1050600,90.43
2013-12-27,91.24,91.39,90.52,90.85,859800,90.85
2013-12-26,89.92,91.26,89.63,91.04,991800,91.04
2013-12-24,89.43,89.74,89.14,89.60,400600,89.60
2013-12-23,89.19,89.39,88.81,89.09,1225600,89.09
2013-12-20,88.50,89.42,88.14,88.39,2687700,88.39
2013-12-19,88.51,88.83,87.52,88.49,1398000,88.49
2013-12-18,87.15,88.91,86.18,88.73,1905800,88.73
2013-12-17,87.04,87.23,86.62,86.79,1433200,86.79
2013-12-16,86.50,87.19,86.23,86.63,1029400,86.63
2013-12-13,85.85,86.74,85.70,86.44,1076100,86.44
2013-12-12,85.45,86.11,85.42,85.71,1253300,85.71
2013-12-11,87.20,87.21,85.30,85.40,1349400,85.40
2013-12-10,86.59,87.40,86.37,87.01,1278700,87.01
2013-12-09,86.83,87.01,86.20,86.85,1579600,86.85
2013-12-06,86.78,87.36,85.70,86.68,3108300,86.68
2013-12-05,85.96,86.99,85.64,86.00,2253800,86.00
2013-12-04,88.29,88.60,85.21,86.05,3778400,86.05
2013-12-03,87.85,89.21,87.68,88.78,2496600,88.78
2013-12-02,88.63,89.16,87.51,87.67,1517900,87.67
2013-11-29,89.10,89.56,88.53,88.68,929400,88.68
2013-11-27,88.74,89.46,88.51,89.15,1667300,89.15
2013-11-26,87.35,88.59,87.21,88.39,2677100,88.39
2013-11-25,87.53,87.62,86.90,87.34,1127800,87.34
2013-11-22,86.55,87.47,86.47,87.36,1044300,87.36
2013-11-21,85.98,87.31,85.83,86.84,1768500,86.84
2013-11-20,85.77,86.29,85.08,85.50,956800,85.50
2013-11-19,85.74,85.89,84.97,85.59,1456300,85.59
2013-11-18,85.88,86.37,85.46,85.66,1497900,85.66
2013-11-15,85.32,85.47,84.68,85.28,1702300,85.28
2013-11-14,85.87,86.01,85.36,85.68,1510900,85.68
2013-11-13,84.67,85.47,84.25,85.46,1487500,85.46
2013-11-12,85.02,85.32,84.50,84.85,1227000,84.85
2013-11-11,85.24,85.41,84.70,85.04,1313000,85.04
2013-11-08,84.22,85.56,84.20,85.36,1505800,85.36
2013-11-07,85.20,85.73,84.20,84.27,1323400,84.27
2013-11-06,84.91,84.98,83.93,84.94,1353000,84.94
2013-11-05,83.99,84.88,83.77,84.49,1476600,84.49
2013-11-04,84.13,84.45,83.83,84.12,1519700,84.12
2013-11-01,82.46,84.43,82.46,83.75,2064300,83.75
2013-10-31,82.00,83.10,81.69,82.37,1887500,82.37
2013-10-30,82.34,82.68,81.81,82.10,1795800,82.10
2013-10-29,81.10,81.93,81.00,81.87,1446200,81.87
2013-10-28,79.86,81.62,79.71,81.09,2118300,81.09
2013-10-25,78.64,80.23,78.39,79.96,2166900,79.96
2013-10-24,79.09,79.42,76.91,78.08,2871700,78.08
2013-10-23,76.20,78.75,76.20,78.49,2884000,78.49
2013-10-22,75.82,76.29,75.08,76.21,3173300,76.21
2013-10-21,76.97,76.99,74.68,75.07,2627900,75.07
2013-10-18,77.80,77.80,76.85,76.86,2056800,76.86
2013-10-17,76.18,77.82,75.77,77.63,1217200,77.63
2013-10-16,76.21,76.47,75.85,76.26,1485600,76.26
2013-10-15,76.44,76.54,75.61,75.68,1406600,75.68
2013-10-14,75.55,76.53,75.27,76.38,900800,76.38
2013-10-11,75.93,76.25,75.63,76.23,1609300,76.23
2013-10-10,74.64,76.26,74.50,76.26,1432500,76.26
2013-10-09,74.22,74.52,73.81,73.97,1314700,73.97
2013-10-08,75.14,75.27,74.03,74.05,1349900,74.05
2013-10-07,74.25,75.79,74.00,75.22,2407600,75.22
2013-10-04,74.90,75.00,74.03,74.25,2424200,74.25
2013-10-03,75.84,75.93,74.43,74.92,2040900,74.92
2013-10-02,77.55,77.61,75.64,76.08,2503700,76.08
2013-10-01,77.17,78.01,76.89,77.81,1292000,77.81
2013-09-30,77.38,77.73,76.92,77.07,1619500,77.07
2013-09-27,79.76,79.78,78.63,78.74,1637000,78.19
2013-09-26,78.76,79.82,78.70,79.80,1331000,79.24
2013-09-25,78.79,78.91,78.11,78.72,1307200,78.17
2013-09-24,78.81,79.15,78.47,78.71,1433400,78.16
2013-09-23,79.00,79.23,78.21,78.69,1470000,78.14
2013-09-20,80.52,80.63,78.68,79.00,2587900,78.45
2013-09-19,80.77,81.26,80.55,80.69,980500,80.13
2013-09-18,80.35,80.80,79.43,80.62,1463900,80.06
2013-09-17,79.55,80.36,79.36,80.26,1413500,79.70
2013-09-16,79.09,79.68,78.76,79.66,1401300,79.10
2013-09-13,77.80,78.67,77.38,78.48,1612300,77.93
2013-09-12,77.19,77.95,77.18,77.57,903600,77.03
2013-09-11,77.03,77.43,76.75,77.43,1368800,76.89
2013-09-10,76.17,77.04,76.13,76.89,1357300,76.35
2013-09-09,75.75,76.07,75.50,75.85,1066900,75.32
2013-09-06,75.99,76.13,74.70,75.61,1544800,75.08
2013-09-05,76.05,76.21,75.43,75.80,1531900,75.27
2013-09-04,75.75,76.56,75.59,76.08,1741100,75.55
2013-09-03,76.36,76.63,75.50,75.69,1464800,75.16
2013-08-30,75.86,75.98,75.18,75.41,1176100,74.88
2013-08-29,75.41,76.28,75.32,75.68,1211300,75.15
2013-08-28,75.45,76.08,75.31,75.52,1943300,74.99
2013-08-27,76.62,77.29,75.12,75.26,2622300,74.73
2013-08-26,77.40,77.93,76.93,77.02,1780300,76.48
2013-08-23,76.76,77.85,76.63,77.65,1856100,77.11
2013-08-22,76.15,76.85,76.02,76.65,1059200,76.11
2013-08-21,75.96,76.50,75.82,75.88,1547100,75.35
2013-08-20,76.29,76.75,76.03,76.05,1741100,75.52
2013-08-19,76.48,77.19,76.27,76.35,2411000,75.82
2013-08-16,75.47,76.79,75.47,76.74,2961900,76.20
2013-08-15,75.80,76.16,75.28,75.60,1461800,75.07
2013-08-14,76.62,76.79,76.26,76.40,1541000,75.87
2013-08-13,75.97,76.98,75.95,76.80,1405000,76.26
2013-08-12,76.82,76.95,75.91,76.02,1704900,75.49
2013-08-09,76.88,77.23,76.55,76.98,2177200,76.44
2013-08-08,76.67,77.15,76.20,76.80,2048700,76.26
2013-08-07,75.75,76.55,75.52,76.38,2589200,75.85
2013-08-06,75.96,76.08,75.35,75.79,2499300,75.26
2013-08-05,75.76,76.39,75.01,76.08,3293200,75.55
2013-08-02,75.48,76.27,74.34,75.65,6525600,75.12
2013-08-01,72.34,73.83,72.20,73.77,3591600,73.25
2013-07-31,71.37,72.34,71.32,71.84,2702600,71.34
2013-07-30,71.23,71.55,71.06,71.22,2267700,70.72
2013-07-29,70.00,71.24,69.86,70.95,3030200,70.45
2013-07-26,69.60,70.40,69.36,70.01,2546700,69.52
2013-07-25,70.51,70.71,68.86,69.75,2365100,69.26
2013-07-24,70.00,70.55,69.73,69.75,2035500,69.26
2013-07-23,69.66,69.94,69.35,69.71,2272200,69.22
2013-07-22,69.78,69.87,69.31,69.37,1470400,68.89
2013-07-19,69.74,69.84,69.49,69.80,2856200,69.31
2013-07-18,69.71,69.94,69.42,69.70,1717800,69.21
2013-07-17,69.69,69.94,69.29,69.46,1268400,68.97
2013-07-16,70.01,70.09,69.44,69.56,1287800,69.07
2013-07-15,69.91,70.13,69.68,70.04,1397100,69.55
2013-07-12,69.30,69.60,68.93,69.47,1647900,68.98
2013-07-11,68.77,69.49,68.77,69.38,1759800,68.90
2013-07-10,67.49,68.42,67.49,68.18,1738600,67.70
2013-07-09,67.28,67.88,66.74,67.44,2054400,66.97
2013-07-08,66.30,66.96,66.14,66.84,1969400,66.37
2013-07-05,65.63,66.01,65.15,65.84,1070500,65.38
2013-07-03,64.62,65.28,64.53,65.15,753000,64.69
2013-07-02,66.05,66.05,64.48,64.82,1939100,64.37
2013-07-01,66.00,66.44,65.43,66.10,1585300,65.64
2013-06-28,66.35,66.66,65.95,66.12,1958000,65.11
2013-06-27,66.50,66.79,66.36,66.44,1730500,65.43
2013-06-26,65.81,66.32,65.22,65.93,2034200,64.92
2013-06-25,65.96,66.04,65.03,65.32,1453000,64.32
2013-06-24,65.86,66.21,65.14,65.51,1788600,64.51
2013-06-21,66.36,66.68,66.04,66.11,2344300,65.10
2013-06-20,66.59,66.96,66.01,66.11,1925300,65.10
2013-06-19,68.07,68.07,66.82,66.90,2434700,65.88
2013-06-18,68.00,68.35,67.70,68.07,1855300,67.03
2013-06-17,68.01,68.49,67.35,67.78,1226900,66.75
2013-06-14,67.36,67.83,66.97,67.41,1834100,66.38
2013-06-13,66.69,68.13,66.66,67.67,1873900,66.64
2013-06-12,67.05,67.30,66.56,66.71,1336800,65.69
2013-06-11,66.48,67.18,66.22,66.54,1470800,65.53
2013-06-10,67.44,67.48,66.77,66.95,1467300,65.93
2013-06-07,66.41,67.49,66.35,67.41,1907400,66.38
2013-06-06,65.52,66.12,65.06,65.98,1363800,64.97
2013-06-05,66.14,66.24,65.34,65.50,1386500,64.50
2013-06-04,66.12,66.64,65.80,66.35,1528500,65.34
2013-06-03,66.30,66.63,65.69,66.24,2897400,65.23
2013-05-31,67.24,68.09,66.64,66.64,1956500,65.62
2013-05-30,67.42,68.62,67.30,67.33,1584000,66.30
