Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,27.25,27.49,27.03,27.19,5685500,27.19
2014-03-27,27.71,27.94,27.03,27.16,7582400,27.16
2014-03-26,28.06,28.34,27.78,27.79,8123100,27.79
2014-03-25,28.49,28.57,27.58,27.83,10762300,27.83
2014-03-24,28.53,28.70,28.16,28.43,6557500,28.43
2014-03-21,28.85,29.13,28.10,28.53,17798700,28.53
2014-03-20,27.47,28.50,27.47,28.43,14527600,28.43
2014-03-19,26.75,27.75,26.58,27.58,18777800,27.58
2014-03-18,26.58,26.77,26.50,26.72,4233400,26.72
2014-03-17,26.27,26.66,26.27,26.51,4538600,26.51
2014-03-14,26.37,26.42,25.80,26.05,7036600,26.05
2014-03-13,26.80,27.07,26.23,26.35,6577900,26.35
2014-03-12,26.46,26.70,26.28,26.66,6224100,26.66
2014-03-11,27.21,27.25,26.78,26.85,5689200,26.85
2014-03-10,26.97,27.27,26.81,27.15,5516300,27.15
2014-03-07,27.15,27.31,26.79,27.00,9253300,27.00
2014-03-06,27.03,27.21,26.90,26.94,11975100,26.94
2014-03-05,26.86,26.98,26.66,26.93,7662800,26.93
2014-03-04,26.22,27.05,26.17,26.82,10699200,26.82
2014-03-03,26.13,26.15,25.78,25.86,8284200,25.86
2014-02-28,26.41,26.73,26.22,26.51,7215400,26.51
2014-02-27,26.28,26.48,26.08,26.42,5690500,26.42
2014-02-26,26.38,26.44,26.16,26.37,8543100,26.37
2014-02-25,26.62,26.62,26.19,26.26,5133100,26.26
2014-02-24,26.25,26.70,26.14,26.53,5814100,26.53
2014-02-21,26.19,26.45,26.03,26.25,7362400,26.25
2014-02-20,25.59,26.23,25.43,26.12,7570900,26.12
2014-02-19,25.99,26.16,25.51,25.56,8035200,25.56
2014-02-18,25.45,26.23,25.44,26.12,6721400,26.12
2014-02-14,25.78,25.78,25.43,25.45,6102200,25.45
2014-02-13,25.41,25.82,25.23,25.80,5433500,25.80
2014-02-12,25.41,25.82,25.41,25.57,6445800,25.57
2014-02-11,24.82,25.56,24.73,25.41,7612100,25.41
2014-02-10,24.54,24.81,24.47,24.76,3266000,24.76
2014-02-07,24.56,24.89,24.16,24.60,7695700,24.60
2014-02-06,23.94,24.46,23.85,24.44,5914500,24.44
2014-02-05,24.02,24.10,23.73,23.86,11444300,23.86
2014-02-04,23.78,24.33,23.72,24.13,9012800,24.07
2014-02-03,24.77,24.99,23.56,23.65,14899700,23.59
2014-01-31,24.69,25.06,24.51,24.82,9443700,24.76
2014-01-30,24.93,25.37,24.87,25.29,6331400,25.23
2014-01-29,24.87,25.19,24.61,24.66,6202400,24.60
2014-01-28,24.88,25.32,24.81,25.20,5881100,25.14
2014-01-27,25.32,25.51,24.70,24.82,10278500,24.76
2014-01-24,26.01,26.04,25.24,25.27,10304200,25.21
2014-01-23,26.57,26.57,25.97,26.14,8469600,26.08
2014-01-22,26.88,26.95,26.60,26.80,5316300,26.73
2014-01-21,26.92,27.11,26.79,26.80,9555100,26.73
2014-01-17,26.81,26.90,26.51,26.77,7120000,26.70
2014-01-16,26.25,26.84,26.09,26.80,13421800,26.73
2014-01-09,25.92,26.06,25.71,25.85,4103000,25.79
2014-01-08,25.58,25.94,25.51,25.84,6541100,25.78
2014-01-07,25.48,25.92,25.36,25.54,7476500,25.48
2014-01-06,26.00,26.14,25.75,25.81,4293200,25.75
2014-01-03,25.84,26.04,25.70,25.90,3367700,25.84
2014-01-02,25.99,26.05,25.70,25.82,4618600,25.76
2013-12-31,25.70,26.08,25.67,26.00,4670500,25.94
2013-12-30,25.66,25.71,25.49,25.58,1961900,25.52
2013-12-27,25.78,25.87,25.62,25.66,1818000,25.60
2013-12-26,25.70,25.78,25.55,25.74,2617600,25.68
2013-12-24,25.70,25.72,25.56,25.71,1184700,25.65
2013-12-23,25.75,25.80,25.61,25.69,2835400,25.63
2013-12-20,25.57,25.67,25.34,25.61,8586200,25.55
2013-12-19,25.61,25.90,25.52,25.58,6061000,25.52
2013-12-18,24.80,25.72,24.65,25.70,8976800,25.64
2013-12-17,25.09,25.09,24.72,24.76,6564500,24.70
2013-12-16,24.92,25.11,24.80,25.09,7083900,25.03
2013-12-13,24.96,25.27,24.73,24.79,7977400,24.73
2013-12-12,24.85,24.99,24.67,24.80,10725200,24.74
2013-12-11,24.80,25.13,24.69,24.86,10632200,24.80
2013-12-10,24.91,24.97,24.68,24.83,4223200,24.77
2013-12-09,24.86,25.12,24.76,25.04,4992500,24.98
2013-12-06,24.81,24.97,24.59,24.83,3955600,24.77
2013-12-05,24.58,24.62,24.19,24.41,4477100,24.35
2013-12-04,24.63,24.87,24.41,24.62,3758100,24.56
2013-12-03,24.66,24.91,24.49,24.67,4461900,24.61
2013-12-02,24.50,25.14,24.50,24.83,6226800,24.77
2013-11-29,24.78,24.82,24.46,24.48,2187900,24.42
2013-11-27,24.68,24.86,24.55,24.78,4124400,24.72
2013-11-26,24.74,24.85,24.64,24.67,5062500,24.61
2013-11-25,25.00,25.00,24.66,24.68,5538000,24.62
2013-11-22,24.92,25.00,24.70,24.92,6316000,24.86
2013-11-21,24.58,25.01,24.57,25.00,9084500,24.94
2013-11-20,24.50,24.62,24.32,24.46,5586800,24.40
2013-11-19,24.41,24.68,24.37,24.50,10645400,24.44
2013-11-18,24.49,24.55,24.21,24.42,9248300,24.36
2013-11-15,24.30,24.50,24.20,24.42,7030400,24.36
2013-11-14,23.96,24.26,23.91,24.24,7320400,24.18
2013-11-13,23.59,23.99,23.39,23.98,7298100,23.92
2013-11-12,23.99,24.05,23.65,23.71,5706900,23.65
