Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,31.44,31.77,31.32,31.53,799700,31.53
2014-03-27,31.20,31.41,30.82,31.37,1222300,31.37
2014-03-26,32.12,32.20,31.25,31.25,1260900,31.25
2014-03-25,31.85,32.03,31.34,31.97,1600900,31.97
2014-03-24,32.26,32.62,31.48,31.80,1082000,31.80
2014-03-21,32.61,32.69,32.11,32.23,1603800,32.23
2014-03-20,32.02,32.41,32.00,32.41,911500,32.41
2014-03-19,32.86,32.88,31.91,32.16,1140100,32.16
2014-03-18,32.57,32.92,32.49,32.81,661300,32.81
2014-03-17,32.34,32.76,32.08,32.56,1141500,32.56
2014-03-14,32.29,32.70,31.88,32.09,2086800,32.09
2014-03-13,32.90,33.24,32.21,32.38,2102400,32.38
2014-03-12,32.91,33.32,32.71,32.77,1540100,32.77
2014-03-11,33.35,33.53,32.89,33.12,1658000,33.12
2014-03-10,33.49,33.51,32.89,33.27,1772900,33.27
2014-03-07,34.31,34.48,33.36,33.52,2844800,33.52
2014-03-06,34.65,34.85,34.39,34.59,955200,34.59
2014-03-05,34.63,34.72,34.30,34.45,1513400,34.45
2014-03-04,34.30,34.80,34.20,34.65,1801600,34.52
2014-03-03,33.63,34.09,33.46,33.79,1436600,33.66
2014-02-28,33.50,34.56,33.46,34.04,2412500,33.91
2014-02-27,33.26,33.62,33.13,33.46,1607000,33.33
2014-02-26,33.67,33.90,33.13,33.32,2355700,33.19
2014-02-25,32.80,33.82,32.80,33.62,2343300,33.49
2014-02-24,32.75,33.30,32.70,32.84,1958400,32.72
2014-02-21,32.80,33.10,32.52,32.78,1546000,32.66
2014-02-20,32.44,32.80,31.92,32.72,1643200,32.60
2014-02-19,32.50,33.01,32.33,32.40,1420800,32.28
2014-02-18,32.28,32.75,32.26,32.65,1379700,32.53
2014-02-14,32.37,32.58,32.23,32.27,1126100,32.15
2014-02-13,31.78,32.45,31.73,32.41,1568900,32.29
2014-02-12,32.81,32.95,31.81,31.98,2864800,31.86
2014-02-11,32.09,32.96,31.86,32.74,1659800,32.62
2014-02-10,31.35,32.17,31.16,32.06,2316600,31.94
2014-02-07,30.10,31.53,30.03,31.45,2927900,31.33
2014-02-06,29.91,30.80,28.18,29.86,4816000,29.75
2014-02-05,30.37,31.03,29.96,30.89,2310400,30.77
2014-02-04,30.34,30.71,30.15,30.41,1587900,30.30
2014-02-03,31.18,31.33,29.96,30.03,1654100,29.92
2014-01-31,30.92,31.48,30.75,31.19,1285700,31.07
2014-01-30,31.41,31.53,31.23,31.39,1371500,31.27
2014-01-29,30.73,31.58,30.36,31.06,2182500,30.94
2014-01-28,31.20,31.39,30.92,31.01,1809000,30.89
2014-01-27,31.30,31.53,30.71,31.10,1952800,30.98
2014-01-24,31.95,31.98,31.03,31.07,1910200,30.95
2014-01-23,32.74,32.82,31.93,32.09,1980100,31.97
2014-01-22,33.08,33.12,32.76,33.03,1115800,32.91
2014-01-21,33.20,33.25,32.71,32.97,1111100,32.85
2014-01-17,33.68,33.68,32.99,33.06,1086600,32.94
2014-01-16,33.52,33.75,33.36,33.68,1014600,33.55
2014-01-15,33.80,34.03,33.45,33.61,1260100,33.48
2014-01-14,33.36,33.78,33.21,33.72,1413300,33.59
2014-01-13,33.84,34.03,33.10,33.27,1168700,33.15
2014-01-09,34.06,34.30,33.64,33.75,1564000,33.62
2014-01-08,33.92,34.15,33.64,34.05,1355300,33.92
2014-01-07,33.68,34.26,33.65,33.93,819700,33.80
2014-01-06,33.91,34.13,33.54,33.64,1505200,33.51
2014-01-03,33.70,33.87,33.50,33.67,946100,33.54
2014-01-02,34.02,34.04,33.46,33.73,1112000,33.60
2013-12-31,34.27,34.27,33.78,34.05,781500,33.92
2013-12-30,33.75,34.37,33.66,34.13,853900,34.00
2013-12-27,34.13,34.13,33.65,33.82,552200,33.69
2013-12-26,34.01,34.11,33.62,33.96,1115400,33.83
2013-12-24,33.20,34.00,33.20,33.99,861700,33.86
2013-12-23,33.13,33.16,32.88,33.09,966400,32.97
2013-12-20,32.79,33.14,32.53,32.95,1919900,32.83
2013-12-19,32.34,32.66,32.21,32.55,1069900,32.43
2013-12-18,31.75,32.49,31.38,32.38,1784300,32.26
2013-12-17,31.84,32.03,31.56,31.73,1358600,31.61
2013-12-16,32.11,32.30,31.74,31.98,1800800,31.86
2013-12-13,31.71,32.24,31.63,31.85,1730900,31.73
2013-12-12,31.39,31.70,31.28,31.55,1117200,31.43
2013-12-11,32.38,32.54,31.29,31.39,1789400,31.27
2013-12-10,32.04,32.79,31.91,32.52,1524000,32.40
2013-12-09,32.52,32.65,31.99,32.13,980300,32.01
2013-12-06,31.80,32.63,31.64,32.52,1498300,32.40
2013-12-05,31.80,31.96,31.35,31.46,1383900,31.34
2013-12-04,31.56,32.03,31.40,31.93,1383700,31.81
2013-12-03,31.85,32.30,31.67,31.91,1278600,31.66
2013-12-02,32.16,32.27,31.73,31.81,1607600,31.56
2013-11-29,32.27,32.40,31.98,32.11,516000,31.86
2013-11-27,32.44,32.47,32.14,32.34,981600,32.09
2013-11-26,32.11,32.40,32.05,32.28,1297400,32.03
2013-11-25,31.91,32.45,31.86,32.17,1319800,31.92
2013-11-22,32.04,32.13,31.70,31.78,1252000,31.53
2013-11-21,30.90,32.25,30.90,32.11,1841600,31.86
2013-11-20,31.44,31.53,30.77,30.81,1317300,30.57
2013-11-19,31.62,31.88,31.27,31.44,1089900,31.19
2013-11-18,31.77,31.99,31.55,31.69,1556200,31.44
2013-11-15,30.94,31.97,30.86,31.73,1670800,31.48
2013-11-14,30.91,31.09,30.61,30.96,854500,30.72
2013-11-13,30.58,31.02,30.45,30.81,1288300,30.57
2013-11-12,31.00,31.15,30.70,30.90,977500,30.66
2013-11-11,30.82,31.15,30.77,31.10,1339700,30.86
2013-11-08,30.55,30.94,30.53,30.82,2074500,30.58
2013-11-07,31.28,31.41,30.47,30.50,1841800,30.26
2013-11-06,31.29,31.45,30.89,31.10,1183000,30.86
2013-11-05,31.52,31.56,31.04,31.11,1530800,30.87
2013-11-04,31.24,31.64,30.99,31.55,1928300,31.30
2013-11-01,30.33,31.30,30.33,31.21,3520500,30.97
2013-10-31,29.91,30.61,29.91,30.18,3622600,29.94
2013-10-30,29.91,31.29,29.50,30.35,4881700,30.11
2013-10-29,28.14,28.74,28.11,28.52,2126800,28.30
2013-10-28,28.36,28.37,27.90,28.08,1220600,27.86
2013-10-25,28.44,28.60,28.24,28.33,1009700,28.11
2013-10-24,28.14,28.48,27.98,28.45,1254500,28.23
2013-10-23,28.26,28.31,27.80,28.04,1191300,27.82
2013-10-22,28.04,28.59,27.96,28.40,1005200,28.18
2013-10-21,27.92,28.11,27.74,27.94,754800,27.72
2013-10-18,27.96,27.99,27.66,27.93,1300800,27.71
2013-10-17,27.03,27.94,27.03,27.88,1808600,27.66
2013-10-16,27.42,27.46,27.03,27.09,1765500,26.88
2013-10-15,27.21,27.27,26.92,27.16,1811400,26.95
2013-10-14,27.17,27.39,27.09,27.32,1230600,27.11
2013-10-11,27.12,27.60,27.07,27.44,1148100,27.23
2013-10-10,27.03,27.43,27.02,27.39,1451700,27.18
2013-10-09,26.74,26.80,26.13,26.59,1887700,26.38
2013-10-08,26.45,27.47,26.38,26.72,2967300,26.51
2013-10-07,26.68,26.96,26.50,26.56,1379900,26.35
2013-10-04,26.87,27.22,26.62,27.07,1097300,26.86
2013-10-03,27.03,27.08,26.44,26.81,2793800,26.60
2013-10-02,27.20,27.44,26.99,27.12,1914000,26.91
2013-10-01,27.14,27.48,27.14,27.48,1654200,27.27
2013-09-30,26.99,27.53,26.86,27.19,2571200,26.98
2013-09-27,27.54,27.70,27.40,27.49,2571000,27.28
2013-09-26,27.17,27.68,27.17,27.62,1727600,27.40
2013-09-25,27.11,27.46,26.92,27.15,1774000,26.94
2013-09-24,27.01,27.59,26.98,27.25,3412900,27.04
2013-09-23,28.07,28.25,26.55,27.01,7505300,26.80
2013-09-20,30.06,30.42,28.36,28.56,7332200,28.34
2013-09-19,30.35,30.56,29.82,29.83,3921000,29.60
2013-09-18,29.86,30.41,29.56,30.32,2262900,30.08
2013-09-17,30.35,30.42,29.54,29.81,2910100,29.58
2013-09-16,30.60,30.68,30.14,30.37,1887700,30.13
2013-09-13,29.95,30.05,29.61,30.04,1203000,29.81
2013-09-12,30.05,30.13,29.68,29.82,1111300,29.59
2013-09-11,30.57,30.57,29.94,30.14,1068000,29.90
2013-09-10,30.46,30.73,30.24,30.57,1193600,30.33
2013-09-09,29.60,30.34,29.56,30.26,1565000,30.02
2013-09-06,29.60,29.75,29.05,29.52,1469900,29.29
2013-09-05,29.39,29.66,29.27,29.53,1355300,29.30
2013-09-04,28.38,29.57,28.38,29.39,2276500,29.16
2013-09-03,28.85,29.00,28.31,28.54,1624800,28.19
2013-08-30,28.44,28.52,28.11,28.40,1461100,28.05
2013-08-29,28.07,28.70,27.94,28.41,765800,28.06
2013-08-28,28.19,28.52,27.97,28.11,1405800,27.76
2013-08-27,28.90,28.97,28.01,28.14,1386700,27.79
2013-08-26,29.41,29.70,29.17,29.31,725400,28.95
2013-08-23,29.06,29.46,28.78,29.41,862900,29.05
2013-08-22,29.11,29.16,28.56,28.95,918200,28.59
2013-08-21,28.87,29.20,28.76,28.97,1293700,28.61
2013-08-20,28.80,29.00,28.65,28.88,1239900,28.52
2013-08-19,29.16,29.23,28.66,28.69,1236200,28.34
2013-08-16,29.55,29.56,29.08,29.16,2292100,28.80
2013-08-15,29.92,30.05,29.53,29.58,1882700,29.22
2013-08-14,30.19,30.65,30.13,30.31,1412800,29.94
2013-08-13,30.35,30.39,29.93,30.27,1436900,29.90
2013-08-12,29.91,30.29,29.81,30.19,1475700,29.82
2013-08-09,29.99,30.49,29.92,30.09,1479200,29.72
2013-08-08,30.26,30.53,30.00,30.07,1596100,29.70
2013-08-07,29.94,30.28,29.37,30.05,1795200,29.68
2013-08-06,30.15,30.44,29.55,30.04,3050400,29.67
2013-08-05,30.47,31.20,29.95,30.16,2452000,29.79
2013-08-02,28.36,30.66,28.35,30.36,6135500,29.99
2013-08-01,27.52,28.06,27.41,27.88,1923600,27.54
2013-07-31,27.31,27.59,27.16,27.24,1802200,26.90
2013-07-30,26.99,27.28,26.84,27.17,1392100,26.83
2013-07-29,27.03,27.17,26.82,26.90,1225200,26.57
2013-07-26,26.91,27.16,26.74,27.12,1016800,26.79
2013-07-25,26.64,27.16,26.60,27.07,1766400,26.74
2013-07-24,27.15,27.24,26.70,26.73,3145200,26.40
2013-07-23,27.46,27.46,26.86,27.03,2342800,26.70
2013-07-22,27.53,27.76,27.25,27.33,1477400,26.99
2013-07-19,27.36,27.56,27.16,27.55,2513800,27.21
2013-07-18,27.54,27.64,27.29,27.34,1824100,27.00
2013-07-17,27.51,27.66,27.31,27.54,1573200,27.20
2013-07-16,27.58,27.67,27.39,27.51,3073000,27.17
2013-07-15,27.52,27.67,27.43,27.61,2117700,27.27
2013-07-12,27.25,27.65,27.08,27.51,3485500,27.17
2013-07-11,27.14,27.27,26.85,27.26,1634300,26.92
2013-07-10,26.80,26.87,26.23,26.77,2952100,26.44
2013-07-09,26.01,26.17,25.78,26.09,1562700,25.77
2013-07-08,25.75,25.95,25.65,25.84,1542400,25.52
2013-07-05,25.08,25.58,24.89,25.56,1503700,25.24
2013-07-03,24.48,24.96,24.43,24.96,2660700,24.65
2013-07-02,24.48,24.84,24.41,24.65,2442700,24.35
2013-07-01,24.63,24.86,24.31,24.45,2033700,24.15
2013-06-28,23.96,24.11,23.76,23.95,3699100,23.65
2013-06-27,23.75,24.10,23.69,24.04,1994300,23.74
2013-06-26,23.47,23.67,23.21,23.58,1914700,23.29
2013-06-25,23.05,23.33,23.00,23.26,1769900,22.97
2013-06-24,23.18,23.18,22.69,22.80,2254100,22.52
2013-06-21,23.66,23.84,23.11,23.47,1965800,23.18
2013-06-20,24.01,24.05,23.31,23.53,1979800,23.24
2013-06-19,24.61,24.75,24.25,24.29,1448100,23.99
2013-06-18,24.36,24.74,24.36,24.64,1232200,24.34
2013-06-17,24.12,24.33,23.97,24.30,1336900,24.00
2013-06-14,23.87,23.97,23.68,23.88,700800,23.59
2013-06-13,23.44,23.91,23.30,23.86,1142100,23.57
2013-06-12,24.08,24.08,23.39,23.45,992200,23.16
2013-06-11,23.85,24.03,23.72,23.85,1188700,23.56
2013-06-10,24.50,24.53,24.14,24.14,1216200,23.84
2013-06-07,23.80,24.43,23.62,24.41,1619600,24.11
2013-06-06,23.57,23.87,23.24,23.60,1953000,23.31
2013-06-05,24.33,24.42,23.56,23.60,2125400,23.31
2013-06-04,24.46,24.83,24.27,24.56,2070400,24.13
2013-06-03,24.20,24.54,24.03,24.52,2162100,24.09
2013-05-31,24.08,24.52,24.01,24.02,1833600,23.60
2013-05-30,24.36,24.58,23.67,24.24,1815400,23.81
2013-05-29,24.15,24.42,24.02,24.37,2204600,23.94
2013-05-28,24.09,24.40,24.09,24.34,1896900,23.91
2013-05-24,23.60,23.83,23.48,23.76,1043600,23.34
2013-05-23,23.35,23.96,23.21,23.81,1266600,23.39
2013-05-22,23.84,24.21,23.50,23.65,1638200,23.23
2013-05-21,23.76,23.95,23.65,23.84,1786200,23.42
2013-05-20,23.82,24.04,23.74,23.79,1172100,23.37
2013-05-17,23.67,24.04,23.62,23.86,2082200,23.44
2013-05-16,23.22,23.80,23.22,23.62,3255500,23.21
2013-05-15,23.12,23.43,22.90,23.33,1934200,22.92
2013-05-14,22.82,23.23,22.82,23.19,2077100,22.78
2013-05-13,22.99,23.12,22.70,22.85,1327500,22.45
2013-05-10,22.75,23.17,22.75,23.10,2977300,22.69
2013-05-09,22.77,23.03,22.68,22.74,1388000,22.34
2013-05-08,22.81,22.98,22.64,22.82,2620000,22.42
2013-05-07,22.72,22.94,22.60,22.84,1413800,22.44
2013-05-06,22.50,22.98,22.50,22.77,1460700,22.37
2013-05-03,22.03,22.54,22.01,22.51,2340100,22.11
2013-05-02,22.21,22.51,21.68,21.77,2784900,21.39
2013-05-01,22.06,23.04,21.66,22.20,3039500,21.81
2013-04-30,22.13,22.32,21.87,22.12,1982800,21.73
2013-04-29,21.91,22.20,21.76,22.09,1924100,21.70
2013-04-26,22.25,22.31,21.79,21.79,1793300,21.41
2013-04-25,22.19,22.45,21.88,22.31,1809800,21.92
2013-04-24,21.96,22.29,21.90,22.07,1704600,21.68
2013-04-23,21.69,21.92,21.56,21.90,1668800,21.52
2013-04-22,21.50,21.75,21.28,21.59,1275400,21.21
2013-04-19,21.20,21.71,21.16,21.48,1327100,21.10
2013-04-18,21.43,21.47,20.98,21.15,2094100,20.78
2013-04-17,21.68,21.74,21.14,21.39,2407700,21.01
2013-04-16,21.61,21.95,21.53,21.87,2247100,21.49
2013-04-15,22.44,22.44,21.42,21.46,2369700,21.08
2013-04-12,22.81,22.84,22.29,22.65,1710400,22.25
2013-04-11,22.70,23.01,22.56,22.90,2898600,22.50
2013-04-10,22.12,23.03,22.12,22.69,2903700,22.29
2013-04-09,22.23,22.32,21.91,22.09,1763900,21.70
2013-04-08,22.03,22.39,21.84,22.24,2407200,21.85
2013-04-05,21.69,21.94,21.46,21.90,5646700,21.52
2013-04-04,22.35,22.56,22.04,22.04,3959100,21.65
2013-04-03,23.05,23.11,21.73,22.23,7770100,21.84
2013-04-02,23.81,23.92,22.94,23.05,4058800,22.65
2013-04-01,24.11,24.31,23.75,23.82,1281000,23.40
2013-03-28,24.33,24.55,23.94,24.11,2218000,23.69
2013-03-27,23.96,24.26,23.85,24.23,1096700,23.80
2013-03-26,23.90,24.25,23.82,24.20,1331600,23.78
2013-03-25,23.82,24.02,23.50,23.74,2346800,23.32
2013-03-22,23.64,23.83,23.45,23.71,1555000,23.29
2013-03-21,24.10,24.20,23.57,23.58,1898400,23.17
2013-03-20,24.10,24.38,23.99,24.28,1947600,23.85
2013-03-19,24.04,24.36,23.73,24.00,1961600,23.58
