Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,194.43,196.45,193.93,194.69,361600,194.69
2014-03-27,195.77,195.77,192.52,194.21,537400,194.21
2014-03-26,198.90,199.57,195.77,195.77,401500,195.77
2014-03-25,199.86,200.84,197.84,197.97,483100,197.97
2014-03-24,201.00,201.48,197.70,198.57,519300,198.57
2014-03-21,203.96,203.97,199.81,200.41,1026600,200.41
2014-03-20,201.30,202.61,200.20,202.12,475600,202.12
2014-03-19,205.00,205.89,201.11,202.23,654500,202.23
2014-03-18,204.44,205.62,204.00,204.80,454700,204.80
2014-03-17,202.81,205.37,202.81,204.22,401000,204.22
2014-03-14,202.00,204.12,201.25,202.08,504200,202.08
2014-03-13,205.02,206.19,201.76,202.19,472900,202.19
2014-03-12,204.00,204.90,203.27,204.24,606600,204.24
2014-03-11,206.26,206.97,204.81,204.98,537800,204.98
2014-03-10,205.82,206.86,204.59,206.10,565300,206.10
2014-03-07,204.60,208.63,204.12,206.71,1341600,206.71
2014-03-06,203.31,204.89,202.18,203.00,604000,203.00
2014-03-05,203.11,203.81,202.29,203.28,597700,203.28
2014-03-04,202.21,203.38,200.10,203.17,639700,203.17
2014-03-03,198.54,200.20,197.59,199.50,560300,199.50
2014-02-28,198.84,201.50,197.89,200.48,901500,200.48
2014-02-27,197.67,199.49,197.21,198.82,634900,198.82
2014-02-26,197.62,199.98,197.34,198.56,716400,198.01
2014-02-25,194.36,198.70,193.80,197.37,975600,196.82
2014-02-24,193.61,197.88,193.61,194.53,956100,193.99
2014-02-21,193.07,194.64,192.47,193.59,734700,193.05
2014-02-20,193.85,194.91,192.54,193.40,836100,192.86
2014-02-19,191.00,194.76,190.77,193.08,1029100,192.55
2014-02-18,191.01,192.24,190.83,191.46,741600,190.93
2014-02-14,189.77,191.94,189.06,191.17,740800,190.64
2014-02-13,185.77,190.57,185.05,190.42,1047400,189.89
2014-02-12,184.54,188.42,184.21,186.83,1170400,186.31
2014-02-11,183.11,184.15,181.79,183.42,663400,182.91
2014-02-10,181.34,182.98,180.82,182.35,578500,181.84
2014-02-07,178.09,182.71,178.09,182.56,907700,182.05
2014-02-06,176.38,179.23,175.45,179.19,1070600,178.69
2014-02-05,176.75,177.61,174.29,175.60,1246700,175.11
2014-02-04,177.26,179.43,176.44,177.95,723400,177.46
2014-02-03,183.54,183.68,176.61,176.88,1253000,176.39
2014-01-31,181.71,183.68,180.67,183.26,1089100,182.75
2014-01-30,183.99,186.71,181.59,183.74,1610800,183.23
2014-01-29,190.13,192.80,187.75,189.12,1021800,188.60
2014-01-28,194.63,194.63,190.36,191.68,539200,191.15
2014-01-27,191.49,192.52,189.31,190.57,720100,190.04
2014-01-24,194.91,195.13,190.62,190.80,810900,190.27
2014-01-23,195.78,196.97,194.56,195.12,677400,194.58
2014-01-22,197.24,198.47,196.57,197.34,610400,196.79
2014-01-21,196.01,198.15,195.28,198.03,955000,197.48
2014-01-17,194.15,195.72,193.70,194.12,797200,193.58
2014-01-16,192.52,194.25,192.08,193.51,415700,192.97
2014-01-15,193.29,193.84,192.40,193.14,548600,192.61
2014-01-14,192.39,193.52,190.45,193.48,557500,192.94
2014-01-13,191.86,193.00,190.63,191.19,572100,190.66
2014-01-09,189.60,189.93,188.07,188.87,681400,188.35
2014-01-08,187.60,189.76,186.43,189.68,1248400,189.15
2014-01-07,184.90,188.17,184.57,187.61,1238700,187.09
2014-01-06,183.27,184.61,182.28,182.69,584100,182.18
2014-01-03,181.86,184.02,181.72,182.80,407200,182.29
2014-01-02,182.03,183.00,180.69,182.41,515700,181.90
2013-12-31,182.66,183.80,182.62,183.50,344900,182.99
2013-12-30,182.49,183.30,181.86,182.25,314700,181.75
2013-12-27,183.28,183.69,181.82,182.50,294100,181.99
2013-12-26,183.34,183.51,182.21,182.82,200700,182.31
2013-12-24,181.38,182.99,180.91,182.69,207000,182.18
2013-12-23,180.90,182.18,177.32,181.42,833600,180.92
2013-12-20,181.18,183.04,179.78,182.15,992300,181.65
2013-12-19,179.93,180.66,178.54,180.15,442800,179.65
2013-12-18,177.09,180.00,175.79,179.92,1056800,179.42
2013-12-17,172.28,178.32,170.63,177.31,1397100,176.82
2013-12-16,178.67,179.39,176.84,177.31,523700,176.82
2013-12-13,179.44,180.19,177.53,177.97,571700,177.48
2013-12-12,179.77,180.00,177.67,179.44,1062000,178.94
2013-12-11,184.46,184.46,180.79,181.19,687000,180.69
2013-12-10,185.64,187.50,184.50,184.69,773400,184.18
2013-12-09,184.83,187.33,184.83,185.52,633800,185.01
2013-12-06,183.18,186.27,182.43,184.83,580900,184.32
2013-12-05,180.20,182.71,180.04,181.73,534000,181.23
2013-12-04,178.40,181.66,177.80,181.08,907600,180.58
2013-12-03,180.50,181.13,178.80,179.81,539200,179.31
2013-12-02,183.41,184.29,180.78,181.14,438700,180.64
2013-11-29,183.48,184.30,182.83,183.03,153300,182.52
2013-11-27,184.95,184.95,182.95,183.54,207200,183.03
2013-11-26,184.82,185.41,183.45,184.30,496500,183.79
2013-11-25,187.49,187.53,184.38,184.84,417900,184.33
2013-11-22,186.27,187.98,185.66,187.57,450300,187.05
2013-11-21,184.98,186.67,184.40,186.58,402100,186.06
2013-11-20,185.68,186.42,184.17,184.64,408100,184.13
2013-11-19,185.18,186.80,185.09,185.68,327300,185.17
2013-11-18,187.00,187.40,185.25,185.84,447000,185.33
2013-11-15,186.80,187.54,186.33,186.87,615500,186.35
2013-11-14,181.60,187.10,181.60,187.01,562900,186.49
2013-11-13,183.67,185.51,183.65,185.38,944300,184.87
2013-11-12,184.22,185.85,183.67,184.50,637800,183.49
2013-11-11,184.70,185.34,183.98,184.37,526200,183.36
2013-11-08,181.36,185.54,181.06,185.51,638900,184.49
2013-11-07,185.30,186.21,180.44,181.02,669300,180.03
2013-11-06,186.19,186.66,184.68,185.54,374000,184.52
2013-11-05,185.91,186.02,183.55,184.56,552400,183.55
2013-11-04,185.00,186.84,184.69,186.02,623200,185.00
2013-11-01,188.81,189.08,184.39,184.67,911300,183.66
2013-10-31,188.47,189.01,185.35,188.00,764900,186.97
2013-10-30,185.99,189.70,185.98,188.47,1706000,187.44
2013-10-29,192.55,194.72,191.52,194.44,518600,193.38
2013-10-28,194.58,194.99,191.77,192.82,815100,191.76
2013-10-25,191.00,195.32,190.00,195.07,1231200,194.00
2013-10-24,184.93,187.25,183.85,187.00,1388100,185.98
2013-10-23,185.33,186.21,184.12,184.56,757500,183.55
2013-10-22,184.18,187.23,183.93,186.38,1018100,185.36
2013-10-21,183.81,184.20,181.74,183.21,639200,182.21
2013-10-18,185.27,185.90,183.13,184.56,953800,183.55
2013-10-17,181.17,185.97,181.17,185.00,575300,183.99
2013-10-16,180.95,182.14,178.78,181.44,840400,180.45
2013-10-15,179.29,180.49,177.90,180.08,428200,179.09
2013-10-14,179.25,180.58,178.73,180.09,337000,179.10
2013-10-11,179.00,182.20,178.95,180.17,478700,179.18
2013-10-10,178.01,179.30,177.05,179.29,730600,178.31
2013-10-09,178.07,179.11,174.49,175.31,646600,174.35
2013-10-08,182.03,182.03,176.31,176.45,722100,175.48
2013-10-07,185.00,185.30,181.25,181.30,582200,180.31
2013-10-04,183.31,186.82,183.10,186.48,864900,185.46
2013-10-03,183.54,184.84,182.09,182.92,504100,181.92
2013-10-02,182.18,184.73,182.18,184.69,460400,183.68
2013-10-01,182.16,185.30,181.56,184.52,641200,183.51
2013-09-30,179.10,182.32,177.76,182.18,1042300,181.18
2013-09-27,181.94,182.25,179.89,180.43,427400,179.44
2013-09-26,180.00,182.78,179.85,182.53,466400,181.53
2013-09-25,179.98,180.37,178.65,179.86,583000,178.88
2013-09-24,180.42,181.69,178.91,180.00,619700,179.01
2013-09-23,182.88,183.15,180.49,181.50,745700,180.51
2013-09-20,181.63,182.49,179.87,180.11,750000,179.12
2013-09-19,182.00,184.47,181.25,181.58,1023900,180.59
2013-09-18,176.05,182.61,176.05,182.04,1598400,181.04
2013-09-17,177.36,178.24,175.47,175.68,1249800,174.72
2013-09-16,178.06,179.77,176.13,177.50,848800,176.53
2013-09-13,174.48,175.52,174.15,174.92,231900,173.96
2013-09-12,176.30,177.14,174.36,174.63,368600,173.67
2013-09-11,175.62,177.48,174.64,176.61,456000,175.64
2013-09-10,175.61,176.00,174.41,175.23,299300,174.27
2013-09-09,173.85,175.85,173.05,174.91,379800,173.95
2013-09-06,174.36,175.56,171.98,172.69,816100,171.74
2013-09-05,173.29,176.16,173.29,174.36,545600,173.41
2013-09-04,171.09,173.14,170.40,172.35,534300,171.41
2013-09-03,172.92,174.97,170.32,171.08,522600,170.14
2013-08-30,172.07,174.56,171.91,172.40,848200,171.46
2013-08-29,168.94,172.21,168.40,172.05,646400,171.11
2013-08-28,167.41,170.40,167.08,169.37,479100,168.44
2013-08-27,169.94,169.99,166.32,167.20,1032900,166.28
2013-08-26,172.36,172.92,171.36,171.85,433500,170.91
2013-08-23,171.75,172.95,170.20,172.52,498100,171.58
2013-08-22,171.19,172.46,169.76,171.91,368500,170.97
2013-08-21,172.13,173.45,170.61,171.11,764900,170.17
2013-08-20,167.59,172.25,167.59,171.91,1150100,170.97
2013-08-19,168.64,169.30,166.66,167.52,944100,166.60
2013-08-16,168.21,169.92,168.12,168.69,713800,167.77
2013-08-15,169.35,169.53,166.51,168.98,1253500,168.06
2013-08-14,175.11,176.00,170.00,170.06,1172600,169.13
2013-08-13,177.00,177.83,175.16,175.79,716600,174.33
2013-08-12,176.29,178.05,174.77,177.84,558800,176.36
2013-08-09,176.28,177.60,175.13,177.07,666600,175.60
2013-08-08,175.83,177.72,175.40,177.15,551200,175.68
2013-08-07,176.27,176.64,172.83,175.51,1064900,174.05
2013-08-06,176.52,177.21,174.03,177.17,1266400,175.70
2013-08-05,178.02,178.63,175.84,176.83,609400,175.36
2013-08-02,176.99,179.28,175.72,179.05,802500,177.56
2013-08-01,174.35,177.04,174.35,176.43,639600,174.97
2013-07-31,174.81,175.65,173.62,174.17,833800,172.72
2013-07-30,173.77,175.37,173.41,174.98,599000,173.53
2013-07-29,170.56,174.60,170.56,174.31,703500,172.86
2013-07-26,172.18,173.50,170.93,172.83,761100,171.40
2013-07-25,171.26,174.40,170.81,172.94,1365300,171.50
2013-07-24,172.03,173.55,170.38,172.06,1113300,170.63
2013-07-23,171.54,172.71,169.15,171.80,1141100,170.37
2013-07-22,172.02,173.48,170.30,171.55,914900,170.13
2013-07-19,168.35,173.29,168.05,172.86,1483700,171.43
2013-07-18,164.75,172.82,163.63,167.94,5804000,166.55
2013-07-17,180.57,184.95,180.57,183.19,722400,181.67
2013-07-16,184.40,185.27,182.35,182.76,858100,181.24
2013-07-15,187.36,190.68,184.12,184.40,748200,182.87
2013-07-12,186.40,189.91,185.97,187.36,655400,185.80
2013-07-11,188.72,188.72,186.11,186.88,775200,185.33
2013-07-10,184.31,185.34,182.36,184.85,752000,183.32
