Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,92.10,92.98,91.96,92.37,392500,92.37
2014-03-27,92.09,92.24,91.55,92.10,340300,92.10
2014-03-26,92.92,93.37,92.12,92.15,449700,92.15
2014-03-25,93.32,93.95,92.72,92.79,504300,92.79
2014-03-24,94.84,94.90,92.95,93.15,502400,93.15
2014-03-21,94.92,95.47,93.80,94.38,1067600,94.38
2014-03-20,94.09,94.79,94.03,94.32,701700,94.32
2014-03-19,94.96,95.24,94.08,94.54,468300,94.54
2014-03-18,95.39,95.48,94.85,95.13,434200,95.13
2014-03-17,95.38,95.81,94.90,95.14,522200,95.14
2014-03-14,94.52,95.55,94.41,95.08,805100,95.08
2014-03-13,94.97,95.57,94.34,94.69,1141400,94.69
2014-03-12,93.58,94.54,93.26,94.40,752000,94.40
2014-03-11,94.57,94.92,94.02,94.22,456400,94.22
2014-03-10,94.08,94.59,93.95,94.53,302700,94.53
2014-03-07,94.63,94.88,94.00,94.38,418000,94.38
2014-03-06,94.39,94.64,93.99,94.25,339700,94.25
2014-03-05,94.51,94.58,93.86,94.15,468700,94.15
2014-03-04,93.53,94.80,92.91,94.67,1104900,94.67
2014-03-03,94.01,94.19,92.51,93.48,636500,93.48
2014-02-28,93.93,94.60,93.71,94.41,868900,94.41
2014-02-27,93.84,94.24,93.63,93.91,421000,93.91
2014-02-26,93.93,94.45,93.71,93.99,752300,93.99
2014-02-25,93.12,94.46,93.12,93.93,647100,93.70
2014-02-24,93.42,94.21,93.04,93.26,856200,93.03
2014-02-21,93.42,94.48,92.98,93.02,1067600,92.79
2014-02-20,93.76,94.35,93.23,94.03,1094800,93.80
2014-02-19,95.19,95.80,93.64,93.77,1076500,93.54
2014-02-18,96.62,96.87,95.50,95.62,537300,95.39
2014-02-14,95.09,96.77,94.93,96.61,729900,96.37
2014-02-13,94.49,95.70,94.38,95.70,562900,95.47
2014-02-12,94.45,95.78,94.38,95.21,802700,94.98
2014-02-11,93.34,94.77,92.83,94.60,868200,94.37
2014-02-10,92.43,93.29,91.71,93.07,929300,92.84
2014-02-07,91.04,93.34,90.68,92.78,758500,92.55
2014-02-06,91.11,91.71,90.26,90.89,857000,90.67
2014-02-05,90.88,91.44,90.21,91.07,759700,90.85
2014-02-04,91.57,91.94,90.51,90.79,706100,90.57
2014-02-03,93.10,93.44,90.84,91.06,725300,90.84
2014-01-31,92.36,93.38,92.12,92.97,665100,92.74
2014-01-30,92.06,94.61,92.05,93.88,775300,93.65
2014-01-29,91.71,92.88,91.53,92.20,561800,91.97
2014-01-28,91.21,92.26,90.95,92.18,555100,91.95
2014-01-27,91.97,92.17,90.68,91.19,730800,90.97
2014-01-24,92.52,92.79,91.34,91.43,642900,91.21
2014-01-23,92.89,93.76,92.84,93.29,557800,93.06
