Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,96.69,98.45,96.49,97.57,7785700,97.57
2014-03-27,95.41,97.43,95.25,96.49,7174100,96.49
2014-03-26,95.84,96.43,95.36,95.43,6515700,95.43
2014-03-25,94.49,95.88,94.41,95.56,9651800,95.56
2014-03-24,93.10,94.80,93.02,93.23,7381600,93.23
2014-03-21,91.91,93.40,90.95,92.67,11148800,92.67
2014-03-20,90.35,91.44,89.91,91.11,4289500,91.11
2014-03-19,90.58,91.10,89.86,90.36,4160200,90.36
2014-03-18,90.20,90.99,89.95,90.50,4377000,90.50
2014-03-17,89.15,89.97,89.15,89.78,8924900,89.78
2014-03-14,90.21,90.59,88.88,89.09,7657300,89.09
2014-03-13,91.57,91.73,89.60,90.27,6466500,90.27
2014-03-12,91.19,91.41,90.39,91.17,4997700,91.17
2014-03-11,93.28,93.62,91.56,91.95,5301500,91.95
2014-03-10,92.67,93.00,92.06,92.87,3301800,92.87
2014-03-07,93.23,93.35,92.50,92.98,4690300,92.98
2014-03-06,92.23,93.06,91.89,92.75,4612000,92.75
2014-03-05,92.14,92.60,91.58,92.01,3995800,92.01
2014-03-04,92.50,93.01,91.88,92.49,6768400,92.49
2014-03-03,92.26,92.88,90.60,91.26,7741200,91.26
2014-02-28,93.17,93.84,92.67,93.00,5966900,93.00
2014-02-27,91.98,92.70,91.48,92.57,3947400,92.57
2014-02-26,93.29,93.47,92.11,92.35,4337700,92.35
2014-02-25,92.24,92.75,91.44,92.56,5254300,92.56
2014-02-24,90.42,93.67,90.39,92.72,8868900,92.72
2014-02-21,91.25,91.48,90.06,90.07,6322800,90.07
2014-02-20,90.41,91.13,90.30,91.03,4917000,91.03
2014-02-19,90.28,91.68,90.28,90.48,5990400,90.48
2014-02-18,90.46,90.77,89.70,90.63,5336000,90.63
2014-02-14,90.06,91.19,89.95,90.45,4661800,90.45
2014-02-13,89.55,90.71,89.15,90.26,5060900,89.86
2014-02-12,90.42,91.06,89.96,90.03,4285000,89.63
2014-02-11,89.03,90.65,89.01,90.37,5925100,89.97
2014-02-10,89.46,89.48,88.39,89.04,5186900,88.65
2014-02-07,88.99,89.74,88.33,89.50,5985000,89.10
2014-02-06,86.55,88.77,86.49,88.51,5384000,88.12
2014-02-05,87.15,87.64,86.00,86.16,6650900,85.78
2014-02-04,86.35,87.83,86.21,87.19,6288000,86.80
2014-02-03,87.80,88.00,85.89,86.23,7207100,85.85
2014-01-31,87.87,88.59,87.30,87.57,6337900,87.18
2014-01-30,87.90,89.49,87.89,88.81,5613700,88.42
2014-01-29,87.08,87.52,86.43,87.30,6662400,86.91
2014-01-28,88.22,88.52,87.19,87.76,4677700,87.37
2014-01-27,88.30,88.62,86.90,87.91,6073300,87.52
2014-01-24,89.23,89.34,87.82,88.15,8402100,87.76
2014-01-23,90.64,91.19,89.98,90.26,6603500,89.86
2014-01-22,91.32,91.36,90.28,91.21,5123800,90.81
2014-01-09,87.52,87.65,86.05,86.48,6559200,86.10
2014-01-08,87.36,87.66,86.38,86.98,8527100,86.59
2014-01-07,88.05,88.46,86.77,87.51,6423800,87.12
2014-01-06,88.88,88.92,87.30,88.02,6370100,87.63
2014-01-03,88.94,89.35,88.21,88.35,4212000,87.96
2014-01-02,89.48,90.12,88.61,88.82,4958100,88.43
2013-12-31,89.50,90.21,89.07,90.11,3397400,89.71
2013-12-30,89.97,90.26,89.14,89.17,4028500,88.77
2013-12-27,89.54,89.99,89.05,89.90,3488600,89.50
2013-12-26,88.48,89.56,88.40,89.39,3640400,88.99
2013-12-24,87.53,88.50,87.37,88.31,1849900,87.92
2013-12-23,87.88,88.13,87.27,87.32,5214500,86.93
2013-12-20,86.51,87.76,86.00,87.27,9322500,86.88
2013-12-19,87.04,87.08,85.65,86.47,6374800,86.09
2013-12-18,85.58,87.31,84.91,87.26,8990400,86.87
2013-12-17,87.03,87.52,85.45,85.54,7275800,85.16
2013-12-16,86.99,87.13,86.15,87.00,5083600,86.61
2013-12-13,87.38,87.51,85.85,86.37,6089300,85.99
2013-12-12,86.23,87.64,85.97,86.96,5923400,86.57
2013-12-11,87.00,87.48,85.90,86.14,5387500,85.76
2013-12-10,87.70,88.10,86.85,87.01,4867100,86.62
2013-12-09,88.52,88.52,86.94,88.03,5066900,87.64
2013-12-06,88.10,88.53,87.77,88.15,6102400,87.76
2013-12-05,86.74,87.91,86.56,86.87,5986200,86.49
2013-12-04,87.37,87.90,86.50,87.28,6694500,86.89
2013-12-03,87.16,88.10,86.38,87.64,5831900,87.25
2013-12-02,88.64,88.99,87.34,87.60,4653800,87.21
2013-11-29,88.13,89.66,87.68,88.42,4093900,87.72
2013-11-27,89.32,89.49,86.79,87.95,8571100,87.25
2013-11-26,89.87,90.01,88.90,89.46,6987200,88.75
2013-11-25,92.46,92.70,89.50,89.81,7255000,89.10
2013-11-22,91.31,92.79,91.00,92.73,5274000,91.99
2013-11-21,90.81,91.14,90.39,91.01,5774700,90.29
2013-11-20,91.94,91.97,90.31,90.45,5554300,89.73
2013-11-19,91.67,92.20,90.57,91.28,6261800,90.55
2013-11-18,93.21,93.30,91.63,92.02,4352100,91.29
2013-11-15,93.39,93.87,92.33,92.98,5056400,92.24
2013-11-14,93.18,93.50,92.67,93.31,4226700,92.57
2013-11-13,91.66,93.10,90.78,93.08,6008000,92.34
2013-11-12,93.47,93.57,91.29,91.99,6598400,91.26
2013-11-11,93.78,94.81,93.51,93.87,3847200,93.12
2013-11-08,91.87,93.89,91.81,93.79,6832400,93.04
2013-11-07,93.65,93.79,91.84,92.05,5349000,91.32
2013-11-06,93.07,93.88,92.60,93.23,4244300,92.49
2013-11-05,92.97,93.11,91.86,92.39,4892700,91.65
2013-11-04,93.40,93.72,92.83,93.51,3841400,92.77
2013-11-01,93.95,94.10,92.13,93.00,5907400,92.26
2013-10-31,93.88,94.45,93.27,93.72,5305400,92.97
2013-10-30,94.43,94.77,93.36,93.88,5615900,93.13
2013-10-29,93.24,94.01,92.89,94.00,4078100,93.25
2013-10-28,92.71,93.14,92.12,92.85,4936700,92.11
2013-10-25,92.47,93.28,92.41,92.90,4697700,92.16
2013-10-24,92.81,93.45,92.31,92.85,4376500,92.11
2013-10-23,93.67,93.75,92.62,92.84,7718600,92.10
2013-10-22,93.39,94.90,93.29,94.46,7692500,93.71
2013-10-21,94.12,94.91,92.91,93.48,7325900,92.74
2013-10-18,93.10,94.88,92.99,93.99,11240000,93.24
2013-10-17,91.83,91.85,90.71,91.43,8871400,90.70
2013-10-16,90.93,92.40,90.85,92.18,9084500,91.45
2013-10-15,90.54,91.26,89.63,90.54,6370800,89.82
2013-10-14,89.33,91.30,89.24,91.17,5475000,90.44
2013-10-11,89.05,90.29,88.52,90.02,5335400,89.30
2013-10-10,87.97,89.44,87.90,89.42,6081800,88.71
2013-10-09,87.95,88.08,86.30,87.04,6185100,86.35
2013-10-08,89.33,89.41,87.84,87.95,5902800,87.25
2013-10-07,89.28,90.10,89.01,89.29,4570100,88.58
2013-10-04,89.56,90.47,89.00,90.01,3983600,89.29
2013-10-03,89.63,89.98,89.00,89.44,6618300,88.73
2013-10-02,89.00,89.90,88.75,89.85,7487100,89.14
2013-10-01,87.99,89.59,87.98,89.05,5580200,88.34
2013-09-30,87.49,88.88,87.16,88.36,5597200,87.66
2013-09-27,88.31,89.10,88.12,88.82,4980100,88.11
2013-09-26,88.77,89.25,88.43,88.83,5042900,88.12
2013-09-25,87.83,89.24,87.51,88.57,8082500,87.87
2013-09-24,87.42,88.52,86.57,87.91,5688300,87.21
2013-09-23,87.16,87.86,87.03,87.04,5480900,86.35
2013-09-20,89.08,89.28,87.44,87.44,8555600,86.74
2013-09-19,88.84,89.72,88.72,88.79,6010200,88.08
