Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,24.58,24.89,24.44,24.60,2491500,24.60
2014-03-27,24.90,25.07,24.38,24.60,4081700,24.60
2014-03-26,25.23,25.29,24.89,24.91,2205300,24.91
2014-03-25,25.39,25.39,25.03,25.07,2587500,25.07
2014-03-24,25.75,25.75,25.16,25.24,4126500,25.24
2014-03-21,25.80,25.91,25.44,25.71,7628500,25.71
2014-03-20,25.00,25.63,24.89,25.49,4784400,25.49
2014-03-19,25.01,25.19,24.90,25.07,5518100,25.07
2014-03-18,24.86,25.08,24.81,24.99,5764200,24.99
2014-03-17,24.65,25.11,24.60,24.88,4393200,24.88
2014-03-14,24.65,24.77,24.16,24.45,3922400,24.45
2014-03-13,24.85,25.00,24.56,24.62,3075700,24.62
2014-03-12,24.82,24.98,24.70,24.82,2164900,24.82
2014-03-11,24.95,25.00,24.78,24.95,3670500,24.95
2014-03-10,24.85,24.96,24.65,24.88,2393100,24.88
2014-03-07,24.71,25.10,24.41,24.82,4159900,24.82
2014-03-06,24.39,24.77,24.17,24.63,5327400,24.63
2014-03-05,24.21,24.47,24.03,24.28,2697900,24.28
2014-03-04,24.19,24.59,24.16,24.37,3442100,24.22
2014-03-03,23.77,24.12,23.58,24.00,2521100,23.85
2014-02-28,23.76,24.27,23.44,23.94,3025000,23.79
2014-02-27,23.46,23.81,23.09,23.78,2735000,23.63
2014-02-26,23.70,23.90,23.48,23.55,3111200,23.41
2014-02-25,23.98,23.98,23.48,23.61,5464100,23.46
2014-02-24,23.81,24.18,23.78,23.96,3647800,23.81
2014-02-21,23.39,23.91,23.28,23.84,4775200,23.69
2014-02-20,23.65,23.82,23.32,23.41,5016900,23.27
2014-02-19,24.00,24.22,23.55,23.71,6296100,23.56
2014-02-18,23.63,24.02,23.38,23.92,4378800,23.77
2014-02-14,23.58,23.65,23.33,23.60,2625500,23.45
2014-02-13,23.48,23.86,23.31,23.61,3697000,23.46
2014-02-12,23.45,23.96,23.41,23.57,3924400,23.42
2014-02-11,22.18,23.56,21.08,23.39,5933600,23.25
2014-02-10,22.78,22.89,22.57,22.84,2769400,22.70
2014-02-07,22.58,22.92,22.56,22.75,3673400,22.61
2014-02-06,21.95,22.56,21.85,22.54,4206700,22.40
2014-02-05,21.88,22.15,21.72,22.00,4996700,21.86
2014-02-04,22.18,22.47,21.80,21.91,5505200,21.78
2014-02-03,22.72,22.77,22.11,22.21,8515400,22.07
2014-01-31,22.86,23.08,22.64,22.76,4667600,22.62
2014-01-30,23.31,23.40,23.03,23.10,4240300,22.96
2014-01-29,22.96,23.41,22.93,23.13,8901400,22.99
2014-01-28,23.09,23.28,22.84,22.88,5945500,22.74
2014-01-27,23.11,23.38,22.95,22.98,5743500,22.84
2014-01-24,23.15,23.36,22.98,23.01,8055300,22.87
2014-01-23,24.03,24.34,22.77,23.33,19989700,23.19
2014-01-22,24.59,24.68,24.18,24.42,4488600,24.27
2014-01-21,24.53,24.53,24.02,24.24,7595800,24.09
2014-01-17,25.75,25.83,24.42,24.47,18463800,24.32
2014-01-16,27.23,27.34,26.99,27.14,3644800,26.97
2014-01-15,27.06,27.24,27.03,27.24,3989500,27.07
2014-01-09,26.50,26.67,26.36,26.63,2688300,26.47
2014-01-08,25.97,26.47,25.95,26.46,3966700,26.30
2014-01-07,26.04,26.21,25.84,25.86,2471900,25.70
2014-01-06,26.31,26.43,26.12,26.14,2244300,25.98
2014-01-03,26.12,26.40,26.02,26.26,1870700,26.10
2014-01-02,26.24,26.29,25.91,26.02,2405100,25.86
2013-12-31,26.17,26.40,26.16,26.28,2198500,26.12
2013-12-30,26.00,26.10,25.88,26.07,1858500,25.91
2013-12-27,26.06,26.06,25.96,26.01,993600,25.85
2013-12-26,26.20,26.22,25.74,26.05,1708500,25.89
2013-12-24,25.92,26.13,25.92,26.05,816800,25.89
2013-12-23,26.22,26.22,25.90,25.95,2548700,25.79
2013-12-20,26.00,26.08,25.76,25.95,3484700,25.79
2013-12-19,25.98,26.03,25.85,25.94,3236000,25.78
2013-12-18,25.58,26.04,25.38,26.00,3471100,25.84
2013-12-17,25.78,25.79,25.41,25.58,3342300,25.42
2013-12-16,25.84,25.97,25.60,25.76,2493000,25.60
2013-12-13,25.70,25.88,25.59,25.76,2609200,25.60
2013-12-12,25.73,25.80,25.18,25.58,5898800,25.42
2013-12-11,26.45,26.47,25.79,25.79,9779200,25.63
2013-12-10,26.46,26.80,26.33,26.35,3290400,26.19
2013-12-09,26.53,26.77,26.50,26.66,3314300,26.50
2013-12-06,26.47,26.52,26.16,26.44,3747200,26.28
2013-12-05,26.52,26.61,26.13,26.15,2399400,25.99
2013-12-04,26.28,26.58,26.17,26.55,2509600,26.39
2013-12-03,26.43,26.55,26.36,26.52,2285000,26.21
2013-12-02,26.54,26.75,26.44,26.46,1924400,26.15
2013-11-29,26.63,26.81,26.48,26.65,1111200,26.34
2013-11-27,26.49,26.60,26.44,26.60,1362200,26.29
2013-11-26,26.33,26.60,25.42,26.45,2154500,26.14
2013-11-25,26.27,26.37,26.21,26.36,1904400,26.05
2013-11-22,26.25,26.25,26.09,26.25,1941200,25.94
2013-11-21,26.07,26.18,25.65,26.12,2687400,25.81
2013-11-20,26.15,26.16,25.86,25.90,2668800,25.59
2013-11-19,26.04,26.11,25.92,25.98,3218400,25.67
2013-11-18,26.27,26.40,26.07,26.09,3775400,25.78
2013-11-15,26.19,26.39,26.14,26.27,2017200,25.96
2013-11-14,25.81,26.28,25.77,26.28,4839600,25.97
2013-11-13,25.53,25.87,25.22,25.85,2627600,25.55
2013-11-12,25.35,25.85,25.21,25.68,3049100,25.38
2013-11-11,25.04,25.49,25.00,25.39,2926900,25.09
2013-11-08,24.89,25.18,24.61,25.10,2624300,24.80
2013-11-07,25.31,25.55,24.93,24.93,2775200,24.64
2013-11-06,25.45,25.45,25.16,25.36,1771200,25.06
2013-11-05,25.11,25.32,25.04,25.24,2339400,24.94
2013-11-04,25.32,25.33,25.07,25.19,1579400,24.89
2013-11-01,25.31,25.41,25.03,25.25,2323300,24.95
2013-10-31,25.64,25.71,25.36,25.37,2558200,25.07
2013-10-30,25.99,26.00,25.58,25.62,1349500,25.32
2013-10-29,25.78,25.96,25.64,25.89,1894600,25.59
2013-10-28,25.81,25.89,25.65,25.72,3121800,25.42
2013-10-25,25.71,25.77,25.59,25.73,2021000,25.43
2013-10-24,25.61,25.80,25.60,25.70,2622300,25.40
2013-10-23,25.98,26.07,25.62,25.67,3426200,25.37
2013-10-22,25.99,26.28,25.91,26.13,2738300,25.82
2013-10-21,25.84,26.00,25.72,25.95,1991300,25.64
2013-10-18,25.86,25.87,25.59,25.79,1835100,25.49
2013-10-17,25.68,25.94,25.32,25.71,3145800,25.41
2013-10-16,25.45,25.82,25.26,25.73,3867500,25.43
2013-10-15,25.17,25.36,25.00,25.17,2799000,24.87
