Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,110.82,112.73,110.24,112.20,208100,112.20
2014-03-27,110.55,110.86,109.55,110.39,192400,110.39
2014-03-26,113.78,114.34,111.00,111.04,383700,111.04
2014-03-25,111.38,113.02,110.97,112.98,316500,112.98
2014-03-24,112.76,113.70,109.95,110.50,307700,110.50
2014-03-21,113.32,115.29,112.48,112.48,731000,112.48
2014-03-20,111.70,112.50,111.34,112.45,152000,112.45
2014-03-19,112.64,113.34,111.72,112.11,273100,112.11
2014-03-18,111.74,112.86,111.74,112.77,184900,112.77
2014-03-17,111.67,112.65,111.23,111.68,157400,111.68
2014-03-14,110.17,111.55,110.17,111.06,201600,111.06
2014-03-13,112.55,112.57,109.91,110.17,222700,110.17
2014-03-12,111.55,112.37,111.38,111.95,185900,111.95
2014-03-11,113.64,114.07,112.31,112.60,226700,112.60
2014-03-10,113.84,113.92,112.64,113.19,165600,113.19
2014-03-07,113.91,114.37,113.48,114.18,200100,114.18
2014-03-06,113.08,113.78,112.77,113.42,232400,113.42
2014-03-05,112.87,113.25,112.44,112.85,253000,112.85
2014-03-04,113.05,113.59,112.41,112.90,391700,112.90
2014-03-03,110.62,112.00,110.20,111.55,376200,111.55
2014-02-28,111.25,112.61,110.83,112.17,452600,112.17
2014-02-27,109.56,111.30,109.44,111.09,385400,111.09
2014-02-26,108.85,110.54,108.84,109.68,432700,109.68
2014-02-25,109.04,109.61,108.27,108.52,293900,108.52
2014-02-24,109.07,109.97,108.50,109.27,400000,109.27
2014-02-21,109.29,109.45,108.62,108.77,236800,108.77
2014-02-20,108.36,109.26,107.82,108.99,268000,108.99
2014-02-19,109.25,110.12,108.33,108.43,269600,107.99
2014-02-18,109.43,109.89,108.90,109.41,295700,108.97
2014-02-14,108.69,109.90,108.47,109.57,306100,109.13
2014-02-13,108.03,109.52,107.70,109.43,290800,108.99
2014-02-12,109.50,109.89,108.88,109.01,425000,108.57
2014-02-11,107.45,109.73,107.05,109.15,640000,108.71
2014-02-10,107.53,108.19,106.31,107.70,650000,107.26
2014-02-07,106.19,108.79,105.32,108.66,656000,108.22
2014-02-06,100.10,105.24,100.10,105.13,784500,104.70
2014-02-05,97.77,98.60,96.76,97.56,437400,97.16
2014-02-04,97.50,98.65,96.24,98.08,453700,97.68
2014-02-03,99.67,100.55,96.93,97.23,668400,96.84
2014-01-31,99.23,101.38,99.15,100.15,401900,99.74
2014-01-30,100.90,101.38,100.14,100.73,297100,100.32
2014-01-29,99.31,100.65,99.17,100.07,392100,99.66
2014-01-28,99.60,100.42,98.60,100.33,370200,99.92
2014-01-27,100.30,100.33,98.48,99.42,462700,99.02
2014-01-24,102.73,103.17,100.00,100.01,546300,99.60
2014-01-23,105.01,105.33,103.53,103.81,349300,103.39
2014-01-22,106.08,106.27,105.38,105.49,286700,105.06
2014-01-21,108.12,108.41,105.79,105.99,301900,105.56
2014-01-17,108.01,108.40,107.32,107.67,209200,107.23
2014-01-16,107.51,108.52,107.51,107.90,190900,107.46
2014-01-15,107.99,108.30,107.65,107.98,152100,107.54
2014-01-14,106.31,107.93,106.09,107.91,163800,107.47
2014-01-13,106.99,107.80,105.67,105.99,206400,105.56
2014-01-10,108.15,108.30,107.13,107.53,230100,107.09
2014-01-09,108.09,108.49,107.11,107.50,260400,107.06
2014-01-08,107.83,108.18,107.00,107.76,188500,107.32
2014-01-07,108.19,108.36,107.42,107.88,164300,107.44
2014-01-06,109.07,109.57,107.27,107.63,151300,107.19
2014-01-03,108.73,109.29,108.47,108.76,155200,108.32
2014-01-02,109.28,109.67,108.14,108.55,252500,108.11
2013-12-31,109.12,109.74,108.66,109.52,257500,109.08
2013-12-30,108.24,108.84,108.00,108.74,117000,108.30
2013-12-27,108.91,108.91,108.08,108.27,98300,107.83
2013-12-26,108.60,109.24,108.39,108.88,102100,108.44
2013-12-24,108.05,108.53,108.05,108.50,73000,108.06
2013-12-23,107.46,108.13,106.91,107.93,187000,107.49
2013-12-20,106.61,107.93,106.36,106.89,294200,106.46
2013-12-19,106.93,106.98,106.30,106.54,346800,106.11
2013-12-18,105.36,107.51,104.54,107.43,248900,106.99
2013-12-17,104.62,105.34,103.72,104.99,293600,104.56
2013-12-16,104.42,105.22,103.38,104.68,204200,104.26
2013-12-13,103.49,104.22,102.88,103.79,253200,103.37
2013-12-12,103.52,103.70,102.89,103.19,306100,102.77
2013-12-11,105.51,105.82,103.26,103.44,271200,103.02
2013-12-10,105.85,106.58,105.33,105.59,167900,105.16
2013-12-09,106.02,106.81,105.88,106.21,199300,105.78
2013-12-06,105.04,106.22,104.86,105.96,214300,105.53
2013-12-05,104.17,105.15,103.91,104.03,291400,103.61
2013-12-04,104.62,105.59,103.41,104.52,172900,104.10
2013-12-03,104.86,105.49,104.70,105.40,157300,104.97
2013-12-02,105.86,105.86,104.70,105.27,387500,104.84
2013-11-29,106.12,106.65,105.29,106.15,64600,105.72
2013-11-27,106.31,106.91,105.40,106.04,136800,105.61
2013-11-26,106.32,106.85,106.10,106.35,135400,105.92
2013-11-25,106.45,106.75,105.84,106.42,145600,105.99
2013-11-22,105.85,106.28,105.26,106.24,143100,105.81
2013-11-21,104.76,106.16,104.71,105.93,111400,105.50
2013-11-20,105.00,105.70,104.22,104.61,132800,104.19
2013-11-19,106.23,106.46,104.94,105.31,273200,104.44
2013-11-18,107.49,107.54,106.00,106.18,297000,105.31
2013-11-15,106.98,107.44,106.46,107.04,183100,106.16
2013-11-14,106.35,107.45,106.09,107.00,216700,106.12
2013-11-13,103.99,106.01,103.99,105.98,418900,105.11
2013-11-12,104.98,105.14,104.26,104.35,253700,103.49
2013-11-11,105.09,105.58,104.85,105.01,112500,104.15
2013-11-08,103.57,105.02,103.13,104.96,142700,104.10
2013-11-07,105.02,105.64,103.47,103.84,239300,102.99
2013-11-06,105.28,105.76,104.42,104.99,143100,104.13
2013-11-05,104.33,105.30,103.93,104.91,173500,104.05
2013-11-04,104.50,105.06,103.97,104.98,189200,104.12
2013-11-01,104.63,104.75,103.13,103.80,281600,102.95
2013-10-31,101.49,104.24,100.94,104.07,482500,103.21
2013-10-30,102.86,102.86,101.22,101.34,177900,100.51
2013-10-29,101.90,102.59,101.67,102.59,233700,101.75
2013-10-28,101.90,102.30,101.37,101.74,275300,100.90
2013-10-25,101.48,102.20,101.38,102.09,280100,101.25
2013-10-24,101.46,101.79,101.04,101.39,337700,100.56
2013-10-23,101.52,101.99,100.72,101.30,395900,100.47
2013-10-22,102.62,102.76,101.76,101.90,291600,101.06
2013-10-21,102.00,102.24,101.66,102.06,207700,101.22
2013-10-18,100.36,101.87,100.01,101.59,710900,100.76
2013-10-17,100.01,100.76,99.05,100.40,1025500,99.57
2013-10-16,98.39,98.56,97.30,98.46,450600,97.65
2013-10-15,99.02,99.63,97.61,98.25,174300,97.44
2013-10-14,98.62,99.26,98.22,99.06,168500,98.25
2013-10-11,98.18,99.27,97.82,98.93,160100,98.12
2013-10-10,96.92,98.60,96.81,98.60,222500,97.79
2013-10-09,95.76,96.47,94.53,95.82,299200,95.03
2013-10-08,96.94,97.47,95.54,95.63,237200,94.84
2013-10-07,98.85,99.33,97.07,97.21,404600,96.41
2013-10-04,99.12,100.13,99.11,99.59,139600,98.77
