Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,3.38,3.42,3.35,3.36,9337600,3.36
2014-03-27,3.46,3.46,3.37,3.39,6296000,3.39
2014-03-26,3.50,3.50,3.45,3.46,5916500,3.46
2014-03-25,3.52,3.52,3.46,3.48,3973000,3.48
2014-03-24,3.48,3.52,3.45,3.50,7330000,3.50
2014-03-21,3.52,3.54,3.45,3.48,11270400,3.48
2014-03-20,3.44,3.54,3.44,3.51,8184400,3.51
2014-03-19,3.40,3.49,3.39,3.47,6039200,3.47
2014-03-18,3.39,3.47,3.34,3.41,19819800,3.41
2014-03-17,3.43,3.45,3.32,3.40,18587300,3.39
2014-03-14,3.42,3.47,3.38,3.41,8912800,3.40
2014-03-13,3.48,3.50,3.42,3.43,6280100,3.42
2014-03-12,3.50,3.51,3.45,3.48,3402000,3.47
2014-03-11,3.50,3.52,3.46,3.50,6961100,3.49
2014-03-10,3.51,3.57,3.48,3.48,5523100,3.47
2014-03-07,3.52,3.57,3.50,3.53,8002600,3.52
2014-03-06,3.50,3.53,3.49,3.50,5644200,3.49
2014-03-05,3.51,3.54,3.47,3.49,6049800,3.48
2014-03-04,3.50,3.54,3.49,3.52,5776700,3.51
2014-03-03,3.44,3.48,3.41,3.48,6654300,3.47
2014-02-28,3.48,3.54,3.46,3.48,7261800,3.47
2014-02-27,3.45,3.49,3.44,3.47,3954200,3.46
2014-02-26,3.44,3.48,3.43,3.46,6631000,3.45
2014-02-25,3.44,3.47,3.42,3.44,4906500,3.43
2014-02-24,3.41,3.46,3.41,3.44,5174200,3.43
2014-02-21,3.38,3.44,3.37,3.43,6071600,3.42
2014-02-20,3.39,3.41,3.30,3.39,9841600,3.38
2014-02-19,3.49,3.49,3.36,3.37,7471500,3.36
2014-02-18,3.46,3.50,3.43,3.49,4894600,3.48
2014-02-14,3.44,3.47,3.43,3.47,3767300,3.46
2014-02-13,3.41,3.47,3.40,3.45,5765000,3.44
2014-02-12,3.41,3.48,3.41,3.44,8273700,3.43
2014-02-11,3.38,3.43,3.34,3.42,7023500,3.41
2014-02-10,3.36,3.38,3.30,3.36,6206200,3.35
2014-02-07,3.37,3.40,3.33,3.36,4147700,3.35
2014-02-06,3.30,3.36,3.28,3.36,5057100,3.35
2014-02-05,3.28,3.30,3.23,3.30,7738400,3.29
2014-02-04,3.27,3.35,3.22,3.29,11716700,3.28
2014-02-03,3.35,3.36,3.20,3.23,19734000,3.22
2014-01-31,3.39,3.42,3.35,3.35,8807200,3.34
2014-01-30,3.43,3.46,3.39,3.43,9152200,3.42
2014-01-29,3.45,3.46,3.38,3.41,8985300,3.40
2014-01-28,3.45,3.52,3.44,3.47,6541400,3.46
2014-01-27,3.49,3.49,3.36,3.45,10779600,3.44
2014-01-24,3.57,3.58,3.47,3.48,10718000,3.47
2014-01-23,3.64,3.65,3.56,3.58,14848100,3.57
2014-01-22,3.69,3.71,3.64,3.64,10626500,3.63
2014-01-21,3.70,3.74,3.64,3.69,11409800,3.68
2014-01-17,3.66,3.70,3.63,3.68,9554700,3.67
2014-01-16,3.71,3.71,3.61,3.64,10457000,3.63
2014-01-09,3.58,3.58,3.53,3.56,9199200,3.55
2014-01-08,3.61,3.62,3.54,3.56,9314200,3.55
2014-01-07,3.58,3.62,3.52,3.60,7028300,3.59
2014-01-06,3.59,3.62,3.56,3.58,7298900,3.57
2014-01-03,3.55,3.60,3.53,3.58,5027600,3.57
2014-01-02,3.62,3.62,3.55,3.55,6487400,3.54
2013-12-31,3.55,3.61,3.55,3.60,3598000,3.59
2013-12-30,3.60,3.60,3.55,3.55,2732500,3.54
2013-12-27,3.54,3.58,3.51,3.57,4397900,3.56
2013-12-26,3.52,3.54,3.51,3.53,4434600,3.52
2013-12-24,3.51,3.53,3.49,3.50,1955500,3.49
2013-12-23,3.51,3.54,3.47,3.49,6861000,3.48
2013-12-20,3.44,3.52,3.44,3.52,11102100,3.51
2013-12-19,3.46,3.47,3.42,3.45,6384500,3.44
2013-12-18,3.44,3.47,3.40,3.46,5122000,3.45
2013-12-17,3.44,3.45,3.40,3.43,4651600,3.42
2013-12-16,3.39,3.45,3.38,3.44,4604600,3.42
2013-12-13,3.38,3.42,3.33,3.38,4918800,3.36
2013-12-12,3.35,3.40,3.31,3.38,15606600,3.36
2013-12-11,3.43,3.43,3.34,3.35,6701400,3.33
2013-12-10,3.46,3.46,3.40,3.40,4129400,3.38
2013-12-09,3.44,3.48,3.44,3.46,3723100,3.44
2013-12-06,3.43,3.50,3.41,3.43,7834300,3.41
2013-12-05,3.44,3.45,3.39,3.42,3795000,3.40
2013-12-04,3.39,3.45,3.38,3.45,4221000,3.43
2013-12-03,3.44,3.48,3.39,3.41,5948000,3.39
2013-12-02,3.50,3.54,3.45,3.45,5888100,3.43
2013-11-29,3.52,3.53,3.47,3.49,2270100,3.47
2013-11-27,3.46,3.54,3.44,3.50,10588700,3.48
2013-11-26,3.39,3.45,3.38,3.44,8957700,3.42
2013-11-25,3.33,3.40,3.32,3.37,8617300,3.35
2013-11-22,3.33,3.33,3.27,3.32,6125400,3.30
2013-11-21,3.28,3.34,3.27,3.31,7311300,3.29
2013-11-20,3.29,3.30,3.25,3.29,4010500,3.27
2013-11-19,3.29,3.31,3.27,3.27,3650400,3.25
2013-11-18,3.32,3.34,3.29,3.29,5172800,3.27
2013-11-15,3.36,3.36,3.31,3.31,3720500,3.29
2013-11-14,3.33,3.36,3.32,3.34,3338200,3.32
2013-11-13,3.30,3.34,3.29,3.32,3817900,3.30
2013-11-12,3.38,3.38,3.29,3.30,6074900,3.28
2013-11-11,3.38,3.40,3.35,3.38,3883600,3.36
2013-11-08,3.26,3.41,3.25,3.35,12033900,3.33
2013-11-07,3.27,3.30,3.24,3.24,4113100,3.22
2013-11-06,3.29,3.30,3.27,3.27,3042600,3.25
2013-11-05,3.33,3.33,3.26,3.27,4030000,3.25
2013-11-04,3.26,3.35,3.23,3.34,8280900,3.32
2013-11-01,3.26,3.28,3.22,3.25,4033300,3.23
2013-10-31,3.28,3.30,3.25,3.25,7193500,3.23
2013-10-30,3.30,3.31,3.25,3.30,6209700,3.28
2013-10-29,3.31,3.33,3.27,3.30,6932100,3.28
2013-10-28,3.31,3.33,3.29,3.31,4329200,3.29
2013-10-25,3.32,3.34,3.28,3.32,4112200,3.30
2013-10-24,3.33,3.34,3.29,3.30,4831900,3.28
2013-10-23,3.35,3.35,3.30,3.31,6524600,3.29
2013-10-22,3.41,3.42,3.30,3.38,13285400,3.36
2013-10-21,3.39,3.41,3.37,3.39,5684600,3.37
2013-10-18,3.39,3.39,3.35,3.39,5815900,3.37
2013-10-17,3.37,3.39,3.32,3.38,5075700,3.36
2013-10-16,3.33,3.40,3.32,3.35,6333000,3.33
2013-10-15,3.37,3.38,3.31,3.31,3188400,3.29
2013-10-14,3.34,3.37,3.31,3.37,3595300,3.35
2013-10-11,3.28,3.35,3.26,3.35,5650900,3.33
2013-10-10,3.26,3.30,3.24,3.28,9507100,3.26
2013-10-09,3.20,3.22,3.17,3.20,6335300,3.18
2013-10-08,3.25,3.26,3.20,3.20,5046400,3.18
2013-10-07,3.26,3.28,3.24,3.24,4651700,3.22
2013-10-04,3.27,3.31,3.25,3.29,4707200,3.27
2013-10-03,3.30,3.31,3.25,3.27,4389200,3.25
2013-10-02,3.34,3.35,3.29,3.30,4822800,3.28
2013-10-01,3.30,3.36,3.29,3.36,11151600,3.34
2013-09-30,3.25,3.30,3.23,3.30,6371000,3.28
2013-09-27,3.25,3.32,3.24,3.29,7056100,3.27
2013-09-26,3.27,3.30,3.24,3.27,7546400,3.25
2013-09-25,3.24,3.29,3.23,3.27,6162000,3.25
2013-09-24,3.24,3.27,3.21,3.24,4879000,3.22
2013-09-23,3.20,3.25,3.18,3.23,9778800,3.21
2013-09-20,3.23,3.26,3.20,3.21,17649700,3.19
2013-09-19,3.31,3.31,3.19,3.24,20949300,3.22
2013-09-18,3.29,3.36,3.27,3.30,8402000,3.28
2013-09-17,3.20,3.30,3.19,3.30,8337700,3.28
2013-09-16,3.29,3.31,3.21,3.21,11778100,3.18
2013-09-13,3.28,3.28,3.25,3.27,8292900,3.24
2013-09-12,3.26,3.29,3.23,3.27,9881000,3.24
2013-09-11,3.17,3.26,3.17,3.26,12559900,3.23
2013-09-10,3.22,3.23,3.17,3.17,18693900,3.14
2013-09-09,3.24,3.28,3.17,3.18,14921500,3.15
2013-09-06,3.26,3.26,3.17,3.21,5017500,3.18
