Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,43.40,43.45,43.17,43.37,3249700,43.37
2014-03-27,43.05,43.44,42.95,43.40,6178600,43.40
2014-03-26,43.47,43.55,43.15,43.15,4589100,43.15
2014-03-25,43.25,43.50,42.98,43.43,3120700,43.43
2014-03-24,42.96,43.24,42.95,43.18,2943100,43.18
2014-03-21,42.90,43.28,42.81,42.92,7029000,42.92
2014-03-20,42.66,42.79,42.19,42.79,4829300,42.79
2014-03-19,43.44,43.55,42.54,42.79,5773700,42.79
2014-03-18,43.58,43.65,43.35,43.45,2893000,43.45
2014-03-17,43.55,43.70,43.35,43.52,3866100,43.52
2014-03-14,43.12,43.65,43.01,43.49,5978900,43.49
2014-03-13,42.70,43.29,42.63,43.16,5031600,43.16
2014-03-12,42.00,42.64,41.99,42.63,3779400,42.63
2014-03-11,42.24,42.28,41.90,42.05,2748900,42.05
2014-03-10,42.09,42.33,41.91,42.16,3896500,42.16
2014-03-07,41.91,42.13,41.59,42.10,3858400,42.10
2014-03-06,42.41,42.48,41.86,42.04,3666800,42.04
2014-03-05,42.34,42.51,42.16,42.22,3430000,42.22
2014-03-04,42.32,42.44,42.17,42.33,4069500,42.33
2014-03-03,42.22,42.50,42.03,42.05,3504700,42.05
2014-02-28,42.04,42.41,41.92,42.35,4809800,42.35
2014-02-27,41.98,42.13,41.67,42.01,3688700,42.01
2014-02-26,42.29,42.31,41.99,42.00,2756300,42.00
2014-02-25,42.13,42.50,42.03,42.17,3228000,42.17
2014-02-24,42.38,42.70,42.10,42.12,3582100,42.12
2014-02-21,42.43,42.74,42.30,42.35,3286500,42.35
2014-02-20,42.24,42.58,42.06,42.40,2924000,42.40
2014-02-19,42.43,42.70,42.10,42.17,2898600,42.17
2014-02-18,42.49,42.72,42.44,42.54,3396200,42.54
2014-02-14,42.13,42.55,42.05,42.52,3178100,42.52
2014-02-13,41.53,42.31,41.50,42.23,4588900,42.23
2014-02-12,41.65,41.75,41.45,41.61,2473400,41.61
2014-02-11,41.28,41.77,41.27,41.69,3454500,41.69
2014-02-10,41.00,41.43,40.89,41.28,2840900,41.28
2014-02-07,41.05,41.30,40.95,41.10,4295400,41.10
2014-02-06,40.83,41.06,40.70,40.91,3104000,40.91
2014-02-05,40.90,41.05,40.76,40.82,3811600,40.82
2014-02-04,41.38,41.38,40.79,41.00,5192400,41.00
2014-02-03,41.28,41.96,41.11,41.25,8760600,41.25
2014-01-31,40.77,41.38,40.55,41.24,7338400,41.24
2014-01-30,40.36,40.92,40.30,40.89,5007500,40.89
2014-01-29,41.48,41.87,40.50,40.89,11948600,40.38
2014-01-28,41.30,41.41,41.05,41.25,5490400,40.74
2014-01-27,41.25,41.48,41.10,41.25,6050700,40.74
2014-01-24,41.34,41.82,41.17,41.22,6492000,40.71
2014-01-23,41.46,41.56,41.27,41.43,4225600,40.92
2014-01-22,41.62,41.80,41.54,41.60,2759900,41.08
2014-01-21,41.35,41.68,41.33,41.65,3514600,41.13
2014-01-09,40.50,40.64,40.29,40.62,3898700,40.12
2014-01-08,40.72,40.78,40.30,40.40,4268100,39.90
2014-01-07,40.48,40.78,40.42,40.76,4705500,40.25
2014-01-06,40.55,40.69,40.28,40.40,4527000,39.90
2014-01-03,40.67,40.76,40.27,40.47,4198400,39.97
2014-01-02,41.13,41.13,40.59,40.69,5512000,40.19
2013-12-31,41.04,41.20,40.88,41.11,4239700,40.60
2013-12-30,40.81,41.13,40.77,41.00,4644200,40.49
2013-12-27,40.71,40.95,40.61,40.86,3355500,40.35
2013-12-26,40.96,41.06,40.67,40.75,2956800,40.24
2013-12-24,40.79,41.12,40.63,40.96,1392900,40.45
2013-12-23,41.13,41.25,40.85,40.88,4112300,40.37
2013-12-20,40.87,41.25,40.79,41.06,7506700,40.55
2013-12-19,41.00,41.00,40.41,40.79,5585400,40.28
2013-12-18,40.37,41.21,40.16,41.01,7686000,40.50
2013-12-17,40.38,40.54,40.16,40.31,4259400,39.81
2013-12-16,40.24,40.62,40.23,40.38,3872300,39.88
2013-12-13,40.29,40.37,40.03,40.12,3481800,39.62
2013-12-12,40.20,40.48,40.03,40.20,6265800,39.70
2013-12-11,40.42,40.57,40.18,40.28,8224900,39.78
2013-12-10,41.01,41.02,40.42,40.46,8025300,39.96
2013-12-09,41.32,41.32,40.81,41.04,6119000,40.53
2013-12-06,41.31,41.71,41.10,41.43,4506500,40.92
2013-12-05,40.97,41.17,40.74,40.94,5459500,40.43
2013-12-04,40.84,41.11,40.45,41.09,4719000,40.58
2013-12-03,40.75,41.10,40.55,40.88,5660400,40.37
2013-12-02,40.72,40.85,40.12,40.74,6553400,40.23
2013-11-29,40.64,40.96,40.51,40.63,3135200,40.13
2013-11-27,40.78,40.83,40.45,40.68,4270300,40.18
2013-11-26,41.05,41.08,40.71,40.73,5395000,40.22
2013-11-25,41.25,41.32,41.00,41.00,5015600,40.49
2013-11-22,41.35,41.51,41.21,41.23,3615000,40.72
2013-11-21,41.47,41.68,41.12,41.37,5025300,40.86
2013-11-20,42.17,42.18,41.33,41.40,6644600,40.89
2013-11-19,42.35,42.47,42.04,42.07,5259800,41.55
2013-11-18,42.42,42.45,42.17,42.33,6557200,41.81
2013-11-15,42.32,42.43,41.86,42.42,6590800,41.89
2013-11-14,41.83,42.43,41.81,42.36,7081800,41.83
2013-11-13,41.22,41.76,41.01,41.74,5750100,41.22
2013-11-12,41.42,41.55,41.14,41.39,5275900,40.88
2013-11-11,41.22,41.56,41.03,41.50,4285300,40.99
2013-11-08,41.36,41.37,40.58,41.21,10856200,40.70
2013-11-07,41.82,42.04,41.47,41.52,4689100,41.01
2013-11-06,41.27,41.77,41.20,41.77,4889600,41.25
2013-11-05,41.45,41.91,41.09,41.10,6317100,40.59
2013-11-04,41.31,41.49,41.01,41.49,5523800,40.98
2013-11-01,41.04,41.22,40.82,41.02,4357700,40.51
2013-10-31,41.38,41.40,40.61,40.91,7689400,40.40
2013-10-30,42.20,42.48,41.82,41.90,6787500,40.88
2013-10-29,42.57,42.60,42.16,42.39,4590300,41.36
2013-10-28,42.42,42.64,42.25,42.44,18817000,41.41
2013-10-25,41.97,42.50,41.85,42.46,13307100,41.43
2013-10-24,42.42,42.46,41.90,42.01,16948500,40.99
2013-10-23,42.23,42.94,42.20,42.29,4988000,41.26
2013-10-22,41.90,42.56,41.75,42.28,6337500,41.25
2013-10-21,41.87,41.91,41.48,41.76,3809200,40.74
2013-10-18,42.09,42.20,41.77,41.94,3732800,40.92
2013-10-17,41.22,41.99,40.97,41.91,3820100,40.89
2013-10-16,40.94,41.28,40.85,41.28,4030700,40.27
2013-10-15,41.32,41.37,40.77,40.85,5917500,39.86
2013-10-14,41.52,41.53,40.83,41.35,4493600,40.34
2013-10-11,41.53,41.73,41.37,41.69,3143800,40.67
