Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,5.40,5.40,5.40,5.40,000,5.40
2014-03-27,5.08,5.40,5.08,5.40,116700,5.40
2014-03-26,5.05,5.05,5.05,5.05,000,5.05
2014-03-25,5.05,5.05,5.05,5.05,7700,5.05
2014-03-24,5.08,5.08,5.08,5.08,000,5.08
2014-03-21,5.08,5.08,5.08,5.08,000,5.08
2014-03-20,5.08,5.08,5.08,5.08,000,5.08
2014-03-19,5.08,5.08,5.08,5.08,000,5.08
2014-03-18,5.08,5.08,5.08,5.08,8000,5.08
2014-03-17,5.10,5.10,5.10,5.10,000,5.10
2014-03-14,5.10,5.10,5.10,5.10,1800,5.10
2014-03-13,5.16,5.16,5.10,5.10,52100,5.10
2014-03-12,5.08,5.08,5.08,5.08,100,5.08
2014-03-11,5.06,5.06,5.06,5.06,200,5.06
2014-03-10,5.28,5.28,5.06,5.06,11900,5.06
2014-03-07,5.07,5.10,5.07,5.10,16400,5.10
2014-03-06,5.15,5.15,5.05,5.05,14100,5.05
2014-03-05,5.05,5.05,5.00,5.00,25600,5.00
2014-03-04,5.10,5.10,5.10,5.10,4300,5.10
2014-03-03,5.01,5.01,5.01,5.01,14700,5.01
2014-02-28,5.10,5.40,5.10,5.40,3000,5.40
2014-02-27,5.05,5.05,5.05,5.05,000,5.05
2014-02-26,5.00,5.15,5.00,5.05,74500,5.05
2014-02-25,5.01,5.01,5.01,5.01,000,5.01
2014-02-24,5.01,5.15,5.01,5.01,6600,5.01
2014-02-21,5.00,5.01,5.00,5.01,26000,5.01
2014-02-20,5.02,5.02,5.01,5.01,5400,5.01
2014-02-19,5.02,5.02,5.02,5.02,000,5.02
2014-02-18,5.02,5.02,5.02,5.02,5000,5.02
2014-02-17,5.02,5.02,5.02,5.02,900,5.02
2014-02-14,5.03,5.03,5.03,5.03,000,5.03
2014-02-13,5.01,5.03,5.01,5.03,7000,5.03
2014-02-12,5.05,5.05,5.05,5.05,1200,5.05
2014-02-11,5.01,5.05,5.01,5.05,11500,5.05
2014-02-10,5.05,5.05,5.05,5.05,13800,5.05
2014-02-07,5.01,5.01,5.01,5.01,3300,5.01
2014-02-06,5.10,5.10,5.00,5.05,281300,5.05
2014-02-05,5.12,5.12,5.12,5.12,000,5.12
2014-02-04,5.12,5.12,5.12,5.12,000,5.12
2014-02-03,5.10,5.13,5.10,5.12,67900,5.12
2014-01-31,5.10,5.10,5.10,5.10,20000,5.10
2014-01-30,5.10,5.10,5.10,5.10,40000,5.10
2014-01-29,5.05,5.10,5.05,5.05,43500,5.05
2014-01-28,5.05,5.05,5.05,5.05,137000,5.05
2014-01-27,5.03,5.03,5.00,5.03,223700,5.03
2014-01-24,5.10,5.10,5.03,5.03,55800,5.03
2014-01-23,5.10,5.15,5.05,5.15,45300,5.15
2014-01-22,5.15,5.15,5.05,5.05,233400,5.05
2014-01-21,5.25,5.25,5.15,5.15,71500,5.15
2014-01-20,5.30,5.30,5.30,5.30,000,5.30
2014-01-17,5.30,5.30,5.30,5.30,5000,5.30
2014-01-16,5.50,5.50,5.45,5.45,5200,5.45
2014-01-15,5.50,5.50,5.50,5.50,300,5.50
2014-01-14,5.45,5.50,5.45,5.50,3000,5.50
2014-01-13,5.50,5.50,5.50,5.50,000,5.50
2014-01-10,5.50,5.50,5.50,5.50,000,5.50
2014-01-09,5.50,5.50,5.50,5.50,20000,5.50
2014-01-08,5.50,5.50,5.50,5.50,59300,5.50
2014-01-07,5.50,5.50,5.50,5.50,49600,5.50
2014-01-06,5.50,5.50,5.50,5.50,300,5.50
2014-01-03,5.70,5.70,5.70,5.70,201200,5.70
2014-01-02,5.70,5.70,5.70,5.70,89000,5.70
2014-01-01,5.70,5.70,5.70,5.70,000,5.70
2013-12-31,5.70,5.70,5.70,5.70,000,5.70
2013-12-30,5.70,5.70,5.70,5.70,000,5.70
2013-12-27,5.70,5.70,5.70,5.70,000,5.70
2013-12-26,5.70,5.70,5.70,5.70,000,5.70
2013-12-25,5.70,5.70,5.70,5.70,000,5.70
2013-12-24,5.70,5.70,5.70,5.70,000,5.70
2013-12-23,5.70,5.70,5.70,5.70,000,5.70
2013-12-20,5.70,5.70,5.70,5.70,5000,5.70
2013-12-19,5.67,5.69,5.67,5.69,5900,5.69
2013-12-18,5.49,5.70,5.49,5.70,7500,5.70
2013-12-17,5.50,5.50,5.50,5.50,100000,5.50
2013-12-16,5.50,5.50,5.50,5.50,000,5.50
2013-12-13,5.55,5.55,5.50,5.50,1300,5.50
2013-12-12,5.50,5.50,5.50,5.50,000,5.50
2013-12-11,5.50,5.50,5.50,5.50,8000,5.50
2013-12-10,5.50,5.60,5.50,5.60,12800,5.60
2013-12-09,5.50,5.50,5.50,5.50,163800,5.50
2013-12-06,5.50,5.50,5.45,5.50,153500,5.50
2013-12-05,5.50,5.50,5.50,5.50,160300,5.50
2013-12-04,5.55,5.55,5.50,5.50,24900,5.50
2013-12-03,5.50,5.60,5.50,5.60,27000,5.60
2013-12-02,5.50,5.50,5.50,5.50,58300,5.50
2013-11-29,5.50,5.50,5.50,5.50,6500,5.50
2013-11-28,5.60,5.60,5.60,5.60,254900,5.60
2013-11-27,5.60,5.60,5.60,5.60,300,5.60
2013-11-26,5.60,5.60,5.50,5.50,2100,5.50
2013-11-25,5.60,5.60,5.50,5.50,7200,5.50
2013-11-22,5.60,5.60,5.60,5.60,2000,5.60
2013-11-21,5.60,5.60,5.60,5.60,1000,5.60
2013-11-20,5.45,5.45,5.45,5.45,000,5.45
2013-11-19,5.45,5.45,5.45,5.45,000,5.45
2013-11-18,5.45,5.45,5.45,5.45,20400,5.45
2013-11-15,5.60,5.60,5.60,5.60,000,5.60
2013-11-14,5.60,5.60,5.60,5.60,3000,5.60
2013-11-13,5.70,5.70,5.70,5.70,000,5.70
2013-11-12,5.70,5.70,5.70,5.70,000,5.70
2013-11-11,5.52,5.70,5.10,5.70,19100,5.70
2013-11-08,5.52,5.52,5.52,5.52,5200,5.52
2013-11-07,5.50,5.50,5.50,5.50,5000,5.50
2013-11-06,5.45,5.45,5.45,5.45,000,5.45
2013-11-05,5.50,5.50,5.45,5.45,3000,5.45
2013-11-04,5.54,5.55,5.54,5.55,7200,5.55
2013-11-01,5.60,5.60,5.55,5.55,41700,5.55
2013-10-31,5.70,5.70,5.70,5.70,30000,5.70
2013-10-30,5.70,5.70,5.70,5.70,11500,5.70
2013-10-29,5.70,5.70,5.70,5.70,48800,5.70
2013-10-28,5.70,5.70,5.70,5.70,68500,5.70
2013-10-25,5.70,5.70,5.70,5.70,100400,5.70
2013-10-24,5.70,5.70,5.60,5.60,103900,5.60
2013-10-23,5.70,5.70,5.70,5.70,139000,5.70
2013-10-22,5.70,5.75,5.70,5.70,452600,5.70
2013-10-21,5.70,5.70,5.70,5.70,32700,5.70
2013-10-18,5.70,5.70,5.70,5.70,20000,5.70
2013-10-17,5.70,5.70,5.70,5.70,5000,5.70
2013-10-16,5.70,5.70,5.70,5.70,000,5.70
2013-10-15,5.70,5.70,5.70,5.70,000,5.70
2013-10-14,5.70,5.70,5.70,5.70,000,5.70
2013-10-11,5.70,5.70,5.50,5.70,5400,5.70
2013-10-10,5.70,5.70,5.25,5.50,12200,5.50
2013-10-09,5.69,5.69,5.69,5.69,000,5.69
2013-10-08,5.70,5.70,5.69,5.69,340600,5.69
2013-10-07,5.65,5.70,5.65,5.66,79700,5.66
2013-10-04,5.60,5.70,5.60,5.65,36900,5.65
2013-10-03,5.65,5.70,5.65,5.65,9000,5.65
2013-10-02,5.67,5.75,5.65,5.67,29200,5.67
2013-10-01,5.57,5.74,5.57,5.74,214000,5.74
2013-09-30,5.57,5.57,5.57,5.57,6100,5.57
2013-09-27,5.68,5.68,5.68,5.68,000,5.68
2013-09-26,5.68,5.68,5.68,5.68,5000,5.68
2013-09-25,5.60,5.68,5.60,5.68,500,5.68
2013-09-24,5.60,5.60,5.60,5.60,000,5.60
2013-09-23,5.60,5.60,5.60,5.60,000,5.60
2013-09-20,5.60,5.60,5.60,5.60,000,5.60
2013-09-19,5.75,5.75,5.70,5.70,50800,5.70
2013-09-18,5.65,5.75,5.65,5.75,4000,5.75
2013-09-17,5.75,5.75,5.75,5.75,000,5.75
2013-09-16,5.75,5.75,5.75,5.75,000,5.75
2013-09-13,5.30,5.75,5.20,5.75,15000,5.75
2013-09-12,5.50,5.50,5.50,5.50,18300,5.50
2013-09-11,5.50,5.50,5.50,5.50,36500,5.50
2013-09-10,5.50,5.50,5.50,5.50,15300,5.50
2013-09-09,5.20,5.80,5.20,5.50,14800,5.50
2013-09-06,5.35,5.50,5.35,5.50,8300,5.50
2013-09-05,5.10,5.10,5.10,5.10,000,5.10
2013-09-04,5.10,5.10,5.10,5.10,25100,5.10
2013-09-03,5.25,5.25,5.10,5.10,578200,5.10
2013-09-02,5.10,5.29,5.10,5.10,244900,5.10
2013-08-30,5.10,5.10,5.10,5.10,3400,5.10
2013-08-29,5.10,5.11,5.10,5.10,999400,5.10
2013-08-28,5.15,5.15,5.15,5.15,600,5.15
2013-08-27,5.30,5.30,5.15,5.15,1600,5.15
2013-08-26,5.30,5.30,5.30,5.30,18900,5.30
2013-08-23,5.25,5.30,5.20,5.20,284200,5.20
2013-08-22,5.30,5.30,5.30,5.30,351000,5.30
2013-08-21,5.30,5.30,5.30,5.30,2500,5.30
2013-08-20,5.21,5.21,5.21,5.21,000,5.21
2013-08-19,5.20,5.25,5.20,5.21,538900,5.21
2013-08-16,5.20,5.20,5.15,5.20,1504200,5.20
2013-08-15,5.20,5.20,5.18,5.18,32800,5.18
2013-08-14,5.20,5.20,5.19,5.19,239500,5.19
2013-08-13,5.20,5.20,5.15,5.20,25700,5.20
2013-08-12,5.20,5.25,5.15,5.20,120900,5.20
2013-08-09,5.20,5.20,5.20,5.20,000,5.20
2013-08-08,5.15,5.20,5.10,5.20,45200,5.20
2013-08-07,5.00,5.00,5.00,5.00,4000,5.00
2013-08-06,4.90,4.90,4.90,4.90,250000,4.90
2013-08-05,4.90,4.90,4.90,4.90,000,4.90
2013-08-02,5.00,5.00,4.90,4.90,14600,4.90
