Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,11.11,11.42,11.10,11.37,9660000,11.37
2014-03-27,11.21,11.28,11.04,11.05,11205600,11.05
2014-03-26,11.57,11.57,11.18,11.21,13617400,11.21
2014-03-25,11.74,11.76,11.44,11.62,11862900,11.50
2014-03-24,11.50,11.70,11.42,11.64,14259600,11.52
2014-03-21,11.32,11.46,11.23,11.45,16007700,11.33
2014-03-20,11.41,11.49,11.28,11.31,8340400,11.19
2014-03-19,11.45,11.50,11.36,11.40,6894000,11.28
2014-03-18,11.42,11.52,11.39,11.44,7612600,11.32
2014-03-17,11.40,11.50,11.30,11.44,6703200,11.32
2014-03-14,11.21,11.43,11.21,11.30,8802700,11.18
2014-03-13,11.58,11.58,11.14,11.22,22096300,11.10
2014-03-12,11.55,11.65,11.43,11.50,10095300,11.38
2014-03-11,11.73,11.79,11.62,11.62,15798600,11.50
2014-03-10,11.53,11.84,11.48,11.63,20235400,11.51
2014-03-07,11.40,11.56,11.28,11.48,26157600,11.36
2014-03-06,11.87,12.01,11.16,11.35,69142300,11.23
2014-03-05,13.30,13.59,13.22,13.40,13672200,13.26
2014-03-04,13.51,13.61,13.33,13.47,7842100,13.33
2014-03-03,13.51,13.64,13.43,13.46,7488200,13.32
2014-02-28,13.50,13.77,13.43,13.59,7442400,13.45
2014-02-27,13.56,13.60,13.36,13.44,7659300,13.30
2014-02-26,13.07,13.78,13.01,13.60,11840200,13.46
2014-02-25,13.00,13.09,12.61,13.00,15830200,12.87
2014-02-24,13.15,13.52,13.15,13.39,7900700,13.25
2014-02-21,13.14,13.18,13.08,13.09,4332400,12.95
2014-02-20,13.02,13.15,12.98,13.10,5226500,12.96
2014-02-19,13.06,13.06,12.96,12.98,6099300,12.85
2014-02-18,13.04,13.15,12.95,13.13,7034900,12.99
2014-02-14,13.02,13.11,12.95,13.03,7350800,12.90
2014-02-13,13.18,13.20,13.04,13.07,6571800,12.94
2014-02-12,13.47,13.61,13.18,13.20,6032400,13.06
2014-02-11,13.22,13.54,13.19,13.46,6387100,13.32
2014-02-10,13.11,13.28,13.09,13.23,6526700,13.09
2014-02-07,13.28,13.38,13.02,13.07,6901000,12.94
2014-02-06,12.89,13.32,12.87,13.27,10806200,13.13
2014-02-05,12.78,12.96,12.71,12.89,7031700,12.76
2014-02-04,13.01,13.07,12.83,12.88,8108800,12.75
2014-02-03,13.11,13.17,12.74,12.90,10453300,12.77
2014-01-31,13.20,13.28,13.01,13.16,7279700,13.02
2014-01-30,13.43,13.55,13.40,13.43,6351000,13.29
2014-01-29,13.37,13.50,13.29,13.30,7354500,13.16
2014-01-28,13.45,13.64,13.44,13.48,7228500,13.34
2014-01-27,13.52,13.62,13.17,13.40,11264700,13.26
2014-01-24,13.70,13.74,13.48,13.52,10039600,13.38
2014-01-23,13.70,13.81,13.62,13.75,8548500,13.61
2014-01-22,13.69,14.01,13.65,13.82,8774400,13.68
2014-01-21,13.73,13.81,13.53,13.63,10236100,13.49
2014-01-17,13.90,13.93,13.31,13.61,22251100,13.47
2014-01-09,15.59,15.61,14.91,15.14,12549100,14.98
2014-01-08,15.76,15.80,15.54,15.61,9686700,15.45
2014-01-07,15.33,15.81,15.33,15.80,14837500,15.64
2014-01-06,15.82,15.87,15.31,15.33,9095800,15.17
2014-01-03,15.53,15.86,15.51,15.79,6432800,15.63
2014-01-02,15.90,16.00,15.56,15.59,7742900,15.43
2013-12-31,15.97,16.04,15.80,15.89,3562400,15.73
2013-12-30,15.86,16.01,15.84,15.97,3651600,15.81
2013-12-27,15.87,15.95,15.70,15.79,6445800,15.63
2013-12-26,15.92,16.00,15.83,15.89,3231500,15.73
2013-12-24,15.69,16.00,15.55,15.91,3565700,15.75
2013-12-23,15.68,16.02,15.61,15.93,7438400,15.65
2013-12-20,15.69,15.90,15.60,15.73,13684200,15.45
2013-12-19,15.46,15.67,15.46,15.58,5218600,15.30
2013-12-18,15.21,15.69,15.17,15.62,9505400,15.34
2013-12-17,15.37,15.43,14.98,15.22,12590500,14.95
2013-12-16,15.55,15.70,15.37,15.41,7788200,15.14
2013-12-13,15.60,15.71,15.43,15.43,7729900,15.16
2013-12-12,15.83,15.97,15.49,15.51,12045200,15.23
2013-12-11,16.12,16.18,15.82,15.88,7174300,15.60
2013-12-10,15.99,16.21,15.89,16.15,7979700,15.86
2013-12-09,15.99,16.12,15.90,16.04,9214400,15.75
2013-12-06,15.87,16.00,15.68,15.96,14848200,15.68
2013-12-05,15.38,15.77,15.31,15.67,8691000,15.39
2013-12-04,15.40,15.79,15.39,15.40,8744900,15.13
2013-12-03,15.39,15.57,15.27,15.55,7199300,15.27
2013-12-02,15.60,15.62,15.43,15.48,4294900,15.20
2013-11-29,15.39,15.66,15.19,15.53,2873500,15.25
2013-11-27,15.37,15.52,15.23,15.46,6202600,15.19
2013-11-26,15.50,15.60,15.27,15.32,8660100,15.05
2013-11-25,15.51,15.69,15.42,15.50,6766700,15.22
2013-11-22,15.49,15.60,15.43,15.48,7120000,15.20
2013-11-21,15.22,15.60,15.07,15.50,11845400,15.22
2013-11-20,15.39,15.48,14.87,15.10,20029500,14.83
2013-11-19,15.47,15.66,15.28,15.34,15970200,15.07
2013-11-18,15.57,15.67,15.39,15.49,11009100,15.21
2013-11-15,15.72,15.88,15.47,15.57,13757900,15.29
2013-11-14,15.93,15.99,15.69,15.75,7983700,15.47
2013-11-13,15.70,15.92,15.70,15.92,6778200,15.64
2013-11-12,15.81,15.97,15.70,15.83,4451300,15.55
2013-11-11,15.75,15.95,15.68,15.88,6132100,15.60
2013-11-08,15.54,15.77,15.51,15.73,7094200,15.45
2013-11-07,16.09,16.15,15.46,15.50,7281200,15.22
2013-11-06,16.18,16.18,15.92,16.05,5385000,15.76
2013-11-05,16.07,16.17,15.87,16.08,5415700,15.79
2013-11-04,16.20,16.34,16.09,16.18,4921900,15.89
2013-11-01,16.47,16.67,15.97,16.18,9471000,15.89
2013-10-31,15.78,16.23,15.78,16.13,6996900,15.84
2013-10-30,16.13,16.17,15.59,15.75,8086400,15.47
2013-10-29,16.09,16.22,16.01,16.11,5196900,15.82
2013-10-28,15.98,16.20,15.96,16.07,4137800,15.78
2013-10-25,16.10,16.13,15.84,16.01,4324900,15.73
2013-10-24,15.75,16.07,15.74,16.05,5961100,15.76
2013-10-23,15.86,15.95,15.68,15.75,8657900,15.47
2013-10-22,16.08,16.26,15.98,16.08,7023900,15.79
2013-10-21,16.04,16.05,15.86,15.98,5088900,15.70
2013-10-18,15.66,15.92,15.63,15.91,4869200,15.63
2013-10-17,15.55,15.73,15.44,15.61,5679400,15.33
2013-10-16,15.14,15.71,15.13,15.58,10636300,15.30
2013-10-15,15.06,15.22,14.95,15.06,6413800,14.79
2013-10-14,14.87,15.17,14.83,15.14,6000400,14.87
2013-10-11,14.83,15.00,14.72,14.92,5741400,14.65
2013-10-10,14.68,14.99,14.63,14.91,5383500,14.64
2013-10-09,14.48,14.57,14.22,14.49,7065000,14.23
2013-10-08,14.81,14.97,14.38,14.44,6276300,14.18
2013-10-07,14.68,14.92,14.67,14.84,5646000,14.58
2013-10-04,14.80,14.89,14.71,14.80,7462200,14.54
2013-10-03,15.06,15.20,14.78,14.81,8504700,14.55
2013-10-02,14.75,15.23,14.60,15.14,9660500,14.87
2013-10-01,14.65,14.84,14.57,14.80,5829700,14.54
2013-09-30,14.48,14.75,14.37,14.65,6633900,14.39
2013-09-27,14.67,14.73,14.51,14.59,4266400,14.33
2013-09-26,14.81,14.94,14.65,14.77,4577900,14.51
2013-09-25,14.77,14.85,14.67,14.76,5037000,14.50
2013-09-24,14.84,14.98,14.77,14.87,15690200,14.49
