Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,96.20,96.25,94.93,95.75,1194000,95.75
2014-03-27,96.03,96.93,95.43,96.20,1274000,96.20
2014-03-26,96.70,97.21,95.84,95.92,1498300,95.92
2014-03-25,95.76,96.34,95.45,96.11,1157400,96.11
2014-03-24,96.47,97.42,95.69,96.14,1270200,95.48
2014-03-21,97.03,97.48,96.15,96.30,1325000,95.64
2014-03-20,95.29,96.22,94.55,96.17,1391300,95.51
2014-03-19,96.44,96.98,95.24,95.65,1749500,94.99
2014-03-18,96.38,96.49,95.75,96.44,1122000,95.78
2014-03-17,96.08,96.72,95.67,96.39,821700,95.73
2014-03-14,95.45,96.50,95.23,95.92,2372700,95.26
2014-03-13,94.67,96.21,94.61,95.54,1741300,94.88
2014-03-12,93.61,94.62,93.60,94.58,860200,93.93
2014-03-11,94.15,94.39,93.00,93.96,1384700,93.31
2014-03-10,93.32,94.18,93.08,94.16,1309700,93.51
2014-03-07,93.44,93.68,92.81,93.67,880700,93.03
2014-03-06,94.04,94.16,93.38,93.61,1027900,92.97
2014-03-05,94.36,94.60,93.39,93.66,1118300,93.02
2014-03-04,94.82,95.22,94.49,94.94,932900,94.29
2014-03-03,94.13,94.76,93.93,94.08,1093900,93.43
2014-02-28,94.27,94.75,93.89,94.47,1056800,93.82
2014-02-27,92.56,95.84,92.00,94.10,2792700,93.45
2014-02-26,93.17,93.62,91.02,92.30,1411900,91.67
2014-02-25,92.80,93.94,92.54,93.08,1124500,92.44
2014-02-24,93.24,94.24,92.56,92.57,1103100,91.93
2014-02-21,93.18,93.75,92.96,93.00,1151600,92.36
2014-02-20,92.79,93.45,92.45,92.93,961200,92.29
2014-02-19,93.44,94.54,92.61,92.63,1422900,91.99
2014-02-18,93.22,93.88,93.22,93.42,1062100,92.78
2014-02-14,92.94,93.19,92.34,93.15,1003100,92.51
2014-02-13,92.01,92.94,91.78,92.90,1656600,92.26
2014-02-12,92.91,93.45,92.11,92.43,2603600,91.80
2014-02-11,92.68,94.34,92.63,93.50,2467800,92.86
2014-02-10,92.03,92.89,91.54,92.68,1212600,92.04
2014-02-07,91.56,92.60,90.86,92.24,1004500,91.61
2014-02-06,90.38,91.44,89.87,91.23,1054400,90.60
2014-02-05,90.70,90.84,90.06,90.48,1498800,89.86
2014-02-04,92.33,92.33,90.83,91.15,1314400,90.52
2014-02-03,92.87,94.44,91.69,91.95,1514200,91.32
2014-01-31,90.84,92.94,90.71,92.71,1956700,92.07
2014-01-30,90.69,91.80,90.53,91.50,968400,90.87
2014-01-29,89.94,90.52,89.94,90.22,2082400,89.60
2014-01-28,90.20,90.80,89.93,90.20,1484300,89.58
2014-01-27,90.51,90.83,89.93,90.06,1216900,89.44
2014-01-24,91.47,92.19,90.26,90.28,1490100,89.66
2014-01-23,92.43,92.60,91.50,92.21,812200,91.58
2014-01-22,92.80,93.53,92.67,92.81,880900,92.17
2014-01-21,92.28,92.97,91.78,92.93,700900,92.29
2014-01-17,92.33,92.45,91.73,91.95,650900,91.32
2014-01-16,92.05,92.19,91.32,92.14,672000,91.51
2014-01-15,91.88,92.75,91.78,92.00,1486800,91.37
2014-01-09,89.91,90.35,89.77,90.33,1275400,89.71
2014-01-08,90.36,90.64,89.56,89.74,2138200,89.12
2014-01-07,89.13,90.62,89.13,90.50,1472500,89.88
2014-01-06,87.03,89.24,86.73,89.16,1614000,88.55
2014-01-03,88.41,89.15,88.11,88.80,1177200,88.19
2014-01-02,89.55,89.67,88.13,88.44,1327200,87.83
2013-12-31,89.69,89.99,89.54,89.76,892200,89.14
2013-12-30,89.25,89.76,88.97,89.49,1081100,88.88
2013-12-27,89.50,89.50,88.69,89.19,669700,88.58
2013-12-26,89.55,89.82,89.06,89.45,1700300,88.21
2013-12-24,88.79,89.63,88.46,89.46,729200,88.22
2013-12-23,89.99,90.00,88.66,88.97,1378900,87.74
2013-12-20,88.46,90.42,88.46,89.80,1926900,88.56
2013-12-19,87.91,88.44,87.11,88.31,949900,87.09
2013-12-18,87.37,88.47,86.00,88.44,2059600,87.21
2013-12-17,87.18,87.31,86.41,87.25,1173600,86.04
2013-12-16,86.91,87.44,86.56,86.90,517900,85.70
2013-12-13,86.71,86.95,86.23,86.49,513500,85.29
2013-12-12,86.82,87.68,86.56,86.61,811700,85.41
2013-12-11,87.87,87.88,86.73,86.84,914200,85.64
2013-12-10,87.80,88.49,87.26,87.88,1781300,86.66
2013-12-09,88.01,88.20,87.28,87.74,892700,86.52
2013-12-06,87.86,88.67,87.44,88.07,1145700,86.85
2013-12-05,87.76,87.95,87.13,87.38,800600,86.17
