Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,39.18,39.42,38.93,39.03,2976200,39.03
2014-03-27,39.65,39.87,38.74,38.96,3439400,38.96
2014-03-26,40.53,40.64,39.57,39.58,2826700,39.58
2014-03-25,40.42,40.45,40.06,40.38,2407600,40.38
2014-03-24,40.44,40.92,40.09,40.23,2454500,40.23
2014-03-21,40.60,41.26,40.31,40.36,5836600,40.36
2014-03-20,39.39,40.50,39.39,40.19,3738500,40.19
2014-03-19,39.21,40.05,38.97,39.58,4241100,39.58
2014-03-18,39.24,39.29,38.97,39.28,1831200,39.28
2014-03-17,38.90,39.24,38.73,39.15,2224200,39.15
2014-03-14,38.55,38.94,38.36,38.62,2208100,38.62
2014-03-13,39.22,39.42,38.56,38.66,2380800,38.66
2014-03-12,38.96,39.08,38.62,39.07,2142700,39.07
2014-03-11,39.60,39.66,38.94,39.13,2351800,39.13
2014-03-10,39.59,39.59,38.95,39.54,2607300,39.54
2014-03-07,39.28,39.82,39.25,39.74,3601800,39.74
2014-03-06,38.72,39.18,38.58,38.91,2347400,38.91
2014-03-05,38.20,38.74,38.14,38.56,2941100,38.56
2014-03-04,37.55,38.32,37.53,38.21,3281900,38.21
2014-03-03,37.28,37.38,37.03,37.21,2183200,37.21
2014-02-28,37.41,37.97,37.18,37.68,3473900,37.68
2014-02-27,37.29,37.59,37.13,37.59,1690300,37.59
2014-02-26,37.31,37.41,36.98,37.36,2733500,37.36
2014-02-25,37.56,37.57,37.17,37.30,2631000,37.20
2014-02-24,37.24,38.04,37.22,37.59,3054700,37.49
2014-02-21,37.12,37.50,37.06,37.22,2271600,37.12
2014-02-20,36.96,37.25,36.64,37.08,2810000,36.98
2014-02-19,37.52,37.62,36.80,36.92,2909800,36.82
2014-02-18,37.88,37.89,37.38,37.66,1657600,37.56
2014-02-14,37.47,37.85,37.43,37.84,2271900,37.74
2014-02-13,36.83,37.45,36.71,37.44,4028100,37.34
2014-02-12,38.36,38.70,37.03,37.13,7229300,37.03
2014-02-11,37.80,38.35,37.61,38.30,3366000,38.20
2014-02-10,37.96,38.07,37.47,37.97,2835900,37.87
2014-02-07,37.82,38.34,37.68,38.05,3919300,37.95
2014-02-06,36.97,37.73,36.85,37.70,3035300,37.60
2014-02-05,36.54,37.10,36.38,36.88,4916400,36.78
2014-02-04,36.66,37.04,36.47,36.89,4702500,36.79
2014-02-03,37.09,37.21,36.23,36.40,5949800,36.30
2014-01-31,37.29,37.49,36.95,37.02,3707800,36.92
2014-01-30,38.00,38.02,37.48,37.81,2138700,37.71
2014-01-29,37.99,38.30,37.43,37.55,3722100,37.45
2014-01-28,38.10,38.30,37.79,38.04,3333400,37.94
2014-01-27,38.03,38.26,37.74,37.85,3737900,37.75
2014-01-24,38.92,38.92,38.03,38.05,4326100,37.95
2014-01-23,39.59,39.62,38.88,39.17,4256700,39.06
2014-01-22,40.00,40.21,39.71,39.86,3217400,39.75
2014-01-21,39.54,40.00,39.38,39.87,5941300,39.76
2014-01-17,39.49,40.00,38.74,39.34,8447300,39.23
2014-01-16,38.20,38.28,37.85,38.01,3298500,37.91
2014-01-15,38.20,38.55,38.20,38.44,3217000,38.34
2014-01-14,38.17,38.30,37.62,38.18,5108600,38.08
2014-01-09,37.48,38.07,37.46,38.01,4915800,37.91
2014-01-08,37.04,37.33,36.82,37.27,5409600,37.17
2014-01-07,37.40,37.44,36.80,36.97,4046800,36.87
2014-01-06,36.83,37.28,36.80,36.80,3394900,36.70
2014-01-03,36.53,36.81,36.40,36.55,1922300,36.45
2014-01-02,36.82,36.86,36.49,36.52,2241400,36.42
2013-12-31,36.73,36.88,36.52,36.81,1840700,36.71
2013-12-30,36.64,36.73,36.46,36.59,1736700,36.49
2013-12-27,36.77,36.80,36.55,36.61,1165500,36.51
2013-12-26,36.75,36.83,36.65,36.71,1306200,36.61
2013-12-24,36.71,36.94,36.68,36.77,872600,36.67
2013-12-23,36.50,36.90,36.43,36.76,2269200,36.66
2013-12-20,36.32,36.61,36.06,36.39,4033200,36.29
2013-12-19,35.67,36.33,35.58,36.11,3357700,36.01
2013-12-18,35.24,35.84,34.90,35.81,4101800,35.71
2013-12-17,35.30,35.41,35.06,35.26,2407500,35.17
2013-12-16,35.21,35.50,35.09,35.35,3082700,35.26
2013-12-13,35.12,35.21,34.83,34.99,2574200,34.90
2013-12-12,35.11,35.35,35.01,35.11,3334200,35.02
2013-12-11,35.63,35.64,35.10,35.20,4799600,35.11
2013-12-10,35.47,35.71,35.28,35.51,3796900,35.41
2013-12-09,35.60,35.69,35.42,35.55,3142500,35.45
2013-12-06,35.54,35.62,35.07,35.45,4140300,35.35
2013-12-05,35.08,35.32,34.89,35.03,2953400,34.94
2013-12-04,34.93,35.60,34.93,35.09,6752900,35.00
2013-12-03,35.96,36.29,35.35,35.43,5394300,35.34
2013-12-02,36.31,36.51,35.94,36.00,2416400,35.90
2013-11-29,36.47,36.60,36.18,36.23,1062900,36.13
2013-11-27,36.54,36.64,36.37,36.44,1490900,36.34
2013-11-26,36.60,36.69,36.37,36.48,2852600,36.38
2013-11-25,36.56,36.99,36.43,36.56,4408200,36.36
2013-11-22,35.85,36.42,35.63,36.41,3051200,36.21
2013-11-21,35.98,36.14,35.79,35.85,5123800,35.66
2013-11-20,35.89,36.05,35.60,35.83,2443300,35.64
2013-11-19,35.87,36.18,35.52,35.73,3594500,35.54
2013-11-18,36.03,36.28,35.90,35.96,3666100,35.77
2013-11-15,36.06,36.16,35.90,36.03,2504800,35.84
2013-11-14,35.92,36.03,35.55,35.95,3748100,35.76
2013-11-13,35.09,35.46,34.97,35.43,2907800,35.24
2013-11-12,35.69,35.72,35.02,35.14,3339700,34.95
2013-11-11,35.64,35.95,35.59,35.70,3663100,35.51
2013-11-08,34.41,35.81,34.34,35.72,5588700,35.53
2013-11-07,34.32,34.49,34.13,34.30,5910800,34.11
2013-11-06,34.00,34.20,33.74,34.18,2582800,34.00
2013-11-05,33.64,34.04,33.57,33.85,2151300,33.67
2013-11-04,33.84,33.92,33.58,33.79,3480000,33.61
