Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,64.91,65.45,64.55,64.78,1307200,64.78
2014-03-27,64.99,65.16,63.43,64.62,2037000,64.62
2014-03-26,65.75,66.05,65.19,65.20,1494500,64.93
2014-03-25,65.68,66.03,64.67,65.34,1559900,65.07
2014-03-24,67.13,67.13,64.72,65.51,1924500,65.24
2014-03-21,67.18,67.18,65.43,65.62,3699900,65.35
2014-03-20,67.02,67.10,65.97,66.40,1719800,66.13
2014-03-19,67.31,67.74,66.57,67.04,1343700,66.76
2014-03-18,66.61,67.40,66.52,67.26,1142700,66.98
2014-03-17,65.75,66.60,65.75,66.36,1478000,66.09
2014-03-14,65.96,66.58,65.23,65.35,1931900,65.08
2014-03-13,67.12,67.12,65.84,65.97,2254900,65.70
2014-03-12,66.39,66.98,66.30,66.96,1533500,66.68
2014-03-11,66.56,67.37,66.31,66.46,1439100,66.18
2014-03-10,66.90,67.03,66.21,66.50,2691100,66.22
2014-03-07,68.40,68.55,66.75,67.07,2844900,66.79
2014-03-06,68.04,68.79,67.95,67.97,1616600,67.69
2014-03-05,68.30,68.30,67.33,68.12,1846000,67.84
2014-03-04,67.73,68.60,67.73,68.48,1464600,68.20
2014-03-03,66.67,67.33,66.63,67.00,1395200,66.72
2014-02-28,67.86,67.99,66.70,67.32,2174700,67.04
2014-02-27,67.82,68.25,67.47,68.00,1117400,67.72
2014-02-26,67.69,68.23,67.53,67.74,2047500,67.46
2014-02-25,67.83,67.96,67.21,67.44,1200900,67.16
2014-02-24,67.23,68.25,67.05,67.72,1648100,67.44
2014-02-21,67.93,68.02,67.19,67.25,1755100,66.97
2014-02-20,66.99,68.03,66.46,67.93,2246700,67.65
2014-02-19,67.14,67.45,66.66,66.98,1883000,66.70
2014-02-18,66.61,67.47,66.10,67.25,1740400,66.97
2014-02-14,66.19,66.60,65.90,66.47,2072000,66.19
2014-02-13,65.00,66.17,64.66,66.16,2372700,65.89
2014-02-12,64.11,65.46,64.11,65.31,3169900,65.04
2014-02-11,63.43,64.17,62.92,64.03,2702200,63.76
2014-02-10,64.30,64.66,63.39,63.59,4028200,63.33
2014-02-07,62.00,62.65,61.25,62.00,5083400,61.74
2014-02-06,60.07,60.89,60.05,60.50,2077100,60.25
2014-02-05,59.61,60.52,59.16,60.12,1864100,59.87
2014-02-04,59.60,60.09,59.53,59.92,2087100,59.67
2014-02-03,60.57,60.58,59.21,59.40,2165600,59.15
2014-01-31,60.59,61.22,60.27,60.73,3156400,60.48
2014-01-30,61.65,61.99,61.18,61.25,4060600,61.00
2014-01-29,61.44,61.90,60.70,60.99,1820800,60.74
2014-01-28,61.41,62.30,61.41,61.88,2549100,61.62
2014-01-27,62.77,62.77,61.13,61.35,2779000,61.10
2014-01-24,63.47,64.07,62.10,62.11,2714000,61.85
2014-01-23,64.25,64.59,63.44,63.79,3306900,63.53
2014-01-22,66.00,66.10,63.85,64.98,4402500,64.71
2014-01-21,66.16,66.65,65.68,65.96,3623200,65.69
2014-01-17,67.01,67.10,65.85,65.90,2540800,65.63
2014-01-16,65.93,67.18,65.93,66.80,2028600,66.52
2014-01-15,66.15,66.46,65.85,65.90,3448100,65.63
2014-01-14,66.80,66.83,65.88,66.15,3730400,65.88
2014-01-09,64.88,65.72,64.44,65.34,3334700,65.07
2014-01-08,64.91,65.55,64.63,65.40,3623700,65.13
2014-01-07,65.21,65.55,64.74,64.90,4722800,64.63
2014-01-06,62.78,64.15,62.18,63.64,5594100,63.38
2014-01-03,61.71,62.00,61.10,61.19,2675000,60.94
2014-01-02,61.70,62.22,61.48,61.71,2001900,61.45
2013-12-31,62.08,62.26,61.76,61.95,1860700,61.69
2013-12-30,62.23,62.44,61.77,61.94,1718600,61.68
2013-12-27,62.76,63.00,62.07,62.25,1532400,61.99
2013-12-26,62.62,63.15,61.73,62.74,1702100,62.23
2013-12-24,62.36,62.92,62.25,62.51,531400,62.00
2013-12-23,61.95,62.53,61.75,62.43,1989900,61.92
2013-12-20,60.99,61.93,60.83,61.89,3616500,61.39
2013-12-19,60.15,61.12,60.05,60.82,2198400,60.33
2013-12-18,59.05,60.78,58.87,60.51,3592800,60.02
2013-12-17,58.60,59.63,58.48,59.42,2167600,58.94
2013-12-16,58.92,59.56,58.92,59.04,2470900,58.56
2013-12-13,57.92,58.21,57.32,57.99,2379600,57.52
2013-12-12,58.74,58.97,57.30,58.01,2784700,57.54
