Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,23.60,23.73,23.43,23.54,628800,23.54
2014-03-27,23.43,23.59,23.38,23.56,392400,23.56
2014-03-26,23.68,23.76,23.44,23.46,452600,23.46
2014-03-25,23.48,23.64,23.37,23.58,423900,23.58
2014-03-24,23.55,23.67,23.26,23.38,658700,23.38
2014-03-21,23.70,23.84,23.41,23.45,1191200,23.45
2014-03-20,23.75,23.76,23.57,23.63,609900,23.63
2014-03-19,23.95,24.00,23.71,23.78,820900,23.78
2014-03-18,23.83,24.09,23.74,23.97,789900,23.97
2014-03-17,23.79,23.90,23.64,23.82,946600,23.82
2014-03-14,23.41,23.85,23.41,23.74,696500,23.74
2014-03-13,23.45,23.55,23.33,23.42,886000,23.42
2014-03-12,23.24,23.41,23.20,23.40,794400,23.40
2014-03-11,23.63,23.70,23.20,23.26,666200,23.26
2014-03-10,23.55,23.68,23.48,23.61,421600,23.61
2014-03-07,23.61,23.71,23.39,23.62,587100,23.62
2014-03-06,23.84,23.84,23.57,23.60,609100,23.60
2014-03-05,24.01,24.01,23.61,23.80,593300,23.80
2014-03-04,23.62,24.01,23.62,23.99,914900,23.99
2014-03-03,23.70,23.74,23.42,23.45,386500,23.45
2014-02-28,23.51,23.85,23.42,23.75,433200,23.75
2014-02-27,23.54,23.66,23.41,23.47,411500,23.47
2014-02-26,23.67,23.69,23.46,23.54,569200,23.54
2014-02-25,23.46,23.68,23.40,23.63,624300,23.63
2014-02-24,23.66,23.76,23.43,23.43,924800,23.43
2014-02-21,23.67,23.85,23.59,23.69,759800,23.69
2014-02-20,23.77,24.06,23.29,23.71,1227000,23.71
2014-02-19,23.67,23.89,23.46,23.47,704900,23.47
2014-02-18,23.95,24.04,23.75,23.89,1009600,23.71
2014-02-14,23.74,24.02,23.74,23.96,557200,23.78
2014-02-13,23.53,23.84,23.46,23.82,544200,23.64
2014-02-12,23.57,23.71,23.54,23.67,632300,23.49
2014-02-11,23.29,23.62,23.27,23.60,386100,23.42
2014-02-10,23.19,23.43,23.06,23.30,437500,23.12
2014-02-07,23.08,23.39,22.98,23.38,755800,23.20
2014-02-06,22.94,23.07,22.82,23.02,629800,22.85
2014-02-05,23.05,23.21,22.88,22.94,898300,22.77
2014-02-04,23.04,23.19,22.90,23.08,1284600,22.91
