Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,68.33,69.17,68.25,68.99,2526900,68.99
2014-03-27,68.54,68.86,67.27,68.49,4525300,68.23
2014-03-26,70.64,70.72,68.64,68.64,3182200,68.38
2014-03-25,70.36,70.53,69.36,70.16,2990800,69.89
2014-03-24,69.21,70.77,69.18,70.21,5065600,69.94
2014-03-21,68.87,69.99,68.50,68.81,6591500,68.55
2014-03-20,66.01,68.46,65.95,68.00,3823500,67.74
2014-03-19,65.34,66.77,64.79,66.15,3253600,65.90
2014-03-18,65.45,65.84,65.16,65.34,2288400,65.09
2014-03-17,65.22,66.09,65.22,65.44,2013200,65.19
2014-03-14,64.50,65.13,64.21,64.73,2164400,64.48
2014-03-13,66.54,66.59,64.42,64.48,4026600,64.24
2014-03-12,66.20,66.62,65.97,66.16,2357100,65.91
2014-03-11,67.93,68.16,66.66,66.83,2628800,66.58
2014-03-10,68.05,68.45,67.97,68.20,1426700,67.94
2014-03-07,68.11,68.78,68.11,68.14,2833900,67.88
2014-03-06,66.89,68.16,66.63,67.73,3306900,67.47
2014-03-05,66.59,66.81,66.03,66.50,2100500,66.25
2014-03-04,65.97,66.78,65.93,66.41,2620800,66.16
2014-03-03,65.09,65.38,64.43,65.20,2822100,64.95
2014-02-28,65.37,66.53,65.37,65.67,7469500,65.42
2014-02-27,67.31,68.40,67.05,67.39,3414500,67.13
2014-02-26,67.99,68.46,67.27,67.41,3216100,67.15
2014-02-25,69.01,69.02,67.73,67.87,2246200,67.61
2014-02-24,67.19,69.73,67.06,69.07,2339900,68.81
2014-02-21,68.95,69.03,67.75,68.52,2970900,68.26
2014-02-20,68.13,68.22,67.03,67.82,1868500,67.56
2014-02-19,67.71,68.93,67.58,68.05,2938100,67.79
2014-02-18,67.92,68.44,67.92,68.22,3031200,67.96
2014-02-14,68.40,68.87,68.25,68.81,2638100,68.55
2014-02-13,68.15,68.92,68.03,68.50,2540100,68.24
2014-02-12,68.84,69.31,68.57,68.80,1670400,68.54
2014-02-11,68.14,69.07,67.88,68.75,1651000,68.49
2014-02-10,68.12,68.32,67.74,68.16,2665300,67.90
2014-02-07,66.34,68.30,66.30,68.23,3716500,67.97
2014-02-06,64.56,66.04,64.45,65.92,2327200,65.67
2014-02-05,65.40,65.67,64.30,64.34,3961200,64.10
2014-02-04,65.01,66.04,64.56,65.46,2955200,65.21
2014-02-03,66.94,67.24,64.49,64.60,5548400,64.35
2014-01-31,67.07,67.64,66.74,66.95,3857600,66.70
2014-01-30,68.34,68.65,68.03,68.24,3081900,67.98
2014-01-29,68.04,68.48,67.38,67.60,4065500,67.34
2014-01-28,69.53,69.53,68.15,68.88,3583300,68.62
2014-01-27,69.36,69.81,68.12,68.30,4251200,68.04
2014-01-24,67.82,70.60,66.66,69.52,5336800,69.26
2014-01-23,74.56,74.56,72.54,72.76,2607400,72.48
2014-01-22,74.43,75.34,74.43,75.15,1868200,74.86
2014-01-21,73.78,74.66,73.71,74.17,1866400,73.89
2014-01-17,73.75,74.61,73.38,73.50,2353500,73.22
2014-01-16,74.05,74.24,73.49,73.72,1281500,73.44
2014-01-15,73.73,74.46,73.42,74.32,2084700,74.04
2014-01-14,73.27,73.64,72.87,73.47,1514100,73.19
2014-01-09,75.39,75.66,74.83,75.35,1298800,75.06
2014-01-08,75.18,75.20,74.34,75.05,1508700,74.77
2014-01-07,75.19,75.66,74.92,75.24,1521800,74.95
2014-01-06,74.99,76.24,74.53,74.69,2520800,74.41
2014-01-03,73.17,74.99,73.17,74.70,2059500,74.42
2014-01-02,73.35,73.56,72.92,73.16,1733400,72.88
2013-12-31,72.82,73.43,72.82,73.39,976100,73.11
2013-12-30,72.67,72.94,72.41,72.66,1086700,72.38
2013-12-27,72.68,73.09,72.51,72.96,968400,72.68
2013-12-26,72.56,72.89,72.27,72.73,942900,72.45
2013-12-24,72.15,72.39,71.97,72.23,453700,71.96
2013-12-23,72.02,72.69,71.83,72.21,1369300,71.94
2013-12-20,69.85,71.93,69.85,71.55,3474300,71.28
2013-12-19,71.20,71.43,70.76,71.03,1667300,70.76
2013-12-18,69.74,71.46,69.09,71.43,2119300,71.16
2013-12-17,70.03,70.27,69.33,69.59,1393000,69.33
2013-12-16,70.16,70.69,69.86,70.02,2303500,69.75
2013-12-13,70.43,70.67,69.64,69.73,1716100,69.47
2013-12-12,70.47,70.77,70.17,70.21,1751000,69.94
2013-12-11,71.48,71.60,70.24,70.37,2164500,70.10
2013-12-10,71.55,72.01,71.26,71.35,1725200,71.08
2013-12-09,71.66,72.27,71.53,71.82,1874300,71.55
2013-12-06,71.24,71.44,70.63,71.23,1850400,70.96
