Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,82.35,83.60,82.19,83.21,970900,83.21
2014-03-27,82.36,82.75,81.79,82.06,1175600,82.06
2014-03-26,82.62,83.52,82.25,82.28,959500,82.28
2014-03-25,82.10,82.99,81.81,82.43,1160700,82.43
2014-03-24,83.48,83.71,80.95,81.21,1311700,81.21
2014-03-21,83.03,84.22,82.67,83.06,2451100,83.06
2014-03-20,81.59,82.70,80.85,82.47,884400,82.47
2014-03-19,82.80,83.09,81.37,81.68,1228800,81.68
2014-03-18,82.11,83.01,81.79,82.77,1217100,82.77
2014-03-17,81.69,82.16,81.51,81.86,1000900,81.86
2014-03-14,82.07,83.51,82.07,82.50,1301800,82.50
2014-03-13,83.36,83.48,81.92,82.27,985000,82.27
2014-03-12,82.08,83.42,81.74,83.11,899300,83.11
2014-03-11,84.14,84.19,82.33,82.54,986900,82.54
2014-03-10,83.84,84.33,83.26,83.95,1112000,83.95
2014-03-07,83.85,83.92,83.25,83.91,975300,83.91
2014-03-06,82.96,83.92,82.66,83.85,1102300,83.85
2014-03-05,82.31,83.21,82.12,82.73,2195600,82.73
2014-03-04,81.69,82.74,81.68,82.51,1221200,82.51
2014-03-03,80.77,81.24,80.22,81.15,1751500,81.15
2014-02-28,81.59,82.21,80.67,81.03,1252000,81.03
2014-02-27,81.94,82.01,81.18,81.39,911800,81.39
2014-02-26,82.20,82.84,81.34,81.88,1283700,81.88
2014-02-25,81.09,82.54,81.02,82.07,1272300,82.07
2014-02-24,80.54,81.83,80.52,81.08,1070300,81.08
2014-02-21,80.63,81.00,79.97,80.35,1026300,80.35
2014-02-20,80.17,81.00,80.06,80.60,1016400,80.60
2014-02-19,80.15,80.94,79.71,80.02,1083500,80.02
2014-02-18,79.70,80.68,79.51,80.17,1242100,80.17
2014-02-14,79.64,80.22,78.92,79.37,1383900,79.37
2014-02-13,78.60,79.64,78.41,79.44,1562700,79.44
2014-02-12,78.76,79.43,78.40,79.00,1194200,79.00
2014-02-11,77.42,78.83,77.24,78.78,1322400,78.78
2014-02-10,77.84,77.89,76.29,77.07,1051300,77.07
2014-02-07,77.98,78.04,76.74,77.50,1239700,77.50
2014-02-06,75.73,77.69,75.61,77.59,1163300,77.59
2014-02-05,75.94,75.96,74.69,75.47,1454900,75.47
2014-02-04,75.69,76.83,75.56,76.48,1214600,76.48
2014-02-03,76.30,76.97,75.41,75.56,1597800,75.56
2014-01-31,76.04,77.08,75.33,76.67,1841500,76.67
2014-01-30,78.19,78.39,77.00,77.59,1449700,77.59
2014-01-29,77.45,78.32,76.70,77.82,1919100,77.82
2014-01-28,75.81,78.35,75.81,78.23,2251400,78.23
2014-01-27,76.01,76.84,75.44,75.77,1700400,75.77
2014-01-24,76.70,77.02,75.79,75.80,2093400,75.80
2014-01-23,78.01,78.49,77.18,77.24,2023100,77.24
2014-01-22,79.81,80.00,78.06,78.14,2113700,78.14
2014-01-21,80.96,81.01,79.32,79.36,1613900,79.36
2014-01-17,80.48,80.64,79.32,79.54,1580900,79.54
2014-01-16,80.61,81.05,80.18,80.47,934100,80.47
2014-01-15,80.99,81.25,80.10,80.77,1016000,80.77
2014-01-14,80.45,81.56,80.00,80.93,1534100,80.93
2014-01-13,80.19,81.51,79.80,80.06,2025400,80.06
2014-01-09,76.95,78.06,76.62,77.45,2750100,77.45
2014-01-08,74.81,78.40,74.61,76.61,8367500,76.61
2014-01-07,69.00,70.43,68.78,69.93,1858400,69.93
2014-01-06,69.59,69.72,68.54,68.61,1401600,68.61
2014-01-03,69.55,70.09,69.20,69.39,741700,69.39
2014-01-02,70.02,70.22,68.84,69.24,1070500,69.24
2013-12-31,70.00,70.58,69.83,70.38,907900,70.38
2013-12-30,69.99,70.37,69.49,69.74,1278500,69.74
2013-12-27,70.50,70.53,69.74,70.07,568800,70.07
2013-12-26,69.98,70.32,69.55,70.10,502600,70.10
2013-12-24,69.71,70.03,69.62,69.71,252100,69.71
2013-12-23,69.97,70.16,69.40,69.69,963500,69.69
2013-12-20,69.57,70.16,69.17,69.70,1712800,69.70
2013-12-19,69.80,69.93,69.15,69.48,1386200,69.48
2013-12-18,70.42,70.57,68.17,69.88,2239800,69.88
2013-12-17,70.57,70.76,69.82,70.17,720000,70.17
2013-12-16,69.72,70.94,69.72,70.57,1153500,70.57
2013-12-13,70.24,70.47,69.02,69.32,1215600,69.32
2013-12-12,69.94,70.35,69.41,70.09,1107700,70.09
2013-12-11,71.22,71.62,69.88,70.08,1666600,70.08
2013-12-10,70.49,71.28,70.31,70.98,1397000,70.98
2013-12-09,70.81,71.42,70.60,70.61,797100,70.61
2013-12-06,70.48,71.07,70.45,70.65,1018100,70.65
2013-12-05,71.37,71.37,69.66,70.08,1513000,70.08
2013-12-04,70.78,71.44,70.30,71.28,1237700,71.28
2013-12-03,70.47,71.22,70.35,71.19,848800,71.19
2013-12-02,70.67,71.03,70.27,70.72,720500,70.72
2013-11-29,71.02,71.10,70.23,70.41,280600,70.41
2013-11-27,70.47,71.18,70.22,70.99,636900,70.99
2013-11-26,69.41,70.72,69.25,70.49,1668800,70.49
2013-11-25,70.45,70.90,69.01,69.15,1904700,69.15
2013-11-22,69.43,70.40,69.21,70.36,862600,70.36
2013-11-21,69.03,69.50,68.91,69.35,705300,69.35
2013-11-20,69.09,69.45,68.70,69.02,1141800,69.02
2013-11-19,69.00,69.31,68.83,69.06,947700,69.06
2013-11-18,69.23,69.45,68.94,69.23,1577400,69.23
2013-11-15,68.35,69.79,68.24,69.14,2760900,69.14
2013-11-14,67.52,68.15,67.52,68.07,1193400,68.07
2013-11-13,66.62,67.40,66.36,67.30,1233100,67.30
2013-11-12,66.54,67.08,66.28,67.04,1060100,67.04
2013-11-11,66.69,66.97,66.56,66.70,605400,66.70
2013-11-08,65.65,66.76,65.65,66.76,1428000,66.76
2013-11-07,66.62,66.69,65.49,65.65,1371000,65.65
2013-11-06,66.20,66.61,65.74,66.41,1207800,66.41
2013-11-05,65.45,66.17,65.23,66.07,1067200,66.07
2013-11-04,65.68,65.98,65.25,65.78,963700,65.78
2013-11-01,65.45,65.68,65.09,65.60,1610400,65.60
2013-10-31,64.59,65.42,64.49,65.30,2167000,65.30
2013-10-30,65.67,65.79,64.49,64.69,1093800,64.69
2013-10-29,65.05,65.67,65.05,65.64,1470700,65.64
