Date,Open,High,Low,Close,Volume,Adj Close
2014-02-13,1.04,1.04,1.00,1.01,14000,1.01
2014-02-12,1.01,1.04,1.01,1.04,24000,1.04
2014-02-11,1.00,1.00,1.00,1.00,000,1.00
2014-02-10,1.00,1.00,1.00,1.00,000,1.00
2014-02-07,0.97,1.00,0.97,1.00,14000,1.00
2014-02-06,1.02,1.04,0.97,1.00,66000,1.00
2014-02-05,1.02,1.02,1.02,1.02,000,1.02
2014-02-04,1.03,1.04,0.98,1.02,28000,1.02
2014-02-03,1.01,1.05,1.00,1.03,96000,1.03
2014-01-31,1.01,1.05,0.97,1.00,136000,1.00
2014-01-30,1.00,1.01,0.99,1.01,82000,1.01
2014-01-29,1.01,1.01,1.01,1.01,4000,1.01
2014-01-28,1.00,1.00,1.00,1.00,6000,1.00
2014-01-27,1.00,1.02,1.00,1.00,30000,1.00
2014-01-24,0.01,0.01,0.01,0.01,000,0.01
2014-01-23,0.01,0.01,0.01,0.01,000,0.01
2014-01-22,0.01,0.01,0.01,0.01,000,0.01
2014-01-21,0.01,0.01,0.01,0.01,000,0.01
2014-01-20,0.01,0.01,0.01,0.01,000,0.01
2014-01-17,0.01,0.01,0.01,0.01,000,0.01
2014-01-16,0.01,0.01,0.01,0.01,000,0.01
2014-01-15,0.01,0.01,0.01,0.01,000,0.01
2014-01-14,0.01,0.01,0.01,0.01,000,0.01
2014-01-13,0.01,0.01,0.01,0.01,000,0.01
2014-01-10,0.01,0.01,0.01,0.01,2000,0.01
2014-01-09,0.01,0.01,0.01,0.01,000,0.01
2014-01-08,0.01,0.01,0.01,0.01,000,0.01
2014-01-07,0.01,0.01,0.01,0.01,000,0.01
2014-01-06,0.01,0.01,0.01,0.01,000,0.01
2014-01-03,0.01,0.01,0.01,0.01,000,0.01
2014-01-02,0.01,0.01,0.01,0.01,000,0.01
2014-01-01,0.01,0.01,0.01,0.01,000,0.01
2013-12-31,0.01,0.01,0.01,0.01,000,0.01
2013-12-30,0.01,0.01,0.01,0.01,000,0.01
2013-12-27,0.01,0.01,0.01,0.01,000,0.01
2013-12-26,0.01,0.01,0.01,0.01,000,0.01
2013-12-25,0.01,0.01,0.01,0.01,000,0.01
2013-12-24,0.01,0.01,0.01,0.01,000,0.01
2013-12-23,0.01,0.01,0.01,0.01,000,0.01
2013-12-20,0.01,0.01,0.01,0.01,000,0.01
2013-12-19,0.01,0.01,0.01,0.01,000,0.01
2013-12-18,0.01,0.01,0.01,0.01,000,0.01
2013-12-17,0.01,0.01,0.01,0.01,000,0.01
2013-12-16,0.01,0.01,0.01,0.01,000,0.01
2013-12-13,0.01,0.01,0.01,0.01,5000,0.01
2013-12-12,0.01,0.01,0.01,0.01,000,0.01
2013-12-11,0.01,0.01,0.01,0.01,000,0.01
2013-12-10,0.01,0.01,0.01,0.01,000,0.01
2013-12-09,0.01,0.01,0.01,0.01,000,0.01
2013-12-06,0.01,0.01,0.01,0.01,000,0.01
2013-12-05,0.01,0.01,0.01,0.01,2000,0.01
2013-12-04,0.01,0.01,0.01,0.01,1000,0.01
2013-12-03,0.01,0.01,0.01,0.01,000,0.01
2013-12-02,0.01,0.01,0.01,0.01,3000,0.01
2013-11-29,0.01,0.01,0.01,0.01,000,0.01
2013-11-28,0.01,0.01,0.01,0.01,000,0.01
2013-11-27,0.01,0.01,0.01,0.01,000,0.01
2013-11-26,0.01,0.01,0.01,0.01,000,0.01
2013-11-25,0.01,0.01,0.01,0.01,000,0.01
2013-11-22,0.01,0.01,0.01,0.01,000,0.01
2013-11-21,0.01,0.01,0.01,0.01,000,0.01
2013-11-20,0.01,0.01,0.01,0.01,000,0.01
2013-11-19,0.01,0.01,0.01,0.01,000,0.01
2013-11-18,0.01,0.01,0.01,0.01,000,0.01
2013-11-15,0.01,0.01,0.01,0.01,000,0.01
2013-11-14,0.01,0.01,0.01,0.01,000,0.01
2013-11-13,0.01,0.01,0.01,0.01,000,0.01
2013-11-12,0.01,0.01,0.01,0.01,000,0.01
2013-11-11,0.01,0.01,0.01,0.01,000,0.01
2013-11-08,0.01,0.01,0.01,0.01,000,0.01
2013-11-07,0.01,0.01,0.01,0.01,000,0.01
2013-11-06,0.01,0.01,0.01,0.01,000,0.01
2013-11-05,0.01,0.01,0.01,0.01,000,0.01
2013-11-04,0.01,0.01,0.01,0.01,000,0.01
2013-11-01,0.01,0.01,0.01,0.01,000,0.01
2013-10-31,0.01,0.01,0.01,0.01,000,0.01
2013-10-30,0.01,0.01,0.01,0.01,000,0.01
2013-10-29,0.01,0.01,0.01,0.01,000,0.01
2013-10-28,0.01,0.01,0.01,0.01,000,0.01
2013-10-25,0.01,0.01,0.01,0.01,000,0.01
2013-10-24,0.01,0.01,0.01,0.01,000,0.01
2013-10-23,0.01,0.01,0.01,0.01,000,0.01
