Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,6.62,6.76,6.62,6.75,2421800,6.75
2014-03-27,6.58,6.64,6.51,6.63,3431300,6.63
2014-03-26,6.60,6.71,6.56,6.57,2074500,6.57
2014-03-25,6.74,6.79,6.46,6.63,2516400,6.63
2014-03-24,6.74,6.80,6.54,6.69,3368000,6.69
2014-03-21,6.79,6.92,6.74,6.76,6681800,6.76
2014-03-20,6.62,6.80,6.62,6.72,2319100,6.72
2014-03-19,6.80,6.80,6.62,6.68,1766700,6.68
2014-03-18,6.71,6.91,6.68,6.81,2812900,6.81
2014-03-17,6.57,6.78,6.52,6.74,2296700,6.74
2014-03-14,6.53,6.59,6.39,6.56,2212000,6.56
2014-03-13,6.69,6.70,6.44,6.53,4525700,6.53
2014-03-12,6.57,6.72,6.45,6.69,2987900,6.69
2014-03-11,6.70,6.74,6.54,6.56,2973400,6.56
2014-03-10,6.62,6.70,6.48,6.66,3011300,6.66
2014-03-07,6.72,7.01,6.60,6.61,5864500,6.61
2014-03-06,6.89,6.97,6.73,6.74,3332200,6.74
2014-03-05,6.95,6.99,6.83,6.86,2751600,6.86
2014-03-04,6.63,6.94,6.61,6.93,5334800,6.93
2014-03-03,6.39,6.63,6.37,6.60,4911100,6.60
2014-02-28,6.43,6.56,6.33,6.47,3267100,6.47
2014-02-27,6.37,6.49,6.33,6.44,1942500,6.44
2014-02-26,6.28,6.40,6.19,6.40,3166400,6.40
2014-02-25,6.15,6.30,6.09,6.22,2085900,6.22
2014-02-24,6.13,6.19,6.05,6.12,2520700,6.12
2014-02-21,6.21,6.24,6.07,6.10,2443600,6.10
2014-02-20,6.06,6.37,6.04,6.17,4697200,6.17
2014-02-19,5.96,6.07,5.95,6.04,3016900,6.04
2014-02-18,5.96,6.02,5.90,5.98,2417200,5.98
2014-02-14,5.96,5.97,5.83,5.91,2374900,5.91
2014-02-13,5.72,5.88,5.65,5.87,4124900,5.87
2014-02-12,5.89,5.91,5.65,5.82,3954000,5.82
2014-02-11,5.80,5.92,5.67,5.89,2947000,5.89
2014-02-10,5.82,5.86,5.70,5.78,3335300,5.78
2014-02-07,5.67,5.84,5.54,5.80,5575000,5.80
2014-02-06,5.55,5.74,5.51,5.65,2643400,5.65
2014-02-05,5.51,5.54,5.38,5.52,5288800,5.52
2014-02-04,5.61,5.61,5.53,5.54,5889800,5.54
2014-02-03,5.75,5.80,5.51,5.62,9914400,5.62
2014-01-31,5.82,5.90,5.73,5.78,5924500,5.78
2014-01-30,6.06,6.07,5.91,5.95,6095600,5.95
2014-01-29,6.07,6.14,6.01,6.03,2792500,6.03
2014-01-28,6.11,6.20,6.02,6.12,3339300,6.12
2014-01-27,6.07,6.21,5.93,6.09,5220800,6.09
2014-01-24,6.18,6.19,5.96,6.07,6821400,6.07
2014-01-23,6.11,6.33,6.03,6.25,4767700,6.25
2014-01-22,6.30,6.30,6.08,6.15,4781100,6.15
2014-01-21,6.31,6.34,6.07,6.27,4786300,6.27
2014-01-17,6.23,6.30,6.15,6.21,2809100,6.21
2014-01-09,7.00,7.10,6.74,6.84,13740600,6.84
2014-01-08,7.06,7.08,6.86,7.03,8641200,7.03
2014-01-07,6.96,7.15,6.88,7.04,5954600,7.04
2014-01-06,7.07,7.17,6.83,6.93,6289800,6.93
2014-01-03,7.28,7.28,7.01,7.13,4202100,7.13
2014-01-02,7.24,7.30,7.05,7.27,5703300,7.27
2013-12-31,6.99,7.30,6.97,7.29,5395400,7.29
2013-12-30,6.88,7.12,6.87,7.00,2937100,7.00
2013-12-27,7.04,7.09,6.88,6.91,1899300,6.91
2013-12-26,7.06,7.25,7.03,7.03,2992700,7.03
2013-12-24,6.85,7.04,6.85,7.03,1070600,7.03
2013-12-23,7.00,7.02,6.84,6.91,2010700,6.91
2013-12-20,6.89,7.04,6.87,7.02,8500200,7.02
2013-12-19,6.75,6.90,6.68,6.87,2819000,6.87
2013-12-18,6.74,6.87,6.58,6.79,4616600,6.79
2013-12-17,6.60,6.72,6.50,6.69,3838400,6.69
2013-12-16,6.39,6.62,6.36,6.59,3227000,6.59
2013-12-13,6.32,6.43,6.25,6.41,1867400,6.41
2013-12-12,6.20,6.38,6.20,6.31,3700700,6.31
2013-12-11,6.20,6.42,6.18,6.21,4675900,6.21
2013-12-10,6.28,6.33,6.11,6.21,3757400,6.21
2013-12-09,6.40,6.45,6.31,6.31,2378100,6.31
2013-12-06,6.43,6.47,6.33,6.36,2088000,6.36
2013-12-05,6.41,6.46,6.31,6.34,2783300,6.34
2013-12-04,6.43,6.62,6.38,6.46,2230000,6.46
2013-12-03,6.46,6.55,6.38,6.45,2739100,6.45
2013-12-02,6.43,6.56,6.31,6.51,3105000,6.51
2013-11-29,6.52,6.52,6.39,6.45,833000,6.45
2013-11-27,6.46,6.53,6.33,6.47,1680300,6.47
2013-11-26,6.32,6.50,6.22,6.47,4219700,6.47
2013-11-25,6.73,6.82,6.32,6.32,3396700,6.32
2013-11-22,6.25,6.77,6.21,6.72,6321200,6.72
2013-11-21,6.18,6.35,6.07,6.27,3976100,6.27
2013-11-20,6.21,6.28,6.13,6.19,3072800,6.19
2013-11-19,6.19,6.33,6.16,6.22,2966900,6.22
2013-11-18,6.64,6.68,6.18,6.28,9934800,6.28
2013-11-15,6.93,7.00,6.81,6.88,2566700,6.88
2013-11-14,7.07,7.16,6.98,6.98,2338800,6.98
2013-11-13,6.79,7.12,6.79,7.10,3719200,7.10
2013-11-12,6.62,6.83,6.60,6.81,2230700,6.81
2013-11-11,6.67,6.70,6.56,6.67,2224700,6.67
2013-11-08,6.62,6.82,6.58,6.68,2509000,6.68
2013-11-07,6.90,6.93,6.50,6.62,7418100,6.62
2013-11-06,7.22,7.23,6.84,6.88,2887600,6.88
2013-11-05,6.99,7.21,6.82,7.18,3784500,7.18
2013-11-04,7.02,7.05,6.94,7.05,1945900,7.05
2013-11-01,7.02,7.12,6.94,6.97,3103600,6.97
2013-10-31,7.05,7.12,6.91,7.03,3844300,7.03
2013-10-30,7.39,7.42,7.05,7.07,3530700,7.07
2013-10-29,7.31,7.38,7.25,7.38,2000200,7.38
2013-10-28,7.44,7.59,7.25,7.28,3711500,7.28
2013-10-25,7.51,7.51,7.39,7.44,3045900,7.44
2013-10-24,7.51,7.55,7.35,7.46,3252000,7.46
2013-10-23,7.16,7.56,7.16,7.52,6488600,7.52
2013-10-22,7.34,7.42,7.14,7.18,4272100,7.18
2013-10-21,7.36,7.53,6.95,7.31,10911200,7.31
2013-10-18,8.17,8.20,7.34,7.39,16064500,7.39
2013-10-17,8.49,8.76,7.88,8.07,16517400,8.07
2013-10-16,8.30,8.40,8.14,8.40,5621400,8.40
2013-10-15,8.34,8.35,8.21,8.27,4846500,8.27
2013-10-14,8.15,8.34,8.06,8.34,4102700,8.34
2013-10-11,7.95,8.21,7.91,8.21,3506600,8.21
2013-10-10,7.86,8.12,7.86,8.01,3133900,8.01
2013-10-09,7.69,7.79,7.55,7.76,2664800,7.76
2013-10-08,7.88,8.03,7.68,7.70,4118000,7.70
2013-10-07,7.93,8.02,7.86,7.91,3156800,7.91
2013-10-04,7.94,8.09,7.91,8.01,1993000,8.01
2013-10-03,8.20,8.23,7.90,7.96,3385200,7.96
2013-10-02,8.18,8.23,8.07,8.20,2759600,8.20
2013-10-01,8.26,8.35,8.02,8.23,4710000,8.23
2013-09-30,8.13,8.36,7.90,8.23,5141200,8.23
2013-09-27,8.26,8.35,8.12,8.24,4869700,8.24
2013-09-26,8.29,8.48,8.19,8.36,2810300,8.36
2013-09-25,8.11,8.46,8.09,8.31,6862000,8.31
2013-09-24,8.02,8.22,8.00,8.13,4878200,8.13
2013-09-23,7.91,8.11,7.82,8.03,3744000,8.03
2013-09-20,7.99,8.14,7.98,8.03,7605600,8.03
2013-09-19,7.85,8.04,7.81,7.92,4434900,7.92
2013-09-18,7.70,7.90,7.47,7.82,3086900,7.82
2013-09-17,7.41,7.76,7.36,7.70,4085600,7.70
2013-09-16,7.61,7.65,7.35,7.39,2282900,7.39
2013-09-13,7.60,7.67,7.47,7.48,2344900,7.48
2013-09-12,7.46,7.54,7.43,7.54,1653200,7.54
2013-09-11,7.66,7.66,7.31,7.41,3408500,7.41
2013-09-10,7.57,7.74,7.53,7.60,2579700,7.60
2013-09-09,7.35,7.57,7.33,7.50,2631700,7.50
2013-09-06,7.44,7.51,7.22,7.33,2068000,7.33
2013-09-05,7.27,7.48,7.25,7.40,3486300,7.40
2013-09-04,7.08,7.28,7.00,7.26,2336900,7.26
2013-09-03,7.25,7.37,7.00,7.10,4500600,7.10
2013-08-30,7.27,7.27,7.10,7.17,3657000,7.17
2013-08-29,7.01,7.32,7.01,7.29,1909800,7.29
2013-08-28,7.08,7.14,7.02,7.02,1901900,7.02
2013-08-27,7.14,7.20,7.03,7.10,4066000,7.10
2013-08-26,7.29,7.29,7.12,7.27,3007900,7.27
2013-08-23,7.41,7.43,7.18,7.29,2312200,7.29
2013-08-22,7.20,7.42,7.20,7.40,3181200,7.40
2013-08-21,7.40,7.47,7.19,7.20,3114100,7.20
2013-08-20,7.18,7.46,7.00,7.44,3825100,7.44
2013-08-19,7.44,7.57,7.19,7.20,3109800,7.20
2013-08-16,7.26,7.47,7.26,7.46,2789000,7.46
2013-08-15,7.67,7.69,7.27,7.30,5063800,7.30
2013-08-14,7.71,7.89,7.65,7.78,2092000,7.78
2013-08-13,7.82,7.83,7.63,7.71,2178700,7.71
2013-08-12,7.78,7.88,7.75,7.83,1703800,7.83
2013-08-09,7.87,7.91,7.76,7.86,2831000,7.86
2013-08-08,7.80,7.93,7.64,7.93,3924900,7.93
2013-08-07,7.87,7.93,7.60,7.76,5405200,7.76
2013-08-06,8.03,8.09,7.87,7.94,9581100,7.94
2013-08-05,8.10,8.15,8.01,8.10,3277100,8.10
2013-08-02,8.05,8.19,8.00,8.14,4505500,8.14
2013-08-01,8.10,8.15,8.00,8.09,6090900,8.09
2013-07-31,8.12,8.20,7.98,8.01,5312100,8.01
2013-07-30,8.07,8.18,7.97,8.10,4028400,8.10
2013-07-29,8.00,8.13,8.00,8.06,4938100,8.06
2013-07-26,8.00,8.06,7.97,8.04,4795700,8.04
2013-07-25,7.88,8.08,7.84,8.07,7686700,8.07
2013-07-24,7.80,7.99,7.78,7.91,5375100,7.91
2013-07-23,7.64,7.75,7.51,7.73,4452800,7.73
2013-07-22,7.42,7.68,7.27,7.62,6538100,7.62
2013-07-19,7.90,7.90,7.34,7.39,9017500,7.39
2013-07-18,7.35,8.26,7.33,7.91,29100400,7.91
2013-07-17,6.86,6.97,6.75,6.77,4622800,6.77
2013-07-16,6.88,6.93,6.83,6.83,4611800,6.83
2013-07-15,6.90,7.00,6.88,6.90,6296100,6.90
2013-07-12,6.96,6.99,6.82,6.91,3117500,6.91
2013-07-11,6.84,7.00,6.84,6.99,3542300,6.99
2013-07-10,6.74,6.97,6.72,6.85,5769200,6.85
2013-07-09,6.88,6.99,6.77,6.79,5183500,6.79
2013-07-08,6.83,6.95,6.78,6.88,5163300,6.88
2013-07-05,6.73,6.84,6.56,6.82,3362600,6.82
2013-07-03,6.67,6.73,6.56,6.71,2040000,6.71
2013-07-02,6.43,6.76,6.39,6.75,4478100,6.75
2013-07-01,6.26,6.46,6.24,6.45,2723500,6.45
2013-06-28,6.17,6.30,6.13,6.22,5610800,6.22
2013-06-27,6.30,6.45,6.17,6.21,3198300,6.21
2013-06-26,6.08,6.30,6.05,6.26,4510100,6.26
2013-06-25,5.94,6.11,5.91,6.03,3380700,6.03
2013-06-24,5.92,6.04,5.76,5.85,6368000,5.85
2013-06-21,6.02,6.20,5.95,5.99,9699000,5.99
2013-06-20,6.27,6.27,5.94,6.02,6412700,6.02
2013-06-19,6.45,6.49,6.24,6.33,4252700,6.33
2013-06-18,6.22,6.57,6.13,6.49,6930300,6.49
2013-06-17,6.34,6.39,6.16,6.22,2796200,6.22
2013-06-14,6.41,6.47,6.21,6.29,1869900,6.29
2013-06-13,6.31,6.41,6.05,6.41,3186800,6.41
2013-06-12,6.48,6.50,6.18,6.18,2639700,6.18
2013-06-11,6.51,6.63,6.40,6.42,2237800,6.42
2013-06-10,6.36,6.60,6.28,6.60,3159200,6.60
2013-06-07,6.29,6.47,6.25,6.33,3047400,6.33
2013-06-06,6.25,6.33,6.10,6.26,4204500,6.26
2013-06-05,6.33,6.40,6.24,6.27,5174000,6.27
2013-06-04,6.51,6.65,6.29,6.37,5340800,6.37
2013-06-03,6.43,6.54,6.32,6.52,5053500,6.52
2013-05-31,6.65,6.70,6.42,6.46,3574800,6.46
2013-05-30,6.58,6.75,6.58,6.65,2707700,6.65
2013-05-29,6.68,6.75,6.56,6.61,3664400,6.61
2013-05-28,6.51,6.77,6.46,6.77,4819300,6.77
2013-05-24,6.45,6.57,6.29,6.45,2751500,6.45
2013-05-23,6.35,6.54,6.21,6.48,5513000,6.48
2013-05-22,6.79,6.95,6.41,6.46,4743100,6.46
2013-05-21,6.82,6.90,6.76,6.80,1946100,6.80
2013-05-20,6.94,7.11,6.73,6.81,4230500,6.81
2013-05-17,6.85,7.10,6.73,6.95,5313100,6.95
2013-05-16,7.00,7.06,6.60,6.69,10261300,6.69
2013-05-15,6.80,7.06,6.78,7.02,7786400,7.02
2013-05-14,6.68,6.91,6.66,6.84,6381200,6.84
2013-05-13,6.43,6.72,6.39,6.70,5296500,6.70
2013-05-10,6.18,6.48,6.13,6.45,3637700,6.45
2013-05-09,6.42,6.43,6.13,6.15,5851500,6.15
2013-05-08,6.50,6.55,6.34,6.44,4226100,6.44
2013-05-07,6.49,6.58,6.47,6.49,5051600,6.49
2013-05-06,6.32,6.50,6.27,6.46,5699700,6.46
2013-05-03,6.23,6.42,6.14,6.34,9829400,6.34
2013-05-02,5.79,6.16,5.79,6.15,4897900,6.15
2013-05-01,5.82,5.98,5.77,5.87,4927700,5.87
2013-04-30,5.92,5.95,5.71,5.84,7534200,5.84
2013-04-29,6.05,6.08,5.92,5.98,4264400,5.98
2013-04-26,5.95,6.10,5.92,6.03,5638500,6.03
2013-04-25,5.62,6.06,5.54,5.98,10410600,5.98
2013-04-24,4.98,6.05,4.98,6.01,23545200,6.01
2013-04-23,5.24,5.43,5.24,5.36,9149000,5.36
2013-04-22,4.98,5.33,4.95,5.30,7424700,5.30
2013-04-19,5.13,5.15,4.93,4.98,4538100,4.98
2013-04-18,5.07,5.19,4.97,5.06,4675400,5.06
2013-04-17,5.16,5.22,4.92,5.07,6103000,5.07
2013-04-16,5.09,5.24,5.06,5.20,6223800,5.20
2013-04-15,5.27,5.37,5.07,5.09,5642100,5.09
2013-04-12,5.27,5.40,5.24,5.26,4954200,5.26
2013-04-11,5.22,5.42,5.18,5.33,11120400,5.33
2013-04-10,5.08,5.28,5.02,5.21,8812500,5.21
2013-04-09,4.99,5.15,4.95,5.10,6028600,5.10
2013-04-08,4.84,5.00,4.74,4.97,7309000,4.97
2013-04-05,4.60,4.91,4.55,4.80,7102400,4.80
2013-04-04,4.65,4.86,4.65,4.71,5010000,4.71
2013-04-03,4.72,4.90,4.56,4.69,11771300,4.69
2013-04-02,4.91,5.10,4.79,4.81,6893900,4.81
2013-04-01,4.99,5.09,4.77,4.88,9314600,4.88
2013-03-28,5.07,5.11,4.94,5.04,7232500,5.04
2013-03-27,5.06,5.13,4.95,5.07,6691300,5.07
2013-03-26,5.09,5.27,4.99,5.12,10967700,5.12
2013-03-25,4.95,5.13,4.87,5.05,8380500,5.05
2013-03-22,4.70,5.13,4.63,4.95,15410100,4.95
2013-03-21,4.16,4.86,4.16,4.68,19938300,4.68
2013-03-20,4.23,4.28,4.07,4.19,9970000,4.19
2013-03-19,4.42,4.43,4.15,4.22,7267200,4.22
2013-03-18,4.35,4.46,4.28,4.39,3641200,4.39
2013-03-15,4.44,4.45,4.23,4.40,9735900,4.40
2013-03-14,4.41,4.51,4.32,4.43,8344200,4.43
2013-03-13,4.20,4.47,4.17,4.39,7579400,4.39
2013-03-12,4.14,4.20,4.14,4.16,2810200,4.16
2013-03-11,4.06,4.19,4.06,4.15,3725200,4.15
2013-03-08,4.10,4.25,4.06,4.11,4745000,4.11
2013-03-07,4.01,4.11,4.01,4.04,2888800,4.04
2013-03-06,4.08,4.10,3.98,4.01,2915500,4.01
2013-03-05,4.12,4.15,3.99,4.05,4792000,4.05
2013-03-04,3.93,4.20,3.93,4.10,6984900,4.10
2013-03-01,3.95,3.97,3.91,3.96,1834300,3.96
2013-02-28,3.94,4.00,3.91,3.97,6071200,3.97
2013-02-27,3.87,3.94,3.85,3.94,2980600,3.94
2013-02-26,3.75,3.92,3.75,3.89,6242000,3.89
2013-02-25,3.87,3.88,3.76,3.76,3509300,3.76
2013-02-22,3.88,3.94,3.84,3.85,3259800,3.85
2013-02-21,3.82,3.90,3.80,3.88,4040500,3.88
2013-02-20,3.85,3.89,3.81,3.83,7841500,3.83
2013-02-19,3.81,3.90,3.81,3.87,4531300,3.87
2013-02-15,3.86,3.88,3.80,3.85,3252600,3.85
2013-02-14,3.88,3.88,3.79,3.86,4311000,3.86
2013-02-13,3.92,3.92,3.87,3.89,2265400,3.89
2013-02-12,3.89,3.92,3.86,3.92,4124100,3.92
2013-02-11,3.84,3.91,3.83,3.90,4467400,3.90
2013-02-08,3.85,3.87,3.82,3.87,4262400,3.87
2013-02-07,3.84,3.87,3.76,3.86,5988500,3.86
2013-02-06,3.87,3.89,3.84,3.86,3891500,3.86
2013-02-05,3.87,3.91,3.87,3.89,3263900,3.89
2013-02-04,3.91,3.91,3.84,3.88,3209900,3.88
2013-02-01,3.91,3.93,3.86,3.93,8255700,3.93
2013-01-31,3.88,3.92,3.83,3.91,10623400,3.91
2013-01-30,3.90,3.95,3.81,3.91,14281600,3.91
2013-01-29,3.67,3.93,3.64,3.91,19164300,3.91
2013-01-28,3.54,3.74,3.54,3.68,11551800,3.68
2013-01-25,3.54,3.57,3.51,3.55,4056900,3.55
2013-01-24,3.56,3.57,3.51,3.53,4451700,3.53
2013-01-23,3.53,3.54,3.50,3.54,12056600,3.54
2013-01-22,3.59,3.61,3.50,3.52,7775100,3.52
2013-01-18,3.56,3.58,3.51,3.57,4540600,3.57
2013-01-17,3.52,3.55,3.49,3.55,4604700,3.55
2013-01-16,3.55,3.56,3.47,3.51,6944400,3.51
2013-01-15,3.53,3.55,3.45,3.55,6591800,3.55
2013-01-14,3.54,3.58,3.45,3.53,11015600,3.53
2013-01-11,3.43,3.54,3.41,3.53,21549700,3.53
2013-01-10,3.39,3.62,3.25,3.47,60790000,3.47
2013-01-09,2.80,3.06,2.79,3.04,10565900,3.04
2013-01-08,2.81,2.86,2.72,2.76,4356300,2.76
2013-01-07,3.01,3.02,2.80,2.85,6346500,2.85
2013-01-04,2.61,3.16,2.57,2.94,27139100,2.94
2013-01-03,2.52,2.61,2.52,2.59,4723700,2.59
2013-01-02,2.53,2.56,2.45,2.50,2829900,2.50
2012-12-31,2.36,2.47,2.34,2.47,4500800,2.47
2012-12-28,2.41,2.45,2.37,2.40,3186200,2.40
2012-12-27,2.57,2.61,2.42,2.47,3941800,2.47
2012-12-26,2.62,2.66,2.57,2.57,3061700,2.57
2012-12-24,2.75,2.78,2.55,2.62,2172700,2.62
2012-12-21,2.56,2.84,2.51,2.84,8187300,2.84
2012-12-20,2.68,2.75,2.63,2.64,2707700,2.64
2012-12-19,2.70,2.72,2.67,2.69,2202900,2.69
2012-12-18,2.71,2.74,2.62,2.69,3513600,2.69
2012-12-17,2.66,2.71,2.60,2.71,3846200,2.71
2012-12-14,2.68,2.75,2.65,2.66,2617800,2.66
2012-12-13,2.63,2.76,2.62,2.68,2578400,2.68
2012-12-12,2.71,2.71,2.57,2.62,3185500,2.62
2012-12-11,2.66,2.71,2.65,2.66,2264500,2.66
2012-12-10,2.66,2.75,2.58,2.64,2957300,2.64
2012-12-07,2.78,2.79,2.62,2.66,2796800,2.66
2012-12-06,2.85,2.90,2.72,2.76,4989100,2.76
2012-12-05,2.54,2.92,2.45,2.90,18583800,2.90
2012-12-04,2.66,2.67,2.50,2.55,4658300,2.55
2012-12-03,2.68,2.69,2.50,2.68,7645200,2.68
2012-11-30,2.39,2.44,2.34,2.38,8583100,2.38
2012-11-29,2.86,2.90,2.27,2.28,18258400,2.28
2012-11-28,2.70,2.80,2.41,2.80,5544100,2.80
2012-11-27,2.63,2.79,2.61,2.70,5144200,2.70
2012-11-26,2.70,2.71,2.52,2.63,2230500,2.63
2012-11-23,2.67,2.73,2.65,2.71,1327300,2.71
2012-11-21,2.54,2.71,2.47,2.67,3834800,2.67
2012-11-20,2.56,2.58,2.47,2.53,1720500,2.53
2012-11-19,2.53,2.62,2.52,2.57,1892000,2.57
2012-11-16,2.50,2.55,2.46,2.50,3100300,2.50
2012-11-15,2.61,2.61,2.49,2.55,3669100,2.55
2012-11-14,2.77,2.78,2.60,2.62,3317300,2.62
2012-11-13,2.74,2.84,2.71,2.74,2215800,2.74
2012-11-12,2.88,2.89,2.76,2.77,1925100,2.77
2012-11-09,2.87,2.93,2.75,2.91,3250100,2.91
2012-11-08,3.03,3.03,2.85,2.87,3596600,2.87
2012-11-07,3.10,3.11,2.92,3.03,5608400,3.03
2012-11-06,3.11,3.16,3.09,3.11,3916100,3.11
2012-11-05,3.16,3.16,3.00,3.11,3987800,3.11
2012-11-02,3.27,3.30,3.14,3.18,8093200,3.18
2012-11-01,3.09,3.26,3.04,3.26,10255600,3.26
2012-10-31,3.03,3.11,3.00,3.11,6830900,3.11
2012-10-26,3.04,3.06,2.91,3.01,5214400,3.01
2012-10-25,3.01,3.08,2.94,3.03,8787900,3.03
2012-10-24,2.90,2.94,2.80,2.92,4035300,2.92
2012-10-23,2.86,3.00,2.75,2.89,13477600,2.89
2012-10-22,2.32,3.18,2.31,3.17,58583300,3.17
2012-10-19,2.14,2.23,2.10,2.19,7089500,2.19
2012-10-18,2.20,2.23,2.01,2.14,15646500,2.14
2012-10-17,1.91,2.09,1.86,2.04,6434000,2.04
2012-10-16,1.84,1.91,1.82,1.90,4168400,1.90
2012-10-15,1.87,1.89,1.82,1.84,2753200,1.84
2012-10-12,1.92,1.92,1.83,1.86,2804200,1.86
2012-10-11,1.93,1.93,1.80,1.90,7507200,1.90
2012-10-10,2.00,2.02,1.85,1.92,6003500,1.92
2012-10-09,2.21,2.24,1.94,1.95,9445500,1.95
2012-10-08,2.22,2.24,2.19,2.20,5215500,2.20
2012-10-05,2.30,2.31,2.22,2.22,3871100,2.22
2012-10-04,2.26,2.30,2.23,2.29,3354400,2.29
2012-10-03,2.32,2.32,2.25,2.27,5362600,2.27
