Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,79.24,80.75,79.12,80.69,1158000,80.69
2014-03-27,79.41,79.56,78.50,79.08,671600,79.08
2014-03-26,80.79,81.00,79.39,79.41,713600,79.41
2014-03-25,79.70,80.50,79.49,80.33,944100,80.33
2014-03-24,79.67,80.17,78.90,79.34,710900,79.34
2014-03-21,80.66,80.75,79.34,79.71,2231000,79.71
2014-03-20,79.26,80.03,78.69,79.96,1268500,79.96
2014-03-19,80.59,80.71,79.05,79.54,1079300,79.54
2014-03-18,80.44,80.62,80.03,80.16,937500,80.16
2014-03-17,79.55,80.52,79.40,80.37,1247800,80.37
2014-03-14,78.97,79.83,78.88,79.02,1516500,79.02
2014-03-13,80.36,80.99,78.73,79.09,1464300,79.09
2014-03-12,81.00,81.27,80.13,80.56,1734900,80.56
2014-03-11,82.74,82.96,81.38,81.47,1259300,81.47
2014-03-10,82.19,82.40,81.34,81.90,740100,81.90
2014-03-07,82.07,82.68,81.72,82.51,1224900,82.51
2014-03-06,81.76,82.10,81.64,81.88,610700,81.88
2014-03-05,82.03,82.14,81.40,81.54,1174000,81.54
2014-03-04,82.56,82.82,81.70,82.00,1146800,82.00
2014-03-03,81.62,82.28,81.30,81.75,1029800,81.75
2014-02-28,83.12,83.76,82.54,83.04,1330800,82.54
2014-02-27,81.81,83.15,81.71,82.95,1264300,82.45
2014-02-26,81.71,82.50,81.61,82.00,872000,81.51
2014-02-25,81.96,82.52,81.61,81.71,935900,81.22
2014-02-24,81.95,82.69,81.85,82.08,1137100,81.59
2014-02-21,81.49,81.96,81.16,81.74,1325500,81.25
2014-02-20,80.89,81.68,80.52,81.43,1078500,80.94
2014-02-19,81.01,81.82,80.61,80.66,903500,80.17
2014-02-18,81.35,81.60,80.61,81.28,1251900,80.79
2014-02-14,80.69,81.53,80.47,81.32,715400,80.83
2014-02-13,80.15,80.81,79.85,80.59,1337000,80.10
2014-02-12,80.12,80.99,80.11,80.62,1331100,80.13
2014-02-11,78.86,80.46,78.86,80.01,1468900,79.53
2014-02-10,78.86,79.35,78.78,78.96,1371500,78.48
2014-02-07,76.80,78.91,76.76,78.80,1572300,78.33
2014-02-06,75.93,76.79,75.76,76.46,1174000,76.00
2014-02-05,75.96,76.40,75.00,75.65,1876500,75.19
2014-02-04,75.94,76.33,75.35,76.11,1379000,75.65
2014-02-03,78.00,78.56,75.59,75.64,1936000,75.18
2014-01-31,76.69,77.93,76.18,77.40,2216600,76.93
2014-01-30,78.37,78.58,77.51,77.87,1105200,77.40
2014-01-29,77.45,78.82,77.20,78.03,1965700,77.56
2014-01-28,77.34,78.00,77.19,77.93,1704300,77.46
2014-01-27,78.06,78.25,76.20,77.35,2364600,76.88
2014-01-24,80.95,82.76,77.50,77.81,4309600,77.34
2014-01-23,80.50,80.78,79.83,80.41,1931900,79.93
2014-01-22,80.97,81.30,80.77,80.93,1128900,80.44
2014-01-21,81.42,81.66,80.57,81.00,2067600,80.51
2014-01-17,82.16,82.39,80.82,81.17,2185500,80.68
2014-01-16,82.56,82.94,82.29,82.39,1806400,81.89
2014-01-15,82.01,83.22,81.96,82.54,1270600,82.04
2014-01-14,81.35,82.66,81.21,82.20,2172900,81.71
2014-01-13,81.05,81.29,80.02,80.15,1289200,79.67
2014-01-09,80.30,80.88,79.75,80.30,1642900,79.82
2014-01-08,80.03,80.77,79.84,80.08,1727800,79.60
2014-01-07,79.64,80.26,79.01,79.98,1485400,79.50
